B19202_001E,B19202_001M,B19202_001M,B19202_001EA,B19202_001MA,state
32389,309,309,null,null,12
33209,941,941,null,null,13
42111,2482,2482,null,null,15
29627,1529,1529,null,null,16
35953,483,483,null,null,17
30752,386,386,null,null,18
31576,490,490,null,null,19
31227,516,516,null,null,20
27220,760,760,null,null,21
26826,652,652,null,null,22
31024,898,898,null,null,23
47868,1399,1399,null,null,24
42343,893,893,null,null,25
31305,309,309,null,null,26
37804,813,813,null,null,27
22552,848,848,null,null,28
31409,521,521,null,null,29
30181,1031,1031,null,null,30
31765,704,704,null,null,31
35412,887,887,null,null,32
38603,2138,2138,null,null,33
41163,555,555,null,null,34
28883,1471,1471,null,null,35
39313,635,635,null,null,36
30977,376,376,null,null,37
37158,2475,2475,null,null,38
31164,300,300,null,null,39
28564,841,841,null,null,40
35305,775,775,null,null,41
32488,427,427,null,null,42
35174,1786,1786,null,null,44
29193,820,820,null,null,45
32296,1236,1236,null,null,46
29670,720,720,null,null,47
36060,374,374,null,null,48
37404,1348,1348,null,null,49
32445,1715,1715,null,null,50
41568,622,622,null,null,51
41513,478,478,null,null,53
24364,825,825,null,null,54
34008,639,639,null,null,55
32285,2622,2622,null,null,56
11406,294,294,null,null,72
25741,534,534,null,null,01
51252,2380,2380,null,null,02
34776,803,803,null,null,04
25339,843,843,null,null,05
44115,656,656,null,null,06
40936,651,651,null,null,08
41608,998,998,null,null,09
37052,1679,1679,null,null,10
61948,3112,3112,null,null,11
