C21001I_001E,C21001I_001M,C21001I_002E,C21001I_002M,C21001I_003E,C21001I_003M,C21001I_004E,C21001I_004M,C21001I_005E,C21001I_005M,C21001I_006E,C21001I_006M,C21001I_007E,C21001I_007M,C21001I_008E,C21001I_008M,C21001I_009E,C21001I_009M,C21001I_010E,C21001I_010M,C21001I_011E,C21001I_011M,C21001I_012E,C21001I_012M,C21001I_013E,C21001I_013M,C21001I_014E,C21001I_014M,C21001I_015E,C21001I_015M,C21001I_001M,C21001I_001EA,C21001I_001MA,C21001I_002M,C21001I_002EA,C21001I_002MA,C21001I_003M,C21001I_003EA,C21001I_003MA,C21001I_004M,C21001I_004EA,C21001I_004MA,C21001I_005M,C21001I_005EA,C21001I_005MA,C21001I_006M,C21001I_006EA,C21001I_006MA,C21001I_007M,C21001I_007EA,C21001I_007MA,C21001I_008M,C21001I_008EA,C21001I_008MA,C21001I_009M,C21001I_009EA,C21001I_009MA,C21001I_010M,C21001I_010EA,C21001I_010MA,C21001I_011M,C21001I_011EA,C21001I_011MA,C21001I_012M,C21001I_012EA,C21001I_012MA,C21001I_013M,C21001I_013EA,C21001I_013MA,C21001I_014M,C21001I_014EA,C21001I_014MA,C21001I_015M,C21001I_015EA,C21001I_015MA,state
3853092,2993,1873857,3239,1626915,3149,70188,4194,1556727,5478,246942,1191,28991,2906,217951,3194,1979235,3096,1631792,3644,11693,1991,1620099,3839,347443,1656,1389,605,346054,1742,2993,null,null,3239,null,null,3149,null,null,4194,null,null,5478,null,null,1191,null,null,2906,null,null,3194,null,null,3096,null,null,3644,null,null,1991,null,null,3839,null,null,1656,null,null,605,null,null,1742,null,null,12
600167,2821,314394,3696,299083,3609,12035,2231,287048,4065,15311,1607,3881,977,11430,1609,285773,3075,266577,3573,2927,1017,263650,3605,19196,1908,499,426,18697,1959,2821,null,null,3696,null,null,3609,null,null,2231,null,null,4065,null,null,1607,null,null,977,null,null,1609,null,null,3075,null,null,3573,null,null,1017,null,null,3605,null,null,1908,null,null,426,null,null,1959,null,null,13
86635,1169,42551,1068,39239,1159,4544,1155,34695,1494,3312,315,1323,374,1989,387,44084,376,39976,422,1386,649,38590,757,4108,151,0,185,4108,151,1169,null,null,1068,null,null,1159,null,null,1155,null,null,1494,null,null,315,null,null,374,null,null,387,null,null,376,null,null,422,null,null,649,null,null,757,null,null,151,null,null,185,null,null,151,null,null,15
127810,852,64476,1274,59804,1202,2519,850,57285,1412,4672,842,1315,448,3357,797,63334,1167,58006,1407,138,136,57868,1416,5328,1012,0,198,5328,1012,852,null,null,1274,null,null,1202,null,null,850,null,null,1412,null,null,842,null,null,448,null,null,797,null,null,1167,null,null,1407,null,null,136,null,null,1416,null,null,1012,null,null,198,null,null,1012,null,null,16
1456394,1727,744676,1908,689887,1940,16546,2119,673341,2794,54789,1072,7135,1236,47654,1286,711718,1537,644820,1496,2761,711,642059,1539,66898,1121,165,173,66733,1128,1727,null,null,1908,null,null,1940,null,null,2119,null,null,2794,null,null,1072,null,null,1236,null,null,1286,null,null,1537,null,null,1496,null,null,711,null,null,1539,null,null,1121,null,null,173,null,null,1128,null,null,17
277830,1965,144248,1943,134716,1957,5152,1119,129564,2432,9532,1129,2992,799,6540,963,133582,2182,123224,2156,676,348,122548,2191,10358,834,38,83,10320,835,1965,null,null,1943,null,null,1957,null,null,1119,null,null,2432,null,null,1129,null,null,799,null,null,963,null,null,2182,null,null,2156,null,null,348,null,null,2191,null,null,834,null,null,83,null,null,835,null,null,18
108242,1141,55297,1283,52968,1342,1519,535,51449,1413,2329,552,608,277,1721,502,52945,1325,49732,1322,640,447,49092,1348,3213,641,0,159,3213,641,1141,null,null,1283,null,null,1342,null,null,535,null,null,1413,null,null,552,null,null,277,null,null,502,null,null,1325,null,null,1322,null,null,447,null,null,1348,null,null,641,null,null,159,null,null,641,null,null,19
205973,1210,105919,1543,98449,1498,3318,823,95131,1679,7470,913,1781,565,5689,782,100054,1049,92479,1230,1164,678,91315,1298,7575,652,123,148,7452,664,1210,null,null,1543,null,null,1498,null,null,823,null,null,1679,null,null,913,null,null,565,null,null,782,null,null,1049,null,null,1230,null,null,678,null,null,1298,null,null,652,null,null,148,null,null,664,null,null,20
89810,2623,48738,2027,46976,1998,2235,835,44741,1957,1762,394,447,250,1315,413,41072,1615,38770,1631,866,526,37904,1629,2302,591,0,190,2302,591,2623,null,null,2027,null,null,1998,null,null,835,null,null,1957,null,null,394,null,null,250,null,null,413,null,null,1615,null,null,1631,null,null,526,null,null,1629,null,null,591,null,null,190,null,null,591,null,null,21
157099,2443,83806,2263,76575,1931,3609,1116,72966,2272,7231,941,2271,847,4960,649,73293,1708,64709,1652,1077,557,63632,1716,8584,1022,0,208,8584,1022,2443,null,null,2263,null,null,1931,null,null,1116,null,null,2272,null,null,941,null,null,847,null,null,649,null,null,1708,null,null,1652,null,null,557,null,null,1716,null,null,1022,null,null,208,null,null,1022,null,null,22
14400,1012,7037,859,6551,923,338,323,6213,1021,486,327,160,243,326,232,7363,807,6577,721,12,25,6565,718,786,394,0,172,786,394,1012,null,null,859,null,null,923,null,null,323,null,null,1021,null,null,327,null,null,243,null,null,232,null,null,807,null,null,721,null,null,25,null,null,718,null,null,394,null,null,172,null,null,394,null,null,23
388327,1157,201400,1740,190187,1749,8963,1521,181224,2194,11213,679,1973,570,9240,674,186927,1318,170453,1501,2774,1000,167679,1640,16474,880,160,201,16314,873,1157,null,null,1740,null,null,1749,null,null,1521,null,null,2194,null,null,679,null,null,570,null,null,674,null,null,1318,null,null,1501,null,null,1000,null,null,1640,null,null,880,null,null,201,null,null,873,null,null,24
533930,1066,261690,796,243232,915,6444,1503,236788,1684,18458,465,2352,634,16106,735,272240,460,246325,582,1093,466,245232,747,25915,410,75,102,25840,414,1066,null,null,796,null,null,915,null,null,1503,null,null,1684,null,null,465,null,null,634,null,null,735,null,null,460,null,null,582,null,null,466,null,null,747,null,null,410,null,null,102,null,null,414,null,null,25
311984,955,158667,1440,145982,1310,6810,1305,139172,1740,12685,870,4559,847,8126,1010,153317,1039,139568,1150,1582,670,137986,1315,13749,844,58,73,13691,843,955,null,null,1440,null,null,1310,null,null,1305,null,null,1740,null,null,870,null,null,847,null,null,1010,null,null,1039,null,null,1150,null,null,670,null,null,1315,null,null,844,null,null,73,null,null,843,null,null,26
176057,1277,91668,1293,86673,1314,2592,686,84081,1319,4995,819,1478,481,3517,801,84389,1278,79179,1482,245,192,78934,1502,5210,712,161,155,5049,702,1277,null,null,1293,null,null,1314,null,null,686,null,null,1319,null,null,819,null,null,481,null,null,801,null,null,1278,null,null,1482,null,null,192,null,null,1502,null,null,712,null,null,155,null,null,702,null,null,27
53633,2531,29268,2186,27812,2038,1315,619,26497,1887,1456,731,480,549,976,461,24365,1906,23135,1837,619,648,22516,1650,1230,512,186,197,1044,477,2531,null,null,2186,null,null,2038,null,null,619,null,null,1887,null,null,731,null,null,549,null,null,461,null,null,1906,null,null,1837,null,null,648,null,null,1650,null,null,512,null,null,197,null,null,477,null,null,28
150836,1653,76600,1874,70396,1778,3328,994,67068,1815,6204,1019,2257,663,3947,906,74236,1391,67329,1604,1160,607,66169,1675,6907,843,9,19,6898,844,1653,null,null,1874,null,null,1778,null,null,994,null,null,1815,null,null,1019,null,null,663,null,null,906,null,null,1391,null,null,1604,null,null,607,null,null,1675,null,null,843,null,null,19,null,null,844,null,null,29
22809,995,10478,1283,9616,1212,1341,710,8275,1307,862,456,407,282,455,349,12331,991,11340,935,131,154,11209,924,991,330,0,168,991,330,995,null,null,1283,null,null,1212,null,null,710,null,null,1307,null,null,456,null,null,282,null,null,349,null,null,991,null,null,935,null,null,154,null,null,924,null,null,330,null,null,168,null,null,330,null,null,30
120799,708,63256,1438,59643,1519,1726,570,57917,1535,3613,677,948,455,2665,628,57543,1359,54226,1299,195,181,54031,1300,3317,658,43,65,3274,664,708,null,null,1438,null,null,1519,null,null,570,null,null,1535,null,null,677,null,null,455,null,null,628,null,null,1359,null,null,1299,null,null,181,null,null,1300,null,null,658,null,null,65,null,null,664,null,null,31
558844,357,282477,862,261339,821,11796,1680,249543,1683,21138,831,5532,1099,15606,1315,276367,866,251082,920,2258,841,248824,1152,25285,556,254,201,25031,595,357,null,null,862,null,null,821,null,null,1680,null,null,1683,null,null,831,null,null,1099,null,null,1315,null,null,866,null,null,920,null,null,841,null,null,1152,null,null,556,null,null,201,null,null,595,null,null,32
31758,753,17407,829,16351,991,1159,628,15192,1072,1056,499,102,119,954,436,14351,593,13229,647,251,253,12978,729,1122,356,32,61,1090,360,753,null,null,829,null,null,991,null,null,628,null,null,1072,null,null,499,null,null,119,null,null,436,null,null,593,null,null,647,null,null,253,null,null,729,null,null,356,null,null,61,null,null,360,null,null,33
1263523,724,629788,780,573346,818,14665,1935,558681,2042,56442,429,6526,950,49916,942,633735,367,556778,446,1712,561,555066,646,76957,340,365,330,76592,472,724,null,null,780,null,null,818,null,null,1935,null,null,2042,null,null,429,null,null,950,null,null,942,null,null,367,null,null,446,null,null,561,null,null,646,null,null,340,null,null,330,null,null,472,null,null,34
713268,586,349725,644,299858,842,22277,2275,277581,2267,49867,564,17586,1692,32281,1745,363543,377,302199,563,2583,956,299616,1138,61344,475,766,386,60578,614,586,null,null,644,null,null,842,null,null,2275,null,null,2267,null,null,564,null,null,1692,null,null,1745,null,null,377,null,null,563,null,null,956,null,null,1138,null,null,475,null,null,386,null,null,614,null,null,35
2717329,1332,1323827,2077,1191766,2130,32113,3148,1159653,3764,132061,890,17813,2087,114248,2173,1393502,1587,1196053,1624,4849,1296,1191204,1851,197449,1055,703,427,196746,1044,1332,null,null,2077,null,null,2130,null,null,3148,null,null,3764,null,null,890,null,null,2087,null,null,2173,null,null,1587,null,null,1624,null,null,1296,null,null,1851,null,null,1055,null,null,427,null,null,1044,null,null,36
560073,3287,285881,3416,271049,3551,16033,2603,255016,4045,14832,1914,4362,1326,10470,1550,274192,3162,257772,3109,3047,965,254725,3346,16420,1883,0,203,16420,1883,3287,null,null,3416,null,null,3551,null,null,2603,null,null,4045,null,null,1914,null,null,1326,null,null,1550,null,null,3162,null,null,3109,null,null,965,null,null,3346,null,null,1883,null,null,203,null,null,1883,null,null,37
15150,1692,8923,1643,8590,1662,625,367,7965,1718,333,359,8,16,325,358,6227,999,5648,875,0,155,5648,875,579,441,0,155,579,441,1692,null,null,1643,null,null,1662,null,null,367,null,null,1718,null,null,359,null,null,16,null,null,358,null,null,999,null,null,875,null,null,155,null,null,875,null,null,441,null,null,155,null,null,441,null,null,38
266406,1876,134737,2068,124834,2032,8513,1658,116321,2486,9903,961,3570,917,6333,741,131669,1644,119748,1815,2077,759,117671,1929,11921,1215,461,349,11460,1194,1876,null,null,2068,null,null,2032,null,null,1658,null,null,2486,null,null,961,null,null,917,null,null,741,null,null,1644,null,null,1815,null,null,759,null,null,1929,null,null,1215,null,null,349,null,null,1194,null,null,39
241322,1030,126862,1290,120634,1175,5767,1231,114867,1454,6228,743,1916,675,4312,468,114460,1042,106616,1080,812,389,105804,1117,7844,795,24,38,7820,790,1030,null,null,1290,null,null,1175,null,null,1231,null,null,1454,null,null,743,null,null,675,null,null,468,null,null,1042,null,null,1080,null,null,389,null,null,1117,null,null,795,null,null,38,null,null,790,null,null,40
332470,764,173007,1529,162852,1493,6830,1572,156022,2211,10155,1001,2390,832,7765,886,159463,1249,148116,1422,889,444,147227,1572,11347,737,101,133,11246,744,764,null,null,1529,null,null,1493,null,null,1572,null,null,2211,null,null,1001,null,null,832,null,null,886,null,null,1249,null,null,1422,null,null,444,null,null,1572,null,null,737,null,null,133,null,null,744,null,null,41
587634,1321,299959,1683,278522,1736,11105,1737,267417,2395,21437,978,3494,657,17943,1092,287675,1636,262724,1564,1861,763,260863,1746,24951,936,183,210,24768,922,1321,null,null,1683,null,null,1736,null,null,1737,null,null,2395,null,null,978,null,null,657,null,null,1092,null,null,1636,null,null,1564,null,null,763,null,null,1746,null,null,936,null,null,210,null,null,922,null,null,42
105630,476,50973,722,47493,670,1256,620,46237,810,3480,188,275,223,3205,175,54657,483,49735,765,328,238,49407,807,4922,625,0,208,4922,625,476,null,null,722,null,null,670,null,null,620,null,null,810,null,null,188,null,null,223,null,null,175,null,null,483,null,null,765,null,null,238,null,null,807,null,null,625,null,null,208,null,null,625,null,null,44
168864,2103,88981,1898,84182,2066,6541,1376,77641,2313,4799,1040,1460,553,3339,988,79883,1722,72583,1893,1319,662,71264,1903,7300,1074,155,215,7145,1065,2103,null,null,1898,null,null,2066,null,null,1376,null,null,2313,null,null,1040,null,null,553,null,null,988,null,null,1722,null,null,1893,null,null,662,null,null,1903,null,null,1074,null,null,215,null,null,1065,null,null,45
