C27009_001E,C27009_001M,C27009_002E,C27009_002M,C27009_003E,C27009_003M,C27009_004E,C27009_004M,C27009_005E,C27009_005M,C27009_006E,C27009_006M,C27009_007E,C27009_007M,C27009_008E,C27009_008M,C27009_009E,C27009_009M,C27009_010E,C27009_010M,C27009_011E,C27009_011M,C27009_012E,C27009_012M,C27009_013E,C27009_013M,C27009_014E,C27009_014M,C27009_015E,C27009_015M,C27009_016E,C27009_016M,C27009_017E,C27009_017M,C27009_018E,C27009_018M,C27009_019E,C27009_019M,C27009_020E,C27009_020M,C27009_021E,C27009_021M,C27009_001M,C27009_001EA,C27009_001MA,C27009_002M,C27009_002EA,C27009_002MA,C27009_003M,C27009_003EA,C27009_003MA,C27009_004M,C27009_004EA,C27009_004MA,C27009_005M,C27009_005EA,C27009_005MA,C27009_006M,C27009_006EA,C27009_006MA,C27009_007M,C27009_007EA,C27009_007MA,C27009_008M,C27009_008EA,C27009_008MA,C27009_009M,C27009_009EA,C27009_009MA,C27009_010M,C27009_010EA,C27009_010MA,C27009_011M,C27009_011EA,C27009_011MA,C27009_012M,C27009_012EA,C27009_012MA,C27009_013M,C27009_013EA,C27009_013MA,C27009_014M,C27009_014EA,C27009_014MA,C27009_015M,C27009_015EA,C27009_015MA,C27009_016M,C27009_016EA,C27009_016MA,C27009_017M,C27009_017EA,C27009_017MA,C27009_018M,C27009_018EA,C27009_018MA,C27009_019M,C27009_019EA,C27009_019MA,C27009_020M,C27009_020EA,C27009_020MA,C27009_021M,C27009_021EA,C27009_021MA,state
20294479,4316,9829594,8614,2112080,5936,3907,1471,2108173,6122,5904200,6573,199285,8500,5704915,11171,1813314,2918,324516,7430,1488798,7581,10464885,7394,2024265,6201,3560,1237,2020705,6426,6233188,6388,48373,4585,6184815,7628,2207432,3525,30821,2719,2176611,4579,4316,null,null,8614,null,null,5936,null,null,1471,null,null,6122,null,null,6573,null,null,8500,null,null,11171,null,null,2918,null,null,7430,null,null,7581,null,null,7394,null,null,6201,null,null,1237,null,null,6426,null,null,6388,null,null,4585,null,null,7628,null,null,3525,null,null,2719,null,null,4579,null,null,12
10120788,3683,4866326,9202,1278525,6524,2632,1283,1275893,6622,3007980,5944,102382,5408,2905598,7738,579821,2820,98532,4157,481289,4595,5254462,8566,1227801,6266,3896,1329,1223905,6383,3276179,5335,36162,3494,3240017,6253,750482,3112,12076,2103,738406,3582,3683,null,null,9202,null,null,6524,null,null,1283,null,null,6622,null,null,5944,null,null,5408,null,null,7738,null,null,2820,null,null,4157,null,null,4595,null,null,8566,null,null,6266,null,null,1329,null,null,6383,null,null,5335,null,null,3494,null,null,6253,null,null,3112,null,null,2103,null,null,3582,null,null,13
1378730,2525,677111,2948,158446,1679,477,439,157969,1663,410306,2522,14103,1923,396203,2766,108359,748,14972,1646,93387,1727,701619,2294,149115,1601,220,225,148895,1571,422129,1392,3179,836,418950,1528,130375,608,1541,510,128834,787,2525,null,null,2948,null,null,1679,null,null,439,null,null,1663,null,null,2522,null,null,1923,null,null,2766,null,null,748,null,null,1646,null,null,1727,null,null,2294,null,null,1601,null,null,225,null,null,1571,null,null,1392,null,null,836,null,null,1528,null,null,608,null,null,510,null,null,787,null,null,15
1662867,795,826763,2862,224061,2267,327,308,223734,2226,483518,2283,17978,2115,465540,3027,119184,1381,27260,2090,91924,1925,836104,2843,211569,2313,160,165,211409,2341,491285,2261,3418,1192,487867,2894,133250,1310,2694,739,130556,1462,795,null,null,2862,null,null,2267,null,null,308,null,null,2226,null,null,2283,null,null,2115,null,null,3027,null,null,1381,null,null,2090,null,null,1925,null,null,2843,null,null,2313,null,null,165,null,null,2341,null,null,2261,null,null,1192,null,null,2894,null,null,1310,null,null,739,null,null,1462,null,null,16
12620388,1326,6168002,5264,1490060,3503,1235,555,1488825,3560,3887432,3538,67206,3820,3820226,4963,790510,2369,116348,4331,674162,4900,6452386,5163,1429803,3510,1086,611,1428717,3695,4005183,3752,15804,1717,3989379,3919,1017400,3138,9598,1383,1007802,3363,1326,null,null,5264,null,null,3503,null,null,555,null,null,3560,null,null,3538,null,null,3820,null,null,4963,null,null,2369,null,null,4331,null,null,4900,null,null,5163,null,null,3510,null,null,611,null,null,3695,null,null,3752,null,null,1717,null,null,3919,null,null,3138,null,null,1383,null,null,3363,null,null,17
6534914,919,3204187,6049,806805,4437,369,306,806436,4478,1973871,3957,51135,3131,1922736,5143,423511,2113,83056,4049,340455,4358,3330727,6017,767120,4715,437,276,766683,4706,2029840,3460,9676,1530,2020164,3677,533767,2085,6729,1165,527038,2359,919,null,null,6049,null,null,4437,null,null,306,null,null,4478,null,null,3957,null,null,3131,null,null,5143,null,null,2113,null,null,4049,null,null,4358,null,null,6017,null,null,4715,null,null,276,null,null,4706,null,null,3460,null,null,1530,null,null,3677,null,null,2085,null,null,1165,null,null,2359,null,null,18
3091437,506,1532095,3125,372234,2393,740,463,371494,2368,939004,2421,22106,1833,916898,3152,220857,1607,46136,2163,174721,2645,1559342,3175,352763,2382,779,507,351984,2463,936201,2356,5226,799,930975,2562,270378,1619,3777,673,266601,1730,506,null,null,3125,null,null,2393,null,null,463,null,null,2368,null,null,2421,null,null,1833,null,null,3152,null,null,1607,null,null,2163,null,null,2645,null,null,3175,null,null,2382,null,null,507,null,null,2463,null,null,2356,null,null,799,null,null,2562,null,null,1619,null,null,673,null,null,1730,null,null,19
2850862,1447,1408996,4885,366317,3766,463,320,365854,3765,853471,3148,25449,2672,828022,3918,189208,1418,36019,1907,153189,2245,1441866,4484,346785,3953,429,343,346356,3923,864922,2852,5255,1045,859667,3083,230159,1527,3994,899,226165,1547,1447,null,null,4885,null,null,3766,null,null,320,null,null,3765,null,null,3148,null,null,2672,null,null,3918,null,null,1418,null,null,1907,null,null,2245,null,null,4484,null,null,3953,null,null,343,null,null,3923,null,null,2852,null,null,1045,null,null,3083,null,null,1527,null,null,899,null,null,1547,null,null,20
4354380,1440,2121338,5132,516709,3262,754,443,515955,3379,1309148,4210,43440,3680,1265708,5448,295481,1543,61269,2713,234212,2981,2233042,5104,493277,3423,937,605,492340,3464,1369879,3380,10498,1519,1359381,3649,369886,1850,6819,1166,363067,1980,1440,null,null,5132,null,null,3262,null,null,443,null,null,3379,null,null,4210,null,null,3680,null,null,5448,null,null,1543,null,null,2713,null,null,2981,null,null,5104,null,null,3423,null,null,605,null,null,3464,null,null,3380,null,null,1519,null,null,3649,null,null,1850,null,null,1166,null,null,1980,null,null,21
4577182,1950,2208827,5319,571299,5483,737,802,570562,5598,1350764,3619,36171,3112,1314593,4670,286764,1890,44967,2564,241797,3263,2368355,5285,544158,4971,727,711,543431,4978,1456935,2875,8243,1267,1448692,3083,367262,1871,5720,1052,361542,2238,1950,null,null,5319,null,null,5483,null,null,802,null,null,5598,null,null,3619,null,null,3112,null,null,4670,null,null,1890,null,null,2564,null,null,3263,null,null,5285,null,null,4971,null,null,711,null,null,4978,null,null,2875,null,null,1267,null,null,3083,null,null,1871,null,null,1052,null,null,2238,null,null,22
1317148,565,642090,2185,130113,1256,194,168,129919,1238,398657,1800,12068,1508,386589,2462,113320,1060,23115,1858,90205,1953,675058,2128,124610,1461,168,199,124442,1460,414285,1419,3212,928,411073,1650,136163,902,2562,561,133601,1102,565,null,null,2185,null,null,1256,null,null,168,null,null,1238,null,null,1800,null,null,1508,null,null,2462,null,null,1060,null,null,1858,null,null,1953,null,null,2128,null,null,1461,null,null,199,null,null,1460,null,null,1419,null,null,928,null,null,1650,null,null,902,null,null,561,null,null,1102,null,null,23
5918535,2341,2848901,4423,688526,2246,546,458,687980,2331,1789931,3399,43319,3269,1746612,4686,370444,1614,52197,2790,318247,2864,3069634,3792,656062,2248,440,458,655622,2355,1931835,2704,13862,1684,1917973,3268,481737,1405,4642,734,477095,1488,2341,null,null,4423,null,null,2246,null,null,458,null,null,2331,null,null,3399,null,null,3269,null,null,4686,null,null,1614,null,null,2790,null,null,2864,null,null,3792,null,null,2248,null,null,458,null,null,2355,null,null,2704,null,null,1684,null,null,3268,null,null,1405,null,null,734,null,null,1488,null,null,24
