B27001E_001E,B27001E_001M,B27001E_002E,B27001E_002M,B27001E_003E,B27001E_003M,B27001E_004E,B27001E_004M,B27001E_005E,B27001E_005M,B27001E_006E,B27001E_006M,B27001E_007E,B27001E_007M,B27001E_008E,B27001E_008M,B27001E_009E,B27001E_009M,B27001E_010E,B27001E_010M,B27001E_011E,B27001E_011M,B27001E_012E,B27001E_012M,B27001E_013E,B27001E_013M,B27001E_014E,B27001E_014M,B27001E_015E,B27001E_015M,B27001E_016E,B27001E_016M,B27001E_017E,B27001E_017M,B27001E_018E,B27001E_018M,B27001E_019E,B27001E_019M,B27001E_020E,B27001E_020M,B27001E_021E,B27001E_021M,B27001E_022E,B27001E_022M,B27001E_023E,B27001E_023M,B27001E_024E,B27001E_024M,B27001E_025E,B27001E_025M,B27001E_026E,B27001E_026M,B27001E_027E,B27001E_027M,B27001E_028E,B27001E_028M,B27001E_001M,B27001E_001EA,B27001E_001MA,B27001E_002M,B27001E_002EA,B27001E_002MA,B27001E_003M,B27001E_003EA,B27001E_003MA,B27001E_004M,B27001E_004EA,B27001E_004MA,B27001E_005M,B27001E_005EA,B27001E_005MA,B27001E_006M,B27001E_006EA,B27001E_006MA,B27001E_007M,B27001E_007EA,B27001E_007MA,B27001E_008M,B27001E_008EA,B27001E_008MA,B27001E_009M,B27001E_009EA,B27001E_009MA,B27001E_010M,B27001E_010EA,B27001E_010MA,B27001E_011M,B27001E_011EA,B27001E_011MA,B27001E_012M,B27001E_012EA,B27001E_012MA,B27001E_013M,B27001E_013EA,B27001E_013MA,B27001E_014M,B27001E_014EA,B27001E_014MA,B27001E_015M,B27001E_015EA,B27001E_015MA,B27001E_016M,B27001E_016EA,B27001E_016MA,B27001E_017M,B27001E_017EA,B27001E_017MA,B27001E_018M,B27001E_018EA,B27001E_018MA,B27001E_019M,B27001E_019EA,B27001E_019MA,B27001E_020M,B27001E_020EA,B27001E_020MA,B27001E_021M,B27001E_021EA,B27001E_021MA,B27001E_022M,B27001E_022EA,B27001E_022MA,B27001E_023M,B27001E_023EA,B27001E_023MA,B27001E_024M,B27001E_024EA,B27001E_024MA,B27001E_025M,B27001E_025EA,B27001E_025MA,B27001E_026M,B27001E_026EA,B27001E_026MA,B27001E_027M,B27001E_027EA,B27001E_027MA,B27001E_028M,B27001E_028EA,B27001E_028MA,state
12476,2415,869,541,869,541,0,221,1773,755,1718,743,55,92,1480,749,1291,742,189,153,2470,884,2154,850,316,259,1395,681,1064,529,331,359,1652,912,1059,669,593,453,1220,459,1083,478,137,146,1277,698,1203,654,74,90,340,272,340,272,0,221,2415,null,null,541,null,null,541,null,null,221,null,null,755,null,null,743,null,null,92,null,null,749,null,null,742,null,null,153,null,null,884,null,null,850,null,null,259,null,null,681,null,null,529,null,null,359,null,null,912,null,null,669,null,null,453,null,null,459,null,null,478,null,null,146,null,null,698,null,null,654,null,null,90,null,null,272,null,null,272,null,null,221,null,null,12
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
142357,6673,11796,1762,11478,1730,318,323,28657,2795,28100,2913,557,479,14431,1437,12498,1321,1933,698,21211,1644,19173,1556,2038,752,19765,1554,18122,1428,1643,777,17101,1102,16293,1099,808,403,14138,1014,13457,1055,681,392,9914,873,9799,882,115,162,5344,679,5344,679,0,185,6673,null,null,1762,null,null,1730,null,null,323,null,null,2795,null,null,2913,null,null,479,null,null,1437,null,null,1321,null,null,698,null,null,1644,null,null,1556,null,null,752,null,null,1554,null,null,1428,null,null,777,null,null,1102,null,null,1099,null,null,403,null,null,1014,null,null,1055,null,null,392,null,null,873,null,null,882,null,null,162,null,null,679,null,null,679,null,null,185,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
