B11003_001E,B11003_001M,B11003_002E,B11003_002M,B11003_003E,B11003_003M,B11003_004E,B11003_004M,B11003_005E,B11003_005M,B11003_006E,B11003_006M,B11003_007E,B11003_007M,B11003_008E,B11003_008M,B11003_009E,B11003_009M,B11003_010E,B11003_010M,B11003_011E,B11003_011M,B11003_012E,B11003_012M,B11003_013E,B11003_013M,B11003_014E,B11003_014M,B11003_015E,B11003_015M,B11003_016E,B11003_016M,B11003_017E,B11003_017M,B11003_018E,B11003_018M,B11003_019E,B11003_019M,B11003_020E,B11003_020M,B11003_001M,B11003_001EA,B11003_001MA,B11003_002M,B11003_002EA,B11003_002MA,B11003_003M,B11003_003EA,B11003_003MA,B11003_004M,B11003_004EA,B11003_004MA,B11003_005M,B11003_005EA,B11003_005MA,B11003_006M,B11003_006EA,B11003_006MA,B11003_007M,B11003_007EA,B11003_007MA,B11003_008M,B11003_008EA,B11003_008MA,B11003_009M,B11003_009EA,B11003_009MA,B11003_010M,B11003_010EA,B11003_010MA,B11003_011M,B11003_011EA,B11003_011MA,B11003_012M,B11003_012EA,B11003_012MA,B11003_013M,B11003_013EA,B11003_013MA,B11003_014M,B11003_014EA,B11003_014MA,B11003_015M,B11003_015EA,B11003_015MA,B11003_016M,B11003_016EA,B11003_016MA,B11003_017M,B11003_017EA,B11003_017MA,B11003_018M,B11003_018EA,B11003_018MA,B11003_019M,B11003_019EA,B11003_019MA,B11003_020M,B11003_020EA,B11003_020MA,state
4864461,24241,3513794,23103,1133704,15856,242682,9291,225931,7926,665091,14116,2380090,19564,1350667,17914,364873,10498,157756,7250,39480,3920,21721,3029,96555,5773,207117,7412,985794,14624,495544,11420,88798,5705,94792,6000,311954,9605,490250,12133,24241,null,null,23103,null,null,15856,null,null,9291,null,null,7926,null,null,14116,null,null,19564,null,null,17914,null,null,10498,null,null,7250,null,null,3920,null,null,3029,null,null,5773,null,null,7412,null,null,14624,null,null,11420,null,null,5705,null,null,6000,null,null,9605,null,null,12133,null,null,12
2479003,18252,1748096,19025,716617,11889,145805,6895,152389,6741,418423,11093,1031479,14402,730907,14227,174962,7771,82128,5440,21510,3081,13054,2245,47564,3657,92834,5712,555945,12912,305113,10523,53418,4404,58439,4964,193256,8260,250832,8952,18252,null,null,19025,null,null,11889,null,null,6895,null,null,6741,null,null,11093,null,null,14402,null,null,14227,null,null,7771,null,null,5440,null,null,3081,null,null,2245,null,null,3657,null,null,5712,null,null,12912,null,null,10523,null,null,4404,null,null,4964,null,null,8260,null,null,8952,null,null,13
315505,5105,236236,4782,85855,3836,20350,2071,18639,2107,46866,2796,150381,5087,79269,4274,26017,2626,10032,1647,2991,944,1773,754,5268,1127,15985,1932,53252,3332,20109,2125,2802,841,4555,1053,12752,1648,33143,2702,5105,null,null,4782,null,null,3836,null,null,2071,null,null,2107,null,null,2796,null,null,5087,null,null,4274,null,null,2626,null,null,1647,null,null,944,null,null,754,null,null,1127,null,null,1932,null,null,3332,null,null,2125,null,null,841,null,null,1053,null,null,1648,null,null,2702,null,null,15
411617,7286,328906,7528,128484,5315,25274,3020,35069,3062,68141,3836,200422,6484,82711,4947,27394,3183,14984,2674,3767,1152,2563,869,8654,2144,12410,1984,55317,3568,32640,3050,5719,1115,6703,1440,20218,2528,22677,1874,7286,null,null,7528,null,null,5315,null,null,3020,null,null,3062,null,null,3836,null,null,6484,null,null,4947,null,null,3183,null,null,2674,null,null,1152,null,null,869,null,null,2144,null,null,1984,null,null,3568,null,null,3050,null,null,1115,null,null,1440,null,null,2528,null,null,1874,null,null,16
3100613,17145,2266786,16563,911333,11644,194958,6354,184520,6799,531855,9476,1355453,12427,833827,13495,224158,7773,105765,6017,27989,3343,16139,2212,61637,4449,118393,5365,609669,10547,325481,9024,56500,3911,56852,3897,212129,7976,284188,8160,17145,null,null,16563,null,null,11644,null,null,6354,null,null,6799,null,null,9476,null,null,12427,null,null,13495,null,null,7773,null,null,6017,null,null,3343,null,null,2212,null,null,4449,null,null,5365,null,null,10547,null,null,9024,null,null,3911,null,null,3897,null,null,7976,null,null,8160,null,null,17
1645758,11176,1225255,11039,463721,8479,104117,4587,102363,5235,257241,6189,761534,8302,420503,9228,121367,4763,64021,3706,17216,2372,9816,1767,36989,2971,57346,3691,299136,8539,172709,6223,36973,3179,33095,3358,102641,5115,126427,5447,11176,null,null,11039,null,null,8479,null,null,4587,null,null,5235,null,null,6189,null,null,8302,null,null,9228,null,null,4763,null,null,3706,null,null,2372,null,null,1767,null,null,2971,null,null,3691,null,null,8539,null,null,6223,null,null,3179,null,null,3358,null,null,5115,null,null,5447,null,null,18
795043,8419,630993,8001,243407,5787,54708,3726,56362,3715,132337,4568,387586,7191,164050,5286,50267,2921,30487,2365,9483,1604,4748,982,16256,1772,19780,1993,113783,4707,76410,3985,18669,2092,14327,1735,43414,3542,37373,2640,8419,null,null,8001,null,null,5787,null,null,3726,null,null,3715,null,null,4568,null,null,7191,null,null,5286,null,null,2921,null,null,2365,null,null,1604,null,null,982,null,null,1772,null,null,1993,null,null,4707,null,null,3985,null,null,2092,null,null,1735,null,null,3542,null,null,2640,null,null,19
716005,8245,555970,8062,219403,5308,51653,2842,49718,3238,118032,4222,336567,6292,160035,6192,49460,3304,28187,2812,7411,1465,3818,1152,16958,2206,21273,1981,110575,5066,67918,4217,16264,1739,12754,1598,38900,3299,42657,2740,8245,null,null,8062,null,null,5308,null,null,2842,null,null,3238,null,null,4222,null,null,6292,null,null,6192,null,null,3304,null,null,2812,null,null,1465,null,null,1152,null,null,2206,null,null,1981,null,null,5066,null,null,4217,null,null,1739,null,null,1598,null,null,3299,null,null,2740,null,null,20
1121404,10897,812069,11116,298129,6591,65666,3638,60993,3640,171470,5538,513940,7791,309335,7535,83429,4423,41383,3485,8517,1313,4766,1137,28100,3166,42046,3570,225906,6754,123578,4950,26132,2844,23109,2783,74337,3977,102328,4911,10897,null,null,11116,null,null,6591,null,null,3638,null,null,3640,null,null,5538,null,null,7791,null,null,7535,null,null,4423,null,null,3485,null,null,1313,null,null,1137,null,null,3166,null,null,3570,null,null,6754,null,null,4950,null,null,2844,null,null,2783,null,null,3977,null,null,4911,null,null,21
1097712,12285,735458,10367,271349,7395,59676,4754,59403,4210,152270,6182,464109,7869,362254,10170,86597,5221,42099,4172,14148,2460,3694,1215,24257,2640,44498,3307,275657,8695,150154,7439,28907,3568,35020,3566,86227,5281,125503,5065,12285,null,null,10367,null,null,7395,null,null,4754,null,null,4210,null,null,6182,null,null,7869,null,null,10170,null,null,5221,null,null,4172,null,null,2460,null,null,1215,null,null,2640,null,null,3307,null,null,8695,null,null,7439,null,null,3568,null,null,3566,null,null,5281,null,null,5065,null,null,22
329554,6035,256503,5929,78442,3613,17084,1997,15542,1923,45816,2433,178061,4389,73051,3693,24410,2553,13875,1770,3844,1056,1800,836,8231,1569,10535,1909,48641,2750,26262,2240,4789,1132,4739,991,16734,1587,22379,2139,6035,null,null,5929,null,null,3613,null,null,1997,null,null,1923,null,null,2433,null,null,4389,null,null,3693,null,null,2553,null,null,1770,null,null,1056,null,null,836,null,null,1569,null,null,1909,null,null,2750,null,null,2240,null,null,1132,null,null,991,null,null,1587,null,null,2139,null,null,23
