B28004_001E,B28004_001M,B28004_002E,B28004_002M,B28004_003E,B28004_003M,B28004_004E,B28004_004M,B28004_005E,B28004_005M,B28004_006E,B28004_006M,B28004_007E,B28004_007M,B28004_008E,B28004_008M,B28004_009E,B28004_009M,B28004_010E,B28004_010M,B28004_011E,B28004_011M,B28004_012E,B28004_012M,B28004_013E,B28004_013M,B28004_014E,B28004_014M,B28004_015E,B28004_015M,B28004_016E,B28004_016M,B28004_017E,B28004_017M,B28004_018E,B28004_018M,B28004_019E,B28004_019M,B28004_020E,B28004_020M,B28004_021E,B28004_021M,B28004_022E,B28004_022M,B28004_023E,B28004_023M,B28004_024E,B28004_024M,B28004_025E,B28004_025M,B28004_001M,B28004_001EA,B28004_001MA,B28004_002M,B28004_002EA,B28004_002MA,B28004_003M,B28004_003EA,B28004_003MA,B28004_004M,B28004_004EA,B28004_004MA,B28004_005M,B28004_005EA,B28004_005MA,B28004_006M,B28004_006EA,B28004_006MA,B28004_007M,B28004_007EA,B28004_007MA,B28004_008M,B28004_008EA,B28004_008MA,B28004_009M,B28004_009EA,B28004_009MA,B28004_010M,B28004_010EA,B28004_010MA,B28004_011M,B28004_011EA,B28004_011MA,B28004_012M,B28004_012EA,B28004_012MA,B28004_013M,B28004_013EA,B28004_013MA,B28004_014M,B28004_014EA,B28004_014MA,B28004_015M,B28004_015EA,B28004_015MA,B28004_016M,B28004_016EA,B28004_016MA,B28004_017M,B28004_017EA,B28004_017MA,B28004_018M,B28004_018EA,B28004_018MA,B28004_019M,B28004_019EA,B28004_019MA,B28004_020M,B28004_020EA,B28004_020MA,B28004_021M,B28004_021EA,B28004_021MA,B28004_022M,B28004_022EA,B28004_022MA,B28004_023M,B28004_023EA,B28004_023MA,B28004_024M,B28004_024EA,B28004_024MA,B28004_025M,B28004_025EA,B28004_025MA,state
7573456,23478,540162,12814,1903,689,311568,9189,226691,7457,777078,14460,4575,1008,462841,10982,309662,8761,1272046,15268,8469,1336,922982,14753,340595,10097,1122886,17813,6419,1386,917840,17750,198627,7507,1403483,19410,6451,1515,1233969,18087,163063,7134,2457801,23408,4039,1000,2297450,22221,156312,7869,23478,null,null,12814,null,null,689,null,null,9189,null,null,7457,null,null,14460,null,null,1008,null,null,10982,null,null,8761,null,null,15268,null,null,1336,null,null,14753,null,null,10097,null,null,17813,null,null,1386,null,null,17750,null,null,7507,null,null,19410,null,null,1515,null,null,18087,null,null,7134,null,null,23408,null,null,1000,null,null,22221,null,null,7869,null,null,12
3686135,15528,277504,9245,863,406,156994,7139,119647,5393,368401,9673,1852,620,205543,7215,161006,6686,566197,11278,2347,676,401883,10729,161967,6969,500942,12461,1518,569,405651,11198,93773,5053,676720,13684,1936,713,588507,12802,86277,5403,1296371,15320,2906,944,1214416,14728,79049,5316,15528,null,null,9245,null,null,406,null,null,7139,null,null,5393,null,null,9673,null,null,620,null,null,7215,null,null,6686,null,null,11278,null,null,676,null,null,10729,null,null,6969,null,null,12461,null,null,569,null,null,11198,null,null,5053,null,null,13684,null,null,713,null,null,12802,null,null,5403,null,null,15320,null,null,944,null,null,14728,null,null,5316,null,null,13
455868,4824,25137,2416,207,266,13194,1891,11736,1825,28541,3072,150,188,15026,1958,13365,2096,46985,3511,157,179,32485,2953,14343,1890,47723,2780,221,218,37966,2480,9536,1563,80844,4878,532,417,68156,4267,12156,2028,226638,5042,423,244,212346,5050,13869,1809,4824,null,null,2416,null,null,266,null,null,1891,null,null,1825,null,null,3072,null,null,188,null,null,1958,null,null,2096,null,null,3511,null,null,179,null,null,2953,null,null,1890,null,null,2780,null,null,218,null,null,2480,null,null,1563,null,null,4878,null,null,417,null,null,4267,null,null,2028,null,null,5042,null,null,244,null,null,5050,null,null,1809,null,null,15
610872,4143,44642,3581,212,214,23314,2362,21116,2886,60925,4082,443,289,36004,2794,24478,2919,94225,5024,1107,469,67348,4511,25770,2290,94008,4583,646,333,74519,4287,18843,2459,125111,4789,1022,538,107426,4869,16663,2273,191961,6464,635,297,176248,5720,15078,2460,4143,null,null,3581,null,null,214,null,null,2362,null,null,2886,null,null,4082,null,null,289,null,null,2794,null,null,2919,null,null,5024,null,null,469,null,null,4511,null,null,2290,null,null,4583,null,null,333,null,null,4287,null,null,2459,null,null,4789,null,null,538,null,null,4869,null,null,2273,null,null,6464,null,null,297,null,null,5720,null,null,2460,null,null,16
4822046,12932,337376,8945,1441,518,189323,7418,146612,5532,426065,10345,2287,713,239048,8708,184730,6860,656468,11940,4813,934,454464,10890,197191,6438,593665,10209,3556,825,473985,10254,116124,5181,823785,12769,4358,779,718045,11796,101382,4971,1984687,16497,4667,1000,1878825,17257,101195,5355,12932,null,null,8945,null,null,518,null,null,7418,null,null,5532,null,null,10345,null,null,713,null,null,8708,null,null,6860,null,null,11940,null,null,934,null,null,10890,null,null,6438,null,null,10209,null,null,825,null,null,10254,null,null,5181,null,null,12769,null,null,779,null,null,11796,null,null,4971,null,null,16497,null,null,1000,null,null,17257,null,null,5355,null,null,17
2533270,10440,169319,6144,962,404,91990,5018,76367,4162,249522,6435,2148,750,138930,5863,108444,5012,408316,8179,3375,786,277390,7677,127551,4531,374039,10084,2980,721,291458,7917,79601,4675,500500,9253,2474,576,429370,8579,68656,3944,831574,10082,2569,735,777636,9683,51369,3340,10440,null,null,6144,null,null,404,null,null,5018,null,null,4162,null,null,6435,null,null,750,null,null,5863,null,null,5012,null,null,8179,null,null,786,null,null,7677,null,null,4531,null,null,10084,null,null,721,null,null,7917,null,null,4675,null,null,9253,null,null,576,null,null,8579,null,null,3944,null,null,10082,null,null,735,null,null,9683,null,null,3340,null,null,18
1247932,7106,72996,3853,432,201,41133,3276,31431,2598,112717,4428,1084,372,60389,3363,51244,2607,191820,5439,2253,542,125436,4757,64131,3603,175478,6382,1949,542,139202,5332,34327,3089,242344,6356,2289,566,207891,6473,32164,2389,452577,7133,1585,453,419608,6754,31384,2627,7106,null,null,3853,null,null,201,null,null,3276,null,null,2598,null,null,4428,null,null,372,null,null,3363,null,null,2607,null,null,5439,null,null,542,null,null,4757,null,null,3603,null,null,6382,null,null,542,null,null,5332,null,null,3089,null,null,6356,null,null,566,null,null,6473,null,null,2389,null,null,7133,null,null,453,null,null,6754,null,null,2627,null,null,19
1110407,6778,68603,3681,97,91,37353,2565,31153,2644,101628,4475,869,356,58449,3586,42310,2959,176304,5974,1199,395,120615,4417,54490,3809,161937,5583,914,341,125920,5211,35103,2596,212296,6070,1331,517,183894,5476,27071,2451,389639,7444,804,332,365149,7039,23686,2505,6778,null,null,3681,null,null,91,null,null,2565,null,null,2644,null,null,4475,null,null,356,null,null,3586,null,null,2959,null,null,5974,null,null,395,null,null,4417,null,null,3809,null,null,5583,null,null,341,null,null,5211,null,null,2596,null,null,6070,null,null,517,null,null,5476,null,null,2451,null,null,7444,null,null,332,null,null,7039,null,null,2505,null,null,20
1717706,9131,164883,6076,730,450,82909,4298,81244,4532,213417,7435,796,334,114609,5131,98012,5222,284236,6961,1677,467,197512,6657,85047,3847,242118,8637,1598,566,190738,7252,49782,3731,308458,8470,1757,620,267312,7712,39389,3293,504594,10026,993,385,474906,9708,28695,2629,9131,null,null,6076,null,null,450,null,null,4298,null,null,4532,null,null,7435,null,null,334,null,null,5131,null,null,5222,null,null,6961,null,null,467,null,null,6657,null,null,3847,null,null,8637,null,null,566,null,null,7252,null,null,3731,null,null,8470,null,null,620,null,null,7712,null,null,3293,null,null,10026,null,null,385,null,null,9708,null,null,2629,null,null,21
1720801,8997,177657,6483,589,419,84030,5016,93038,4661,227966,8284,753,359,119310,5595,107903,6343,287033,7763,1350,522,185543,7113,100140,5179,235029,7531,607,283,180539,6922,53883,4145,279858,8410,950,422,238101,7985,40807,3635,513258,8648,1280,620,472226,9174,39752,3388,8997,null,null,6483,null,null,419,null,null,5016,null,null,4661,null,null,8284,null,null,359,null,null,5595,null,null,6343,null,null,7763,null,null,522,null,null,7113,null,null,5179,null,null,7531,null,null,283,null,null,6922,null,null,4145,null,null,8410,null,null,422,null,null,7985,null,null,3635,null,null,8648,null,null,620,null,null,9174,null,null,3388,null,null,22
