B14007H_001E,B14007H_001M,B14007H_002E,B14007H_002M,B14007H_003E,B14007H_003M,B14007H_004E,B14007H_004M,B14007H_005E,B14007H_005M,B14007H_006E,B14007H_006M,B14007H_007E,B14007H_007M,B14007H_008E,B14007H_008M,B14007H_009E,B14007H_009M,B14007H_010E,B14007H_010M,B14007H_011E,B14007H_011M,B14007H_012E,B14007H_012M,B14007H_013E,B14007H_013M,B14007H_014E,B14007H_014M,B14007H_015E,B14007H_015M,B14007H_016E,B14007H_016M,B14007H_017E,B14007H_017M,B14007H_018E,B14007H_018M,B14007H_019E,B14007H_019M,B14007H_001M,B14007H_001EA,B14007H_001MA,B14007H_002M,B14007H_002EA,B14007H_002MA,B14007H_003M,B14007H_003EA,B14007H_003MA,B14007H_004M,B14007H_004EA,B14007H_004MA,B14007H_005M,B14007H_005EA,B14007H_005MA,B14007H_006M,B14007H_006EA,B14007H_006MA,B14007H_007M,B14007H_007EA,B14007H_007MA,B14007H_008M,B14007H_008EA,B14007H_008MA,B14007H_009M,B14007H_009EA,B14007H_009MA,B14007H_010M,B14007H_010EA,B14007H_010MA,B14007H_011M,B14007H_011EA,B14007H_011MA,B14007H_012M,B14007H_012EA,B14007H_012MA,B14007H_013M,B14007H_013EA,B14007H_013MA,B14007H_014M,B14007H_014EA,B14007H_014MA,B14007H_015M,B14007H_015EA,B14007H_015MA,B14007H_016M,B14007H_016EA,B14007H_016MA,B14007H_017M,B14007H_017EA,B14007H_017MA,B14007H_018M,B14007H_018EA,B14007H_018MA,B14007H_019M,B14007H_019EA,B14007H_019MA,state
10995440,8725,2061466,14537,119181,5840,92814,5241,89231,4981,90119,4293,100630,5186,97743,5704,100614,4487,107763,5030,98112,4990,97963,5454,107545,5671,103839,4188,106716,4593,110356,5810,519643,11029,119197,7125,8933974,14995,8725,null,null,14537,null,null,5840,null,null,5241,null,null,4981,null,null,4293,null,null,5186,null,null,5704,null,null,4487,null,null,5030,null,null,4990,null,null,5454,null,null,5671,null,null,4188,null,null,4593,null,null,5810,null,null,11029,null,null,7125,null,null,14995,null,null,12
5321102,5833,1229766,10472,74039,4339,60497,3372,54647,3984,60165,3987,61722,4002,62866,4190,62580,3522,65791,4249,66071,4335,68764,4829,66248,4015,69137,3457,62153,3666,75200,4372,263468,8221,56418,4550,4091336,9731,5833,null,null,10472,null,null,4339,null,null,3372,null,null,3984,null,null,3987,null,null,4002,null,null,4190,null,null,3522,null,null,4249,null,null,4335,null,null,4829,null,null,4015,null,null,3457,null,null,3666,null,null,4372,null,null,8221,null,null,4550,null,null,9731,null,null,13
306545,1169,50585,2461,3848,912,2376,725,2041,618,2185,683,3022,837,1707,497,1741,607,1702,508,3374,832,1301,509,1313,535,1566,465,1627,503,2162,810,15654,1830,4966,965,255960,2583,1169,null,null,2461,null,null,912,null,null,725,null,null,618,null,null,683,null,null,837,null,null,497,null,null,607,null,null,508,null,null,832,null,null,509,null,null,535,null,null,465,null,null,503,null,null,810,null,null,1830,null,null,965,null,null,2583,null,null,15
1337175,2353,350693,5796,18183,2212,16498,1963,17033,2156,21131,2386,20730,2039,16716,1997,18450,2091,19945,2011,16154,1932,19303,2372,20192,1815,18163,1683,18846,1743,18580,1768,76150,4915,14619,2029,986482,5525,2353,null,null,5796,null,null,2212,null,null,1963,null,null,2156,null,null,2386,null,null,2039,null,null,1997,null,null,2091,null,null,2011,null,null,1932,null,null,2372,null,null,1815,null,null,1683,null,null,1743,null,null,1768,null,null,4915,null,null,2029,null,null,5525,null,null,16
7653135,5254,1740528,10154,122269,4426,79139,4129,78261,3782,79187,4163,85451,4376,84832,3896,83579,4011,88190,4065,85589,4225,86691,3751,93483,3741,88647,3597,91525,3862,90300,4120,387274,7974,116111,5054,5912607,10235,5254,null,null,10154,null,null,4426,null,null,4129,null,null,3782,null,null,4163,null,null,4376,null,null,3896,null,null,4011,null,null,4065,null,null,4225,null,null,3751,null,null,3741,null,null,3597,null,null,3862,null,null,4120,null,null,7974,null,null,5054,null,null,10235,null,null,17
5099192,4805,1214169,9055,74221,4172,61967,4288,61429,3760,59913,3836,60027,3827,67034,4109,60945,3572,64167,4116,60672,3588,62758,3386,66167,3978,65536,3872,65341,3897,66755,3661,267097,7125,50140,3463,3885023,9184,4805,null,null,9055,null,null,4172,null,null,4288,null,null,3760,null,null,3836,null,null,3827,null,null,4109,null,null,3572,null,null,4116,null,null,3588,null,null,3386,null,null,3978,null,null,3872,null,null,3897,null,null,3661,null,null,7125,null,null,3463,null,null,9184,null,null,18
2617331,3614,639835,5207,45036,2872,30738,2435,28721,2235,29730,2155,32836,2308,33296,2545,33870,2642,30526,2217,33572,2437,31871,2206,30141,2196,33393,2077,34665,2248,32588,2382,147514,4135,31338,2992,1977496,5196,3614,null,null,5207,null,null,2872,null,null,2435,null,null,2235,null,null,2155,null,null,2308,null,null,2545,null,null,2642,null,null,2217,null,null,2437,null,null,2206,null,null,2196,null,null,2077,null,null,2248,null,null,2382,null,null,4135,null,null,2992,null,null,5196,null,null,19
2139194,2607,531620,6605,34253,2732,25350,2086,24666,2088,25560,2141,26370,2028,26154,2083,28837,2439,25565,2058,27752,2109,27180,2155,24927,2255,27662,2106,25344,1933,31542,2488,118309,4746,32149,3010,1607574,6509,2607,null,null,6605,null,null,2732,null,null,2086,null,null,2088,null,null,2141,null,null,2028,null,null,2083,null,null,2439,null,null,2058,null,null,2109,null,null,2155,null,null,2255,null,null,2106,null,null,1933,null,null,2488,null,null,4746,null,null,3010,null,null,6509,null,null,20
3638576,4679,858283,9395,48257,3446,41368,2689,42693,3194,46381,3438,45791,3029,43536,2759,50002,3166,42558,2819,43656,3030,44253,3110,44225,3466,50621,2989,45175,2863,48125,3791,182414,6637,39228,3200,2780293,9094,4679,null,null,9395,null,null,3446,null,null,2689,null,null,3194,null,null,3438,null,null,3029,null,null,2759,null,null,3166,null,null,2819,null,null,3030,null,null,3110,null,null,3466,null,null,2989,null,null,2863,null,null,3791,null,null,6637,null,null,3200,null,null,9094,null,null,21
2660736,3961,609948,7106,40162,4089,29702,2720,28557,2914,31921,2951,32558,2812,35066,3265,30478,3243,31578,2708,29586,2521,33913,2769,35600,3058,33676,2995,31288,3028,30574,3274,129161,5374,26128,2616,2050788,7198,3961,null,null,7106,null,null,4089,null,null,2720,null,null,2914,null,null,2951,null,null,2812,null,null,3265,null,null,3243,null,null,2708,null,null,2521,null,null,2769,null,null,3058,null,null,2995,null,null,3028,null,null,3274,null,null,5374,null,null,2616,null,null,7198,null,null,22
