C17001D_001E,C17001D_001M,C17001D_002E,C17001D_002M,C17001D_003E,C17001D_003M,C17001D_004E,C17001D_004M,C17001D_005E,C17001D_005M,C17001D_006E,C17001D_006M,C17001D_007E,C17001D_007M,C17001D_008E,C17001D_008M,C17001D_009E,C17001D_009M,C17001D_010E,C17001D_010M,C17001D_011E,C17001D_011M,C17001D_012E,C17001D_012M,C17001D_013E,C17001D_013M,C17001D_014E,C17001D_014M,C17001D_015E,C17001D_015M,C17001D_016E,C17001D_016M,C17001D_017E,C17001D_017M,C17001D_018E,C17001D_018M,C17001D_019E,C17001D_019M,C17001D_001M,C17001D_001EA,C17001D_001MA,C17001D_002M,C17001D_002EA,C17001D_002MA,C17001D_003M,C17001D_003EA,C17001D_003MA,C17001D_004M,C17001D_004EA,C17001D_004MA,C17001D_005M,C17001D_005EA,C17001D_005MA,C17001D_006M,C17001D_006EA,C17001D_006MA,C17001D_007M,C17001D_007EA,C17001D_007MA,C17001D_008M,C17001D_008EA,C17001D_008MA,C17001D_009M,C17001D_009EA,C17001D_009MA,C17001D_010M,C17001D_010EA,C17001D_010MA,C17001D_011M,C17001D_011EA,C17001D_011MA,C17001D_012M,C17001D_012EA,C17001D_012MA,C17001D_013M,C17001D_013EA,C17001D_013MA,C17001D_014M,C17001D_014EA,C17001D_014MA,C17001D_015M,C17001D_015EA,C17001D_015MA,C17001D_016M,C17001D_016EA,C17001D_016MA,C17001D_017M,C17001D_017EA,C17001D_017MA,C17001D_018M,C17001D_018EA,C17001D_018MA,C17001D_019M,C17001D_019EA,C17001D_019MA,state
552077,7379,68107,8925,29210,4696,6151,1727,20062,3584,2997,863,38897,5473,8021,2225,26362,3987,4514,1073,483970,9717,216539,5510,45663,3235,144343,4006,26533,1673,267431,6471,47000,2604,181750,5033,38681,1865,7379,null,null,8925,null,null,4696,null,null,1727,null,null,3584,null,null,863,null,null,5473,null,null,2225,null,null,3987,null,null,1073,null,null,9717,null,null,5510,null,null,3235,null,null,4006,null,null,1673,null,null,6471,null,null,2604,null,null,5033,null,null,1865,null,null,12
389059,6789,46660,6374,21513,3355,4958,1252,13800,2477,2755,973,25147,3973,6442,1729,17008,2704,1697,723,342399,7682,164607,4845,38803,3116,113214,3115,12590,1294,177792,5250,37123,2464,124248,3595,16421,1637,6789,null,null,6374,null,null,3355,null,null,1252,null,null,2477,null,null,973,null,null,3973,null,null,1729,null,null,2704,null,null,723,null,null,7682,null,null,4845,null,null,3116,null,null,3115,null,null,1294,null,null,5250,null,null,2464,null,null,3595,null,null,1637,null,null,13
533218,10332,35105,4217,13035,2174,1837,790,7321,1502,3877,1039,22070,2875,2475,1178,12072,2098,7523,1162,498113,10716,233453,7085,37108,3152,145470,4499,50875,1394,264660,5177,34345,3056,161476,3971,68839,1557,10332,null,null,4217,null,null,2174,null,null,790,null,null,1502,null,null,1039,null,null,2875,null,null,1178,null,null,2098,null,null,1162,null,null,10716,null,null,7085,null,null,3152,null,null,4499,null,null,1394,null,null,5177,null,null,3056,null,null,3971,null,null,1557,null,null,15
23515,2249,3689,1374,1310,850,481,440,629,438,200,310,2379,1026,607,435,1406,803,366,383,19826,2366,8090,1421,1812,793,5291,1139,987,447,11736,1611,2617,969,7843,1192,1276,528,2249,null,null,1374,null,null,850,null,null,440,null,null,438,null,null,310,null,null,1026,null,null,435,null,null,803,null,null,383,null,null,2366,null,null,1421,null,null,793,null,null,1139,null,null,447,null,null,1611,null,null,969,null,null,1192,null,null,528,null,null,16
669861,6302,77595,8150,36342,4312,7202,1755,24721,2897,4419,1101,41253,4845,7045,1759,27151,2724,7057,2009,592266,9392,287302,5858,65909,2997,190702,3771,30691,1440,304964,5292,61386,2604,207100,3886,36478,1789,6302,null,null,8150,null,null,4312,null,null,1755,null,null,2897,null,null,1101,null,null,4845,null,null,1759,null,null,2724,null,null,2009,null,null,9392,null,null,5858,null,null,2997,null,null,3771,null,null,1440,null,null,5292,null,null,2604,null,null,3886,null,null,1789,null,null,17
133215,4638,30647,3773,15396,2294,3495,1177,11500,1719,401,318,15251,2188,3991,1265,10875,1733,385,306,102568,5751,49766,3143,11528,1567,35284,2174,2954,687,52802,3588,12171,1900,35302,2314,5329,1126,4638,null,null,3773,null,null,2294,null,null,1177,null,null,1719,null,null,318,null,null,2188,null,null,1265,null,null,1733,null,null,306,null,null,5751,null,null,3143,null,null,1567,null,null,2174,null,null,687,null,null,3588,null,null,1900,null,null,2314,null,null,1126,null,null,18
72810,2562,10146,2249,4287,1390,943,637,3344,1090,0,159,5859,1219,881,562,4818,888,160,176,62664,3095,31144,1960,7860,1219,21795,1534,1489,562,31520,2151,7844,1226,21648,1479,2028,621,2562,null,null,2249,null,null,1390,null,null,637,null,null,1090,null,null,159,null,null,1219,null,null,562,null,null,888,null,null,176,null,null,3095,null,null,1960,null,null,1219,null,null,1534,null,null,562,null,null,2151,null,null,1226,null,null,1479,null,null,621,null,null,19
77915,3400,10484,2222,5461,1508,810,525,4361,1251,290,176,5023,1206,873,388,3532,1030,618,332,67431,3975,32169,2408,7433,1124,22984,1817,1752,424,35262,2342,7335,1311,25158,1811,2769,456,3400,null,null,2222,null,null,1508,null,null,525,null,null,1251,null,null,176,null,null,1206,null,null,388,null,null,1030,null,null,332,null,null,3975,null,null,2408,null,null,1124,null,null,1817,null,null,424,null,null,2342,null,null,1311,null,null,1811,null,null,456,null,null,20
60307,2880,8784,2520,3536,1315,1025,520,2382,998,129,111,5248,1538,1285,646,3710,1136,253,240,51523,3188,24124,1813,7313,1023,15612,1433,1199,486,27399,2082,5246,897,19892,1793,2261,575,2880,null,null,2520,null,null,1315,null,null,520,null,null,998,null,null,111,null,null,1538,null,null,646,null,null,1136,null,null,240,null,null,3188,null,null,1813,null,null,1023,null,null,1433,null,null,486,null,null,2082,null,null,897,null,null,1793,null,null,575,null,null,21
76477,2503,12087,2611,5239,1467,758,482,3330,1069,1151,575,6848,1733,2060,859,4172,1156,616,369,64390,3012,31421,1808,5975,1358,22972,1384,2474,592,32969,2374,6986,1370,22683,1810,3300,597,2503,null,null,2611,null,null,1467,null,null,482,null,null,1069,null,null,575,null,null,1733,null,null,859,null,null,1156,null,null,369,null,null,3012,null,null,1808,null,null,1358,null,null,1384,null,null,592,null,null,2374,null,null,1370,null,null,1810,null,null,597,null,null,22
16542,1524,2997,1135,876,641,246,281,546,471,84,120,2121,752,123,147,1546,690,452,375,13545,1930,5734,1161,1497,720,3832,859,405,295,7811,1307,1633,633,5691,1143,487,286,1524,null,null,1135,null,null,641,null,null,281,null,null,471,null,null,120,null,null,752,null,null,147,null,null,690,null,null,375,null,null,1930,null,null,1161,null,null,720,null,null,859,null,null,295,null,null,1307,null,null,633,null,null,1143,null,null,286,null,null,23
370516,5193,25382,4080,12231,2825,2897,1304,7290,1730,2044,689,13151,1996,1322,631,8725,1564,3104,738,345134,6008,164647,4498,37183,2771,108679,2512,18785,1005,180487,3313,33479,1747,125426,2449,21582,1079,5193,null,null,4080,null,null,2825,null,null,1304,null,null,1730,null,null,689,null,null,1996,null,null,631,null,null,1564,null,null,738,null,null,6008,null,null,4498,null,null,2771,null,null,2512,null,null,1005,null,null,3313,null,null,1747,null,null,2449,null,null,1079,null,null,24
418901,5752,57446,6592,26638,3797,4558,1340,19095,2940,2985,736,30808,3593,3913,957,22199,2911,4696,922,361455,8077,175602,4333,43445,1926,117699,3121,14458,941,185853,4583,40404,1733,129338,3532,16111,1138,5752,null,null,6592,null,null,3797,null,null,1340,null,null,2940,null,null,736,null,null,3593,null,null,957,null,null,2911,null,null,922,null,null,8077,null,null,4333,null,null,1926,null,null,3121,null,null,941,null,null,4583,null,null,1733,null,null,3532,null,null,1138,null,null,25
283438,4973,46604,4831,22516,2707,3900,909,16732,2143,1884,692,24088,2694,5483,1135,16517,2019,2088,685,236834,5896,115420,3186,26257,1653,79849,2180,9314,834,121414,3627,26739,1686,83047,2577,11628,946,4973,null,null,4831,null,null,2707,null,null,909,null,null,2143,null,null,692,null,null,2694,null,null,1135,null,null,2019,null,null,685,null,null,5896,null,null,3186,null,null,1653,null,null,2180,null,null,834,null,null,3627,null,null,1686,null,null,2577,null,null,946,null,null,26
252561,4683,40484,5459,19815,2843,6665,1591,12352,1784,798,311,20669,3263,6598,1833,12920,1814,1151,497,212077,6676,104600,3696,30759,2194,68611,2411,5230,739,107477,4172,27947,2518,72783,2576,6747,670,4683,null,null,5459,null,null,2843,null,null,1591,null,null,1784,null,null,311,null,null,3263,null,null,1833,null,null,1814,null,null,497,null,null,6676,null,null,3696,null,null,2194,null,null,2411,null,null,739,null,null,4172,null,null,2518,null,null,2576,null,null,670,null,null,27
25620,2355,3306,1241,1678,743,385,261,1035,676,258,274,1628,846,165,240,1343,768,120,153,22314,2365,7941,1383,1743,490,5874,1360,324,257,14373,2042,3615,968,9535,1454,1223,635,2355,null,null,1241,null,null,743,null,null,261,null,null,676,null,null,274,null,null,846,null,null,240,null,null,768,null,null,153,null,null,2365,null,null,1383,null,null,490,null,null,1360,null,null,257,null,null,2042,null,null,968,null,null,1454,null,null,635,null,null,28
113230,3601,17614,2755,8790,1980,2232,997,6446,1294,112,173,8824,1749,1180,548,6843,1355,801,510,95616,3884,43679,2592,10499,1505,30118,1758,3062,589,51937,2643,10911,1424,36561,1875,4465,955,3601,null,null,2755,null,null,1980,null,null,997,null,null,1294,null,null,173,null,null,1749,null,null,548,null,null,1355,null,null,510,null,null,3884,null,null,2592,null,null,1505,null,null,1758,null,null,589,null,null,2643,null,null,1424,null,null,1875,null,null,955,null,null,29
8183,1390,1705,755,526,266,241,211,270,224,15,27,1179,671,77,92,1062,664,40,53,6478,1471,2051,789,690,502,1361,548,0,168,4427,1308,473,268,3626,1225,328,311,1390,null,null,755,null,null,266,null,null,211,null,null,224,null,null,27,null,null,671,null,null,92,null,null,664,null,null,53,null,null,1471,null,null,789,null,null,502,null,null,548,null,null,168,null,null,1308,null,null,268,null,null,1225,null,null,311,null,null,30
40006,3403,7604,2506,4450,1456,1056,689,3277,977,117,145,3154,1244,667,439,2355,908,132,146,32402,3675,14286,1773,3728,820,9568,1306,990,283,18116,2308,5444,1495,11329,1352,1343,359,3403,null,null,2506,null,null,1456,null,null,689,null,null,977,null,null,145,null,null,1244,null,null,439,null,null,908,null,null,146,null,null,3675,null,null,1773,null,null,820,null,null,1306,null,null,283,null,null,2308,null,null,1495,null,null,1352,null,null,359,null,null,31
