B15010_001E,B15010_001M,B15010_002E,B15010_002M,B15010_003E,B15010_003M,B15010_004E,B15010_004M,B15010_005E,B15010_005M,B15010_006E,B15010_006M,B15010_007E,B15010_007M,B15010_008E,B15010_008M,B15010_009E,B15010_009M,B15010_010E,B15010_010M,B15010_011E,B15010_011M,B15010_012E,B15010_012M,B15010_013E,B15010_013M,B15010_014E,B15010_014M,B15010_015E,B15010_015M,B15010_016E,B15010_016M,B15010_001M,B15010_001EA,B15010_001MA,B15010_002M,B15010_002EA,B15010_002MA,B15010_003M,B15010_003EA,B15010_003MA,B15010_004M,B15010_004EA,B15010_004MA,B15010_005M,B15010_005EA,B15010_005MA,B15010_006M,B15010_006EA,B15010_006MA,B15010_007M,B15010_007EA,B15010_007MA,B15010_008M,B15010_008EA,B15010_008MA,B15010_009M,B15010_009EA,B15010_009MA,B15010_010M,B15010_010EA,B15010_010MA,B15010_011M,B15010_011EA,B15010_011MA,B15010_012M,B15010_012EA,B15010_012MA,B15010_013M,B15010_013EA,B15010_013MA,B15010_014M,B15010_014EA,B15010_014MA,B15010_015M,B15010_015EA,B15010_015MA,B15010_016M,B15010_016EA,B15010_016MA,state
4208456,34554,155050,7040,209207,8218,113952,6312,187936,6871,298762,9888,331390,9577,25404,3076,432861,14355,1002581,18621,566225,11996,150060,6195,185286,7003,138054,6124,161048,6865,250640,9332,34554,null,null,7040,null,null,8218,null,null,6312,null,null,6871,null,null,9888,null,null,9577,null,null,3076,null,null,14355,null,null,18621,null,null,11996,null,null,6195,null,null,7003,null,null,6124,null,null,6865,null,null,9332,null,null,12
2066276,21565,103092,5358,112699,6116,56493,3681,90057,4545,131300,6355,149020,6851,13090,2130,190302,7431,507118,12187,268106,9448,74397,4236,87612,5964,70345,5125,85337,4425,127308,6997,21565,null,null,5358,null,null,6116,null,null,3681,null,null,4545,null,null,6355,null,null,6851,null,null,2130,null,null,7431,null,null,12187,null,null,9448,null,null,4236,null,null,5964,null,null,5125,null,null,4425,null,null,6997,null,null,13
316593,7306,10839,1414,23004,2427,11148,1542,17054,2048,29324,2353,22285,2682,2334,820,32736,2459,62923,3475,38087,2820,12591,1729,13122,1580,12918,1528,9305,1353,18923,1721,7306,null,null,1414,null,null,2427,null,null,1542,null,null,2048,null,null,2353,null,null,2682,null,null,820,null,null,2459,null,null,3475,null,null,2820,null,null,1729,null,null,1580,null,null,1528,null,null,1353,null,null,1721,null,null,15
300410,8458,8463,1362,31641,3341,11288,1822,10921,1740,15844,2006,21622,2436,2853,1314,33691,3227,47906,3528,47269,3252,16204,2692,14589,2134,8611,1650,10009,1530,19499,2700,8458,null,null,1362,null,null,3341,null,null,1822,null,null,1740,null,null,2006,null,null,2436,null,null,1314,null,null,3227,null,null,3528,null,null,3252,null,null,2692,null,null,2134,null,null,1650,null,null,1530,null,null,2700,null,null,16
2942285,18873,137445,5974,159882,6440,75943,3992,134657,5995,219523,6679,214382,6558,17121,1571,283557,6954,637491,13094,385847,8169,112844,4867,139074,5276,123926,4677,142335,6599,158258,5683,18873,null,null,5974,null,null,6440,null,null,3992,null,null,5995,null,null,6679,null,null,6558,null,null,1571,null,null,6954,null,null,13094,null,null,8169,null,null,4867,null,null,5276,null,null,4677,null,null,6599,null,null,5683,null,null,17
1124846,14973,44842,3825,61727,3833,33741,3332,43966,3565,57731,3472,81710,4016,4824,929,134891,5610,231785,7177,192505,6594,36725,3465,58673,3873,35454,2855,37407,3028,68865,4224,14973,null,null,3825,null,null,3833,null,null,3332,null,null,3565,null,null,3472,null,null,4016,null,null,929,null,null,5610,null,null,7177,null,null,6594,null,null,3465,null,null,3873,null,null,2855,null,null,3028,null,null,4224,null,null,18
593162,10655,20156,2251,49188,3144,13910,1680,23425,1973,31188,2107,33613,3128,2985,725,59116,3499,126643,5732,108785,5118,19967,2262,27511,2906,17925,1799,23249,2219,35501,2493,10655,null,null,2251,null,null,3144,null,null,1680,null,null,1973,null,null,2107,null,null,3128,null,null,725,null,null,3499,null,null,5732,null,null,5118,null,null,2262,null,null,2906,null,null,1799,null,null,2219,null,null,2493,null,null,19
621426,10463,21913,2177,46858,3109,15785,1831,23717,2258,32669,2239,39507,2608,2830,752,62926,3200,129203,5053,113403,4690,18956,2261,27836,2283,22244,2143,24457,2601,39122,3212,10463,null,null,2177,null,null,3109,null,null,1831,null,null,2258,null,null,2239,null,null,2608,null,null,752,null,null,3200,null,null,5053,null,null,4690,null,null,2261,null,null,2283,null,null,2143,null,null,2601,null,null,3212,null,null,20
702341,12345,23270,2259,44927,3230,20644,2431,29368,2617,39506,2654,37578,2846,4240,972,81884,4653,146772,5814,114145,5071,27691,2613,33298,2647,21063,2012,28599,2869,49356,3623,12345,null,null,2259,null,null,3230,null,null,2431,null,null,2617,null,null,2654,null,null,2846,null,null,972,null,null,4653,null,null,5814,null,null,5071,null,null,2613,null,null,2647,null,null,2012,null,null,2869,null,null,3623,null,null,21
727906,13783,23567,2336,48231,3968,23736,2635,29239,2725,36135,3048,39398,3164,3786,971,90705,4626,148633,6032,122526,6208,20715,2486,52422,4499,23005,2285,20904,2042,44904,4062,13783,null,null,2336,null,null,3968,null,null,2635,null,null,2725,null,null,3048,null,null,3164,null,null,971,null,null,4626,null,null,6032,null,null,6208,null,null,2486,null,null,4499,null,null,2285,null,null,2042,null,null,4062,null,null,22
291138,7923,8566,1251,20542,1884,6725,985,15619,1714,23939,2154,15543,1972,3150,944,31382,2523,41801,3307,45823,3130,19201,2060,18192,2294,14527,1949,9233,1671,16895,2091,7923,null,null,1251,null,null,1884,null,null,985,null,null,1714,null,null,2154,null,null,1972,null,null,944,null,null,2523,null,null,3307,null,null,3130,null,null,2060,null,null,2294,null,null,1949,null,null,1671,null,null,2091,null,null,23
1621129,15612,109093,5510,114518,5033,56751,3846,82511,4798,161426,5670,129023,5561,12540,1457,141516,5893,297642,8463,156015,5934,76066,3329,80242,3990,58511,4449,56402,3090,88873,4987,15612,null,null,5510,null,null,5033,null,null,3846,null,null,4798,null,null,5670,null,null,5561,null,null,1457,null,null,5893,null,null,8463,null,null,5934,null,null,3329,null,null,3990,null,null,4449,null,null,3090,null,null,4987,null,null,24
2020346,14327,101716,5006,130878,5171,74293,3637,122640,5456,196593,5789,180660,6700,11144,1749,168557,6497,364579,10502,178680,6500,129720,5548,106323,5057,89677,4727,65295,4026,99591,4666,14327,null,null,5006,null,null,5171,null,null,3637,null,null,5456,null,null,5789,null,null,6700,null,null,1749,null,null,6497,null,null,10502,null,null,6500,null,null,5548,null,null,5057,null,null,4727,null,null,4026,null,null,4666,null,null,25
1909830,18538,71636,4060,107679,4413,59085,3390,80126,4055,103453,4634,197555,5876,9600,1352,205751,5612,408130,9414,267743,5794,70768,3294,78731,3513,55566,3160,69378,4012,124629,4784,18538,null,null,4060,null,null,4413,null,null,3390,null,null,4055,null,null,4634,null,null,5876,null,null,1352,null,null,5612,null,null,9414,null,null,5794,null,null,3294,null,null,3513,null,null,3160,null,null,4012,null,null,4784,null,null,26
1296984,12959,54648,3577,88246,3827,35857,2900,60325,3608,102796,4401,85011,3809,7397,1212,128965,4148,254811,6790,176151,6365,53530,2901,53264,3316,55152,2875,56373,2981,84458,3846,12959,null,null,3577,null,null,3827,null,null,2900,null,null,3608,null,null,4401,null,null,3809,null,null,1212,null,null,4148,null,null,6790,null,null,6365,null,null,2901,null,null,3316,null,null,2875,null,null,2981,null,null,3846,null,null,27
426263,10988,14637,2314,29657,2648,12278,2258,17749,2104,15489,2217,19797,2494,2309,759,50784,3498,89841,4970,90874,5711,11977,1539,18939,2832,9764,1749,10969,1769,31199,2818,10988,null,null,2314,null,null,2648,null,null,2258,null,null,2104,null,null,2217,null,null,2494,null,null,759,null,null,3498,null,null,4970,null,null,5711,null,null,1539,null,null,2832,null,null,1749,null,null,1769,null,null,2818,null,null,28
1172650,14636,47669,3480,80566,4718,34537,2968,55431,3433,60966,3260,67474,4012,6350,1029,115480,5167,253666,5754,196509,6756,36577,2759,51725,3666,43044,3134,47917,3164,74739,4463,14636,null,null,3480,null,null,4718,null,null,2968,null,null,3433,null,null,3260,null,null,4012,null,null,1029,null,null,5167,null,null,5754,null,null,6756,null,null,2759,null,null,3666,null,null,3134,null,null,3164,null,null,4463,null,null,29
220606,5957,5539,1014,25943,2484,8560,1212,8405,1299,15906,1820,13663,1659,903,440,26978,2877,34074,3071,36967,2922,7943,1099,11595,1634,7129,1385,6616,1116,10385,1646,5957,null,null,1014,null,null,2484,null,null,1212,null,null,1299,null,null,1820,null,null,1659,null,null,440,null,null,2877,null,null,3071,null,null,2922,null,null,1099,null,null,1634,null,null,1385,null,null,1116,null,null,1646,null,null,30
