B12002I_001E,B12002I_001M,B12002I_002E,B12002I_002M,B12002I_003E,B12002I_003M,B12002I_004E,B12002I_004M,B12002I_005E,B12002I_005M,B12002I_006E,B12002I_006M,B12002I_007E,B12002I_007M,B12002I_008E,B12002I_008M,B12002I_009E,B12002I_009M,B12002I_010E,B12002I_010M,B12002I_011E,B12002I_011M,B12002I_012E,B12002I_012M,B12002I_013E,B12002I_013M,B12002I_001M,B12002I_001EA,B12002I_001MA,B12002I_002M,B12002I_002EA,B12002I_002MA,B12002I_003M,B12002I_003EA,B12002I_003MA,B12002I_004M,B12002I_004EA,B12002I_004MA,B12002I_005M,B12002I_005EA,B12002I_005MA,B12002I_006M,B12002I_006EA,B12002I_006MA,B12002I_007M,B12002I_007EA,B12002I_007MA,B12002I_008M,B12002I_008EA,B12002I_008MA,B12002I_009M,B12002I_009EA,B12002I_009MA,B12002I_010M,B12002I_010EA,B12002I_010MA,B12002I_011M,B12002I_011EA,B12002I_011MA,B12002I_012M,B12002I_012EA,B12002I_012MA,B12002I_013M,B12002I_013EA,B12002I_013MA,state
132274,2745,68507,2200,27294,2271,33736,2251,1416,712,611,474,5450,1186,63767,2319,23390,2511,31252,2431,1301,524,3394,1074,4430,1200,2745,null,null,2200,null,null,2271,null,null,2251,null,null,712,null,null,474,null,null,1186,null,null,2319,null,null,2511,null,null,2431,null,null,524,null,null,1074,null,null,1200,null,null,01
36373,955,19365,1282,10509,1496,7181,1252,152,130,312,308,1211,582,17008,1366,6481,1219,7269,1445,615,532,240,177,2403,1193,955,null,null,1282,null,null,1496,null,null,1252,null,null,130,null,null,308,null,null,582,null,null,1366,null,null,1219,null,null,1445,null,null,532,null,null,177,null,null,1193,null,null,02
1548420,682,773825,1017,362282,6367,316102,6674,15196,2094,12741,1935,67504,5043,774595,1014,315263,6292,307883,7212,23912,2487,37584,3638,89953,4565,682,null,null,1017,null,null,6367,null,null,6674,null,null,2094,null,null,1935,null,null,5043,null,null,1014,null,null,6292,null,null,7212,null,null,2487,null,null,3638,null,null,4565,null,null,04
143541,2157,74834,1777,32242,2453,34881,2468,1352,779,777,473,5582,1310,68707,2352,25365,2449,33517,2475,1452,670,2244,813,6129,1701,2157,null,null,1777,null,null,2453,null,null,2468,null,null,779,null,null,473,null,null,1310,null,null,2352,null,null,2449,null,null,2475,null,null,670,null,null,813,null,null,1701,null,null,05
11336639,981,5674611,1307,2692816,17529,2451083,18231,121706,5750,78308,5297,330698,11168,5662028,1274,2334878,15675,2370878,18480,194673,7563,291817,8797,469782,10587,981,null,null,1307,null,null,17529,null,null,18231,null,null,5750,null,null,5297,null,null,11168,null,null,1274,null,null,15675,null,null,18480,null,null,7563,null,null,8797,null,null,10587,null,null,06
853192,836,434230,1682,187761,5113,192112,5304,9088,1625,6722,1356,38547,3369,418962,1630,154074,4859,182294,5981,14987,2215,20700,2076,46907,3352,836,null,null,1682,null,null,5113,null,null,5304,null,null,1625,null,null,1356,null,null,3369,null,null,1630,null,null,4859,null,null,5981,null,null,2215,null,null,2076,null,null,3352,null,null,08
414953,772,205368,879,109338,3355,73863,3882,3778,1268,3273,988,15116,2084,209585,783,95803,3649,68635,3736,8201,1800,9024,1247,27922,3221,772,null,null,879,null,null,3355,null,null,3882,null,null,1268,null,null,988,null,null,2084,null,null,783,null,null,3649,null,null,3736,null,null,1800,null,null,1247,null,null,3221,null,null,09
59964,240,30971,439,14775,1135,14040,1387,549,398,158,194,1449,837,28993,494,11962,1416,13249,1484,325,276,1121,366,2336,898,240,null,null,439,null,null,1135,null,null,1387,null,null,398,null,null,194,null,null,837,null,null,494,null,null,1416,null,null,1484,null,null,276,null,null,366,null,null,898,null,null,10
56903,-555555555,29080,-555555555,16256,1518,9410,1687,645,417,229,228,2540,925,27823,-555555555,15714,1459,8455,1376,1032,527,723,467,1899,669,-555555555,null,*****,-555555555,null,*****,1518,null,null,1687,null,null,417,null,null,228,null,null,925,null,null,-555555555,null,*****,1459,null,null,1376,null,null,527,null,null,467,null,null,669,null,null,11
4074383,2647,1990859,3558,788282,10882,915618,12849,55782,4804,37536,3636,193641,7784,2083524,2944,668704,11084,870944,14076,86694,5801,155123,5257,302059,10456,2647,null,null,3558,null,null,10882,null,null,12849,null,null,4804,null,null,3636,null,null,7784,null,null,2944,null,null,11084,null,null,14076,null,null,5801,null,null,5257,null,null,10456,null,null,12
656574,3376,346018,3582,150243,6470,168292,5744,5439,1307,4394,1376,17650,2412,310556,3672,111139,4583,152197,5087,12606,2366,11461,1634,23153,2816,3376,null,null,3582,null,null,6470,null,null,5744,null,null,1307,null,null,1376,null,null,2412,null,null,3672,null,null,4583,null,null,5087,null,null,2366,null,null,1634,null,null,2816,null,null,13
