B01002H_001E,B01002H_001M,B01002H_002E,B01002H_002M,B01002H_003E,B01002H_003M,B01002H_001M,B01002H_001EA,B01002H_001MA,B01002H_002M,B01002H_002EA,B01002H_002MA,B01002H_003M,B01002H_003EA,B01002H_003MA,state
49.9,0.1,48.4,0.1,51.2,0.1,0.1,null,null,0.1,null,null,0.1,null,null,12
42.1,0.2,40.9,0.2,43.3,0.1,0.2,null,null,0.2,null,null,0.1,null,null,13
43.9,0.3,42.6,0.8,45.7,0.4,0.3,null,null,0.8,null,null,0.4,null,null,15
38.6,0.3,37.6,0.3,39.8,0.4,0.3,null,null,0.3,null,null,0.4,null,null,16
43.0,0.1,41.4,0.2,44.5,0.1,0.1,null,null,0.2,null,null,0.1,null,null,17
40.6,0.2,39.3,0.2,42.0,0.2,0.2,null,null,0.2,null,null,0.2,null,null,18
40.9,0.2,39.4,0.2,42.4,0.2,0.2,null,null,0.2,null,null,0.2,null,null,19
40.4,0.2,38.8,0.2,41.9,0.3,0.2,null,null,0.2,null,null,0.3,null,null,20
40.8,0.2,39.5,0.2,42.2,0.2,0.2,null,null,0.2,null,null,0.2,null,null,21
40.6,0.2,39.3,0.2,42.1,0.3,0.2,null,null,0.2,null,null,0.3,null,null,22
45.8,0.1,44.5,0.2,47.0,0.2,0.1,null,null,0.2,null,null,0.2,null,null,23
44.2,0.2,42.7,0.2,45.6,0.1,0.2,null,null,0.2,null,null,0.1,null,null,24
44.4,0.1,42.8,0.2,45.7,0.1,0.1,null,null,0.2,null,null,0.1,null,null,25
43.2,0.1,41.7,0.1,44.6,0.1,0.1,null,null,0.1,null,null,0.1,null,null,26
42.0,0.1,40.7,0.2,43.3,0.1,0.1,null,null,0.2,null,null,0.1,null,null,27
42.0,0.3,40.7,0.3,43.5,0.3,0.3,null,null,0.3,null,null,0.3,null,null,28
41.2,0.2,39.7,0.2,42.6,0.2,0.2,null,null,0.2,null,null,0.2,null,null,29
42.6,0.3,41.5,0.3,43.9,0.3,0.3,null,null,0.3,null,null,0.3,null,null,30
40.0,0.2,38.9,0.2,41.3,0.3,0.2,null,null,0.2,null,null,0.3,null,null,31
46.3,0.1,45.8,0.2,46.9,0.2,0.1,null,null,0.2,null,null,0.2,null,null,32
44.7,0.2,43.2,0.2,45.7,0.2,0.2,null,null,0.2,null,null,0.2,null,null,33
45.9,0.2,44.3,0.1,47.4,0.1,0.2,null,null,0.1,null,null,0.1,null,null,34
50.3,0.2,48.3,0.5,52.0,0.4,0.2,null,null,0.5,null,null,0.4,null,null,35
43.5,0.1,41.9,0.1,45.0,0.1,0.1,null,null,0.1,null,null,0.1,null,null,36
43.6,0.2,42.1,0.2,44.9,0.1,0.2,null,null,0.2,null,null,0.1,null,null,37
37.4,0.3,36.4,0.2,38.8,0.5,0.3,null,null,0.2,null,null,0.5,null,null,38
42.2,0.1,40.7,0.2,43.7,0.2,0.1,null,null,0.2,null,null,0.2,null,null,39
41.9,0.2,40.6,0.3,43.5,0.2,0.2,null,null,0.3,null,null,0.2,null,null,40
43.7,0.1,42.5,0.2,44.9,0.1,0.1,null,null,0.2,null,null,0.1,null,null,41
44.8,0.1,43.1,0.1,46.2,0.1,0.1,null,null,0.1,null,null,0.1,null,null,42
45.9,0.2,44.2,0.3,47.5,0.3,0.2,null,null,0.3,null,null,0.3,null,null,44
43.7,0.1,42.1,0.2,44.9,0.1,0.1,null,null,0.2,null,null,0.1,null,null,45
40.7,0.2,39.7,0.5,42.1,0.4,0.2,null,null,0.5,null,null,0.4,null,null,46
42.1,0.1,40.7,0.2,43.5,0.2,0.1,null,null,0.2,null,null,0.2,null,null,47
42.0,0.2,40.8,0.1,43.4,0.1,0.2,null,null,0.1,null,null,0.1,null,null,48
32.6,0.1,31.9,0.2,33.3,0.2,0.1,null,null,0.2,null,null,0.2,null,null,49
44.3,0.1,43.1,0.3,45.5,0.2,0.1,null,null,0.3,null,null,0.2,null,null,50
42.4,0.1,41.1,0.2,43.7,0.1,0.1,null,null,0.2,null,null,0.1,null,null,51
42.7,0.2,41.4,0.2,44.1,0.1,0.2,null,null,0.2,null,null,0.1,null,null,53
43.4,0.1,42.3,0.3,44.5,0.2,0.1,null,null,0.3,null,null,0.2,null,null,54
43.3,0.1,42.0,0.2,44.6,0.1,0.1,null,null,0.2,null,null,0.1,null,null,55
39.5,0.3,38.8,0.5,40.0,0.4,0.3,null,null,0.5,null,null,0.4,null,null,56
43.0,3.6,41.9,5.3,44.1,4.6,3.6,null,null,5.3,null,null,4.6,null,null,72
42.9,0.1,41.4,0.2,44.3,0.1,0.1,null,null,0.2,null,null,0.1,null,null,01
38.2,0.3,37.8,0.5,38.6,0.4,0.3,null,null,0.5,null,null,0.4,null,null,02
47.1,0.1,45.7,0.2,48.6,0.1,0.1,null,null,0.2,null,null,0.1,null,null,04
42.1,0.2,40.7,0.3,43.6,0.2,0.2,null,null,0.3,null,null,0.2,null,null,05
45.9,0.2,44.6,0.1,47.4,0.2,0.2,null,null,0.1,null,null,0.2,null,null,06
40.7,0.2,39.4,0.2,42.2,0.2,0.2,null,null,0.2,null,null,0.2,null,null,08
46.8,0.2,45.3,0.1,48.1,0.2,0.2,null,null,0.1,null,null,0.2,null,null,09
46.9,0.3,45.4,0.2,48.1,0.3,0.3,null,null,0.2,null,null,0.3,null,null,10
33.3,0.2,34.1,0.3,32.4,0.3,0.2,null,null,0.3,null,null,0.3,null,null,11
