C01001G_001E,C01001G_001M,C01001G_002E,C01001G_002M,C01001G_003E,C01001G_003M,C01001G_004E,C01001G_004M,C01001G_005E,C01001G_005M,C01001G_006E,C01001G_006M,C01001G_007E,C01001G_007M,C01001G_008E,C01001G_008M,C01001G_009E,C01001G_009M,C01001G_001M,C01001G_001EA,C01001G_001MA,C01001G_002M,C01001G_002EA,C01001G_002MA,C01001G_003M,C01001G_003EA,C01001G_003MA,C01001G_004M,C01001G_004EA,C01001G_004MA,C01001G_005M,C01001G_005EA,C01001G_005MA,C01001G_006M,C01001G_006EA,C01001G_006MA,C01001G_007M,C01001G_007EA,C01001G_007MA,C01001G_008M,C01001G_008EA,C01001G_008MA,C01001G_009M,C01001G_009EA,C01001G_009MA,state
532751,22197,277038,12150,129981,8711,132937,7249,14120,1508,255713,13095,111647,8356,125819,7735,18247,2692,22197,null,null,12150,null,null,8711,null,null,7249,null,null,1508,null,null,13095,null,null,8356,null,null,7735,null,null,2692,null,null,12
258456,13861,126934,8027,67130,5933,55075,4501,4729,1174,131522,8391,63537,5252,60717,4691,7268,1609,13861,null,null,8027,null,null,5933,null,null,4501,null,null,1174,null,null,8391,null,null,5252,null,null,4691,null,null,1609,null,null,13
341679,13209,175157,8681,64735,4182,98957,5748,11465,1500,166522,6123,60480,3407,92884,4248,13158,1423,13209,null,null,8681,null,null,4182,null,null,5748,null,null,1500,null,null,6123,null,null,3407,null,null,4248,null,null,1423,null,null,15
42070,3150,20385,2240,9067,1642,9869,1600,1449,745,21685,2209,9473,1763,10560,1547,1652,568,3150,null,null,2240,null,null,1642,null,null,1600,null,null,745,null,null,2209,null,null,1763,null,null,1547,null,null,568,null,null,16
321411,13961,158970,8144,79472,5325,73199,4944,6299,1124,162441,7634,77775,5541,75977,4553,8689,1484,13961,null,null,8144,null,null,5325,null,null,4944,null,null,1124,null,null,7634,null,null,5541,null,null,4553,null,null,1484,null,null,17
158643,8640,75269,4356,43342,3311,29481,3111,2446,759,83374,6283,43021,4367,36144,3581,4209,872,8640,null,null,4356,null,null,3311,null,null,3111,null,null,759,null,null,6283,null,null,4367,null,null,3581,null,null,872,null,null,18
57293,3933,26803,2756,16106,1994,9319,1531,1378,622,30490,2756,16065,1800,13534,2015,891,427,3933,null,null,2756,null,null,1994,null,null,1531,null,null,622,null,null,2756,null,null,1800,null,null,2015,null,null,427,null,null,19
103366,5640,51238,3456,27637,2665,21661,2645,1940,667,52128,3710,26093,2786,23635,2469,2400,606,5640,null,null,3456,null,null,2665,null,null,2645,null,null,667,null,null,3710,null,null,2786,null,null,2469,null,null,606,null,null,20
92135,6909,45689,4669,25974,3261,18200,2585,1515,534,46446,3905,24722,2358,19473,2522,2251,641,6909,null,null,4669,null,null,3261,null,null,2585,null,null,534,null,null,3905,null,null,2358,null,null,2522,null,null,641,null,null,21
92749,8594,45698,4178,24249,3312,18607,2866,2842,801,47051,5701,21481,3416,23208,3462,2362,770,8594,null,null,4178,null,null,3312,null,null,2866,null,null,801,null,null,5701,null,null,3416,null,null,3462,null,null,770,null,null,22
