B15002D_001E,B15002D_001M,B15002D_002E,B15002D_002M,B15002D_003E,B15002D_003M,B15002D_004E,B15002D_004M,B15002D_005E,B15002D_005M,B15002D_006E,B15002D_006M,B15002D_007E,B15002D_007M,B15002D_008E,B15002D_008M,B15002D_009E,B15002D_009M,B15002D_010E,B15002D_010M,B15002D_011E,B15002D_011M,B15002D_012E,B15002D_012M,B15002D_013E,B15002D_013M,B15002D_014E,B15002D_014M,B15002D_015E,B15002D_015M,B15002D_016E,B15002D_016M,B15002D_017E,B15002D_017M,B15002D_018E,B15002D_018M,B15002D_019E,B15002D_019M,B15002D_001M,B15002D_001EA,B15002D_001MA,B15002D_002M,B15002D_002EA,B15002D_002MA,B15002D_003M,B15002D_003EA,B15002D_003MA,B15002D_004M,B15002D_004EA,B15002D_004MA,B15002D_005M,B15002D_005EA,B15002D_005MA,B15002D_006M,B15002D_006EA,B15002D_006MA,B15002D_007M,B15002D_007EA,B15002D_007MA,B15002D_008M,B15002D_008EA,B15002D_008MA,B15002D_009M,B15002D_009EA,B15002D_009MA,B15002D_010M,B15002D_010EA,B15002D_010MA,B15002D_011M,B15002D_011EA,B15002D_011MA,B15002D_012M,B15002D_012EA,B15002D_012MA,B15002D_013M,B15002D_013EA,B15002D_013MA,B15002D_014M,B15002D_014EA,B15002D_014MA,B15002D_015M,B15002D_015EA,B15002D_015MA,B15002D_016M,B15002D_016EA,B15002D_016MA,B15002D_017M,B15002D_017EA,B15002D_017MA,B15002D_018M,B15002D_018EA,B15002D_018MA,B15002D_019M,B15002D_019EA,B15002D_019MA,state
402415,5676,172577,3505,11761,2076,9454,1649,22454,2307,3027,983,21047,2361,14096,2084,47341,3173,43397,3187,229838,3631,19345,2479,14822,1986,38690,3520,3428,867,26582,2988,16124,2201,66213,4434,44634,3271,5676,null,null,3505,null,null,2076,null,null,1649,null,null,2307,null,null,983,null,null,2361,null,null,2084,null,null,3173,null,null,3187,null,null,3631,null,null,2479,null,null,1986,null,null,3520,null,null,867,null,null,2988,null,null,2201,null,null,4434,null,null,3271,null,null,12
271011,4511,126191,2685,8383,1500,6812,1349,14560,2188,1772,595,10526,1502,5760,1225,40321,3315,38057,2889,144820,3055,11049,1549,9546,1603,20300,2345,1848,796,16115,2438,7923,1464,46358,3075,31681,2943,4511,null,null,2685,null,null,1500,null,null,1349,null,null,2188,null,null,595,null,null,1502,null,null,1225,null,null,3315,null,null,2889,null,null,3055,null,null,1549,null,null,1603,null,null,2345,null,null,796,null,null,2438,null,null,1464,null,null,3075,null,null,2943,null,null,13
426716,6350,191756,4031,9149,1638,9831,1883,52403,3747,2978,901,35355,2702,19399,1475,45312,3068,17329,1829,234960,3414,17517,2168,9615,1521,57304,3363,2670,765,39914,2840,24614,2392,60453,2608,22873,2152,6350,null,null,4031,null,null,1638,null,null,1883,null,null,3747,null,null,901,null,null,2702,null,null,1475,null,null,3068,null,null,1829,null,null,3414,null,null,2168,null,null,1521,null,null,3363,null,null,765,null,null,2840,null,null,2392,null,null,2608,null,null,2152,null,null,15
15651,1558,6654,1066,352,254,187,290,1138,605,114,177,1252,519,710,640,846,471,2055,727,8997,1124,720,367,427,387,1224,547,413,435,1539,838,955,480,2085,762,1634,748,1558,null,null,1066,null,null,254,null,null,290,null,null,605,null,null,177,null,null,519,null,null,640,null,null,471,null,null,727,null,null,1124,null,null,367,null,null,387,null,null,547,null,null,435,null,null,838,null,null,480,null,null,762,null,null,748,null,null,16
478425,4144,224788,2443,9332,1487,7048,1433,19036,2478,2226,701,23333,2467,11313,1835,81549,4102,70951,3804,253637,2815,18883,2004,9004,1439,24745,2391,3188,913,23363,2569,15486,1911,94978,3736,63990,3332,4144,null,null,2443,null,null,1487,null,null,1433,null,null,2478,null,null,701,null,null,2467,null,null,1835,null,null,4102,null,null,3804,null,null,2815,null,null,2004,null,null,1439,null,null,2391,null,null,913,null,null,2569,null,null,1911,null,null,3736,null,null,3332,null,null,17
83957,2867,39389,1786,3572,1033,2377,915,4598,1197,675,400,3228,844,1474,630,10381,1387,13084,1779,44568,1859,6294,1308,2424,1007,6976,1336,1470,845,4088,929,1854,842,11667,1714,9795,1664,2867,null,null,1786,null,null,1033,null,null,915,null,null,1197,null,null,400,null,null,844,null,null,630,null,null,1387,null,null,1779,null,null,1859,null,null,1308,null,null,1007,null,null,1336,null,null,845,null,null,929,null,null,842,null,null,1714,null,null,1664,null,null,18
44570,2026,22584,1424,2544,825,655,414,3527,1070,382,297,1667,749,1200,601,4526,958,8083,1451,21986,1361,3327,910,1149,428,2666,736,667,534,1972,712,1357,499,5600,1106,5248,1123,2026,null,null,1424,null,null,825,null,null,414,null,null,1070,null,null,297,null,null,749,null,null,601,null,null,958,null,null,1451,null,null,1361,null,null,910,null,null,428,null,null,736,null,null,534,null,null,712,null,null,499,null,null,1106,null,null,1123,null,null,19
50988,2722,23648,1688,1706,781,1397,518,2462,782,369,253,3485,1012,706,373,6353,1438,7170,1319,27340,1579,2422,612,2386,740,4808,1697,830,476,3225,890,1291,587,6168,1108,6210,1081,2722,null,null,1688,null,null,781,null,null,518,null,null,782,null,null,253,null,null,1012,null,null,373,null,null,1438,null,null,1319,null,null,1579,null,null,612,null,null,740,null,null,1697,null,null,476,null,null,890,null,null,587,null,null,1108,null,null,1081,null,null,20
39780,2112,16848,1187,1347,617,971,530,2714,659,69,106,2081,760,162,194,4000,752,5504,957,22932,1628,2313,760,987,423,4301,957,262,228,2548,871,1461,601,5809,1136,5251,1003,2112,null,null,1187,null,null,617,null,null,530,null,null,659,null,null,106,null,null,760,null,null,194,null,null,752,null,null,957,null,null,1628,null,null,760,null,null,423,null,null,957,null,null,228,null,null,871,null,null,601,null,null,1136,null,null,1003,null,null,21
53602,2339,26158,1614,2405,601,2286,754,4038,1125,989,666,3237,911,823,509,5071,1248,7309,1319,27444,1912,2829,761,2831,828,5841,1412,434,290,3612,1043,1152,598,5675,1167,5070,1016,2339,null,null,1614,null,null,601,null,null,754,null,null,1125,null,null,666,null,null,911,null,null,509,null,null,1248,null,null,1319,null,null,1912,null,null,761,null,null,828,null,null,1412,null,null,290,null,null,1043,null,null,598,null,null,1167,null,null,1016,null,null,22
