C15002C_001E,C15002C_001M,C15002C_002E,C15002C_002M,C15002C_003E,C15002C_003M,C15002C_004E,C15002C_004M,C15002C_005E,C15002C_005M,C15002C_006E,C15002C_006M,C15002C_007E,C15002C_007M,C15002C_008E,C15002C_008M,C15002C_009E,C15002C_009M,C15002C_010E,C15002C_010M,C15002C_011E,C15002C_011M,C15002C_001M,C15002C_001EA,C15002C_001MA,C15002C_002M,C15002C_002EA,C15002C_002MA,C15002C_003M,C15002C_003EA,C15002C_003MA,C15002C_004M,C15002C_004EA,C15002C_004MA,C15002C_005M,C15002C_005EA,C15002C_005MA,C15002C_006M,C15002C_006EA,C15002C_006MA,C15002C_007M,C15002C_007EA,C15002C_007MA,C15002C_008M,C15002C_008EA,C15002C_008MA,C15002C_009M,C15002C_009EA,C15002C_009MA,C15002C_010M,C15002C_010EA,C15002C_010MA,C15002C_011M,C15002C_011EA,C15002C_011MA,state
37597,4119,19708,2520,5197,1534,5325,1130,6095,1329,3091,797,17889,2513,3523,1193,4553,1109,6339,1309,3474,1010,4119,null,null,2520,null,null,1534,null,null,1130,null,null,1329,null,null,797,null,null,2513,null,null,1193,null,null,1109,null,null,1309,null,null,1010,null,null,12
23396,3404,11107,2493,4334,1488,3021,1105,2089,813,1663,1062,12289,2062,3478,998,3477,1297,3612,986,1722,570,3404,null,null,2493,null,null,1488,null,null,1105,null,null,813,null,null,1062,null,null,2062,null,null,998,null,null,1297,null,null,986,null,null,570,null,null,13
1881,621,1018,494,77,131,267,238,386,313,288,216,863,397,15,23,105,108,436,338,307,193,621,null,null,494,null,null,131,null,null,238,null,null,313,null,null,216,null,null,397,null,null,23,null,null,108,null,null,338,null,null,193,null,null,15
15720,1949,8082,1322,1546,721,3012,803,2375,784,1149,542,7638,1222,874,439,2491,707,2996,824,1277,532,1949,null,null,1322,null,null,721,null,null,803,null,null,784,null,null,542,null,null,1222,null,null,439,null,null,707,null,null,824,null,null,532,null,null,16
21134,2676,11759,1982,3107,1018,3072,1049,3022,796,2558,1016,9375,1338,1839,608,2035,623,3953,803,1548,531,2676,null,null,1982,null,null,1018,null,null,1049,null,null,796,null,null,1016,null,null,1338,null,null,608,null,null,623,null,null,803,null,null,531,null,null,17
13260,1739,7007,1479,1660,935,2295,854,1802,575,1250,385,6253,1229,660,322,2260,771,2212,686,1121,597,1739,null,null,1479,null,null,935,null,null,854,null,null,575,null,null,385,null,null,1229,null,null,322,null,null,771,null,null,686,null,null,597,null,null,18
6651,1152,3362,926,567,301,1118,573,970,369,707,397,3289,870,567,316,982,527,768,354,972,522,1152,null,null,926,null,null,301,null,null,573,null,null,369,null,null,397,null,null,870,null,null,316,null,null,527,null,null,354,null,null,522,null,null,19
13981,1783,7474,1178,1200,420,2256,626,2843,731,1175,497,6507,1009,1047,515,1630,510,2497,542,1333,427,1783,null,null,1178,null,null,420,null,null,626,null,null,731,null,null,497,null,null,1009,null,null,515,null,null,510,null,null,542,null,null,427,null,null,20
8520,1884,3926,1016,801,524,881,581,1665,653,579,352,4594,1405,647,342,1928,753,1626,990,393,289,1884,null,null,1016,null,null,524,null,null,581,null,null,653,null,null,352,null,null,1405,null,null,342,null,null,753,null,null,990,null,null,289,null,null,21
16132,1487,7609,982,2558,839,2813,780,1501,621,737,283,8523,1207,2112,596,3253,955,2468,729,690,324,1487,null,null,982,null,null,839,null,null,780,null,null,621,null,null,283,null,null,1207,null,null,596,null,null,955,null,null,729,null,null,324,null,null,22
