C27001F_001E,C27001F_001M,C27001F_002E,C27001F_002M,C27001F_003E,C27001F_003M,C27001F_004E,C27001F_004M,C27001F_005E,C27001F_005M,C27001F_006E,C27001F_006M,C27001F_007E,C27001F_007M,C27001F_008E,C27001F_008M,C27001F_009E,C27001F_009M,C27001F_010E,C27001F_010M,C27001F_001M,C27001F_001EA,C27001F_001MA,C27001F_002M,C27001F_002EA,C27001F_002MA,C27001F_003M,C27001F_003EA,C27001F_003MA,C27001F_004M,C27001F_004EA,C27001F_004MA,C27001F_005M,C27001F_005EA,C27001F_005MA,C27001F_006M,C27001F_006EA,C27001F_006MA,C27001F_007M,C27001F_007EA,C27001F_007MA,C27001F_008M,C27001F_008EA,C27001F_008MA,C27001F_009M,C27001F_009EA,C27001F_009MA,C27001F_010M,C27001F_010EA,C27001F_010MA,state
566051,25457,144661,10250,130026,9929,14635,3609,380365,17259,259595,13305,120770,11137,41025,4411,38521,4461,2504,1308,25457,null,null,10250,null,null,9929,null,null,3609,null,null,17259,null,null,13305,null,null,11137,null,null,4411,null,null,4461,null,null,1308,null,null,12
294248,22186,107919,10828,92054,9696,15865,5376,180167,12976,88209,8918,91958,9402,6162,1776,5172,1726,990,622,22186,null,null,10828,null,null,9696,null,null,5376,null,null,12976,null,null,8918,null,null,9402,null,null,1776,null,null,1726,null,null,622,null,null,13
10979,2462,2707,1320,2609,1301,98,162,7680,1609,6583,1292,1097,712,592,347,592,347,0,185,2462,null,null,1320,null,null,1301,null,null,162,null,null,1609,null,null,1292,null,null,712,null,null,347,null,null,347,null,null,185,null,null,15
66066,7295,24889,3952,23481,3750,1408,800,39287,4013,26933,2996,12354,2781,1890,665,1712,649,178,216,7295,null,null,3952,null,null,3750,null,null,800,null,null,4013,null,null,2996,null,null,2781,null,null,665,null,null,649,null,null,216,null,null,16
820533,24819,263149,12324,255614,12275,7535,1926,517328,15102,366679,12711,150649,9036,40056,3176,36331,2917,3725,1350,24819,null,null,12324,null,null,12275,null,null,1926,null,null,15102,null,null,12711,null,null,9036,null,null,3176,null,null,2917,null,null,1350,null,null,17
155926,11053,57032,5118,52728,4937,4304,1135,91393,7056,60854,5011,30539,4382,7501,1162,6885,1154,616,513,11053,null,null,5118,null,null,4937,null,null,1135,null,null,7056,null,null,5011,null,null,4382,null,null,1162,null,null,1154,null,null,513,null,null,18
41848,4616,13702,2186,11671,2188,2031,1091,27196,3018,18725,2728,8471,1943,950,450,950,450,0,159,4616,null,null,2186,null,null,2188,null,null,1091,null,null,3018,null,null,2728,null,null,1943,null,null,450,null,null,450,null,null,159,null,null,19
73612,7766,25079,3936,23504,3729,1575,750,45404,4609,29037,3205,16367,3005,3129,932,2758,850,371,316,7766,null,null,3936,null,null,3729,null,null,750,null,null,4609,null,null,3205,null,null,3005,null,null,932,null,null,850,null,null,316,null,null,20
36479,5215,13281,2677,11843,2451,1438,856,22218,3288,12989,2626,9229,2153,980,606,549,384,431,487,5215,null,null,2677,null,null,2451,null,null,856,null,null,3288,null,null,2626,null,null,2153,null,null,606,null,null,384,null,null,487,null,null,21
65205,6381,21128,3137,17538,3219,3590,1471,42189,4176,18126,2850,24063,3599,1888,664,1698,645,190,221,6381,null,null,3137,null,null,3219,null,null,1471,null,null,4176,null,null,2850,null,null,3599,null,null,664,null,null,645,null,null,221,null,null,22
2446,826,627,334,413,265,214,222,1551,639,1278,584,273,215,268,185,230,173,38,66,826,null,null,334,null,null,265,null,null,222,null,null,639,null,null,584,null,null,215,null,null,185,null,null,173,null,null,66,null,null,23
