C15010C_001E,C15010C_001M,C15010C_002E,C15010C_002M,C15010C_003E,C15010C_003M,C15010C_004E,C15010C_004M,C15010C_005E,C15010C_005M,C15010C_006E,C15010C_006M,C15010C_001M,C15010C_001EA,C15010C_001MA,C15010C_002M,C15010C_002EA,C15010C_002MA,C15010C_003M,C15010C_003EA,C15010C_003MA,C15010C_004M,C15010C_004EA,C15010C_004MA,C15010C_005M,C15010C_005EA,C15010C_005MA,C15010C_006M,C15010C_006EA,C15010C_006MA,state
6565,1419,1848,605,492,369,1501,506,1168,813,1556,609,1419,null,null,605,null,null,369,null,null,506,null,null,813,null,null,609,null,null,12
3385,1190,1478,936,454,291,638,379,45,70,770,374,1190,null,null,936,null,null,291,null,null,379,null,null,70,null,null,374,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
2426,740,904,461,248,240,266,269,160,167,848,438,740,null,null,461,null,null,240,null,null,269,null,null,167,null,null,438,null,null,16
4106,1099,1582,864,273,224,1064,489,296,277,891,569,1099,null,null,864,null,null,224,null,null,489,null,null,277,null,null,569,null,null,17
2371,747,869,470,327,194,466,331,124,217,585,436,747,null,null,470,null,null,194,null,null,331,null,null,217,null,null,436,null,null,18
1679,679,394,298,115,206,233,287,507,469,430,251,679,null,null,298,null,null,206,null,null,287,null,null,469,null,null,251,null,null,19
2508,672,577,403,209,174,968,370,115,99,639,329,672,null,null,403,null,null,174,null,null,370,null,null,99,null,null,329,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
1427,470,342,219,246,190,131,119,348,241,360,298,470,null,null,219,null,null,190,null,null,119,null,null,241,null,null,298,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
2753,737,1026,483,230,157,389,233,364,281,744,364,737,null,null,483,null,null,157,null,null,233,null,null,281,null,null,364,null,null,24
1957,787,731,470,0,203,456,317,224,224,546,399,787,null,null,470,null,null,203,null,null,317,null,null,224,null,null,399,null,null,25
3857,727,1307,484,525,375,683,258,265,159,1077,457,727,null,null,484,null,null,375,null,null,258,null,null,159,null,null,457,null,null,26
4925,866,1889,475,304,200,611,261,534,206,1587,584,866,null,null,475,null,null,200,null,null,261,null,null,206,null,null,584,null,null,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
3418,901,981,430,600,404,520,369,505,369,812,454,901,null,null,430,null,null,404,null,null,369,null,null,369,null,null,454,null,null,29
5201,1071,1400,491,996,592,550,305,1523,491,732,387,1071,null,null,491,null,null,592,null,null,305,null,null,491,null,null,387,null,null,30
1265,567,324,179,91,76,131,110,232,193,487,440,567,null,null,179,null,null,76,null,null,110,null,null,193,null,null,440,null,null,31
2173,618,612,331,154,163,171,142,199,164,1037,439,618,null,null,331,null,null,163,null,null,142,null,null,164,null,null,439,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
2556,914,913,616,100,125,485,313,200,195,858,489,914,null,null,616,null,null,125,null,null,313,null,null,195,null,null,489,null,null,34
13199,1971,4928,1058,1881,821,1837,583,1960,561,2593,776,1971,null,null,1058,null,null,821,null,null,583,null,null,561,null,null,776,null,null,35
7670,1331,2227,694,499,272,555,335,1264,501,3125,819,1331,null,null,694,null,null,272,null,null,335,null,null,501,null,null,819,null,null,36
10817,1637,3005,853,1395,623,1593,623,2169,608,2655,808,1637,null,null,853,null,null,623,null,null,623,null,null,608,null,null,808,null,null,37
3804,877,728,483,469,264,436,241,1084,436,1087,540,877,null,null,483,null,null,264,null,null,241,null,null,436,null,null,540,null,null,38
2821,821,750,354,271,210,442,264,457,306,901,598,821,null,null,354,null,null,210,null,null,264,null,null,306,null,null,598,null,null,39
29807,1945,7857,1154,2833,533,6204,934,6149,725,6764,1008,1945,null,null,1154,null,null,533,null,null,934,null,null,725,null,null,1008,null,null,40
4340,1248,2037,936,169,154,885,427,491,330,758,410,1248,null,null,936,null,null,154,null,null,427,null,null,330,null,null,410,null,null,41
2075,727,406,235,57,83,543,308,564,417,505,301,727,null,null,235,null,null,83,null,null,308,null,null,417,null,null,301,null,null,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
1434,569,360,254,236,224,258,198,241,213,339,264,569,null,null,254,null,null,224,null,null,198,null,null,213,null,null,264,null,null,45
4158,897,790,311,673,358,693,347,947,419,1055,537,897,null,null,311,null,null,358,null,null,347,null,null,419,null,null,537,null,null,46
1963,684,771,451,40,72,375,347,368,277,409,272,684,null,null,451,null,null,72,null,null,347,null,null,277,null,null,272,null,null,47
15160,2004,5872,1305,904,462,3501,1028,1155,393,3728,867,2004,null,null,1305,null,null,462,null,null,1028,null,null,393,null,null,867,null,null,48
1887,705,553,306,648,455,172,159,259,158,255,203,705,null,null,306,null,null,455,null,null,159,null,null,158,null,null,203,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
4363,1151,1115,575,416,338,639,407,270,240,1923,858,1151,null,null,575,null,null,338,null,null,407,null,null,240,null,null,858,null,null,51
7783,1171,2393,758,693,552,1632,565,774,340,2291,600,1171,null,null,758,null,null,552,null,null,565,null,null,340,null,null,600,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
5325,1051,2431,822,358,295,624,221,563,211,1349,501,1051,null,null,822,null,null,295,null,null,221,null,null,211,null,null,501,null,null,55
