B01002I_001E,B01002I_001M,B01002I_002E,B01002I_002M,B01002I_003E,B01002I_003M,B01002I_001M,B01002I_001EA,B01002I_001MA,B01002I_002M,B01002I_002EA,B01002I_002MA,B01002I_003M,B01002I_003EA,B01002I_003MA,state
35.4,0.1,34.1,0.2,36.8,0.2,0.1,null,null,0.2,null,null,0.2,null,null,12
26.1,0.3,26.0,0.5,26.2,0.6,0.3,null,null,0.5,null,null,0.6,null,null,13
24.8,0.3,24.7,0.4,25.1,0.6,0.3,null,null,0.4,null,null,0.6,null,null,15
23.2,0.8,22.7,0.6,23.9,1.3,0.8,null,null,0.6,null,null,1.3,null,null,16
28.4,0.2,28.4,0.2,28.3,0.2,0.2,null,null,0.2,null,null,0.2,null,null,17
25.0,0.3,25.6,0.7,24.5,0.6,0.3,null,null,0.7,null,null,0.6,null,null,18
23.5,0.7,23.5,1.0,23.5,1.5,0.7,null,null,1.0,null,null,1.5,null,null,19
24.0,0.4,24.0,0.6,24.0,1.0,0.4,null,null,0.6,null,null,1.0,null,null,20
23.5,1.4,25.8,2.3,21.0,1.3,1.4,null,null,2.3,null,null,1.3,null,null,21
29.4,0.8,29.1,1.6,29.5,0.8,0.8,null,null,1.6,null,null,0.8,null,null,22
26.9,3.0,24.9,3.6,30.0,2.4,3.0,null,null,3.6,null,null,2.4,null,null,23
28.9,0.3,28.8,0.4,29.1,0.3,0.3,null,null,0.4,null,null,0.3,null,null,24
27.9,0.2,26.8,0.2,29.0,0.2,0.2,null,null,0.2,null,null,0.2,null,null,25
25.3,0.3,25.3,0.4,25.2,0.5,0.3,null,null,0.4,null,null,0.5,null,null,26
24.4,0.5,24.7,0.7,23.9,0.7,0.5,null,null,0.7,null,null,0.7,null,null,27
23.6,2.4,24.4,3.4,22.9,2.4,2.4,null,null,3.4,null,null,2.4,null,null,28
25.2,0.6,24.4,1.2,25.7,0.8,0.6,null,null,1.2,null,null,0.8,null,null,29
24.6,1.5,22.5,2.1,27.4,3.6,1.5,null,null,2.1,null,null,3.6,null,null,30
23.9,0.5,24.9,0.9,23.2,0.8,0.5,null,null,0.9,null,null,0.8,null,null,31
27.9,0.3,28.0,0.4,27.7,0.4,0.3,null,null,0.4,null,null,0.4,null,null,32
27.2,0.9,24.7,1.4,30.3,2.5,0.9,null,null,1.4,null,null,2.5,null,null,33
31.4,0.2,30.7,0.2,32.4,0.2,0.2,null,null,0.2,null,null,0.2,null,null,34
31.6,0.2,30.6,0.3,32.7,0.4,0.2,null,null,0.3,null,null,0.4,null,null,35
31.7,0.1,30.6,0.1,32.9,0.2,0.1,null,null,0.1,null,null,0.2,null,null,36
24.6,0.4,24.8,0.5,24.5,0.6,0.4,null,null,0.5,null,null,0.6,null,null,37
23.3,2.0,24.3,3.0,21.3,4.0,2.0,null,null,3.0,null,null,4.0,null,null,38
25.7,0.4,25.7,0.8,25.7,0.5,0.4,null,null,0.8,null,null,0.5,null,null,39
23.5,0.3,23.4,0.4,23.5,0.5,0.3,null,null,0.4,null,null,0.5,null,null,40
25.4,0.3,26.0,0.4,24.7,0.4,0.3,null,null,0.4,null,null,0.4,null,null,41
26.5,0.3,26.2,0.4,26.8,0.3,0.3,null,null,0.4,null,null,0.3,null,null,42
27.4,0.6,26.2,0.7,28.7,0.7,0.6,null,null,0.7,null,null,0.7,null,null,44
25.9,0.6,26.2,1.1,25.5,0.9,0.6,null,null,1.1,null,null,0.9,null,null,45
22.4,2.3,24.0,1.8,19.6,2.9,2.3,null,null,1.8,null,null,2.9,null,null,46
24.2,0.4,23.7,0.8,24.6,0.6,0.4,null,null,0.8,null,null,0.6,null,null,47
28.4,0.1,27.8,0.1,29.0,0.1,0.1,null,null,0.1,null,null,0.1,null,null,48
24.4,0.3,24.3,0.6,24.5,0.6,0.3,null,null,0.6,null,null,0.6,null,null,49
25.0,2.7,22.9,4.6,25.3,2.3,2.7,null,null,4.6,null,null,2.3,null,null,50
28.7,0.3,28.3,0.5,29.1,0.5,0.3,null,null,0.5,null,null,0.5,null,null,51
24.8,0.2,25.0,0.2,24.5,0.3,0.2,null,null,0.2,null,null,0.3,null,null,53
26.0,2.5,24.3,4.4,27.2,4.1,2.5,null,null,4.4,null,null,4.1,null,null,54
24.7,0.4,24.8,0.5,24.7,0.5,0.4,null,null,0.5,null,null,0.5,null,null,55
27.7,1.8,28.5,2.6,26.4,3.7,1.8,null,null,2.6,null,null,3.7,null,null,56
40.7,0.2,38.8,0.3,42.5,0.2,0.2,null,null,0.3,null,null,0.2,null,null,72
24.5,0.8,25.9,0.9,22.9,1.3,0.8,null,null,0.9,null,null,1.3,null,null,01
25.3,0.7,24.4,1.4,26.0,2.5,0.7,null,null,1.4,null,null,2.5,null,null,02
27.1,0.2,26.7,0.2,27.7,0.2,0.2,null,null,0.2,null,null,0.2,null,null,04
23.0,0.9,23.1,1.9,22.9,1.0,0.9,null,null,1.9,null,null,1.0,null,null,05
29.0,0.1,28.5,0.1,29.7,0.1,0.1,null,null,0.1,null,null,0.1,null,null,06
28.0,0.2,27.5,0.3,28.4,0.2,0.2,null,null,0.3,null,null,0.2,null,null,08
28.8,0.3,27.8,0.4,29.8,0.3,0.3,null,null,0.4,null,null,0.3,null,null,09
26.6,0.7,26.8,1.4,26.1,1.2,0.7,null,null,1.4,null,null,1.2,null,null,10
30.7,0.3,31.0,0.5,30.4,0.2,0.3,null,null,0.5,null,null,0.2,null,null,11
