B16005D_001E,B16005D_001M,B16005D_002E,B16005D_002M,B16005D_003E,B16005D_003M,B16005D_004E,B16005D_004M,B16005D_005E,B16005D_005M,B16005D_006E,B16005D_006M,B16005D_007E,B16005D_007M,B16005D_008E,B16005D_008M,B16005D_009E,B16005D_009M,B16005D_010E,B16005D_010M,B16005D_011E,B16005D_011M,B16005D_001M,B16005D_001EA,B16005D_001MA,B16005D_002M,B16005D_002EA,B16005D_002MA,B16005D_003M,B16005D_003EA,B16005D_003MA,B16005D_004M,B16005D_004EA,B16005D_004MA,B16005D_005M,B16005D_005EA,B16005D_005MA,B16005D_006M,B16005D_006EA,B16005D_006MA,B16005D_007M,B16005D_007EA,B16005D_007MA,B16005D_008M,B16005D_008EA,B16005D_008MA,B16005D_009M,B16005D_009EA,B16005D_009MA,B16005D_010M,B16005D_010EA,B16005D_010MA,B16005D_011M,B16005D_011EA,B16005D_011MA,state
234298,4644,75321,4800,53400,4123,21921,2751,18358,2453,3563,1141,158977,6096,23238,2833,135739,6087,79921,6068,55818,4621,4644,null,null,4800,null,null,4123,null,null,2751,null,null,2453,null,null,1141,null,null,6096,null,null,2833,null,null,6087,null,null,6068,null,null,4621,null,null,32
30993,2179,6971,1306,3713,1005,3258,943,2997,898,261,257,24022,2002,4395,1063,19627,2226,9243,1546,10384,1845,2179,null,null,1306,null,null,1005,null,null,943,null,null,898,null,null,257,null,null,2002,null,null,1063,null,null,2226,null,null,1546,null,null,1845,null,null,33
806485,5618,211697,7317,105102,6325,106595,6113,94176,5851,12419,1933,594788,7173,66199,5611,528589,7952,310946,9673,217643,8460,5618,null,null,7317,null,null,6325,null,null,6113,null,null,5851,null,null,1933,null,null,7173,null,null,5611,null,null,7952,null,null,9673,null,null,8460,null,null,34
30997,2182,10500,1716,6454,1652,4046,1177,3644,1073,402,305,20497,1754,3494,783,17003,1774,10661,1568,6342,1307,2182,null,null,1716,null,null,1652,null,null,1177,null,null,1073,null,null,305,null,null,1754,null,null,783,null,null,1774,null,null,1568,null,null,1307,null,null,35
1576843,10546,410345,8985,165880,7100,244465,8869,189831,8385,54634,5015,1166498,11315,150496,7846,1016002,13922,372825,9902,643177,12079,10546,null,null,8985,null,null,7100,null,null,8869,null,null,8385,null,null,5015,null,null,11315,null,null,7846,null,null,13922,null,null,9902,null,null,12079,null,null,36
257681,4084,70668,3765,34706,3012,35962,3044,31487,3018,4475,1109,187013,4336,26491,3198,160522,5293,86747,4850,73775,5002,4084,null,null,3765,null,null,3012,null,null,3044,null,null,3018,null,null,1109,null,null,4336,null,null,3198,null,null,5293,null,null,4850,null,null,5002,null,null,37
8559,1611,1554,598,1163,604,391,292,280,279,111,126,7005,1520,1838,779,5167,1068,2646,921,2521,791,1611,null,null,598,null,null,604,null,null,292,null,null,279,null,null,126,null,null,1520,null,null,779,null,null,1068,null,null,921,null,null,791,null,null,38
224430,3723,53923,3613,29446,3218,24477,2445,20857,2336,3620,1048,170507,4201,24967,2908,145540,4805,75687,4670,69853,5073,3723,null,null,3613,null,null,3218,null,null,2445,null,null,2336,null,null,1048,null,null,4201,null,null,2908,null,null,4805,null,null,4670,null,null,5073,null,null,39
74610,2781,20501,1842,9260,1505,11241,1579,8725,1632,2516,785,54109,2594,6395,1083,47714,2627,22629,2363,25085,2762,2781,null,null,1842,null,null,1505,null,null,1579,null,null,1632,null,null,785,null,null,2594,null,null,1083,null,null,2627,null,null,2363,null,null,2762,null,null,40
161276,4507,55129,3334,31688,3007,23441,2854,18820,2687,4621,1194,106147,3994,17910,2495,88237,4283,40946,3236,47291,3655,4507,null,null,3334,null,null,3007,null,null,2854,null,null,2687,null,null,1194,null,null,3994,null,null,2495,null,null,4283,null,null,3236,null,null,3655,null,null,41
