B01002E_001E,B01002E_001M,B01002E_002E,B01002E_002M,B01002E_003E,B01002E_003M,B01002E_001M,B01002E_001EA,B01002E_001MA,B01002E_002M,B01002E_002EA,B01002E_002MA,B01002E_003M,B01002E_003EA,B01002E_003MA,state
33.2,5.3,33.3,4.7,32.4,11.8,5.3,null,null,4.7,null,null,11.8,null,null,12
31.7,14.0,34.4,29.5,30.0,17.9,14.0,null,null,29.5,null,null,17.9,null,null,13
32.7,1.1,31.8,2.2,33.3,0.8,1.1,null,null,2.2,null,null,0.8,null,null,15
30.3,8.6,24.6,10.1,30.8,16.1,8.6,null,null,10.1,null,null,16.1,null,null,16
36.3,6.8,41.8,4.7,25.9,11.0,6.8,null,null,4.7,null,null,11.0,null,null,17
32.9,7.8,34.5,7.9,30.4,11.8,7.8,null,null,7.9,null,null,11.8,null,null,18
20.8,11.4,20.3,8.2,25.7,17.3,11.4,null,null,8.2,null,null,17.3,null,null,19
31.4,8.2,25.9,28.7,31.8,6.3,8.2,null,null,28.7,null,null,6.3,null,null,20
23.0,9.6,25.2,18.8,21.3,18.8,9.6,null,null,18.8,null,null,18.8,null,null,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
42.9,35.1,-666666666.0,-222222222.0,43.0,40.9,35.1,null,null,-222222222.0,-,**,40.9,null,null,23
41.8,5.1,35.8,11.8,49.7,12.6,5.1,null,null,11.8,null,null,12.6,null,null,24
31.3,5.9,25.0,11.3,49.2,34.0,5.9,null,null,11.3,null,null,34.0,null,null,25
33.1,4.3,29.2,7.0,33.8,3.8,4.3,null,null,7.0,null,null,3.8,null,null,26
27.6,3.4,30.1,5.7,25.5,0.9,3.4,null,null,5.7,null,null,0.9,null,null,27
31.4,0.9,30.1,5.1,31.6,14.2,0.9,null,null,5.1,null,null,14.2,null,null,28
26.8,10.5,19.4,5.3,34.8,6.0,10.5,null,null,5.3,null,null,6.0,null,null,29
29.9,20.2,40.6,21.5,29.7,26.4,20.2,null,null,21.5,null,null,26.4,null,null,30
20.8,10.7,19.9,8.6,21.0,25.7,10.7,null,null,8.6,null,null,25.7,null,null,31
29.2,3.3,30.0,4.0,27.8,5.0,3.3,null,null,4.0,null,null,5.0,null,null,32
-666666666.0,-222222222.0,-666666666.0,-222222222.0,-666666666.0,-222222222.0,-222222222.0,-,**,-222222222.0,-,**,-222222222.0,-,**,33
31.6,8.0,31.2,3.0,38.0,8.2,8.0,null,null,3.0,null,null,8.2,null,null,34
28.0,12.8,27.6,6.1,44.1,43.4,12.8,null,null,6.1,null,null,43.4,null,null,35
32.3,4.4,28.0,6.7,35.3,8.4,4.4,null,null,6.7,null,null,8.4,null,null,36
35.8,10.7,31.0,21.5,35.9,12.5,10.7,null,null,21.5,null,null,12.5,null,null,37
26.5,1.8,-666666666.0,-222222222.0,-666666666.0,-222222222.0,1.8,null,null,-222222222.0,-,**,-222222222.0,-,**,38
33.8,16.3,34.0,24.2,29.7,21.1,16.3,null,null,24.2,null,null,21.1,null,null,39
29.9,3.1,27.9,2.1,34.0,5.1,3.1,null,null,2.1,null,null,5.1,null,null,40
30.4,5.3,26.0,11.8,31.7,4.0,5.3,null,null,11.8,null,null,4.0,null,null,41
40.0,5.2,40.9,11.3,38.9,6.2,5.2,null,null,11.3,null,null,6.2,null,null,42
31.8,27.6,24.9,17.3,50.9,7.9,27.6,null,null,17.3,null,null,7.9,null,null,44
30.8,9.2,26.8,15.1,32.2,13.8,9.2,null,null,15.1,null,null,13.8,null,null,45
24.5,1.2,-666666666.0,-222222222.0,-666666666.0,-222222222.0,1.2,null,null,-222222222.0,-,**,-222222222.0,-,**,46
25.1,2.3,24.7,3.7,28.5,9.8,2.3,null,null,3.7,null,null,9.8,null,null,47
30.9,3.1,23.3,3.9,33.7,3.3,3.1,null,null,3.9,null,null,3.3,null,null,48
26.0,2.4,25.0,2.4,26.6,3.5,2.4,null,null,2.4,null,null,3.5,null,null,49
71.5,34.3,72.2,58.8,71.3,12.8,34.3,null,null,58.8,null,null,12.8,null,null,50
31.4,6.3,30.7,4.1,33.3,20.3,6.3,null,null,4.1,null,null,20.3,null,null,51
30.9,1.3,30.0,1.8,31.4,1.6,1.3,null,null,1.8,null,null,1.6,null,null,53
56.5,70.6,28.7,14.1,-666666666.0,-222222222.0,70.6,null,null,14.1,null,null,-222222222.0,-,**,54
46.2,12.8,41.0,24.0,51.1,24.8,12.8,null,null,24.0,null,null,24.8,null,null,55
24.5,18.9,-666666666.0,-222222222.0,45.2,34.2,18.9,null,null,-222222222.0,-,**,34.2,null,null,56
24.1,14.8,24.1,14.8,-666666666.0,-222222222.0,14.8,null,null,14.8,null,null,-222222222.0,-,**,72
46.6,5.4,49.7,5.0,44.8,4.1,5.4,null,null,5.0,null,null,4.1,null,null,01
26.7,2.1,22.7,3.9,28.6,1.1,2.1,null,null,3.9,null,null,1.1,null,null,02
31.5,2.0,31.5,2.8,31.4,4.4,2.0,null,null,2.8,null,null,4.4,null,null,04
23.1,3.1,23.1,15.1,23.1,3.0,3.1,null,null,15.1,null,null,3.0,null,null,05
35.1,1.2,33.7,2.6,35.8,1.5,1.2,null,null,2.6,null,null,1.5,null,null,06
29.1,1.7,27.9,3.5,29.2,1.5,1.7,null,null,3.5,null,null,1.5,null,null,08
34.2,21.1,44.0,18.3,21.8,19.6,21.1,null,null,18.3,null,null,19.6,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
-666666666.0,-222222222.0,-666666666.0,-222222222.0,-666666666.0,-222222222.0,-222222222.0,-,**,-222222222.0,-,**,-222222222.0,-,**,11
