C15002I_001E,C15002I_001M,C15002I_002E,C15002I_002M,C15002I_003E,C15002I_003M,C15002I_004E,C15002I_004M,C15002I_005E,C15002I_005M,C15002I_006E,C15002I_006M,C15002I_007E,C15002I_007M,C15002I_008E,C15002I_008M,C15002I_009E,C15002I_009M,C15002I_010E,C15002I_010M,C15002I_011E,C15002I_011M,C15002I_001M,C15002I_001EA,C15002I_001MA,C15002I_002M,C15002I_002EA,C15002I_002MA,C15002I_003M,C15002I_003EA,C15002I_003MA,C15002I_004M,C15002I_004EA,C15002I_004MA,C15002I_005M,C15002I_005EA,C15002I_005MA,C15002I_006M,C15002I_006EA,C15002I_006MA,C15002I_007M,C15002I_007EA,C15002I_007MA,C15002I_008M,C15002I_008EA,C15002I_008MA,C15002I_009M,C15002I_009EA,C15002I_009MA,C15002I_010M,C15002I_010EA,C15002I_010MA,C15002I_011M,C15002I_011EA,C15002I_011MA,state
3356171,4792,1620986,3534,378067,9820,483868,13226,414781,10479,344270,9839,1735185,2942,355182,9974,479125,11406,476352,11859,424526,11238,4792,null,null,3534,null,null,9820,null,null,13226,null,null,10479,null,null,9839,null,null,2942,null,null,9974,null,null,11406,null,null,11859,null,null,11238,null,null,12
499428,3958,262767,3669,117348,6006,64091,5949,43440,3728,37888,3525,236661,3131,83162,3703,59247,3889,48163,3186,46089,3587,3958,null,null,3669,null,null,6006,null,null,5949,null,null,3728,null,null,3525,null,null,3131,null,null,3703,null,null,3889,null,null,3186,null,null,3587,null,null,13
73497,902,37378,611,3701,789,13260,1784,15402,1736,5015,935,36119,632,2925,766,12522,1465,13466,1293,7206,1026,902,null,null,611,null,null,789,null,null,1784,null,null,1736,null,null,935,null,null,632,null,null,766,null,null,1465,null,null,1293,null,null,1026,null,null,15
99188,2211,49950,1728,17334,1910,15857,1996,11819,1824,4940,1207,49238,1685,18288,2039,15309,2145,11520,1767,4121,1111,2211,null,null,1728,null,null,1910,null,null,1996,null,null,1824,null,null,1207,null,null,1685,null,null,2039,null,null,2145,null,null,1767,null,null,1111,null,null,16
1205051,2862,618790,2026,216057,6883,200000,6531,129153,5118,73580,4228,586261,2258,182808,5396,166607,5455,135719,4864,101127,4951,2862,null,null,2026,null,null,6883,null,null,6531,null,null,5118,null,null,4228,null,null,2258,null,null,5396,null,null,5455,null,null,4864,null,null,4951,null,null,17
224064,2390,116384,2059,39902,2947,36664,2840,24575,2755,15243,2140,107680,2212,34522,2632,30462,2904,28198,2685,14498,1885,2390,null,null,2059,null,null,2947,null,null,2840,null,null,2755,null,null,2140,null,null,2212,null,null,2632,null,null,2904,null,null,2685,null,null,1885,null,null,18
85565,1960,43931,1548,18632,1438,12170,1545,8049,1333,5080,1073,41634,1492,14825,1648,10827,1427,10424,1380,5558,1465,1960,null,null,1548,null,null,1438,null,null,1545,null,null,1333,null,null,1073,null,null,1492,null,null,1648,null,null,1427,null,null,1380,null,null,1465,null,null,19
163361,2253,84372,1812,30977,2272,26263,2060,16812,1843,10320,1262,78989,1591,28564,2291,21788,2075,16203,1917,12434,1781,2253,null,null,1812,null,null,2272,null,null,2060,null,null,1843,null,null,1262,null,null,1591,null,null,2291,null,null,2075,null,null,1917,null,null,1781,null,null,20
72292,2691,40424,2001,15034,2013,10553,1831,7631,1496,7206,1331,31868,1751,8358,1430,9089,1489,6698,1270,7723,1514,2691,null,null,2001,null,null,2013,null,null,1831,null,null,1496,null,null,1331,null,null,1751,null,null,1430,null,null,1489,null,null,1270,null,null,1514,null,null,21
136193,2915,71900,2536,22361,2432,23595,2624,15504,2002,10440,1623,64293,2291,15083,2518,18218,2736,19011,2333,11981,1535,2915,null,null,2536,null,null,2432,null,null,2624,null,null,2002,null,null,1623,null,null,2291,null,null,2518,null,null,2736,null,null,2333,null,null,1535,null,null,22
11366,1231,5220,968,590,502,1724,705,1474,547,1432,517,6146,943,671,392,1531,695,2227,599,1717,496,1231,null,null,968,null,null,502,null,null,705,null,null,547,null,null,517,null,null,943,null,null,392,null,null,695,null,null,599,null,null,496,null,null,23
329396,2051,171135,1997,68677,4501,41750,3626,29458,2714,31250,3114,158261,1301,47057,3959,38681,3693,34773,3162,37750,3151,2051,null,null,1997,null,null,4501,null,null,3626,null,null,2714,null,null,3114,null,null,1301,null,null,3959,null,null,3693,null,null,3162,null,null,3151,null,null,24
430798,1843,209103,1068,68089,4466,67465,4342,39579,3579,33970,2798,221695,1103,64287,3839,57873,3862,56147,3958,43388,3296,1843,null,null,1068,null,null,4466,null,null,4342,null,null,3579,null,null,2798,null,null,1103,null,null,3839,null,null,3862,null,null,3958,null,null,3296,null,null,25
247726,1920,125815,1794,38239,2320,35392,2128,31517,2351,20667,1923,121911,1471,31634,2397,30468,2712,37057,2552,22752,1770,1920,null,null,1794,null,null,2320,null,null,2128,null,null,2351,null,null,1923,null,null,1471,null,null,2397,null,null,2712,null,null,2552,null,null,1770,null,null,26
141538,2154,74037,1507,29792,2072,20264,2322,13989,1582,9992,1416,67501,1593,23167,2119,16198,2137,16650,1966,11486,1456,2154,null,null,1507,null,null,2072,null,null,2322,null,null,1582,null,null,1416,null,null,1593,null,null,2119,null,null,2137,null,null,1966,null,null,1456,null,null,27
41837,3144,22962,2358,10469,1933,5277,874,5047,1337,2169,647,18875,1726,4326,933,6079,1587,5266,1043,3204,844,3144,null,null,2358,null,null,1933,null,null,874,null,null,1337,null,null,647,null,null,1726,null,null,933,null,null,1587,null,null,1043,null,null,844,null,null,28
122482,2563,62188,2042,16058,1816,19553,1759,14790,2026,11787,1778,60294,1751,17377,1970,16802,1909,14097,1872,12018,1577,2563,null,null,2042,null,null,1816,null,null,1759,null,null,2026,null,null,1778,null,null,1751,null,null,1970,null,null,1909,null,null,1872,null,null,1577,null,null,29
18098,1377,8446,1202,1703,636,2229,763,2534,713,1980,723,9652,974,1449,602,2960,798,2869,860,2374,736,1377,null,null,1202,null,null,636,null,null,763,null,null,713,null,null,723,null,null,974,null,null,602,null,null,798,null,null,860,null,null,736,null,null,30
98476,1510,52074,1673,24854,2053,12023,1997,10011,1526,5186,1116,46402,1406,18917,2213,11003,1680,11007,1612,5475,1072,1510,null,null,1673,null,null,2053,null,null,1997,null,null,1526,null,null,1116,null,null,1406,null,null,2213,null,null,1680,null,null,1612,null,null,1072,null,null,31
460183,1505,232818,1087,86067,4084,78476,4097,49477,3023,18798,2479,227365,1230,82005,4252,66098,3604,53989,3506,25273,2714,1505,null,null,1087,null,null,4084,null,null,4097,null,null,3023,null,null,2479,null,null,1230,null,null,4252,null,null,3604,null,null,3506,null,null,2714,null,null,32
25368,1066,13318,838,3870,931,2421,958,3090,1013,3937,1177,12050,683,2175,750,2610,934,3807,1076,3458,981,1066,null,null,838,null,null,931,null,null,958,null,null,1013,null,null,1177,null,null,683,null,null,750,null,null,934,null,null,1076,null,null,981,null,null,33
1079365,1010,534624,958,151933,6522,187712,6077,115350,5938,79629,4596,544741,605,140904,5949,167784,6491,128831,4536,107222,4698,1010,null,null,958,null,null,6522,null,null,6077,null,null,5938,null,null,4596,null,null,605,null,null,5949,null,null,6491,null,null,4536,null,null,4698,null,null,34
598277,2362,292059,1363,74113,4550,100025,4314,76268,4856,41653,3808,306218,1685,69818,4133,90847,4963,94888,4545,50665,3860,2362,null,null,1363,null,null,4550,null,null,4314,null,null,4856,null,null,3808,null,null,1685,null,null,4133,null,null,4963,null,null,4545,null,null,3860,null,null,35
2299307,2381,1110864,2226,356592,9283,331681,9814,241071,8852,181520,7175,1188443,2100,357827,10028,313646,8838,281502,7966,235468,7858,2381,null,null,2226,null,null,9283,null,null,9814,null,null,8852,null,null,7175,null,null,2100,null,null,10028,null,null,8838,null,null,7966,null,null,7858,null,null,36
461251,4565,238730,3431,102985,4739,57056,3317,47034,4261,31655,3128,222521,3706,83806,4059,54579,4632,47552,3825,36584,3266,4565,null,null,3431,null,null,4739,null,null,3317,null,null,4261,null,null,3128,null,null,3706,null,null,4059,null,null,4632,null,null,3825,null,null,3266,null,null,37
12173,1748,7466,1659,1856,622,2568,1019,1728,843,1314,704,4707,843,1095,484,1248,553,1810,771,554,290,1748,null,null,1659,null,null,622,null,null,1019,null,null,843,null,null,704,null,null,843,null,null,484,null,null,553,null,null,771,null,null,290,null,null,38
214826,2561,108544,2210,30137,2918,34544,2989,25267,2386,18596,2267,106282,2064,24207,2006,27742,2347,30618,2613,23715,2548,2561,null,null,2210,null,null,2918,null,null,2989,null,null,2386,null,null,2267,null,null,2064,null,null,2006,null,null,2347,null,null,2613,null,null,2548,null,null,39
190584,1976,99716,1701,41718,2081,27982,2058,19197,1710,10819,1342,90868,1172,32313,2154,24546,1920,22879,2041,11130,1551,1976,null,null,1701,null,null,2081,null,null,2058,null,null,1710,null,null,1342,null,null,1172,null,null,2154,null,null,1920,null,null,2041,null,null,1551,null,null,40
264005,2158,138958,2004,52762,4053,36882,3565,32383,3369,16931,2287,125047,1777,45101,3375,27607,2471,32816,2543,19523,2187,2158,null,null,2004,null,null,4053,null,null,3565,null,null,3369,null,null,2287,null,null,1777,null,null,3375,null,null,2471,null,null,2543,null,null,2187,null,null,41
472845,2120,240235,2021,76742,4937,82543,4751,48306,4461,32644,2880,232610,1476,63628,4112,67143,3799,61258,3706,40581,3084,2120,null,null,2021,null,null,4937,null,null,4751,null,null,4461,null,null,2880,null,null,1476,null,null,4112,null,null,3799,null,null,3706,null,null,3084,null,null,42
84781,865,40420,769,12302,1546,14747,1655,8020,1823,5351,1293,44361,545,11327,1635,15208,1706,11960,1486,5866,1418,865,null,null,769,null,null,1546,null,null,1655,null,null,1823,null,null,1293,null,null,545,null,null,1635,null,null,1706,null,null,1486,null,null,1418,null,null,44
140423,2805,74587,2325,32397,3215,17788,2603,15730,2220,8672,1706,65836,1983,22454,2134,16157,1994,15916,2134,11309,1673,2805,null,null,2325,null,null,3215,null,null,2603,null,null,2220,null,null,1706,null,null,1983,null,null,2134,null,null,1994,null,null,2134,null,null,1673,null,null,45
14002,1330,7570,992,2691,621,1899,513,1696,478,1284,590,6432,1092,2057,603,1073,552,2222,794,1080,512,1330,null,null,992,null,null,621,null,null,513,null,null,478,null,null,590,null,null,1092,null,null,603,null,null,552,null,null,794,null,null,512,null,null,46
168404,2649,88724,2293,33985,2736,27774,3127,14969,2151,11996,2017,79680,2260,27464,2738,21343,2231,17810,2281,13063,2012,2649,null,null,2293,null,null,2736,null,null,3127,null,null,2151,null,null,2017,null,null,2260,null,null,2738,null,null,2231,null,null,2281,null,null,2012,null,null,47
6024554,5119,2991865,4347,1091813,17518,854907,16271,653527,15545,391618,10494,3032689,3441,1022849,16625,812358,14245,733658,12665,463824,11098,5119,null,null,4347,null,null,17518,null,null,16271,null,null,15545,null,null,10494,null,null,3441,null,null,16625,null,null,14245,null,null,12665,null,null,11098,null,null,48
206718,1646,105512,1886,35758,2820,31474,2843,25413,2254,12867,1697,101206,1449,30298,3111,30502,2648,26205,2120,14201,1995,1646,null,null,1886,null,null,2820,null,null,2843,null,null,2254,null,null,1697,null,null,1449,null,null,3111,null,null,2648,null,null,2120,null,null,1995,null,null,49
6269,935,2723,714,34,46,768,299,825,371,1096,477,3546,774,753,396,558,313,1105,621,1130,458,935,null,null,714,null,null,46,null,null,299,null,null,371,null,null,477,null,null,774,null,null,396,null,null,313,null,null,621,null,null,458,null,null,50
426580,3218,219825,3227,67120,5379,59666,4654,47134,4044,45905,4074,206755,2997,53341,4304,44804,3722,53800,3930,54810,4169,3218,null,null,3227,null,null,5379,null,null,4654,null,null,4044,null,null,4074,null,null,2997,null,null,4304,null,null,3722,null,null,3930,null,null,4169,null,null,51
450014,2093,234762,1561,89231,4366,61493,3860,52712,4033,31326,2833,215252,1885,69649,3510,49417,3504,58803,3322,37383,2827,2093,null,null,1561,null,null,4366,null,null,3860,null,null,4033,null,null,2833,null,null,1885,null,null,3510,null,null,3504,null,null,3322,null,null,2827,null,null,53
13952,1314,6417,989,1851,669,2182,642,1148,525,1236,431,7535,861,1619,779,1973,613,2797,492,1146,490,1314,null,null,989,null,null,669,null,null,642,null,null,525,null,null,431,null,null,861,null,null,779,null,null,613,null,null,492,null,null,490,null,null,54
192070,1877,99921,1516,32050,2686,33555,2570,21079,2209,13237,1674,92149,1564,27293,2147,23966,2033,25908,2240,14982,1837,1877,null,null,1516,null,null,2686,null,null,2570,null,null,2209,null,null,1674,null,null,1564,null,null,2147,null,null,2033,null,null,2240,null,null,1837,null,null,55
30415,1454,16356,1119,4128,1232,6050,1163,4968,1354,1210,530,14059,1268,3310,1074,2889,830,5716,1150,2144,806,1454,null,null,1119,null,null,1232,null,null,1163,null,null,1354,null,null,530,null,null,1268,null,null,1074,null,null,830,null,null,1150,null,null,806,null,null,56
2340141,4332,1076805,3011,290267,7396,327346,8997,238947,6452,220245,8557,1263336,2787,283315,6577,322471,8867,289301,7563,368249,8707,4332,null,null,3011,null,null,7396,null,null,8997,null,null,6452,null,null,8557,null,null,2787,null,null,6577,null,null,8867,null,null,7563,null,null,8707,null,null,72
98289,2777,52909,2127,22967,2034,13009,2118,10552,1761,6381,1587,45380,2126,18023,1868,12186,1790,8822,1727,6349,1232,2777,null,null,2127,null,null,2034,null,null,2118,null,null,1761,null,null,1587,null,null,2126,null,null,1868,null,null,1790,null,null,1727,null,null,1232,null,null,01
26133,1006,13324,1035,2187,917,3949,1111,6134,1358,1054,493,12809,1132,2503,933,3767,1138,4041,979,2498,826,1006,null,null,1035,null,null,917,null,null,1111,null,null,1358,null,null,493,null,null,1132,null,null,933,null,null,1138,null,null,979,null,null,826,null,null,02
