C23002D_001E,C23002D_001M,C23002D_002E,C23002D_002M,C23002D_003E,C23002D_003M,C23002D_004E,C23002D_004M,C23002D_005E,C23002D_005M,C23002D_006E,C23002D_006M,C23002D_007E,C23002D_007M,C23002D_008E,C23002D_008M,C23002D_009E,C23002D_009M,C23002D_010E,C23002D_010M,C23002D_011E,C23002D_011M,C23002D_012E,C23002D_012M,C23002D_013E,C23002D_013M,C23002D_014E,C23002D_014M,C23002D_015E,C23002D_015M,C23002D_016E,C23002D_016M,C23002D_017E,C23002D_017M,C23002D_018E,C23002D_018M,C23002D_019E,C23002D_019M,C23002D_020E,C23002D_020M,C23002D_021E,C23002D_021M,C23002D_022E,C23002D_022M,C23002D_023E,C23002D_023M,C23002D_024E,C23002D_024M,C23002D_025E,C23002D_025M,C23002D_026E,C23002D_026M,C23002D_027E,C23002D_027M,C23002D_001M,C23002D_001EA,C23002D_001MA,C23002D_002M,C23002D_002EA,C23002D_002MA,C23002D_003M,C23002D_003EA,C23002D_003MA,C23002D_004M,C23002D_004EA,C23002D_004MA,C23002D_005M,C23002D_005EA,C23002D_005MA,C23002D_006M,C23002D_006EA,C23002D_006MA,C23002D_007M,C23002D_007EA,C23002D_007MA,C23002D_008M,C23002D_008EA,C23002D_008MA,C23002D_009M,C23002D_009EA,C23002D_009MA,C23002D_010M,C23002D_010EA,C23002D_010MA,C23002D_011M,C23002D_011EA,C23002D_011MA,C23002D_012M,C23002D_012EA,C23002D_012MA,C23002D_013M,C23002D_013EA,C23002D_013MA,C23002D_014M,C23002D_014EA,C23002D_014MA,C23002D_015M,C23002D_015EA,C23002D_015MA,C23002D_016M,C23002D_016EA,C23002D_016MA,C23002D_017M,C23002D_017EA,C23002D_017MA,C23002D_018M,C23002D_018EA,C23002D_018MA,C23002D_019M,C23002D_019EA,C23002D_019MA,C23002D_020M,C23002D_020EA,C23002D_020MA,C23002D_021M,C23002D_021EA,C23002D_021MA,C23002D_022M,C23002D_022EA,C23002D_022MA,C23002D_023M,C23002D_023EA,C23002D_023MA,C23002D_024M,C23002D_024EA,C23002D_024MA,C23002D_025M,C23002D_025EA,C23002D_025MA,C23002D_026M,C23002D_026EA,C23002D_026MA,C23002D_027M,C23002D_027EA,C23002D_027MA,state
463608,5821,203230,3954,173509,4000,133521,3970,1434,552,132087,4046,126455,4097,5632,1326,39988,3896,29721,1398,6346,1152,6163,1170,183,173,23375,1519,260378,3617,216995,3278,143466,4030,342,252,143124,4077,136288,4073,6836,1777,73529,3905,43383,1884,5572,1057,5445,1045,127,145,37811,2095,5821,null,null,3954,null,null,4000,null,null,3970,null,null,552,null,null,4046,null,null,4097,null,null,1326,null,null,3896,null,null,1398,null,null,1152,null,null,1170,null,null,173,null,null,1519,null,null,3617,null,null,3278,null,null,4030,null,null,252,null,null,4077,null,null,4073,null,null,1777,null,null,3905,null,null,1884,null,null,1057,null,null,1045,null,null,145,null,null,2095,null,null,12
319420,4901,151659,3030,136314,3053,109525,3424,1363,559,108162,3385,104420,3469,3742,1046,26789,2530,15345,1435,3759,1136,3624,1137,135,213,11586,1358,167761,3324,149619,2992,92056,3687,111,142,91945,3684,88789,3529,3156,973,57563,4026,18142,1608,3755,1112,3755,1112,0,218,14387,1209,4901,null,null,3030,null,null,3053,null,null,3424,null,null,559,null,null,3385,null,null,3469,null,null,1046,null,null,2530,null,null,1435,null,null,1136,null,null,1137,null,null,213,null,null,1358,null,null,3324,null,null,2992,null,null,3687,null,null,142,null,null,3684,null,null,3529,null,null,973,null,null,4026,null,null,1608,null,null,1112,null,null,1112,null,null,218,null,null,1209,null,null,13
475012,7443,216747,4902,161014,4574,133466,3888,2624,724,130842,4020,127356,4168,3486,901,27548,2419,55733,1301,15026,1572,14884,1570,142,129,40707,1672,258265,3927,180029,3756,137620,3888,325,274,137295,3832,133652,3869,3643,1005,42409,3406,78236,1202,12993,1551,12810,1535,183,271,65243,1875,7443,null,null,4902,null,null,4574,null,null,3888,null,null,724,null,null,4020,null,null,4168,null,null,901,null,null,2419,null,null,1301,null,null,1572,null,null,1570,null,null,129,null,null,1672,null,null,3927,null,null,3756,null,null,3888,null,null,274,null,null,3832,null,null,3869,null,null,1005,null,null,3406,null,null,1202,null,null,1551,null,null,1535,null,null,271,null,null,1875,null,null,15
19653,1691,7697,1127,6503,1120,5849,1146,51,13,5798,1146,5639,1138,159,191,654,388,1194,528,0,198,0,198,0,198,1194,528,11956,1233,10314,1252,5936,1405,155,218,5781,1424,5759,1425,22,60,4378,1158,1642,541,81,113,81,113,0,198,1561,537,1691,null,null,1127,null,null,1120,null,null,1146,null,null,13,null,null,1146,null,null,1138,null,null,191,null,null,388,null,null,528,null,null,198,null,null,198,null,null,198,null,null,528,null,null,1233,null,null,1252,null,null,1405,null,null,218,null,null,1424,null,null,1425,null,null,60,null,null,1158,null,null,541,null,null,113,null,null,113,null,null,198,null,null,537,null,null,16
558266,4381,265865,2896,230391,3000,182333,4176,286,323,182047,4094,174601,4088,7446,1255,48058,3972,35474,777,9223,1263,8682,1223,541,418,26251,1386,292401,2931,248183,3021,164428,3942,30,72,164398,3935,155489,3855,8909,1516,83755,3783,44218,1908,8166,1680,7951,1652,215,212,36052,1457,4381,null,null,2896,null,null,3000,null,null,4176,null,null,323,null,null,4094,null,null,4088,null,null,1255,null,null,3972,null,null,777,null,null,1263,null,null,1223,null,null,418,null,null,1386,null,null,2931,null,null,3021,null,null,3942,null,null,72,null,null,3935,null,null,3855,null,null,1516,null,null,3783,null,null,1908,null,null,1680,null,null,1652,null,null,212,null,null,1457,null,null,17
113244,3289,55546,1733,52169,1787,38713,1956,255,298,38458,2000,37482,1998,976,528,13456,1601,3377,755,885,340,885,340,0,192,2492,649,57698,2452,51963,2518,27828,2144,0,192,27828,2144,25873,2017,1955,657,24135,2332,5735,1106,623,304,623,304,0,192,5112,1075,3289,null,null,1733,null,null,1787,null,null,1956,null,null,298,null,null,2000,null,null,1998,null,null,528,null,null,1601,null,null,755,null,null,340,null,null,340,null,null,192,null,null,649,null,null,2452,null,null,2518,null,null,2144,null,null,192,null,null,2144,null,null,2017,null,null,657,null,null,2332,null,null,1106,null,null,304,null,null,304,null,null,192,null,null,1075,null,null,18
58833,1857,28149,1243,26608,1247,22454,1442,0,159,22454,1442,21495,1382,959,451,4154,1220,1541,580,450,380,450,380,0,159,1091,483,30684,1436,28396,1498,18344,1720,0,159,18344,1720,16466,1629,1878,812,10052,1479,2288,622,339,271,339,271,0,159,1949,601,1857,null,null,1243,null,null,1247,null,null,1442,null,null,159,null,null,1442,null,null,1382,null,null,451,null,null,1220,null,null,580,null,null,380,null,null,380,null,null,159,null,null,483,null,null,1436,null,null,1498,null,null,1720,null,null,159,null,null,1720,null,null,1629,null,null,812,null,null,1479,null,null,622,null,null,271,null,null,271,null,null,159,null,null,601,null,null,19
65104,2821,31295,1776,29153,1685,22583,1747,305,282,22278,1740,21119,1654,1159,707,6570,1442,2142,383,662,254,662,254,0,174,1480,398,33809,1857,30395,1941,20509,1947,37,64,20472,1951,19963,1939,509,274,9886,1476,3414,427,1171,441,1006,409,165,190,2243,409,2821,null,null,1776,null,null,1685,null,null,1747,null,null,282,null,null,1740,null,null,1654,null,null,707,null,null,1442,null,null,383,null,null,254,null,null,254,null,null,174,null,null,398,null,null,1857,null,null,1941,null,null,1947,null,null,64,null,null,1951,null,null,1939,null,null,274,null,null,1476,null,null,427,null,null,441,null,null,409,null,null,190,null,null,409,null,null,20
48399,2394,21274,1514,19946,1474,15161,1328,281,188,14880,1333,14594,1371,286,239,4785,1337,1328,496,504,285,504,285,0,190,824,422,27125,1699,24611,1739,15700,1820,37,70,15663,1807,14990,1809,673,364,8911,1407,2514,609,651,401,651,401,0,190,1863,437,2394,null,null,1514,null,null,1474,null,null,1328,null,null,188,null,null,1333,null,null,1371,null,null,239,null,null,1337,null,null,496,null,null,285,null,null,285,null,null,190,null,null,422,null,null,1699,null,null,1739,null,null,1820,null,null,70,null,null,1807,null,null,1809,null,null,364,null,null,1407,null,null,609,null,null,401,null,null,401,null,null,190,null,null,437,null,null,21
63540,2027,31576,1660,27951,1503,21061,1756,361,324,20700,1728,19599,1867,1101,648,6890,1666,3625,744,1045,574,1045,574,0,208,2580,583,31964,1491,28048,1590,18899,1570,0,208,18899,1570,18538,1584,361,305,9149,1175,3916,641,610,397,585,391,25,42,3306,773,2027,null,null,1660,null,null,1503,null,null,1756,null,null,324,null,null,1728,null,null,1867,null,null,648,null,null,1666,null,null,744,null,null,574,null,null,574,null,null,208,null,null,583,null,null,1491,null,null,1590,null,null,1570,null,null,208,null,null,1570,null,null,1584,null,null,305,null,null,1175,null,null,641,null,null,397,null,null,391,null,null,42,null,null,773,null,null,22
