B07404F_001E,B07404F_001M,B07404F_002E,B07404F_002M,B07404F_003E,B07404F_003M,B07404F_004E,B07404F_004M,B07404F_005E,B07404F_005M,B07404F_001M,B07404F_001EA,B07404F_001MA,B07404F_002M,B07404F_002EA,B07404F_002MA,B07404F_003M,B07404F_003EA,B07404F_003MA,B07404F_004M,B07404F_004EA,B07404F_004MA,B07404F_005M,B07404F_005EA,B07404F_005MA,state
550086,25327,454749,21748,60091,8159,19226,4528,16020,3731,25327,null,null,21748,null,null,8159,null,null,4528,null,null,3731,null,null,12
289732,20778,247713,19632,25218,5478,9272,2473,7529,2435,20778,null,null,19632,null,null,5478,null,null,2473,null,null,2435,null,null,13
12919,2713,9742,2235,1561,686,0,193,1616,729,2713,null,null,2235,null,null,686,null,null,193,null,null,729,null,null,15
64329,6969,50787,7025,10222,3788,2166,1559,1154,687,6969,null,null,7025,null,null,3788,null,null,1559,null,null,687,null,null,16
813718,24644,704661,21814,80116,10147,13165,2857,15776,3992,24644,null,null,21814,null,null,10147,null,null,2857,null,null,3992,null,null,17
149615,10843,126817,10885,16122,3851,4332,1547,2344,1319,10843,null,null,10885,null,null,3851,null,null,1547,null,null,1319,null,null,18
40414,4597,35269,4564,3139,1238,556,371,1450,1001,4597,null,null,4564,null,null,1238,null,null,371,null,null,1001,null,null,19
71903,8109,58985,7003,7786,2973,3827,1612,1305,911,8109,null,null,7003,null,null,2973,null,null,1612,null,null,911,null,null,20
34932,5199,28653,5403,4719,1404,1129,926,431,293,5199,null,null,5403,null,null,1404,null,null,926,null,null,293,null,null,21
63606,6445,51659,6363,7624,3137,3221,1627,1102,481,6445,null,null,6363,null,null,3137,null,null,1627,null,null,481,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
224011,12352,192276,11385,21047,5085,6322,2782,4366,2139,12352,null,null,11385,null,null,5085,null,null,2782,null,null,2139,null,null,24
276112,15551,236635,16162,28935,5980,7144,1717,3398,1041,15551,null,null,16162,null,null,5980,null,null,1717,null,null,1041,null,null,25
113219,8591,95159,7926,13327,3145,3751,1744,982,580,8591,null,null,7926,null,null,3145,null,null,1744,null,null,580,null,null,26
107319,6509,89935,6619,11799,2986,4281,1645,1304,582,6509,null,null,6619,null,null,2986,null,null,1645,null,null,582,null,null,27
27990,4087,24562,4165,1770,1111,1268,959,390,351,4087,null,null,4165,null,null,1111,null,null,959,null,null,351,null,null,28
66965,6138,57935,5376,4512,2066,3246,1773,1272,596,6138,null,null,5376,null,null,2066,null,null,1773,null,null,596,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
36572,5718,30038,5122,4183,1777,1772,987,579,494,5718,null,null,5122,null,null,1777,null,null,987,null,null,494,null,null,31
