B19083_001E,B19083_001M,B19083_001M,B19083_001EA,B19083_001MA,state
0.4852,0.0027,0.0027,null,null,12
0.4813,0.0039,0.0039,null,null,13
0.4420,0.0072,0.0072,null,null,15
0.4503,0.0097,0.0097,null,null,16
0.4810,0.0028,0.0028,null,null,17
0.4527,0.0043,0.0043,null,null,18
0.4451,0.0053,0.0053,null,null,19
0.4550,0.0051,0.0051,null,null,20
0.4813,0.0060,0.0060,null,null,21
0.4990,0.0055,0.0055,null,null,22
0.4519,0.0076,0.0076,null,null,23
0.4499,0.0029,0.0029,null,null,24
0.4786,0.0034,0.0034,null,null,25
0.4695,0.0029,0.0029,null,null,26
0.4496,0.0039,0.0039,null,null,27
0.4828,0.0066,0.0066,null,null,28
0.4646,0.0047,0.0047,null,null,29
0.4667,0.0111,0.0111,null,null,30
0.4477,0.0070,0.0070,null,null,31
0.4577,0.0069,0.0069,null,null,32
0.4304,0.0086,0.0086,null,null,33
0.4813,0.0027,0.0027,null,null,34
0.4769,0.0069,0.0069,null,null,35
0.5129,0.0023,0.0023,null,null,36
0.4780,0.0041,0.0041,null,null,37
0.4533,0.0122,0.0122,null,null,38
0.4680,0.0034,0.0034,null,null,39
0.4645,0.0046,0.0046,null,null,40
0.4583,0.0050,0.0050,null,null,41
0.4689,0.0026,0.0026,null,null,42
0.4781,0.0097,0.0097,null,null,44
0.4735,0.0050,0.0050,null,null,45
0.4495,0.0121,0.0121,null,null,46
0.4790,0.0040,0.0040,null,null,47
0.4800,0.0021,0.0021,null,null,48
0.4263,0.0069,0.0069,null,null,49
0.4539,0.0093,0.0093,null,null,50
0.4705,0.0034,0.0034,null,null,51
0.4591,0.0046,0.0046,null,null,53
0.4711,0.0082,0.0082,null,null,54
0.4498,0.0037,0.0037,null,null,55
0.4360,0.0128,0.0128,null,null,56
0.5419,0.0073,0.0073,null,null,72
0.4847,0.0053,0.0053,null,null,01
0.4081,0.0106,0.0106,null,null,02
0.4713,0.0050,0.0050,null,null,04
0.4719,0.0059,0.0059,null,null,05
0.4899,0.0017,0.0017,null,null,06
0.4586,0.0042,0.0042,null,null,08
0.4945,0.0052,0.0052,null,null,09
0.4522,0.0109,0.0109,null,null,10
0.5420,0.0121,0.0121,null,null,11
