C21001C_001E,C21001C_001M,C21001C_002E,C21001C_002M,C21001C_003E,C21001C_003M,C21001C_004E,C21001C_004M,C21001C_005E,C21001C_005M,C21001C_006E,C21001C_006M,C21001C_007E,C21001C_007M,C21001C_008E,C21001C_008M,C21001C_009E,C21001C_009M,C21001C_010E,C21001C_010M,C21001C_011E,C21001C_011M,C21001C_012E,C21001C_012M,C21001C_013E,C21001C_013M,C21001C_014E,C21001C_014M,C21001C_015E,C21001C_015M,C21001C_001M,C21001C_001EA,C21001C_001MA,C21001C_002M,C21001C_002EA,C21001C_002MA,C21001C_003M,C21001C_003EA,C21001C_003MA,C21001C_004M,C21001C_004EA,C21001C_004MA,C21001C_005M,C21001C_005EA,C21001C_005MA,C21001C_006M,C21001C_006EA,C21001C_006MA,C21001C_007M,C21001C_007EA,C21001C_007MA,C21001C_008M,C21001C_008EA,C21001C_008MA,C21001C_009M,C21001C_009EA,C21001C_009MA,C21001C_010M,C21001C_010EA,C21001C_010MA,C21001C_011M,C21001C_011EA,C21001C_011MA,C21001C_012M,C21001C_012EA,C21001C_012MA,C21001C_013M,C21001C_013EA,C21001C_013MA,C21001C_014M,C21001C_014EA,C21001C_014MA,C21001C_015M,C21001C_015EA,C21001C_015MA,state
43118,4692,23207,2957,19832,2874,2645,854,17187,2831,3375,763,1778,629,1597,511,19911,2727,16593,2397,381,250,16212,2374,3318,937,0,221,3318,937,4692,null,null,2957,null,null,2874,null,null,854,null,null,2831,null,null,763,null,null,629,null,null,511,null,null,2727,null,null,2397,null,null,250,null,null,2374,null,null,937,null,null,221,null,null,937,null,null,12
27023,3890,12340,2617,11722,2613,1062,473,10660,2610,618,367,406,301,212,192,14683,2430,12473,2272,153,153,12320,2253,2210,745,53,91,2157,757,3890,null,null,2617,null,null,2613,null,null,473,null,null,2610,null,null,367,null,null,301,null,null,192,null,null,2430,null,null,2272,null,null,153,null,null,2253,null,null,745,null,null,91,null,null,757,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
18743,2136,9650,1392,8262,1387,271,189,7991,1366,1388,557,703,441,685,354,9093,1277,7995,1189,88,143,7907,1175,1098,487,11,23,1087,487,2136,null,null,1392,null,null,1387,null,null,189,null,null,1366,null,null,557,null,null,441,null,null,354,null,null,1277,null,null,1189,null,null,143,null,null,1175,null,null,487,null,null,23,null,null,487,null,null,16
24177,3015,13525,2290,11407,2014,871,442,10536,1968,2118,899,866,417,1252,765,10652,1382,9130,1236,246,165,8884,1250,1522,534,0,185,1522,534,3015,null,null,2290,null,null,2014,null,null,442,null,null,1968,null,null,899,null,null,417,null,null,765,null,null,1382,null,null,1236,null,null,165,null,null,1250,null,null,534,null,null,185,null,null,534,null,null,17
14702,1943,7857,1578,6693,1437,526,312,6167,1388,1164,495,621,326,543,363,6845,1261,5512,1165,215,228,5297,1176,1333,457,0,192,1333,457,1943,null,null,1578,null,null,1437,null,null,312,null,null,1388,null,null,495,null,null,326,null,null,363,null,null,1261,null,null,1165,null,null,228,null,null,1176,null,null,457,null,null,192,null,null,457,null,null,18
8171,1332,4087,1047,3495,920,292,300,3203,881,592,347,162,146,430,327,4084,989,3426,953,72,104,3354,929,658,366,0,159,658,366,1332,null,null,1047,null,null,920,null,null,300,null,null,881,null,null,347,null,null,146,null,null,327,null,null,989,null,null,953,null,null,104,null,null,929,null,null,366,null,null,159,null,null,366,null,null,19
16281,1964,8367,1172,7173,1146,890,382,6283,1056,1194,423,703,354,491,225,7914,1320,6536,1320,112,151,6424,1320,1378,456,0,174,1378,456,1964,null,null,1172,null,null,1146,null,null,382,null,null,1056,null,null,423,null,null,354,null,null,225,null,null,1320,null,null,1320,null,null,151,null,null,1320,null,null,456,null,null,174,null,null,456,null,null,20
9441,2031,4166,1023,3437,886,633,431,2804,865,729,499,225,222,504,470,5275,1581,4209,1542,435,463,3774,1513,1066,463,0,190,1066,463,2031,null,null,1023,null,null,886,null,null,431,null,null,865,null,null,499,null,null,222,null,null,470,null,null,1581,null,null,1542,null,null,463,null,null,1513,null,null,463,null,null,190,null,null,463,null,null,21
18535,1726,9141,1117,7917,1110,743,355,7174,1066,1224,501,561,315,663,338,9394,1240,7609,1202,63,114,7546,1183,1785,469,48,90,1737,456,1726,null,null,1117,null,null,1110,null,null,355,null,null,1066,null,null,501,null,null,315,null,null,338,null,null,1240,null,null,1202,null,null,114,null,null,1183,null,null,469,null,null,90,null,null,456,null,null,22
5691,814,2745,596,2251,556,277,273,1974,535,494,301,141,111,353,264,2946,574,2454,553,0,172,2454,553,492,191,0,172,492,191,814,null,null,596,null,null,556,null,null,273,null,null,535,null,null,301,null,null,111,null,null,264,null,null,574,null,null,553,null,null,172,null,null,553,null,null,191,null,null,172,null,null,191,null,null,23
12523,1981,6177,1262,5182,1144,647,436,4535,1079,995,397,195,168,800,357,6346,1390,5254,1317,59,93,5195,1315,1092,449,0,198,1092,449,1981,null,null,1262,null,null,1144,null,null,436,null,null,1079,null,null,397,null,null,168,null,null,357,null,null,1390,null,null,1317,null,null,93,null,null,1315,null,null,449,null,null,198,null,null,449,null,null,24
