B19101D_001E,B19101D_001M,B19101D_002E,B19101D_002M,B19101D_003E,B19101D_003M,B19101D_004E,B19101D_004M,B19101D_005E,B19101D_005M,B19101D_006E,B19101D_006M,B19101D_007E,B19101D_007M,B19101D_008E,B19101D_008M,B19101D_009E,B19101D_009M,B19101D_010E,B19101D_010M,B19101D_011E,B19101D_011M,B19101D_012E,B19101D_012M,B19101D_013E,B19101D_013M,B19101D_014E,B19101D_014M,B19101D_015E,B19101D_015M,B19101D_016E,B19101D_016M,B19101D_017E,B19101D_017M,B19101D_001M,B19101D_001EA,B19101D_001MA,B19101D_002M,B19101D_002EA,B19101D_002MA,B19101D_003M,B19101D_003EA,B19101D_003MA,B19101D_004M,B19101D_004EA,B19101D_004MA,B19101D_005M,B19101D_005EA,B19101D_005MA,B19101D_006M,B19101D_006EA,B19101D_006MA,B19101D_007M,B19101D_007EA,B19101D_007MA,B19101D_008M,B19101D_008EA,B19101D_008MA,B19101D_009M,B19101D_009EA,B19101D_009MA,B19101D_010M,B19101D_010EA,B19101D_010MA,B19101D_011M,B19101D_011EA,B19101D_011MA,B19101D_012M,B19101D_012EA,B19101D_012MA,B19101D_013M,B19101D_013EA,B19101D_013MA,B19101D_014M,B19101D_014EA,B19101D_014MA,B19101D_015M,B19101D_015EA,B19101D_015MA,B19101D_016M,B19101D_016EA,B19101D_016MA,B19101D_017M,B19101D_017EA,B19101D_017MA,state
97424,3108,4355,916,2782,1004,2408,745,3501,879,2250,829,3107,1090,1782,561,1635,601,2266,691,5446,1401,7235,1387,10830,1502,9580,1389,7702,1148,12081,1806,20464,1910,3108,null,null,916,null,null,1004,null,null,745,null,null,879,null,null,829,null,null,1090,null,null,561,null,null,601,null,null,691,null,null,1401,null,null,1387,null,null,1502,null,null,1389,null,null,1148,null,null,1806,null,null,1910,null,null,25
66772,1795,2653,621,1551,472,2075,800,2334,696,1126,502,2024,722,1501,538,1969,561,1355,489,3030,763,4965,1188,12039,1524,7354,1193,5270,1032,7755,1150,9771,1232,1795,null,null,621,null,null,472,null,null,800,null,null,696,null,null,502,null,null,722,null,null,538,null,null,561,null,null,489,null,null,763,null,null,1188,null,null,1524,null,null,1193,null,null,1032,null,null,1150,null,null,1232,null,null,26
52111,2093,925,463,1600,570,1598,613,1943,685,1013,368,2777,877,2623,843,1390,513,2107,654,4178,959,5177,1057,7142,1256,6136,1027,3836,868,4703,1170,4963,936,2093,null,null,463,null,null,570,null,null,613,null,null,685,null,null,368,null,null,877,null,null,843,null,null,513,null,null,654,null,null,959,null,null,1057,null,null,1256,null,null,1027,null,null,868,null,null,1170,null,null,936,null,null,27
5935,959,270,261,215,297,0,213,115,118,473,401,222,279,877,605,0,213,195,277,922,726,681,437,1021,536,326,238,281,298,167,188,170,163,959,null,null,261,null,null,297,null,null,213,null,null,118,null,null,401,null,null,279,null,null,605,null,null,213,null,null,277,null,null,726,null,null,437,null,null,536,null,null,238,null,null,298,null,null,188,null,null,163,null,null,28
24839,1559,1215,536,1009,731,383,218,1373,751,316,224,510,359,977,478,1161,604,1055,504,1365,488,2422,656,2606,720,3039,1081,1714,667,2482,735,3212,930,1559,null,null,536,null,null,731,null,null,218,null,null,751,null,null,224,null,null,359,null,null,478,null,null,604,null,null,504,null,null,488,null,null,656,null,null,720,null,null,1081,null,null,667,null,null,735,null,null,930,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
7386,1007,332,243,31,57,0,159,680,662,663,538,161,128,306,220,238,186,455,287,781,409,761,394,767,335,930,348,416,263,633,368,232,224,1007,null,null,243,null,null,57,null,null,159,null,null,662,null,null,538,null,null,128,null,null,220,null,null,186,null,null,287,null,null,409,null,null,394,null,null,335,null,null,348,null,null,263,null,null,368,null,null,224,null,null,31
56560,2473,1497,612,1480,597,1960,861,1342,480,2834,960,2620,791,2681,781,2203,680,1651,538,4245,1031,7308,1217,9210,1545,7366,1368,3890,879,3044,836,3229,1026,2473,null,null,612,null,null,597,null,null,861,null,null,480,null,null,960,null,null,791,null,null,781,null,null,680,null,null,538,null,null,1031,null,null,1217,null,null,1545,null,null,1368,null,null,879,null,null,836,null,null,1026,null,null,32
7474,1002,149,152,151,195,0,187,115,121,297,294,529,441,396,285,205,231,168,147,493,332,768,491,990,479,696,398,369,249,676,389,1472,680,1002,null,null,152,null,null,195,null,null,187,null,null,121,null,null,294,null,null,441,null,null,285,null,null,231,null,null,147,null,null,332,null,null,491,null,null,479,null,null,398,null,null,249,null,null,389,null,null,680,null,null,33
221270,3454,5128,1280,2617,858,3310,915,3697,1011,4453,1042,4767,1205,4206,1091,3147,930,4682,1065,10686,1837,13303,1771,27771,2275,28168,2520,18259,1941,32255,2559,54821,3245,3454,null,null,1280,null,null,858,null,null,915,null,null,1011,null,null,1042,null,null,1205,null,null,1091,null,null,930,null,null,1065,null,null,1837,null,null,1771,null,null,2275,null,null,2520,null,null,1941,null,null,2559,null,null,3245,null,null,34
6995,1092,427,382,131,175,246,257,105,129,156,153,166,123,64,108,210,211,663,513,700,339,1101,520,604,391,847,415,371,286,614,385,590,362,1092,null,null,382,null,null,175,null,null,257,null,null,129,null,null,153,null,null,123,null,null,108,null,null,211,null,null,513,null,null,339,null,null,520,null,null,391,null,null,415,null,null,286,null,null,385,null,null,362,null,null,35
367833,4832,16249,2071,13031,1830,16077,1562,14664,1735,14508,1723,17659,1902,15512,1837,13692,1881,10355,1714,20605,2669,30177,2719,42355,2352,36314,2545,24316,2148,33539,2837,48780,2717,4832,null,null,2071,null,null,1830,null,null,1562,null,null,1735,null,null,1723,null,null,1902,null,null,1837,null,null,1881,null,null,1714,null,null,2669,null,null,2719,null,null,2352,null,null,2545,null,null,2148,null,null,2837,null,null,2717,null,null,36
65163,2418,1143,685,1206,468,2108,882,1847,714,2433,742,1959,714,1834,721,1645,699,1767,592,4454,1065,5747,1114,10371,1481,8296,1268,6020,1235,6864,1119,7469,1383,2418,null,null,685,null,null,468,null,null,882,null,null,714,null,null,742,null,null,714,null,null,721,null,null,699,null,null,592,null,null,1065,null,null,1114,null,null,1481,null,null,1268,null,null,1235,null,null,1119,null,null,1383,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
52877,2504,1989,800,530,320,1107,571,3023,949,1795,697,1446,652,1413,694,1166,491,1302,423,3078,954,4891,1133,8119,1484,6363,1147,4233,1062,5321,1239,7101,1252,2504,null,null,800,null,null,320,null,null,571,null,null,949,null,null,697,null,null,652,null,null,694,null,null,491,null,null,423,null,null,954,null,null,1133,null,null,1484,null,null,1147,null,null,1062,null,null,1239,null,null,1252,null,null,39
17300,1248,660,314,470,294,473,280,327,230,805,605,793,482,595,292,798,363,446,269,1842,641,1827,606,2243,572,1922,685,1475,585,951,430,1673,614,1248,null,null,314,null,null,294,null,null,280,null,null,230,null,null,605,null,null,482,null,null,292,null,null,363,null,null,269,null,null,641,null,null,606,null,null,572,null,null,685,null,null,585,null,null,430,null,null,614,null,null,40
38172,1970,1430,555,643,422,1517,814,1125,548,822,367,1394,819,646,356,1442,647,1279,617,2371,661,3634,839,3920,938,3492,923,2796,806,5276,1069,6385,1099,1970,null,null,555,null,null,422,null,null,814,null,null,548,null,null,367,null,null,819,null,null,356,null,null,647,null,null,617,null,null,661,null,null,839,null,null,938,null,null,923,null,null,806,null,null,1069,null,null,1099,null,null,41
89801,2894,3230,814,1452,569,3483,1106,3532,865,3157,884,3431,755,3068,991,2769,906,3159,974,5485,1062,6673,1259,13757,1718,9036,1309,5904,1148,9003,1242,12662,1559,2894,null,null,814,null,null,569,null,null,1106,null,null,865,null,null,884,null,null,755,null,null,991,null,null,906,null,null,974,null,null,1062,null,null,1259,null,null,1718,null,null,1309,null,null,1148,null,null,1242,null,null,1559,null,null,42
8046,1289,228,291,420,305,60,122,157,263,106,112,103,134,211,212,202,216,0,208,507,373,659,428,2480,1025,1268,597,943,599,196,192,506,332,1289,null,null,291,null,null,305,null,null,122,null,null,263,null,null,112,null,null,134,null,null,212,null,null,216,null,null,208,null,null,373,null,null,428,null,null,1025,null,null,597,null,null,599,null,null,192,null,null,332,null,null,44
15879,1711,654,401,191,201,710,533,549,392,609,382,627,452,1278,831,513,392,669,410,1097,448,1877,804,2015,758,1899,633,977,555,958,540,1256,568,1711,null,null,401,null,null,201,null,null,533,null,null,392,null,null,382,null,null,452,null,null,831,null,null,392,null,null,410,null,null,448,null,null,804,null,null,758,null,null,633,null,null,555,null,null,540,null,null,568,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
25567,1977,892,591,597,390,1480,852,602,317,593,359,1148,523,485,333,935,630,728,473,1956,693,3117,1014,3310,881,2598,921,2462,919,2475,728,2189,605,1977,null,null,591,null,null,390,null,null,852,null,null,317,null,null,359,null,null,523,null,null,333,null,null,630,null,null,473,null,null,693,null,null,1014,null,null,881,null,null,921,null,null,919,null,null,728,null,null,605,null,null,47
310711,5455,8775,1487,6030,1274,5774,1126,11763,2057,8002,1595,9780,1518,9300,1515,8691,1870,8860,1635,16342,2207,27461,3558,37755,3692,37920,3231,30358,2645,37798,3361,46102,2853,5455,null,null,1487,null,null,1274,null,null,1126,null,null,2057,null,null,1595,null,null,1518,null,null,1515,null,null,1870,null,null,1635,null,null,2207,null,null,3558,null,null,3692,null,null,3231,null,null,2645,null,null,3361,null,null,2853,null,null,48
14631,1425,312,243,173,192,748,587,519,390,292,194,567,346,652,521,346,243,203,183,1059,438,1705,636,2489,761,2189,696,1276,546,1442,655,659,331,1425,null,null,243,null,null,192,null,null,587,null,null,390,null,null,194,null,null,346,null,null,521,null,null,243,null,null,183,null,null,438,null,null,636,null,null,761,null,null,696,null,null,546,null,null,655,null,null,331,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
124612,3600,2800,923,1320,583,2533,783,2071,670,3494,836,2449,741,2121,666,3918,1052,3540,1035,6360,1490,9693,1562,15964,1930,13861,1687,10752,1614,17195,1819,26541,2034,3600,null,null,923,null,null,583,null,null,783,null,null,670,null,null,836,null,null,741,null,null,666,null,null,1052,null,null,1035,null,null,1490,null,null,1562,null,null,1930,null,null,1687,null,null,1614,null,null,1819,null,null,2034,null,null,51
143678,4070,3801,984,3104,960,2534,819,3097,966,3055,950,3048,885,3227,857,5152,1183,4475,1181,9208,1500,10771,2010,19048,2226,18767,2186,12637,1537,17427,1935,24327,2136,4070,null,null,984,null,null,960,null,null,819,null,null,966,null,null,950,null,null,885,null,null,857,null,null,1183,null,null,1181,null,null,1500,null,null,2010,null,null,2226,null,null,2186,null,null,1537,null,null,1935,null,null,2136,null,null,53
