B992521_001E,B992521_002E,B992521_003E,B992521_001EA,B992521_002EA,B992521_003EA,state
4857125,143372,4713753,null,null,null,12
2268606,58119,2210487,null,null,null,13
260626,6995,253631,null,null,null,15
418217,12204,406013,null,null,null,16
3146858,68773,3078085,null,null,null,17
1731421,33425,1697996,null,null,null,18
881435,20661,860774,null,null,null,19
729392,14081,715311,null,null,null,20
1148175,23792,1124383,null,null,null,21
1105710,24909,1080801,null,null,null,22
382116,4762,377354,null,null,null,23
1445953,31909,1414044,null,null,null,24
1598930,34065,1564865,null,null,null,25
2731283,57922,2673361,null,null,null,26
1532031,28200,1503831,null,null,null,27
734114,14348,719766,null,null,null,28
1567597,35212,1532385,null,null,null,29
282995,7838,275157,null,null,null,30
488339,7691,480648,null,null,null,31
578762,14278,564484,null,null,null,32
365021,5706,359315,null,null,null,33
2019927,40304,1979623,null,null,null,34
511099,9025,502074,null,null,null,35
3841170,101301,3739869,null,null,null,36
2493388,52034,2441354,null,null,null,37
199208,3806,195402,null,null,null,38
3022809,62342,2960467,null,null,null,39
953552,23699,929853,null,null,null,40
969579,21071,948508,null,null,null,41
3382514,72876,3309638,null,null,null,42
236882,5487,231395,null,null,null,44
1288871,32331,1256540,null,null,null,45
224459,3869,220590,null,null,null,46
1664018,40260,1623758,null,null,null,47
5825471,119633,5705838,null,null,null,48
659266,9822,649444,null,null,null,49
177772,2265,175507,null,null,null,50
2037641,44462,1993179,null,null,null,51
1729320,29344,1699976,null,null,null,53
523078,8010,515068,null,null,null,54
1551232,25332,1525900,null,null,null,55
153894,3489,150405,null,null,null,56
821672,17840,803832,null,null,null,72
1268138,45097,1223041,null,null,null,01
160215,2545,157670,null,null,null,02
1593014,36764,1556250,null,null,null,04
737632,19170,718462,null,null,null,05
6943428,164703,6778725,null,null,null,06
1365832,30459,1335373,null,null,null,08
879073,17084,861989,null,null,null,09
245005,3781,241224,null,null,null,10
110376,4355,106021,null,null,null,11
