C15002F_001E,C15002F_001M,C15002F_002E,C15002F_002M,C15002F_003E,C15002F_003M,C15002F_004E,C15002F_004M,C15002F_005E,C15002F_005M,C15002F_006E,C15002F_006M,C15002F_007E,C15002F_007M,C15002F_008E,C15002F_008M,C15002F_009E,C15002F_009M,C15002F_010E,C15002F_010M,C15002F_011E,C15002F_011M,C15002F_001M,C15002F_001EA,C15002F_001MA,C15002F_002M,C15002F_002EA,C15002F_002MA,C15002F_003M,C15002F_003EA,C15002F_003MA,C15002F_004M,C15002F_004EA,C15002F_004MA,C15002F_005M,C15002F_005EA,C15002F_005MA,C15002F_006M,C15002F_006EA,C15002F_006MA,C15002F_007M,C15002F_007EA,C15002F_007MA,C15002F_008M,C15002F_008EA,C15002F_008MA,C15002F_009M,C15002F_009EA,C15002F_009MA,C15002F_010M,C15002F_010EA,C15002F_010MA,C15002F_011M,C15002F_011EA,C15002F_011MA,state
359709,16062,179956,9126,48483,4546,51550,4691,49363,4807,30560,3533,179753,9842,42401,4906,49260,4441,52193,4481,35899,3938,16062,null,null,9126,null,null,4546,null,null,4691,null,null,4807,null,null,3533,null,null,9842,null,null,4906,null,null,4441,null,null,4481,null,null,3938,null,null,12
158463,11154,86267,6460,42504,4598,22459,3392,14080,2818,7224,1454,72196,5920,30012,3356,20348,2736,11865,2259,9971,2127,11154,null,null,6460,null,null,4598,null,null,3392,null,null,2818,null,null,1454,null,null,5920,null,null,3356,null,null,2736,null,null,2259,null,null,2127,null,null,13
7866,1567,4715,1160,788,464,1692,821,1732,672,503,294,3151,800,489,374,1088,502,959,346,615,339,1567,null,null,1160,null,null,464,null,null,821,null,null,672,null,null,294,null,null,800,null,null,374,null,null,502,null,null,346,null,null,339,null,null,15
30597,3437,16354,2230,6825,1544,4939,1232,3654,1032,936,536,14243,1809,7356,1633,3416,1117,3028,1029,443,341,3437,null,null,2230,null,null,1544,null,null,1232,null,null,1032,null,null,536,null,null,1809,null,null,1633,null,null,1117,null,null,1029,null,null,341,null,null,16
460711,12802,238513,6740,99552,4947,78223,5029,41940,3244,18798,2774,222198,7548,88254,4885,65363,4707,42296,3267,26285,2370,12802,null,null,6740,null,null,4947,null,null,5029,null,null,3244,null,null,2774,null,null,7548,null,null,4885,null,null,4707,null,null,3267,null,null,2370,null,null,17
83545,6051,45763,3557,17881,2514,14996,2419,8182,1609,4704,1559,37782,3310,15118,1997,8589,1450,10253,1791,3822,1261,6051,null,null,3557,null,null,2514,null,null,2419,null,null,1609,null,null,1559,null,null,3310,null,null,1997,null,null,1450,null,null,1791,null,null,1261,null,null,18
22742,2440,12579,1624,6512,1084,2545,788,2109,724,1413,673,10163,1440,4328,923,2462,664,2156,838,1217,709,2440,null,null,1624,null,null,1084,null,null,788,null,null,724,null,null,673,null,null,1440,null,null,923,null,null,664,null,null,838,null,null,709,null,null,19
40054,4074,20566,2355,8455,1428,7744,1887,2439,789,1928,669,19488,2253,7377,1396,6456,1483,3144,967,2511,1041,4074,null,null,2355,null,null,1428,null,null,1887,null,null,789,null,null,669,null,null,2253,null,null,1396,null,null,1483,null,null,967,null,null,1041,null,null,20
21094,3369,12190,2256,6173,1654,2445,869,2303,938,1269,568,8904,1877,3402,967,2602,1030,1266,682,1634,918,3369,null,null,2256,null,null,1654,null,null,869,null,null,938,null,null,568,null,null,1877,null,null,967,null,null,1030,null,null,682,null,null,918,null,null,21
40816,4138,24233,2718,9605,1818,8852,1855,4002,1143,1774,782,16583,2133,5862,1654,5582,1485,3480,1019,1659,668,4138,null,null,2718,null,null,1818,null,null,1855,null,null,1143,null,null,782,null,null,2133,null,null,1654,null,null,1485,null,null,1019,null,null,668,null,null,22
