B27001_001E,B27001_001M,B27001_002E,B27001_002M,B27001_003E,B27001_003M,B27001_004E,B27001_004M,B27001_005E,B27001_005M,B27001_006E,B27001_006M,B27001_007E,B27001_007M,B27001_008E,B27001_008M,B27001_009E,B27001_009M,B27001_010E,B27001_010M,B27001_011E,B27001_011M,B27001_012E,B27001_012M,B27001_013E,B27001_013M,B27001_014E,B27001_014M,B27001_015E,B27001_015M,B27001_016E,B27001_016M,B27001_017E,B27001_017M,B27001_018E,B27001_018M,B27001_019E,B27001_019M,B27001_020E,B27001_020M,B27001_021E,B27001_021M,B27001_022E,B27001_022M,B27001_023E,B27001_023M,B27001_024E,B27001_024M,B27001_025E,B27001_025M,B27001_026E,B27001_026M,B27001_027E,B27001_027M,B27001_028E,B27001_028M,B27001_029E,B27001_029M,B27001_030E,B27001_030M,B27001_031E,B27001_031M,B27001_032E,B27001_032M,B27001_033E,B27001_033M,B27001_034E,B27001_034M,B27001_035E,B27001_035M,B27001_036E,B27001_036M,B27001_037E,B27001_037M,B27001_038E,B27001_038M,B27001_039E,B27001_039M,B27001_040E,B27001_040M,B27001_041E,B27001_041M,B27001_042E,B27001_042M,B27001_043E,B27001_043M,B27001_044E,B27001_044M,B27001_045E,B27001_045M,B27001_046E,B27001_046M,B27001_047E,B27001_047M,B27001_048E,B27001_048M,B27001_049E,B27001_049M,B27001_050E,B27001_050M,B27001_051E,B27001_051M,B27001_052E,B27001_052M,B27001_053E,B27001_053M,B27001_054E,B27001_054M,B27001_055E,B27001_055M,B27001_056E,B27001_056M,B27001_057E,B27001_057M,B27001_001M,B27001_001EA,B27001_001MA,B27001_002M,B27001_002EA,B27001_002MA,B27001_003M,B27001_003EA,B27001_003MA,B27001_004M,B27001_004EA,B27001_004MA,B27001_005M,B27001_005EA,B27001_005MA,B27001_006M,B27001_006EA,B27001_006MA,B27001_007M,B27001_007EA,B27001_007MA,B27001_008M,B27001_008EA,B27001_008MA,B27001_009M,B27001_009EA,B27001_009MA,B27001_010M,B27001_010EA,B27001_010MA,B27001_011M,B27001_011EA,B27001_011MA,B27001_012M,B27001_012EA,B27001_012MA,B27001_013M,B27001_013EA,B27001_013MA,B27001_014M,B27001_014EA,B27001_014MA,B27001_015M,B27001_015EA,B27001_015MA,B27001_016M,B27001_016EA,B27001_016MA,B27001_017M,B27001_017EA,B27001_017MA,B27001_018M,B27001_018EA,B27001_018MA,B27001_019M,B27001_019EA,B27001_019MA,B27001_020M,B27001_020EA,B27001_020MA,B27001_021M,B27001_021EA,B27001_021MA,B27001_022M,B27001_022EA,B27001_022MA,B27001_023M,B27001_023EA,B27001_023MA,B27001_024M,B27001_024EA,B27001_024MA,B27001_025M,B27001_025EA,B27001_025MA,B27001_026M,B27001_026EA,B27001_026MA,B27001_027M,B27001_027EA,B27001_027MA,B27001_028M,B27001_028EA,B27001_028MA,B27001_029M,B27001_029EA,B27001_029MA,B27001_030M,B27001_030EA,B27001_030MA,B27001_031M,B27001_031EA,B27001_031MA,B27001_032M,B27001_032EA,B27001_032MA,B27001_033M,B27001_033EA,B27001_033MA,B27001_034M,B27001_034EA,B27001_034MA,B27001_035M,B27001_035EA,B27001_035MA,B27001_036M,B27001_036EA,B27001_036MA,B27001_037M,B27001_037EA,B27001_037MA,B27001_038M,B27001_038EA,B27001_038MA,B27001_039M,B27001_039EA,B27001_039MA,B27001_040M,B27001_040EA,B27001_040MA,B27001_041M,B27001_041EA,B27001_041MA,B27001_042M,B27001_042EA,B27001_042MA,B27001_043M,B27001_043EA,B27001_043MA,B27001_044M,B27001_044EA,B27001_044MA,B27001_045M,B27001_045EA,B27001_045MA,B27001_046M,B27001_046EA,B27001_046MA,B27001_047M,B27001_047EA,B27001_047MA,B27001_048M,B27001_048EA,B27001_048MA,B27001_049M,B27001_049EA,B27001_049MA,B27001_050M,B27001_050EA,B27001_050MA,B27001_051M,B27001_051EA,B27001_051MA,B27001_052M,B27001_052EA,B27001_052MA,B27001_053M,B27001_053EA,B27001_053MA,B27001_054M,B27001_054EA,B27001_054MA,B27001_055M,B27001_055EA,B27001_055MA,B27001_056M,B27001_056EA,B27001_056MA,B27001_057M,B27001_057EA,B27001_057MA,state
20294479,4316,9829594,8614,687725,7446,652588,7952,35137,4081,1424355,8685,1327873,9857,96482,6442,866762,5968,676876,9836,189886,8313,1275897,7486,926665,15035,349232,12833,1171032,6449,899190,10268,271842,9758,1318556,5068,1084694,9824,233862,8382,1271953,3701,1108300,8132,163653,7860,1046794,2943,1030421,3382,16373,2392,766520,2762,760778,3133,5742,1570,10464885,7394,651897,6362,623712,6828,28185,4318,1372368,7507,1275425,10913,96943,8066,850747,5827,697987,9249,152760,7097,1309989,5743,1051816,10890,258173,10242,1240360,5081,1032301,10396,208059,8931,1398345,3860,1172660,9886,225685,9475,1433747,3572,1252472,6954,181275,6588,1213343,3258,1189891,4578,23452,3313,994089,3398,986583,3763,7506,1763,4316,null,null,8614,null,null,7446,null,null,7952,null,null,4081,null,null,8685,null,null,9857,null,null,6442,null,null,5968,null,null,9836,null,null,8313,null,null,7486,null,null,15035,null,null,12833,null,null,6449,null,null,10268,null,null,9758,null,null,5068,null,null,9824,null,null,8382,null,null,3701,null,null,8132,null,null,7860,null,null,2943,null,null,3382,null,null,2392,null,null,2762,null,null,3133,null,null,1570,null,null,7394,null,null,6362,null,null,6828,null,null,4318,null,null,7507,null,null,10913,null,null,8066,null,null,5827,null,null,9249,null,null,7097,null,null,5743,null,null,10890,null,null,10242,null,null,5081,null,null,10396,null,null,8931,null,null,3860,null,null,9886,null,null,9475,null,null,3572,null,null,6954,null,null,6588,null,null,3258,null,null,4578,null,null,3313,null,null,3398,null,null,3763,null,null,1763,null,null,12
10120788,3683,4866326,9202,396338,6756,372020,7166,24318,3290,882187,6582,820568,9244,61619,5325,487274,5924,377306,7244,109968,7021,642028,6123,466621,8740,175407,8161,636271,6126,493323,7830,142948,6310,668284,5107,571157,6239,97127,5232,574123,2776,507780,5400,66343,4730,382965,3225,378136,3596,4829,1468,196856,2573,195798,2606,1058,887,5254462,8566,383040,5777,360244,6423,22796,3904,844761,6422,790722,8045,54039,6167,487917,4397,393426,6866,94491,6056,710228,5272,565852,7930,144376,6327,715853,5655,583428,6507,132425,6245,715651,4673,618013,5837,97638,5373,646530,2998,573242,4891,73288,4486,457409,3444,453352,3833,4057,1259,293073,2997,290227,3024,2846,986,3683,null,null,9202,null,null,6756,null,null,7166,null,null,3290,null,null,6582,null,null,9244,null,null,5325,null,null,5924,null,null,7244,null,null,7021,null,null,6123,null,null,8740,null,null,8161,null,null,6126,null,null,7830,null,null,6310,null,null,5107,null,null,6239,null,null,5232,null,null,2776,null,null,5400,null,null,4730,null,null,3225,null,null,3596,null,null,1468,null,null,2573,null,null,2606,null,null,887,null,null,8566,null,null,5777,null,null,6423,null,null,3904,null,null,6422,null,null,8045,null,null,6167,null,null,4397,null,null,6866,null,null,6056,null,null,5272,null,null,7930,null,null,6327,null,null,5655,null,null,6507,null,null,6245,null,null,4673,null,null,5837,null,null,5373,null,null,2998,null,null,4891,null,null,4486,null,null,3444,null,null,3833,null,null,1259,null,null,2997,null,null,3024,null,null,986,null,null,13
1378730,2525,677111,2948,56112,1773,55231,1763,881,588,102334,2076,100434,2251,1900,871,57735,1584,53087,1887,4648,1331,93649,2119,87607,2154,6042,1379,83388,1574,79172,1989,4216,1045,86333,1282,82778,1484,3555,1017,89201,943,84647,1250,4554,1133,67152,693,66726,716,426,264,41207,549,41207,549,0,185,701619,2294,53047,1485,51710,1652,1337,746,96068,1646,93289,1676,2779,1006,57332,1137,54209,1284,3123,848,95283,1318,91580,1699,3703,1070,87265,1132,82684,1497,4581,1204,88309,1075,85519,1200,2790,811,93940,582,90202,998,3738,886,70961,498,70852,507,109,111,59414,557,59123,595,291,297,2525,null,null,2948,null,null,1773,null,null,1763,null,null,588,null,null,2076,null,null,2251,null,null,871,null,null,1584,null,null,1887,null,null,1331,null,null,2119,null,null,2154,null,null,1379,null,null,1574,null,null,1989,null,null,1045,null,null,1282,null,null,1484,null,null,1017,null,null,943,null,null,1250,null,null,1133,null,null,693,null,null,716,null,null,264,null,null,549,null,null,549,null,null,185,null,null,2294,null,null,1485,null,null,1652,null,null,746,null,null,1646,null,null,1676,null,null,1006,null,null,1137,null,null,1284,null,null,848,null,null,1318,null,null,1699,null,null,1070,null,null,1132,null,null,1497,null,null,1204,null,null,1075,null,null,1200,null,null,811,null,null,582,null,null,998,null,null,886,null,null,498,null,null,507,null,null,111,null,null,557,null,null,595,null,null,297,null,null,15
1662867,795,826763,2862,70017,2629,67683,2718,2334,853,154044,3279,146269,3695,7775,1820,79510,1783,65634,2353,13876,1972,107178,2384,84921,2906,22257,2536,99915,2284,85540,2721,14375,2072,97593,1942,82844,2475,14749,2392,99322,1432,89262,1709,10060,1484,74869,1212,74811,1220,58,92,44315,869,43984,768,331,377,836104,2843,66510,1887,64006,2023,2504,632,145059,2346,137189,2497,7870,1462,76622,2160,66592,2370,10030,1969,107986,2271,88409,2408,19577,2178,102560,2287,86478,2698,16082,2265,98445,1646,85653,2220,12792,1805,105672,1549,93770,2230,11902,1872,79249,1178,78059,1266,1190,779,54001,859,53653,883,348,261,795,null,null,2862,null,null,2629,null,null,2718,null,null,853,null,null,3279,null,null,3695,null,null,1820,null,null,1783,null,null,2353,null,null,1972,null,null,2384,null,null,2906,null,null,2536,null,null,2284,null,null,2721,null,null,2072,null,null,1942,null,null,2475,null,null,2392,null,null,1432,null,null,1709,null,null,1484,null,null,1212,null,null,1220,null,null,92,null,null,869,null,null,768,null,null,377,null,null,2843,null,null,1887,null,null,2023,null,null,632,null,null,2346,null,null,2497,null,null,1462,null,null,2160,null,null,2370,null,null,1969,null,null,2271,null,null,2408,null,null,2178,null,null,2287,null,null,2698,null,null,2265,null,null,1646,null,null,2220,null,null,1805,null,null,1549,null,null,2230,null,null,1872,null,null,1178,null,null,1266,null,null,779,null,null,859,null,null,883,null,null,261,null,null,16
12620388,1326,6168002,5264,473643,4959,464214,5030,9429,1637,1016417,4855,989720,5608,26697,3960,596188,3172,528588,5031,67600,4718,863731,3351,735334,7294,128397,6645,805629,3195,701210,6926,104419,5901,830880,3196,757011,4795,73869,4123,791004,1985,742519,3491,48485,2961,491228,1546,485716,1845,5512,1205,299282,2128,298275,2130,1007,512,6452386,5163,448523,4970,439580,5328,8943,1610,981280,5120,955030,5643,26250,2985,593688,3146,544482,4660,49206,4124,871676,3611,796264,5924,75412,4178,827673,2666,751329,4473,76344,4207,863867,2797,804253,4504,59614,3840,848279,1918,801810,3474,46469,3611,568449,2072,561438,2218,7011,1633,448951,2560,447013,2605,1938,711,1326,null,null,5264,null,null,4959,null,null,5030,null,null,1637,null,null,4855,null,null,5608,null,null,3960,null,null,3172,null,null,5031,null,null,4718,null,null,3351,null,null,7294,null,null,6645,null,null,3195,null,null,6926,null,null,5901,null,null,3196,null,null,4795,null,null,4123,null,null,1985,null,null,3491,null,null,2961,null,null,1546,null,null,1845,null,null,1205,null,null,2128,null,null,2130,null,null,512,null,null,5163,null,null,4970,null,null,5328,null,null,1610,null,null,5120,null,null,5643,null,null,2985,null,null,3146,null,null,4660,null,null,4124,null,null,3611,null,null,5924,null,null,4178,null,null,2666,null,null,4473,null,null,4207,null,null,2797,null,null,4504,null,null,3840,null,null,1918,null,null,3474,null,null,3611,null,null,2072,null,null,2218,null,null,1633,null,null,2560,null,null,2605,null,null,711,null,null,17
6534914,919,3204187,6049,258452,4166,243634,4374,14818,1963,548353,5209,515433,6392,32920,3576,333148,3263,291127,4492,42021,4281,413968,4006,340807,4380,73161,4271,389487,2916,338007,4312,51480,3379,421970,2828,380280,4364,41690,3469,415298,1997,383526,2762,31772,2449,267078,1757,264464,2162,2614,976,156433,1459,156196,1445,237,190,3330727,6017,246570,4278,233398,4815,13172,2158,520550,5105,489310,5877,31240,3516,321387,3524,291209,5056,30178,3393,425258,3669,369928,4437,55330,3832,408420,3229,365135,4154,43285,3576,433689,2850,399249,3918,34440,2905,441086,2251,412423,3305,28663,2658,304566,2037,301905,2075,2661,945,229201,1854,228520,1913,681,446,919,null,null,6049,null,null,4166,null,null,4374,null,null,1963,null,null,5209,null,null,6392,null,null,3576,null,null,3263,null,null,4492,null,null,4281,null,null,4006,null,null,4380,null,null,4271,null,null,2916,null,null,4312,null,null,3379,null,null,2828,null,null,4364,null,null,3469,null,null,1997,null,null,2762,null,null,2449,null,null,1757,null,null,2162,null,null,976,null,null,1459,null,null,1445,null,null,190,null,null,6017,null,null,4278,null,null,4815,null,null,2158,null,null,5105,null,null,5877,null,null,3516,null,null,3524,null,null,5056,null,null,3393,null,null,3669,null,null,4437,null,null,3832,null,null,3229,null,null,4154,null,null,3576,null,null,2850,null,null,3918,null,null,2905,null,null,2251,null,null,3305,null,null,2658,null,null,2037,null,null,2075,null,null,945,null,null,1854,null,null,1913,null,null,446,null,null,18
3091437,506,1532095,3125,122882,2524,118826,2484,4056,1430,249352,2770,243362,3162,5990,1365,159854,2171,146862,2619,12992,2334,196783,2494,178639,3090,18144,2194,183779,2391,168989,2634,14790,1757,194980,2045,183416,2528,11564,1845,203608,1288,195575,1666,8033,1500,133100,1180,133014,1184,86,58,87757,969,87630,969,127,133,1559342,3175,114584,2721,112438,2816,2146,690,238179,2658,231929,2950,6250,1316,157244,2488,149473,2767,7771,1401,192963,2636,179627,2971,13336,1822,182944,2210,172439,2403,10505,1673,193135,1983,184261,2143,8874,1341,209915,1316,203574,1799,6341,1044,143825,1161,143592,1154,233,177,126553,1262,126179,1321,374,254,506,null,null,3125,null,null,2524,null,null,2484,null,null,1430,null,null,2770,null,null,3162,null,null,1365,null,null,2171,null,null,2619,null,null,2334,null,null,2494,null,null,3090,null,null,2194,null,null,2391,null,null,2634,null,null,1757,null,null,2045,null,null,2528,null,null,1845,null,null,1288,null,null,1666,null,null,1500,null,null,1180,null,null,1184,null,null,58,null,null,969,null,null,969,null,null,133,null,null,3175,null,null,2721,null,null,2816,null,null,690,null,null,2658,null,null,2950,null,null,1316,null,null,2488,null,null,2767,null,null,1401,null,null,2636,null,null,2971,null,null,1822,null,null,2210,null,null,2403,null,null,1673,null,null,1983,null,null,2143,null,null,1341,null,null,1316,null,null,1799,null,null,1044,null,null,1161,null,null,1154,null,null,177,null,null,1262,null,null,1321,null,null,254,null,null,19
2850862,1447,1408996,4885,121800,2731,116876,2865,4924,1283,244517,3524,233757,3921,10760,1736,151890,2800,127115,3642,24775,3100,178490,3117,144860,4015,33630,2736,173068,2621,147363,2949,25705,2360,170403,2116,152444,2483,17959,1869,179620,1462,165209,2109,14411,1846,116363,1273,115725,1221,638,434,72845,1233,72610,1184,235,212,1441866,4484,113851,3528,109545,3449,4306,1082,232934,3644,222012,3774,10922,1733,140415,2194,122091,2524,18324,2010,185928,2428,159265,3126,26663,2383,172249,2099,149187,2702,23062,2057,176728,2064,158617,2546,18111,1908,189602,1353,176472,2147,13130,1681,127311,1090,126344,1120,967,541,102848,1425,102396,1429,452,293,1447,null,null,4885,null,null,2731,null,null,2865,null,null,1283,null,null,3524,null,null,3921,null,null,1736,null,null,2800,null,null,3642,null,null,3100,null,null,3117,null,null,4015,null,null,2736,null,null,2621,null,null,2949,null,null,2360,null,null,2116,null,null,2483,null,null,1869,null,null,1462,null,null,2109,null,null,1846,null,null,1273,null,null,1221,null,null,434,null,null,1233,null,null,1184,null,null,212,null,null,4484,null,null,3528,null,null,3449,null,null,1082,null,null,3644,null,null,3774,null,null,1733,null,null,2194,null,null,2524,null,null,2010,null,null,2428,null,null,3126,null,null,2383,null,null,2099,null,null,2702,null,null,2057,null,null,2064,null,null,2546,null,null,1908,null,null,1353,null,null,2147,null,null,1681,null,null,1090,null,null,1120,null,null,541,null,null,1425,null,null,1429,null,null,293,null,null,20
4354380,1440,2121338,5132,164706,3659,159993,3715,4713,1052,352003,4687,340102,4918,11901,1806,211800,3112,190690,3795,21110,2396,266518,2975,230816,3721,35702,3166,264511,2813,242517,3125,21994,2422,286830,2536,266216,3067,20614,2421,279489,1525,267405,2436,12084,1959,189568,1155,188820,1205,748,403,105913,1266,105615,1284,298,448,2233042,5104,156819,3384,152924,3565,3895,913,336458,3402,324972,3774,11486,1897,207065,1898,194807,2499,12258,1875,278671,3016,257822,3391,20849,2528,276304,2493,258739,3275,17565,2349,302827,2044,286805,2988,16022,2224,305012,1854,293961,2487,11051,1700,215237,1572,214578,1604,659,388,154649,1309,154248,1313,401,206,1440,null,null,5132,null,null,3659,null,null,3715,null,null,1052,null,null,4687,null,null,4918,null,null,1806,null,null,3112,null,null,3795,null,null,2396,null,null,2975,null,null,3721,null,null,3166,null,null,2813,null,null,3125,null,null,2422,null,null,2536,null,null,3067,null,null,2421,null,null,1525,null,null,2436,null,null,1959,null,null,1155,null,null,1205,null,null,403,null,null,1266,null,null,1284,null,null,448,null,null,5104,null,null,3384,null,null,3565,null,null,913,null,null,3402,null,null,3774,null,null,1897,null,null,1898,null,null,2499,null,null,1875,null,null,3016,null,null,3391,null,null,2528,null,null,2493,null,null,3275,null,null,2349,null,null,2044,null,null,2988,null,null,2224,null,null,1854,null,null,2487,null,null,1700,null,null,1572,null,null,1604,null,null,388,null,null,1309,null,null,1313,null,null,206,null,null,21
4577182,1950,2208827,5319,185324,5090,180256,4798,5068,1527,385975,5254,372025,5339,13950,2598,213743,3778,171763,4867,41980,4149,311103,5632,236182,5965,74921,5177,269595,4540,219162,5075,50433,3489,276927,4095,233559,5031,43368,3905,279396,2335,250706,3432,28690,2959,183138,1906,182165,1851,973,410,103626,1473,103223,1502,403,251,2368355,5285,180584,4831,176229,5165,4355,1411,363574,5256,353321,5553,10253,2043,220534,3520,190843,4281,29691,3453,334398,3685,278771,6032,55627,4862,295354,3599,253113,4941,42241,4511,296580,3733,256870,4997,39710,3852,310069,1560,282933,3224,27136,2815,214897,1735,214274,1762,623,306,152365,1821,151955,1823,410,295,1950,null,null,5319,null,null,5090,null,null,4798,null,null,1527,null,null,5254,null,null,5339,null,null,2598,null,null,3778,null,null,4867,null,null,4149,null,null,5632,null,null,5965,null,null,5177,null,null,4540,null,null,5075,null,null,3489,null,null,4095,null,null,5031,null,null,3905,null,null,2335,null,null,3432,null,null,2959,null,null,1906,null,null,1851,null,null,410,null,null,1473,null,null,1502,null,null,251,null,null,5285,null,null,4831,null,null,5165,null,null,1411,null,null,5256,null,null,5553,null,null,2043,null,null,3520,null,null,4281,null,null,3453,null,null,3685,null,null,6032,null,null,4862,null,null,3599,null,null,4941,null,null,4511,null,null,3733,null,null,4997,null,null,3852,null,null,1560,null,null,3224,null,null,2815,null,null,1735,null,null,1762,null,null,306,null,null,1821,null,null,1823,null,null,295,null,null,22
