B19013C_001E,B19013C_001M,B19013C_001M,B19013C_001EA,B19013C_001MA,state
43893,10302,10302,null,null,12
28548,7919,7919,null,null,13
null,null,null,null,null,15
37340,9382,9382,null,null,16
38894,11384,11384,null,null,17
41056,13037,13037,null,null,18
33950,9520,9520,null,null,19
33816,4174,4174,null,null,20
44286,29325,29325,null,null,21
43092,12128,12128,null,null,22
28381,11883,11883,null,null,23
73580,20657,20657,null,null,24
41875,13600,13600,null,null,25
39775,4701,4701,null,null,26
37034,5365,5365,null,null,27
25536,10443,10443,null,null,28
30722,7953,7953,null,null,29
36770,3790,3790,null,null,30
44152,5104,5104,null,null,31
35139,4115,4115,null,null,32
null,null,null,null,null,33
41846,17493,17493,null,null,34
33538,2948,2948,null,null,35
41145,5238,5238,null,null,36
38002,3681,3681,null,null,37
33478,8168,8168,null,null,38
31661,6144,6144,null,null,39
40470,1399,1399,null,null,40
38436,4937,4937,null,null,41
28441,10474,10474,null,null,42
33186,25122,25122,null,null,44
42097,7111,7111,null,null,45
20001,2953,2953,null,null,46
49676,13610,13610,null,null,47
51222,5879,5879,null,null,48
37152,5958,5958,null,null,49
null,null,null,null,null,50
54283,17698,17698,null,null,51
45275,3475,3475,null,null,53
18406,10029,10029,null,null,54
39687,3183,3183,null,null,55
40414,5420,5420,null,null,56
22917,8995,8995,null,null,72
50116,9277,9277,null,null,01
47824,4941,4941,null,null,02
34813,2223,2223,null,null,04
41567,6751,6751,null,null,05
47489,2604,2604,null,null,06
37119,6270,6270,null,null,08
42841,14739,14739,null,null,09
44904,40706,40706,null,null,10
null,null,null,null,null,11
