B19025D_001E,B19025D_001M,B19025D_001M,B19025D_001EA,B19025D_001MA,state
15067935900,618844322,618844322,null,null,12
12374804500,718408683,718408683,null,null,13
17458246300,539501796,539501796,null,null,15
468123000,130092038,130092038,null,null,16
25110048400,1002478445,1002478445,null,null,17
3680879000,444215523,444215523,null,null,18
1933445900,274441425,274441425,null,null,19
2058144000,281267508,281267508,null,null,20
1676854800,229700341,229700341,null,null,21
1960792900,242168938,242168938,null,null,22
373931100,98624349,98624349,null,null,23
14898263500,604516221,604516221,null,null,24
15701992600,693870149,693870149,null,null,25
9796029900,574272787,574272787,null,null,26
6439768300,405034007,405034007,null,null,27
564246900,123171796,123171796,null,null,28
3617596000,477803276,477803276,null,null,29
178732400,83184324,83184324,null,null,30
784191300,108781472,108781472,null,null,31
6146014700,363359429,363359429,null,null,32
1017303200,195336309,195336309,null,null,33
37132600600,1206786736,1206786736,null,null,34
826455600,198572968,198572968,null,null,35
53328523300,1773883578,1773883578,null,null,36
8403341400,528729875,528729875,null,null,37
259075900,94535692,94535692,null,null,38
7496548400,508840305,508840305,null,null,39
2198561200,264554588,264554588,null,null,40
5659157500,373040031,373040031,null,null,41
12413616000,570806942,570806942,null,null,42
1209068200,292579441,292579441,null,null,44
1798608300,199817162,199817162,null,null,45
209488000,60982823,60982823,null,null,46
3101324300,283864029,283864029,null,null,47
44662418800,1268855433,1268855433,null,null,48
1684847400,176451780,176451780,null,null,49
398699600,221787990,221787990,null,null,50
20185313200,847635296,847635296,null,null,51
22619323200,789258170,789258170,null,null,53
546363700,150592019,150592019,null,null,54
4582867300,405357042,405357042,null,null,55
163411900,87991074,87991074,null,null,56
66388500,30299027,30299027,null,null,72
1938526000,272128716,272128716,null,null,01
1078284400,131649376,131649376,null,null,02
6954744000,481802318,481802318,null,null,04
1158534500,274286024,274286024,null,null,05
203625049500,2697671822,2697671822,null,null,06
5096561700,383156075,383156075,null,null,08
6238503900,455603252,455603252,null,null,09
1190666800,155160135,155160135,null,null,10
1428709300,205315614,205315614,null,null,11
