B27001I_001E,B27001I_001M,B27001I_002E,B27001I_002M,B27001I_003E,B27001I_003M,B27001I_004E,B27001I_004M,B27001I_005E,B27001I_005M,B27001I_006E,B27001I_006M,B27001I_007E,B27001I_007M,B27001I_008E,B27001I_008M,B27001I_009E,B27001I_009M,B27001I_010E,B27001I_010M,B27001I_011E,B27001I_011M,B27001I_012E,B27001I_012M,B27001I_013E,B27001I_013M,B27001I_014E,B27001I_014M,B27001I_015E,B27001I_015M,B27001I_016E,B27001I_016M,B27001I_017E,B27001I_017M,B27001I_018E,B27001I_018M,B27001I_019E,B27001I_019M,B27001I_020E,B27001I_020M,B27001I_021E,B27001I_021M,B27001I_022E,B27001I_022M,B27001I_023E,B27001I_023M,B27001I_024E,B27001I_024M,B27001I_025E,B27001I_025M,B27001I_026E,B27001I_026M,B27001I_027E,B27001I_027M,B27001I_028E,B27001I_028M,B27001I_001M,B27001I_001EA,B27001I_001MA,B27001I_002M,B27001I_002EA,B27001I_002MA,B27001I_003M,B27001I_003EA,B27001I_003MA,B27001I_004M,B27001I_004EA,B27001I_004MA,B27001I_005M,B27001I_005EA,B27001I_005MA,B27001I_006M,B27001I_006EA,B27001I_006MA,B27001I_007M,B27001I_007EA,B27001I_007MA,B27001I_008M,B27001I_008EA,B27001I_008MA,B27001I_009M,B27001I_009EA,B27001I_009MA,B27001I_010M,B27001I_010EA,B27001I_010MA,B27001I_011M,B27001I_011EA,B27001I_011MA,B27001I_012M,B27001I_012EA,B27001I_012MA,B27001I_013M,B27001I_013EA,B27001I_013MA,B27001I_014M,B27001I_014EA,B27001I_014MA,B27001I_015M,B27001I_015EA,B27001I_015MA,B27001I_016M,B27001I_016EA,B27001I_016MA,B27001I_017M,B27001I_017EA,B27001I_017MA,B27001I_018M,B27001I_018EA,B27001I_018MA,B27001I_019M,B27001I_019EA,B27001I_019MA,B27001I_020M,B27001I_020EA,B27001I_020MA,B27001I_021M,B27001I_021EA,B27001I_021MA,B27001I_022M,B27001I_022EA,B27001I_022MA,B27001I_023M,B27001I_023EA,B27001I_023MA,B27001I_024M,B27001I_024EA,B27001I_024MA,B27001I_025M,B27001I_025EA,B27001I_025MA,B27001I_026M,B27001I_026EA,B27001I_026MA,B27001I_027M,B27001I_027EA,B27001I_027MA,B27001I_028M,B27001I_028EA,B27001I_028MA,state
5073200,2848,419169,5166,395165,6499,24004,3657,840911,5014,766208,9118,74703,6719,496764,4484,356460,8060,140304,7383,748390,4130,511325,11607,237065,11424,761914,4224,540562,8896,221352,8537,712694,3062,546196,7888,166498,8281,507250,2346,408708,4994,98542,4631,328527,2344,312987,2993,15540,2560,257581,2145,251124,2645,6457,1921,2848,null,null,5166,null,null,6499,null,null,3657,null,null,5014,null,null,9118,null,null,6719,null,null,4484,null,null,8060,null,null,7383,null,null,4130,null,null,11607,null,null,11424,null,null,4224,null,null,8896,null,null,8537,null,null,3062,null,null,7888,null,null,8281,null,null,2346,null,null,4994,null,null,4631,null,null,2344,null,null,2993,null,null,2560,null,null,2145,null,null,2645,null,null,1921,null,null,12
946178,3086,116900,4075,105805,4479,11095,2732,239477,4363,202803,6328,36674,5141,101298,3715,62144,3600,39154,3676,143509,4388,71036,4733,72473,4550,155511,4800,67975,4584,87536,4623,102047,3852,62551,4320,39496,4990,53169,2850,36903,2984,16266,2440,22412,2137,19389,2281,3023,943,11855,2014,10349,2070,1506,1082,3086,null,null,4075,null,null,4479,null,null,2732,null,null,4363,null,null,6328,null,null,5141,null,null,3715,null,null,3600,null,null,3676,null,null,4388,null,null,4733,null,null,4550,null,null,4800,null,null,4584,null,null,4623,null,null,3852,null,null,4320,null,null,4990,null,null,2850,null,null,2984,null,null,2440,null,null,2137,null,null,2281,null,null,943,null,null,2014,null,null,2070,null,null,1082,null,null,13
141006,1335,23564,774,23296,905,268,290,31732,772,31174,851,558,383,16996,1109,15577,1160,1419,765,22016,1473,20181,1606,1835,810,17859,1350,16271,1366,1588,741,11720,1079,10915,1048,805,412,9826,385,9467,475,359,247,4652,460,4652,460,0,185,2641,391,2641,391,0,185,1335,null,null,774,null,null,905,null,null,290,null,null,772,null,null,851,null,null,383,null,null,1109,null,null,1160,null,null,765,null,null,1473,null,null,1606,null,null,810,null,null,1350,null,null,1366,null,null,741,null,null,1079,null,null,1048,null,null,412,null,null,385,null,null,475,null,null,247,null,null,460,null,null,460,null,null,185,null,null,391,null,null,391,null,null,185,null,null,15
204167,822,27782,1981,26675,1965,1107,514,51182,2052,45013,2184,6169,1809,27862,2228,19511,2186,8351,1940,31191,2619,19906,2478,11285,1817,26012,2552,15875,2274,10137,1936,19399,1919,13038,1925,6361,1642,10789,1442,9418,1371,1371,606,6124,1236,5643,1252,481,418,3826,1063,3372,956,454,405,822,null,null,1981,null,null,1965,null,null,514,null,null,2052,null,null,2184,null,null,1809,null,null,2228,null,null,2186,null,null,1940,null,null,2619,null,null,2478,null,null,1817,null,null,2552,null,null,2274,null,null,1936,null,null,1919,null,null,1925,null,null,1642,null,null,1442,null,null,1371,null,null,606,null,null,1236,null,null,1252,null,null,418,null,null,1063,null,null,956,null,null,405,null,null,16
2160636,2271,224193,3652,218903,3931,5290,1420,494500,3850,479573,4857,14927,2529,250066,2462,201886,4589,48180,4081,331198,3043,240307,6680,90891,5951,332410,2443,239452,6909,92958,6118,251037,2951,197502,4870,53535,4447,157867,1802,134277,3207,23590,2882,76310,1474,71527,1809,4783,1268,43055,1187,41545,1166,1510,684,2271,null,null,3652,null,null,3931,null,null,1420,null,null,3850,null,null,4857,null,null,2529,null,null,2462,null,null,4589,null,null,4081,null,null,3043,null,null,6680,null,null,5951,null,null,2443,null,null,6909,null,null,6118,null,null,2951,null,null,4870,null,null,4447,null,null,1802,null,null,3207,null,null,2882,null,null,1474,null,null,1809,null,null,1268,null,null,1187,null,null,1166,null,null,684,null,null,17
443016,1638,52627,2296,48976,2248,3651,1266,117002,2483,108140,3158,8862,2097,53743,2229,40380,2418,13363,2180,65075,3188,41237,3218,23838,3108,66100,2800,44701,3282,21399,2611,42808,2341,31850,2623,10958,1665,26118,1697,21601,1924,4517,1112,13641,1294,12625,1343,1016,619,5902,825,5664,841,238,182,1638,null,null,2296,null,null,2248,null,null,1266,null,null,2483,null,null,3158,null,null,2097,null,null,2229,null,null,2418,null,null,2180,null,null,3188,null,null,3218,null,null,3108,null,null,2800,null,null,3282,null,null,2611,null,null,2341,null,null,2623,null,null,1665,null,null,1697,null,null,1924,null,null,1112,null,null,1294,null,null,1343,null,null,619,null,null,825,null,null,841,null,null,182,null,null,18
177537,1210,23133,1682,22247,1719,886,562,47478,1712,44170,2193,3308,1265,22373,1643,18511,1770,3862,903,28091,2341,21952,2123,6139,1500,24449,1955,16779,1575,7670,1660,16479,1759,13656,1711,2823,851,10146,1485,8181,1464,1965,749,3616,742,3613,743,3,10,1772,545,1682,564,90,176,1210,null,null,1682,null,null,1719,null,null,562,null,null,1712,null,null,2193,null,null,1265,null,null,1643,null,null,1770,null,null,903,null,null,2341,null,null,2123,null,null,1500,null,null,1955,null,null,1575,null,null,1660,null,null,1759,null,null,1711,null,null,851,null,null,1485,null,null,1464,null,null,749,null,null,742,null,null,743,null,null,10,null,null,545,null,null,564,null,null,176,null,null,19
331860,1256,44229,2051,41754,2247,2475,796,84594,1991,78647,2449,5947,1580,43249,1983,31290,2130,11959,1968,47941,2228,30727,2610,17214,2109,45801,2282,29532,2610,16269,2316,31386,2087,23312,2175,8074,1022,19936,1188,14941,1323,4995,1153,10283,1221,9497,1202,786,584,4441,948,4217,936,224,212,1256,null,null,2051,null,null,2247,null,null,796,null,null,1991,null,null,2449,null,null,1580,null,null,1983,null,null,2130,null,null,1968,null,null,2228,null,null,2610,null,null,2109,null,null,2282,null,null,2610,null,null,2316,null,null,2087,null,null,2175,null,null,1022,null,null,1188,null,null,1323,null,null,1153,null,null,1221,null,null,1202,null,null,584,null,null,948,null,null,936,null,null,212,null,null,20
148306,2509,19771,2070,19030,2088,741,363,41014,2454,36680,2563,4334,1084,18128,1609,14533,1553,3595,868,23504,2073,13472,1478,10032,1749,20063,2003,13698,1900,6365,1388,13752,1680,9327,1605,4425,1471,8135,1260,7012,1165,1123,644,2840,721,2485,698,355,314,1099,395,1099,395,0,190,2509,null,null,2070,null,null,2088,null,null,363,null,null,2454,null,null,2563,null,null,1084,null,null,1609,null,null,1553,null,null,868,null,null,2073,null,null,1478,null,null,1749,null,null,2003,null,null,1900,null,null,1388,null,null,1680,null,null,1605,null,null,1471,null,null,1260,null,null,1165,null,null,644,null,null,721,null,null,698,null,null,314,null,null,395,null,null,395,null,null,190,null,null,21
224952,2125,29328,2379,27693,2407,1635,976,42508,2338,36424,2703,6084,1508,21877,1958,13040,1822,8837,1824,44819,3306,20124,2357,24695,3202,32840,2450,17206,2638,15634,2333,22412,2361,14644,2149,7768,1708,15505,1626,12145,1770,3360,1134,9527,1273,9241,1262,286,289,6136,1033,6114,1035,22,38,2125,null,null,2379,null,null,2407,null,null,976,null,null,2338,null,null,2703,null,null,1508,null,null,1958,null,null,1822,null,null,1824,null,null,3306,null,null,2357,null,null,3202,null,null,2450,null,null,2638,null,null,2333,null,null,2361,null,null,2149,null,null,1708,null,null,1626,null,null,1770,null,null,1134,null,null,1273,null,null,1262,null,null,289,null,null,1033,null,null,1035,null,null,38,null,null,22
