B18107_001E,B18107_001M,B18107_002E,B18107_002M,B18107_003E,B18107_003M,B18107_004E,B18107_004M,B18107_005E,B18107_005M,B18107_006E,B18107_006M,B18107_007E,B18107_007M,B18107_008E,B18107_008M,B18107_009E,B18107_009M,B18107_010E,B18107_010M,B18107_011E,B18107_011M,B18107_012E,B18107_012M,B18107_013E,B18107_013M,B18107_014E,B18107_014M,B18107_015E,B18107_015M,B18107_016E,B18107_016M,B18107_017E,B18107_017M,B18107_018E,B18107_018M,B18107_019E,B18107_019M,B18107_020E,B18107_020M,B18107_021E,B18107_021M,B18107_022E,B18107_022M,B18107_023E,B18107_023M,B18107_024E,B18107_024M,B18107_025E,B18107_025M,B18107_026E,B18107_026M,B18107_027E,B18107_027M,B18107_001M,B18107_001EA,B18107_001MA,B18107_002M,B18107_002EA,B18107_002MA,B18107_003M,B18107_003EA,B18107_003MA,B18107_004M,B18107_004EA,B18107_004MA,B18107_005M,B18107_005EA,B18107_005MA,B18107_006M,B18107_006EA,B18107_006MA,B18107_007M,B18107_007EA,B18107_007MA,B18107_008M,B18107_008EA,B18107_008MA,B18107_009M,B18107_009EA,B18107_009MA,B18107_010M,B18107_010EA,B18107_010MA,B18107_011M,B18107_011EA,B18107_011MA,B18107_012M,B18107_012EA,B18107_012MA,B18107_013M,B18107_013EA,B18107_013MA,B18107_014M,B18107_014EA,B18107_014MA,B18107_015M,B18107_015EA,B18107_015MA,B18107_016M,B18107_016EA,B18107_016MA,B18107_017M,B18107_017EA,B18107_017MA,B18107_018M,B18107_018EA,B18107_018MA,B18107_019M,B18107_019EA,B18107_019MA,B18107_020M,B18107_020EA,B18107_020MA,B18107_021M,B18107_021EA,B18107_021MA,B18107_022M,B18107_022EA,B18107_022MA,B18107_023M,B18107_023EA,B18107_023MA,B18107_024M,B18107_024EA,B18107_024MA,B18107_025M,B18107_025EA,B18107_025MA,B18107_026M,B18107_026EA,B18107_026MA,B18107_027M,B18107_027EA,B18107_027MA,state
16158134,5598,7717514,6638,2142659,7346,63502,5238,2079157,9364,3761541,7581,156809,7594,3604732,10560,1046794,2943,53059,3759,993735,4526,766520,2762,129321,5441,637199,5999,8440620,5663,2160736,7148,46184,3533,2114552,8312,4072452,5872,188339,7611,3884113,8010,1213343,3258,84665,4714,1128678,5825,994089,3398,257381,7212,736708,7450,5598,null,null,6638,null,null,7346,null,null,5238,null,null,9364,null,null,7581,null,null,7594,null,null,10560,null,null,2943,null,null,3759,null,null,4526,null,null,2762,null,null,5441,null,null,5999,null,null,5663,null,null,7148,null,null,3533,null,null,8312,null,null,5872,null,null,7611,null,null,8010,null,null,3258,null,null,4714,null,null,5825,null,null,3398,null,null,7212,null,null,7450,null,null,12
7614462,5045,3587801,6135,1129302,5936,33233,3513,1096069,6693,1878678,6160,84432,4624,1794246,7543,382965,3225,28595,2347,354370,4221,196856,2573,38532,2371,158324,2986,4026661,5262,1198145,5087,25861,3069,1172284,6328,2078034,6010,100176,5475,1977858,8161,457409,3444,40659,3153,416750,3803,293073,2997,90471,3963,202602,4501,5045,null,null,6135,null,null,5936,null,null,3513,null,null,6693,null,null,6160,null,null,4624,null,null,7543,null,null,3225,null,null,2347,null,null,4221,null,null,2573,null,null,2371,null,null,2986,null,null,5262,null,null,5087,null,null,3069,null,null,6328,null,null,6010,null,null,5475,null,null,8161,null,null,3444,null,null,3153,null,null,3803,null,null,2997,null,null,3963,null,null,4501,null,null,13
1071169,2692,518665,2507,151384,2316,3057,735,148327,2582,258922,2108,8622,1295,250300,2523,67152,693,4956,1492,62196,1740,41207,549,8964,1299,32243,1408,552504,1469,152615,1315,3547,1174,149068,1610,269514,1052,8678,1411,260836,1741,70961,498,4725,863,66236,1007,59414,557,20277,1768,39137,1875,2692,null,null,2507,null,null,2316,null,null,735,null,null,2582,null,null,2108,null,null,1295,null,null,2523,null,null,693,null,null,1492,null,null,1740,null,null,549,null,null,1299,null,null,1408,null,null,1469,null,null,1315,null,null,1174,null,null,1610,null,null,1052,null,null,1411,null,null,1741,null,null,498,null,null,863,null,null,1007,null,null,557,null,null,1768,null,null,1875,null,null,15
1227237,1476,602702,2380,186688,2462,6603,1526,180085,2828,296830,2494,10212,1868,286618,3048,74869,1212,4283,1167,70586,1665,44315,869,7084,1280,37231,1463,624535,2270,184608,2227,6241,1535,178367,2637,306677,2511,14978,1891,291699,2581,79249,1178,4430,918,74819,1464,54001,859,13826,1492,40175,1693,1476,null,null,2380,null,null,2462,null,null,1526,null,null,2828,null,null,2494,null,null,1868,null,null,3048,null,null,1212,null,null,1167,null,null,1665,null,null,869,null,null,1280,null,null,1463,null,null,2270,null,null,2227,null,null,1535,null,null,2637,null,null,2511,null,null,1891,null,null,2581,null,null,1178,null,null,918,null,null,1464,null,null,859,null,null,1492,null,null,1693,null,null,16
9700525,2700,4677942,3782,1459919,3508,32135,3742,1427784,5144,2427513,3724,91775,5007,2335738,6119,491228,1546,31285,2072,459943,2624,299282,2128,55353,2757,243929,3271,5022583,3975,1465364,2903,22857,2240,1442507,3689,2539819,3516,106912,4649,2432907,5617,568449,2072,49830,3281,518619,3633,448951,2560,130233,4745,318718,5278,2700,null,null,3782,null,null,3508,null,null,3742,null,null,5144,null,null,3724,null,null,5007,null,null,6119,null,null,1546,null,null,2072,null,null,2624,null,null,2128,null,null,2757,null,null,3271,null,null,3975,null,null,2903,null,null,2240,null,null,3689,null,null,3516,null,null,4649,null,null,5617,null,null,2072,null,null,3281,null,null,3633,null,null,2560,null,null,4745,null,null,5278,null,null,17
4960989,3562,2397382,4200,747116,4328,22600,2713,724516,5468,1226755,4515,59800,4070,1166955,6123,267078,1757,18762,1941,248316,2526,156433,1459,28178,1803,128255,2100,2563607,3746,746645,2984,17590,2185,729055,3176,1283195,3797,73137,4726,1210058,5306,304566,2037,26992,2169,277574,2858,229201,1854,62237,3218,166964,3648,3562,null,null,4200,null,null,4328,null,null,2713,null,null,5468,null,null,4515,null,null,4070,null,null,6123,null,null,1757,null,null,1941,null,null,2526,null,null,1459,null,null,1803,null,null,2100,null,null,3746,null,null,2984,null,null,2185,null,null,3176,null,null,3797,null,null,4726,null,null,5306,null,null,2037,null,null,2169,null,null,2858,null,null,1854,null,null,3218,null,null,3648,null,null,18
2366440,1861,1159861,2675,356637,2445,8774,1559,347863,2665,582367,3025,18028,1890,564339,3367,133100,1180,7560,993,125540,1578,87757,969,13526,1719,74231,1824,1206579,2392,350207,2738,7630,1239,342577,3105,585994,2745,23417,2095,562577,3355,143825,1161,8977,1097,134848,1649,126553,1262,26345,1976,100208,2050,1861,null,null,2675,null,null,2445,null,null,1559,null,null,2665,null,null,3025,null,null,1890,null,null,3367,null,null,1180,null,null,993,null,null,1578,null,null,969,null,null,1719,null,null,1824,null,null,2392,null,null,2738,null,null,1239,null,null,3105,null,null,2745,null,null,2095,null,null,3355,null,null,1161,null,null,1097,null,null,1649,null,null,1262,null,null,1976,null,null,2050,null,null,19
2137760,2885,1042679,3256,330380,3296,8831,1635,321549,3795,523091,3174,20386,2351,502705,3542,116363,1273,6335,1176,110028,1667,72845,1233,11021,1319,61824,1430,1095081,2597,326343,2832,7930,1500,318413,3124,538579,2688,26068,2227,512511,3343,127311,1090,9677,1281,117634,1645,102848,1425,25008,1883,77840,1954,2885,null,null,3256,null,null,3296,null,null,1635,null,null,3795,null,null,3174,null,null,2351,null,null,3542,null,null,1273,null,null,1176,null,null,1667,null,null,1233,null,null,1319,null,null,1430,null,null,2597,null,null,2832,null,null,1500,null,null,3124,null,null,2688,null,null,2227,null,null,3343,null,null,1090,null,null,1281,null,null,1645,null,null,1425,null,null,1883,null,null,1954,null,null,20
3344394,3524,1604629,4312,478318,3496,17126,1927,461192,3668,830830,3363,56057,4166,774773,5433,189568,1155,17084,2062,172484,2470,105913,1266,24521,2065,81392,2192,1739765,3445,485736,3322,15526,1897,470210,3340,884143,3043,68754,3951,815389,5272,215237,1572,21446,2085,193791,2573,154649,1309,50054,3035,104595,3283,3524,null,null,4312,null,null,3496,null,null,1927,null,null,3668,null,null,3363,null,null,4166,null,null,5433,null,null,1155,null,null,2062,null,null,2470,null,null,1266,null,null,2065,null,null,2192,null,null,3445,null,null,3322,null,null,1897,null,null,3340,null,null,3043,null,null,3951,null,null,5272,null,null,1572,null,null,2085,null,null,2573,null,null,1309,null,null,3035,null,null,3283,null,null,21
3461725,2923,1637528,3425,524846,4907,19536,2809,505310,5901,825918,5223,43514,3759,782404,6195,183138,1906,15035,2091,168103,2540,103626,1473,20403,1877,83223,2150,1824197,3043,554932,3664,12407,2110,542525,4474,902003,4085,56514,4256,845489,5392,214897,1735,22579,2482,192318,2868,152365,1821,47866,2999,104499,3287,2923,null,null,3425,null,null,4907,null,null,2809,null,null,5901,null,null,5223,null,null,3759,null,null,6195,null,null,1906,null,null,2091,null,null,2540,null,null,1473,null,null,1877,null,null,2150,null,null,3043,null,null,3664,null,null,2110,null,null,4474,null,null,4085,null,null,4256,null,null,5392,null,null,1735,null,null,2482,null,null,2868,null,null,1821,null,null,2999,null,null,3287,null,null,22
