C17021_001E,C17021_001M,C17021_002E,C17021_002M,C17021_003E,C17021_003M,C17021_004E,C17021_004M,C17021_005E,C17021_005M,C17021_006E,C17021_006M,C17021_007E,C17021_007M,C17021_008E,C17021_008M,C17021_009E,C17021_009M,C17021_010E,C17021_010M,C17021_011E,C17021_011M,C17021_012E,C17021_012M,C17021_013E,C17021_013M,C17021_014E,C17021_014M,C17021_015E,C17021_015M,C17021_001M,C17021_001EA,C17021_001MA,C17021_002M,C17021_002EA,C17021_002MA,C17021_003M,C17021_003EA,C17021_003MA,C17021_004M,C17021_004EA,C17021_004MA,C17021_005M,C17021_005EA,C17021_005MA,C17021_006M,C17021_006EA,C17021_006MA,C17021_007M,C17021_007EA,C17021_007MA,C17021_008M,C17021_008EA,C17021_008MA,C17021_009M,C17021_009EA,C17021_009MA,C17021_010M,C17021_010EA,C17021_010MA,C17021_011M,C17021_011EA,C17021_011MA,C17021_012M,C17021_012EA,C17021_012MA,C17021_013M,C17021_013EA,C17021_013MA,C17021_014M,C17021_014EA,C17021_014MA,C17021_015M,C17021_015EA,C17021_015MA,state
20191342,6143,2973512,48474,2090405,43445,832734,34585,1257671,34264,246462,16418,1011209,31800,883107,20113,17217830,49000,14452964,60837,10506220,66475,3946744,63763,1145918,36154,2800826,51934,2764866,30171,6143,null,null,48474,null,null,43445,null,null,34585,null,null,34264,null,null,16418,null,null,31800,null,null,20113,null,null,49000,null,null,60837,null,null,66475,null,null,63763,null,null,36154,null,null,51934,null,null,30171,null,null,12
10040201,4550,1603013,34382,1216305,33500,415480,22494,800825,29152,139995,12708,660830,27845,386708,12257,8437188,35231,7269333,38710,5396381,54124,1872952,49707,493628,23442,1379324,44813,1167855,20597,4550,null,null,34382,null,null,33500,null,null,22494,null,null,29152,null,null,12708,null,null,27845,null,null,12257,null,null,35231,null,null,38710,null,null,54124,null,null,49707,null,null,23442,null,null,44813,null,null,20597,null,null,13
1389442,1866,129569,10361,84535,9166,39724,6941,44811,6333,9372,2402,35439,5708,45034,3568,1259873,10635,1107595,13118,830840,16674,276755,17522,99765,12025,176990,13390,152278,6655,1866,null,null,10361,null,null,9166,null,null,6941,null,null,6333,null,null,2402,null,null,5708,null,null,3568,null,null,10635,null,null,13118,null,null,16674,null,null,17522,null,null,12025,null,null,13390,null,null,6655,null,null,15
1652592,1607,237445,15728,164607,14093,75114,9341,89493,10576,19062,4310,70431,9673,72838,5040,1415147,15868,1227117,17165,1018640,20358,208477,12444,77221,8334,131256,10446,188030,8172,1607,null,null,15728,null,null,14093,null,null,9341,null,null,10576,null,null,4310,null,null,9673,null,null,5040,null,null,15868,null,null,17165,null,null,20358,null,null,12444,null,null,8334,null,null,10446,null,null,8172,null,null,16
12502057,3937,1621508,35297,1130450,32636,389047,20285,741403,27594,136856,11935,604547,25000,491058,12637,10880549,36190,9199219,43191,7086143,50828,2113076,44490,628533,25920,1484543,35426,1681330,20014,3937,null,null,35297,null,null,32636,null,null,20285,null,null,27594,null,null,11935,null,null,25000,null,null,12637,null,null,36190,null,null,43191,null,null,50828,null,null,44490,null,null,25920,null,null,35426,null,null,20014,null,null,17
6432804,3045,906077,22930,623027,22351,228069,13818,394958,19916,70928,8206,324030,18250,283050,8614,5526727,23631,4678948,27821,3668175,32299,1010773,26133,324398,14242,686375,22907,847779,13236,3045,null,null,22930,null,null,22351,null,null,13818,null,null,19916,null,null,8206,null,null,18250,null,null,8614,null,null,23631,null,null,27821,null,null,32299,null,null,26133,null,null,14242,null,null,22907,null,null,13236,null,null,18
3031338,2083,356378,12582,217991,11732,81973,9479,136018,8650,26550,3876,109468,7470,138387,4925,2674960,12482,2233264,16096,1841987,19967,391277,13520,133862,9119,257415,12543,441696,9015,2083,null,null,12582,null,null,11732,null,null,9479,null,null,8650,null,null,3876,null,null,7470,null,null,4925,null,null,12482,null,null,16096,null,null,19967,null,null,13520,null,null,9119,null,null,12543,null,null,9015,null,null,19
2825864,1863,342544,14393,218344,12666,82487,8096,135857,10298,27009,4497,108848,8964,124200,6147,2483320,14383,2105826,16542,1695183,23786,410643,17065,141648,10827,268995,13287,377494,9561,1863,null,null,14393,null,null,12666,null,null,8096,null,null,10298,null,null,4497,null,null,8964,null,null,6147,null,null,14383,null,null,16542,null,null,23786,null,null,17065,null,null,10827,null,null,13287,null,null,9561,null,null,20
4298953,3416,794060,24195,568084,21841,212689,13772,355395,16885,65356,7044,290039,14434,225976,8344,3504893,23747,2977847,27018,2321788,32904,656059,20786,203578,12157,452481,18214,527046,11437,3416,null,null,24195,null,null,21841,null,null,13772,null,null,16885,null,null,7044,null,null,14434,null,null,8344,null,null,23747,null,null,27018,null,null,32904,null,null,20786,null,null,12157,null,null,18214,null,null,11437,null,null,21
4546017,4194,918187,25851,671227,24686,182743,17666,488484,22402,72863,9318,415621,20051,246960,9180,3627830,26966,3081850,27809,2238933,32875,842917,29173,231811,15983,611106,22735,545980,11495,4194,null,null,25851,null,null,24686,null,null,17666,null,null,22402,null,null,9318,null,null,20051,null,null,9180,null,null,26966,null,null,27809,null,null,32875,null,null,29173,null,null,15983,null,null,22735,null,null,11495,null,null,22
1295971,1363,161749,10063,96675,9024,41257,5999,55418,6766,15817,3602,39601,5413,65074,4264,1134222,10123,928610,11775,733683,14241,194927,11504,66871,7276,128056,9034,205612,7147,1363,null,null,10063,null,null,9024,null,null,5999,null,null,6766,null,null,3602,null,null,5413,null,null,4264,null,null,10123,null,null,11775,null,null,14241,null,null,11504,null,null,7276,null,null,9034,null,null,7147,null,null,23
5875026,3123,567715,17097,378566,15220,119756,11902,258810,13864,52181,7028,206629,13624,189149,8103,5307311,17951,4532809,22152,3348153,31680,1184656,28273,336601,16962,848055,25526,774502,13474,3123,null,null,17097,null,null,15220,null,null,11902,null,null,13864,null,null,7028,null,null,13624,null,null,8103,null,null,17951,null,null,22152,null,null,31680,null,null,28273,null,null,16962,null,null,25526,null,null,13474,null,null,24
6574249,2698,686597,20435,428954,17728,124376,10196,304578,14807,47415,7406,257163,13048,257643,7598,5887652,20072,4877680,24880,3736646,34041,1141034,32469,329482,19169,811552,30051,1009972,18168,2698,null,null,20435,null,null,17728,null,null,10196,null,null,14807,null,null,7406,null,null,13048,null,null,7598,null,null,20072,null,null,24880,null,null,34041,null,null,32469,null,null,19169,null,null,30051,null,null,18168,null,null,25
