B20017D_001E,B20017D_001M,B20017D_002E,B20017D_002M,B20017D_003E,B20017D_003M,B20017D_004E,B20017D_004M,B20017D_005E,B20017D_005M,B20017D_006E,B20017D_006M,B20017D_007E,B20017D_007M,B20017D_001M,B20017D_001EA,B20017D_001MA,B20017D_002M,B20017D_002EA,B20017D_002MA,B20017D_003M,B20017D_003EA,B20017D_003MA,B20017D_004M,B20017D_004EA,B20017D_004MA,B20017D_005M,B20017D_005EA,B20017D_005MA,B20017D_006M,B20017D_006EA,B20017D_006MA,B20017D_007M,B20017D_007EA,B20017D_007MA,state
31637,853,37144,2549,52171,3730,15428,1502,27512,1893,37766,2168,12958,2013,853,null,null,2549,null,null,3730,null,null,1502,null,null,1893,null,null,2168,null,null,2013,null,null,12
36508,1394,45037,5511,61124,2047,14531,2149,30649,1161,45119,4832,12636,1534,1394,null,null,5511,null,null,2047,null,null,2149,null,null,1161,null,null,4832,null,null,1534,null,null,13
35878,806,39862,1601,47639,1956,13548,3459,32284,827,41175,952,14692,1313,806,null,null,1601,null,null,1956,null,null,3459,null,null,827,null,null,952,null,null,1313,null,null,15
30500,6271,36341,13896,50251,18793,17108,7797,20693,2297,39294,15379,17304,9525,6271,null,null,13896,null,null,18793,null,null,7797,null,null,2297,null,null,15379,null,null,9525,null,null,16
46168,1373,51934,1635,70899,1737,16817,1717,40295,1590,59553,4040,12480,1435,1373,null,null,1635,null,null,1737,null,null,1717,null,null,1590,null,null,4040,null,null,1435,null,null,17
28850,2510,31958,7605,52151,9764,11170,4209,23361,3461,40791,6397,7122,3050,2510,null,null,7605,null,null,9764,null,null,4209,null,null,3461,null,null,6397,null,null,3050,null,null,18
26567,2824,31048,3320,47500,9632,11719,4741,21588,929,35366,6755,7122,4840,2824,null,null,3320,null,null,9632,null,null,4741,null,null,929,null,null,6755,null,null,4840,null,null,19
28473,6971,40382,11603,52167,15113,12976,4203,22601,2557,35641,12890,7803,2079,6971,null,null,11603,null,null,15113,null,null,4203,null,null,2557,null,null,12890,null,null,2079,null,null,20
30824,2997,40830,7366,53498,5550,17369,5005,22292,2363,35229,6081,7887,3749,2997,null,null,7366,null,null,5550,null,null,5005,null,null,2363,null,null,6081,null,null,3749,null,null,21
28229,3530,33335,6612,50790,7816,17329,7315,22263,1796,31050,1553,11844,2170,3530,null,null,6612,null,null,7816,null,null,7315,null,null,1796,null,null,1553,null,null,2170,null,null,22
22281,4658,25952,17006,54853,29798,15576,4031,16766,4953,32745,6238,5517,2098,4658,null,null,17006,null,null,29798,null,null,4031,null,null,4953,null,null,6238,null,null,2098,null,null,23
50045,2808,60121,5816,76148,3526,16122,3342,40098,3270,61776,3224,11893,822,2808,null,null,5816,null,null,3526,null,null,3342,null,null,3270,null,null,3224,null,null,822,null,null,24
42145,2288,51702,1930,73942,4341,11428,1270,34136,3502,57703,4438,10246,1359,2288,null,null,1930,null,null,4341,null,null,1270,null,null,3502,null,null,4438,null,null,1359,null,null,25
42137,2363,55190,4723,75324,4835,13106,2928,30590,1805,52685,6921,10744,1549,2363,null,null,4723,null,null,4835,null,null,2928,null,null,1805,null,null,6921,null,null,1549,null,null,26
