C27001B_001E,C27001B_001M,C27001B_002E,C27001B_002M,C27001B_003E,C27001B_003M,C27001B_004E,C27001B_004M,C27001B_005E,C27001B_005M,C27001B_006E,C27001B_006M,C27001B_007E,C27001B_007M,C27001B_008E,C27001B_008M,C27001B_009E,C27001B_009M,C27001B_010E,C27001B_010M,C27001B_001M,C27001B_001EA,C27001B_001MA,C27001B_002M,C27001B_002EA,C27001B_002MA,C27001B_003M,C27001B_003EA,C27001B_003MA,C27001B_004M,C27001B_004EA,C27001B_004MA,C27001B_005M,C27001B_005EA,C27001B_005MA,C27001B_006M,C27001B_006EA,C27001B_006MA,C27001B_007M,C27001B_007EA,C27001B_007MA,C27001B_008M,C27001B_008EA,C27001B_008MA,C27001B_009M,C27001B_009EA,C27001B_009MA,C27001B_010M,C27001B_010EA,C27001B_010MA,state
3215738,22182,850745,11453,798921,12727,51824,5824,2018893,13627,1623980,18689,394913,16656,346100,3795,333536,4562,12564,2537,22182,null,null,11453,null,null,12727,null,null,5824,null,null,13627,null,null,18689,null,null,16656,null,null,3795,null,null,4562,null,null,2537,null,null,12
3173959,14829,856737,9052,812890,10597,43847,5672,2013996,8182,1645159,13809,368837,13103,303226,2809,299434,3262,3792,1323,14829,null,null,9052,null,null,10597,null,null,5672,null,null,8182,null,null,13809,null,null,13103,null,null,2809,null,null,3262,null,null,1323,null,null,13
20264,1918,4339,1080,4003,1136,336,365,15036,1578,13898,1664,1138,746,889,297,889,297,0,185,1918,null,null,1080,null,null,1136,null,null,365,null,null,1578,null,null,1664,null,null,746,null,null,297,null,null,297,null,null,185,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
1751769,9438,445211,6199,432064,7185,13147,2842,1098449,5896,990054,9506,108395,7083,208109,1823,207011,1926,1098,461,9438,null,null,6199,null,null,7185,null,null,2842,null,null,5896,null,null,9506,null,null,7083,null,null,1823,null,null,1926,null,null,461,null,null,17
598125,7281,176387,5228,172432,5512,3955,1275,363083,4398,315149,5474,47934,4348,58655,1624,58102,1531,553,520,7281,null,null,5228,null,null,5512,null,null,1275,null,null,4398,null,null,5474,null,null,4348,null,null,1624,null,null,1531,null,null,520,null,null,18
108207,3357,35458,1929,34734,2018,724,733,67040,2690,58709,3359,8331,2035,5709,763,5709,763,0,159,3357,null,null,1929,null,null,2018,null,null,733,null,null,2690,null,null,3359,null,null,2035,null,null,763,null,null,763,null,null,159,null,null,19
157545,4757,43016,3289,41400,3221,1616,871,98819,3122,78123,3271,20696,2674,15710,1217,15528,1238,182,180,4757,null,null,3289,null,null,3221,null,null,871,null,null,3122,null,null,3271,null,null,2674,null,null,1217,null,null,1238,null,null,180,null,null,20
350298,6462,95372,3638,92311,3646,3061,1677,220495,4211,203223,4505,17272,2708,34431,1662,34125,1615,306,223,6462,null,null,3638,null,null,3646,null,null,1677,null,null,4211,null,null,4505,null,null,2708,null,null,1662,null,null,1615,null,null,223,null,null,21
1462552,7568,411285,5064,402102,5634,9183,2250,892820,4438,738706,9848,154114,8533,158447,2304,157609,2232,838,404,7568,null,null,5064,null,null,5634,null,null,2250,null,null,4438,null,null,9848,null,null,8533,null,null,2304,null,null,2232,null,null,404,null,null,22
19435,2006,7870,1201,7680,1230,190,263,11303,1466,8583,1256,2720,1136,262,253,262,253,0,172,2006,null,null,1201,null,null,1230,null,null,263,null,null,1466,null,null,1256,null,null,1136,null,null,253,null,null,253,null,null,172,null,null,23
1757742,9690,423507,5051,410537,6238,12970,3273,1130307,5963,1043033,8294,87274,6026,203928,2229,201146,2274,2782,888,9690,null,null,5051,null,null,6238,null,null,3273,null,null,5963,null,null,8294,null,null,6026,null,null,2229,null,null,2274,null,null,888,null,null,24
496138,7908,127987,4292,127241,4292,746,397,321999,5255,304620,5879,17379,3294,46152,1468,45338,1514,814,483,7908,null,null,4292,null,null,4292,null,null,397,null,null,5255,null,null,5879,null,null,3294,null,null,1468,null,null,1514,null,null,483,null,null,25
1326535,9707,345629,5891,337518,5864,8111,1969,823515,5557,744829,6516,78686,5183,157391,1295,157125,1316,266,223,9707,null,null,5891,null,null,5864,null,null,1969,null,null,5557,null,null,6516,null,null,5183,null,null,1295,null,null,1316,null,null,223,null,null,26
323107,5844,113886,3986,109245,4079,4641,1745,193462,3908,175025,4371,18437,3126,15759,1268,15657,1243,102,168,5844,null,null,3986,null,null,4079,null,null,1745,null,null,3908,null,null,4371,null,null,3126,null,null,1268,null,null,1243,null,null,168,null,null,27
1106549,6816,310826,3748,299532,4362,11294,2139,680107,4943,542812,7873,137295,6834,115616,1946,115333,1947,283,164,6816,null,null,3748,null,null,4362,null,null,2139,null,null,4943,null,null,7873,null,null,6834,null,null,1946,null,null,1947,null,null,164,null,null,28
678391,7576,183361,5132,176876,5504,6485,2003,422808,4589,352408,6066,70400,5250,72222,1639,71744,1616,478,305,7576,null,null,5132,null,null,5504,null,null,2003,null,null,4589,null,null,6066,null,null,5250,null,null,1639,null,null,1616,null,null,305,null,null,29
3535,962,413,304,413,304,0,168,2828,928,2443,918,385,345,294,287,294,287,0,168,962,null,null,304,null,null,304,null,null,168,null,null,928,null,null,918,null,null,345,null,null,287,null,null,287,null,null,168,null,null,30
86027,3041,27236,1966,25961,2221,1275,687,52722,1943,41519,2120,11203,2001,6069,492,5885,506,184,177,3041,null,null,1966,null,null,2221,null,null,687,null,null,1943,null,null,2120,null,null,2001,null,null,492,null,null,506,null,null,177,null,null,31
253421,5255,68099,3373,63784,3720,4315,1984,158454,3133,140176,3836,18278,3145,26868,848,26868,848,0,210,5255,null,null,3373,null,null,3720,null,null,1984,null,null,3133,null,null,3836,null,null,3145,null,null,848,null,null,848,null,null,210,null,null,32
15409,1659,3945,985,3734,989,211,335,10320,1097,8903,1251,1417,857,1144,457,1144,457,0,187,1659,null,null,985,null,null,989,null,null,335,null,null,1097,null,null,1251,null,null,857,null,null,457,null,null,457,null,null,187,null,null,33
1158174,11061,275645,5334,267272,5690,8373,1976,749140,7980,660217,8944,88923,6909,133389,2370,131191,2703,2198,964,11061,null,null,5334,null,null,5690,null,null,1976,null,null,7980,null,null,8944,null,null,6909,null,null,2370,null,null,2703,null,null,964,null,null,34
38111,2859,9592,1706,9464,1718,128,136,24478,2041,22049,2107,2429,859,4041,929,4041,929,0,195,2859,null,null,1706,null,null,1718,null,null,136,null,null,2041,null,null,2107,null,null,859,null,null,929,null,null,929,null,null,195,null,null,35
2999161,18914,698095,8914,681347,9041,16748,2470,1937289,12159,1756384,13053,180905,8645,363777,3360,357405,3355,6372,1215,18914,null,null,8914,null,null,9041,null,null,2470,null,null,12159,null,null,13053,null,null,8645,null,null,3360,null,null,3355,null,null,1215,null,null,36
2130182,13490,529430,8088,513009,8475,16421,3639,1350919,8185,1136749,10860,214170,9073,249833,2616,248626,2612,1207,518,13490,null,null,8088,null,null,8475,null,null,3639,null,null,8185,null,null,10860,null,null,9073,null,null,2616,null,null,2612,null,null,518,null,null,37
18907,2408,5689,1213,4503,1244,1186,529,12942,1774,8849,1670,4093,1463,276,333,276,333,0,155,2408,null,null,1213,null,null,1244,null,null,529,null,null,1774,null,null,1670,null,null,1463,null,null,333,null,null,333,null,null,155,null,null,38
1397065,10444,380859,7161,369442,6687,11417,2883,858616,6719,771981,7703,86635,6044,157590,2352,156497,2484,1093,591,10444,null,null,7161,null,null,6687,null,null,2883,null,null,6719,null,null,7703,null,null,6044,null,null,2352,null,null,2484,null,null,591,null,null,39
275256,4863,76327,3592,72293,3721,4034,1023,173128,3151,135149,4103,37979,3346,25801,1052,25663,1053,138,116,4863,null,null,3592,null,null,3721,null,null,1023,null,null,3151,null,null,4103,null,null,3346,null,null,1052,null,null,1053,null,null,116,null,null,40
76741,4194,20448,2465,19329,2433,1119,849,50113,2391,46110,2650,4003,1511,6180,801,6180,801,0,201,4194,null,null,2465,null,null,2433,null,null,849,null,null,2391,null,null,2650,null,null,1511,null,null,801,null,null,801,null,null,201,null,null,41
1350224,11847,351715,7661,343885,7910,7830,1669,848355,6160,760330,7829,88025,5733,150154,2493,148690,2563,1464,804,11847,null,null,7661,null,null,7910,null,null,1669,null,null,6160,null,null,7829,null,null,5733,null,null,2493,null,null,2563,null,null,804,null,null,42
66291,4177,16808,2267,16269,2208,539,413,43800,2515,39367,2663,4433,1617,5683,788,5647,803,36,58,4177,null,null,2267,null,null,2208,null,null,413,null,null,2515,null,null,2663,null,null,1617,null,null,788,null,null,803,null,null,58,null,null,44
1299725,8662,327591,6285,319180,6691,8411,1804,810057,4503,681846,7801,128211,6512,162077,1622,161460,1640,617,406,8662,null,null,6285,null,null,6691,null,null,1804,null,null,4503,null,null,7801,null,null,6512,null,null,1622,null,null,1640,null,null,406,null,null,45
13487,1396,4715,1123,4466,1174,249,232,8670,698,6692,929,1978,563,102,107,102,107,0,157,1396,null,null,1123,null,null,1174,null,null,232,null,null,698,null,null,929,null,null,563,null,null,107,null,null,107,null,null,157,null,null,46
1083541,9334,285889,5903,278867,5785,7022,2058,688581,5162,586185,6681,102396,5572,109071,2172,107810,2119,1261,578,9334,null,null,5903,null,null,5785,null,null,2058,null,null,5162,null,null,6681,null,null,5572,null,null,2172,null,null,2119,null,null,578,null,null,47
3243110,17402,878890,10984,825420,11587,53470,6070,2069834,10230,1679584,14464,390250,12772,294386,3975,290288,4246,4098,1315,17402,null,null,10984,null,null,11587,null,null,6070,null,null,10230,null,null,14464,null,null,12772,null,null,3975,null,null,4246,null,null,1315,null,null,48
31693,3050,12458,2217,12249,2218,209,213,18218,1450,15804,1535,2414,967,1017,500,1017,500,0,190,3050,null,null,2217,null,null,2218,null,null,213,null,null,1450,null,null,1535,null,null,967,null,null,500,null,null,500,null,null,190,null,null,49
7568,1055,2236,1018,2167,1005,69,80,4959,795,4426,873,533,381,373,238,373,238,0,151,1055,null,null,1018,null,null,1005,null,null,80,null,null,795,null,null,873,null,null,381,null,null,238,null,null,238,null,null,151,null,null,50
1541998,11684,372320,7340,357374,7512,14946,2807,985906,7317,850583,10578,135323,7196,183772,2649,181829,2656,1943,724,11684,null,null,7340,null,null,7512,null,null,2807,null,null,7317,null,null,10578,null,null,7196,null,null,2649,null,null,2656,null,null,724,null,null,51
256411,8994,67818,5170,67161,5222,657,498,168496,5213,152992,5678,15504,3039,20097,1504,19559,1519,538,434,8994,null,null,5170,null,null,5222,null,null,498,null,null,5213,null,null,5678,null,null,3039,null,null,1504,null,null,1519,null,null,434,null,null,53
63787,3219,14656,1825,14421,1810,235,263,40237,2310,35835,2532,4402,1318,8894,1512,8837,1503,57,102,3219,null,null,1825,null,null,1810,null,null,263,null,null,2310,null,null,2532,null,null,1318,null,null,1512,null,null,1503,null,null,102,null,null,54
346353,4787,107319,3428,105648,3378,1671,593,211914,3016,187841,3800,24073,2611,27120,1146,26813,1059,307,354,4787,null,null,3428,null,null,3378,null,null,593,null,null,3016,null,null,3800,null,null,2611,null,null,1146,null,null,1059,null,null,354,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
392218,12277,71595,4784,68993,4555,2602,1029,248254,8635,222258,7424,25996,3206,72369,4134,71072,4103,1297,626,12277,null,null,4784,null,null,4555,null,null,1029,null,null,8635,null,null,7424,null,null,3206,null,null,4134,null,null,4103,null,null,626,null,null,72
1269831,7489,326515,5340,320713,5625,5802,1727,802075,4466,669934,7456,132141,7227,141241,2178,140942,2145,299,212,7489,null,null,5340,null,null,5625,null,null,1727,null,null,4466,null,null,7456,null,null,7227,null,null,2178,null,null,2145,null,null,212,null,null,01
22186,1988,5304,1092,5243,1094,61,81,15104,1434,13044,1691,2060,1123,1778,528,1720,516,58,93,1988,null,null,1092,null,null,1094,null,null,81,null,null,1434,null,null,1691,null,null,1123,null,null,528,null,null,516,null,null,93,null,null,02
288061,6607,79341,4094,75293,3949,4048,1388,182830,4071,163016,4470,19814,2620,25890,858,25855,833,35,61,6607,null,null,4094,null,null,3949,null,null,1388,null,null,4071,null,null,4470,null,null,2620,null,null,858,null,null,833,null,null,61,null,null,04
449341,4893,125068,3278,123649,3372,1419,738,278609,3199,250205,5183,28404,4063,45664,1633,45477,1671,187,243,4893,null,null,3278,null,null,3372,null,null,738,null,null,3199,null,null,5183,null,null,4063,null,null,1633,null,null,1671,null,null,243,null,null,05
2186120,15695,493760,8471,482121,8516,11639,2473,1423976,10667,1314077,11932,109899,7359,268384,2965,266747,2974,1637,662,15695,null,null,8471,null,null,8516,null,null,2473,null,null,10667,null,null,11932,null,null,7359,null,null,2965,null,null,2974,null,null,662,null,null,06
222864,5782,60373,3470,58991,3569,1382,729,142061,3729,131040,3794,11021,2079,20430,1147,20339,1174,91,147,5782,null,null,3470,null,null,3569,null,null,729,null,null,3729,null,null,3794,null,null,2079,null,null,1147,null,null,1174,null,null,147,null,null,08
368742,7817,90283,3794,87427,3737,2856,1491,240665,5121,221950,5400,18715,2676,37794,999,37489,1017,305,265,7817,null,null,3794,null,null,3737,null,null,1491,null,null,5121,null,null,5400,null,null,2676,null,null,999,null,null,1017,null,null,265,null,null,09
204442,4223,54339,3100,52576,3171,1763,906,127219,1977,117113,2159,10106,1915,22884,550,21778,1260,1106,1137,4223,null,null,3100,null,null,3171,null,null,906,null,null,1977,null,null,2159,null,null,1915,null,null,550,null,null,1260,null,null,1137,null,null,10
314308,2844,67094,1227,64509,1682,2585,1377,202869,2012,192029,2972,10840,2328,44345,569,44309,573,36,61,2844,null,null,1227,null,null,1682,null,null,1377,null,null,2012,null,null,2972,null,null,2328,null,null,569,null,null,573,null,null,61,null,null,11
