B16005A_001E,B16005A_001M,B16005A_002E,B16005A_002M,B16005A_003E,B16005A_003M,B16005A_004E,B16005A_004M,B16005A_005E,B16005A_005M,B16005A_006E,B16005A_006M,B16005A_007E,B16005A_007M,B16005A_008E,B16005A_008M,B16005A_009E,B16005A_009M,B16005A_010E,B16005A_010M,B16005A_011E,B16005A_011M,B16005A_001M,B16005A_001EA,B16005A_001MA,B16005A_002M,B16005A_002EA,B16005A_002MA,B16005A_003M,B16005A_003EA,B16005A_003MA,B16005A_004M,B16005A_004EA,B16005A_004MA,B16005A_005M,B16005A_005EA,B16005A_005MA,B16005A_006M,B16005A_006EA,B16005A_006MA,B16005A_007M,B16005A_007EA,B16005A_007MA,B16005A_008M,B16005A_008EA,B16005A_008MA,B16005A_009M,B16005A_009EA,B16005A_009MA,B16005A_010M,B16005A_010EA,B16005A_010MA,B16005A_011M,B16005A_011EA,B16005A_011MA,state
14832530,26902,12046460,33178,10330564,26896,1715896,27710,1414729,27334,301167,12884,2786070,28374,400290,12773,2385780,27450,941606,15876,1444174,25693,26902,null,null,33178,null,null,26896,null,null,27710,null,null,27334,null,null,12884,null,null,28374,null,null,12773,null,null,27450,null,null,15876,null,null,25693,null,null,12
5719864,16915,5323782,14898,5054846,15411,268936,10595,226977,9924,41959,4467,396082,14524,67799,5209,328283,14452,126501,8435,201782,11341,16915,null,null,14898,null,null,15411,null,null,10595,null,null,9924,null,null,4467,null,null,14524,null,null,5209,null,null,14452,null,null,8435,null,null,11341,null,null,13
338386,4400,315366,4684,293395,4685,21971,2744,18309,2279,3662,1369,23020,2906,9904,1527,13116,2399,8429,1711,4687,1678,4400,null,null,4684,null,null,4685,null,null,2744,null,null,2279,null,null,1369,null,null,2906,null,null,1527,null,null,2399,null,null,1711,null,null,1678,null,null,15
1415023,6829,1359082,6503,1301002,5877,58080,5089,47262,5074,10818,2060,55941,4492,12070,1712,43871,3860,15928,2206,27943,3503,6829,null,null,6503,null,null,5877,null,null,5089,null,null,5074,null,null,2060,null,null,4492,null,null,1712,null,null,3860,null,null,2206,null,null,3503,null,null,16
8628241,22766,7764354,22108,7073542,20986,690812,16277,598752,15445,92060,5064,863887,17391,111915,5295,751972,17378,320489,10696,431483,11352,22766,null,null,22108,null,null,20986,null,null,16277,null,null,15445,null,null,5064,null,null,17391,null,null,5295,null,null,17378,null,null,10696,null,null,11352,null,null,17
5213354,9308,5068361,9168,4892426,10708,175935,8999,141581,8821,34354,3213,144993,7004,33705,3302,111288,6680,45640,4591,65648,5114,9308,null,null,9168,null,null,10708,null,null,8999,null,null,8821,null,null,3213,null,null,7004,null,null,3302,null,null,6680,null,null,4591,null,null,5114,null,null,18
2668152,4828,2602514,5292,2533249,6122,69265,4470,54932,3889,14333,2356,65638,4496,12923,1706,52715,4515,21717,2222,30998,3691,4828,null,null,5292,null,null,6122,null,null,4470,null,null,3889,null,null,2356,null,null,4496,null,null,1706,null,null,4515,null,null,2222,null,null,3691,null,null,19
2303606,6897,2201109,7106,2101371,7778,99738,5563,87344,5115,12394,2070,102497,6265,14561,1884,87936,6102,34355,3606,53581,4864,6897,null,null,7106,null,null,7778,null,null,5563,null,null,5115,null,null,2070,null,null,6265,null,null,1884,null,null,6102,null,null,3606,null,null,4864,null,null,20
3641678,6301,3572398,5555,3506037,7383,66361,5356,54963,4868,11398,1960,69280,4712,15486,2116,53794,4403,22413,3166,31381,3198,6301,null,null,5555,null,null,7383,null,null,5356,null,null,4868,null,null,1960,null,null,4712,null,null,2116,null,null,4403,null,null,3166,null,null,3198,null,null,21
2731066,5744,2648576,7121,2516574,7915,132002,5370,107846,5016,24156,2871,82490,6519,15276,2230,67214,6632,33985,4227,33229,4530,5744,null,null,7121,null,null,7915,null,null,5370,null,null,5016,null,null,2871,null,null,6519,null,null,2230,null,null,6632,null,null,4227,null,null,4530,null,null,22
1199143,1619,1172431,3291,1130733,4821,41698,3549,36125,3371,5573,1011,26712,3216,15230,2146,11482,2209,6532,1372,4950,1321,1619,null,null,3291,null,null,4821,null,null,3549,null,null,3371,null,null,1011,null,null,3216,null,null,2146,null,null,2209,null,null,1372,null,null,1321,null,null,23
3217904,11469,2944211,11993,2782651,12229,161560,7982,139722,7526,21838,2909,273693,12090,48575,3029,225118,11717,110910,6635,114208,8318,11469,null,null,11993,null,null,12229,null,null,7982,null,null,7526,null,null,2909,null,null,12090,null,null,3029,null,null,11717,null,null,6635,null,null,8318,null,null,24
5100699,15306,4629055,14186,4274734,15199,354321,11718,290915,10458,63406,4561,471644,15307,107664,4898,363980,14551,185118,9003,178862,9592,15306,null,null,14186,null,null,15199,null,null,11718,null,null,10458,null,null,4561,null,null,15307,null,null,4898,null,null,14551,null,null,9003,null,null,9592,null,null,25
7386811,9133,7026650,13685,6786732,16790,239918,9939,200875,8610,39043,3709,360161,12079,83616,4304,276545,12241,129025,6659,147520,9381,9133,null,null,13685,null,null,16790,null,null,9939,null,null,8610,null,null,3709,null,null,12079,null,null,4304,null,null,12241,null,null,6659,null,null,9381,null,null,26
4339740,5714,4220203,7968,4108888,10057,111315,6117,92301,5756,19014,2130,119537,7179,30924,2533,88613,6478,41688,4076,46925,4540,5714,null,null,7968,null,null,10057,null,null,6117,null,null,5756,null,null,2130,null,null,7179,null,null,2533,null,null,6478,null,null,4076,null,null,4540,null,null,27
1653499,3747,1628097,3672,1601139,3818,26958,3711,21540,3274,5418,1528,25402,2987,5589,1230,19813,2566,8542,1751,11271,2130,3747,null,null,3672,null,null,3818,null,null,3711,null,null,3274,null,null,1528,null,null,2987,null,null,1230,null,null,2566,null,null,1751,null,null,2130,null,null,28
4729782,5983,4616561,8555,4509421,11973,107140,7850,90662,7486,16478,2500,113221,7493,27903,2943,85318,6523,41593,4083,43725,4903,5983,null,null,8555,null,null,11973,null,null,7850,null,null,7486,null,null,2500,null,null,7493,null,null,2943,null,null,6523,null,null,4083,null,null,4903,null,null,29
876271,1877,862174,2754,844949,3845,17225,2786,14482,2466,2743,1021,14097,2083,9094,1377,5003,1459,3778,1261,1225,540,1877,null,null,2754,null,null,3845,null,null,2786,null,null,2466,null,null,1021,null,null,2083,null,null,1377,null,null,1459,null,null,1261,null,null,540,null,null,30
1567798,5573,1498095,5303,1435350,4855,62745,4189,49682,4125,13063,2063,69703,4899,7820,1394,61883,4645,18473,2397,43410,3854,5573,null,null,5303,null,null,4855,null,null,4189,null,null,4125,null,null,2063,null,null,4899,null,null,1394,null,null,4645,null,null,2397,null,null,3854,null,null,31
