C01001F_001E,C01001F_001M,C01001F_002E,C01001F_002M,C01001F_003E,C01001F_003M,C01001F_004E,C01001F_004M,C01001F_005E,C01001F_005M,C01001F_006E,C01001F_006M,C01001F_007E,C01001F_007M,C01001F_008E,C01001F_008M,C01001F_009E,C01001F_009M,C01001F_001M,C01001F_001EA,C01001F_001MA,C01001F_002M,C01001F_002EA,C01001F_002MA,C01001F_003M,C01001F_003EA,C01001F_003MA,C01001F_004M,C01001F_004EA,C01001F_004MA,C01001F_005M,C01001F_005EA,C01001F_005MA,C01001F_006M,C01001F_006EA,C01001F_006MA,C01001F_007M,C01001F_007EA,C01001F_007MA,C01001F_008M,C01001F_008EA,C01001F_008MA,C01001F_009M,C01001F_009EA,C01001F_009MA,state
570424,25434,286395,14306,70953,6939,197867,10204,17575,2303,284029,13927,73708,5403,186304,10026,24017,3070,25434,null,null,14306,null,null,6939,null,null,10204,null,null,2303,null,null,13927,null,null,5403,null,null,10026,null,null,3070,null,null,12
299220,21983,160171,12280,56716,7188,100379,6899,3076,1055,139049,11474,51341,5344,84357,7086,3351,1210,21983,null,null,12280,null,null,7188,null,null,6899,null,null,1055,null,null,11474,null,null,5344,null,null,7086,null,null,1210,null,null,13
12321,2548,7292,1575,1383,676,5596,1301,313,253,5029,1342,1324,782,3337,839,368,225,2548,null,null,1575,null,null,676,null,null,1301,null,null,253,null,null,1342,null,null,782,null,null,839,null,null,225,null,null,15
66137,7319,34472,3862,12926,2039,20384,2459,1162,535,31665,4007,11963,2398,18974,2184,728,354,7319,null,null,3862,null,null,2039,null,null,2459,null,null,535,null,null,4007,null,null,2398,null,null,2184,null,null,354,null,null,16
822784,24826,420839,13248,132543,7158,269347,8635,18949,2029,401945,14140,130606,7113,249570,8557,21769,2127,24826,null,null,13248,null,null,7158,null,null,8635,null,null,2029,null,null,14140,null,null,7113,null,null,8557,null,null,2127,null,null,17
157755,11013,84193,5898,29478,3203,51078,4231,3637,739,73562,6266,27897,3272,41650,3567,4015,915,11013,null,null,5898,null,null,3203,null,null,4231,null,null,739,null,null,6266,null,null,3272,null,null,3567,null,null,915,null,null,18
42129,4612,21961,2622,6752,1306,14749,1847,460,230,20168,2640,6962,1339,12671,1711,535,382,4612,null,null,2622,null,null,1306,null,null,1847,null,null,230,null,null,2640,null,null,1339,null,null,1711,null,null,382,null,null,19
74123,7806,38084,4860,12497,2581,24130,2864,1457,524,36039,3895,12582,2521,21676,2333,1781,565,7806,null,null,4860,null,null,2581,null,null,2864,null,null,524,null,null,3895,null,null,2521,null,null,2333,null,null,565,null,null,20
37591,5245,21394,3559,7813,2037,12858,2123,723,538,16197,2555,5468,1522,10416,1921,313,294,5245,null,null,3559,null,null,2037,null,null,2123,null,null,538,null,null,2555,null,null,1522,null,null,1921,null,null,294,null,null,21
68208,6424,39565,4047,11540,2213,26968,2974,1057,479,28643,3318,9588,1814,18215,2166,840,456,6424,null,null,4047,null,null,2213,null,null,2974,null,null,479,null,null,3318,null,null,1814,null,null,2166,null,null,456,null,null,22
2450,826,766,325,212,173,409,236,145,120,1684,646,415,229,1146,569,123,135,826,null,null,325,null,null,173,null,null,236,null,null,120,null,null,646,null,null,229,null,null,569,null,null,135,null,null,23
230326,12625,123574,7037,38414,3449,81262,5459,3898,685,106752,6730,32088,3091,69542,4471,5122,1326,12625,null,null,7037,null,null,3449,null,null,5459,null,null,685,null,null,6730,null,null,3091,null,null,4471,null,null,1326,null,null,24
285412,15924,144511,7339,39730,3937,97576,5468,7205,1208,140901,10021,39560,4549,92109,6387,9232,1470,15924,null,null,7339,null,null,3937,null,null,5468,null,null,1208,null,null,10021,null,null,4549,null,null,6387,null,null,1470,null,null,25
118621,8994,62354,4883,20891,2641,39120,3344,2343,609,56267,4967,18808,2853,34300,3082,3159,799,8994,null,null,4883,null,null,2641,null,null,3344,null,null,609,null,null,4967,null,null,2853,null,null,3082,null,null,799,null,null,26
111852,6950,59692,3542,19868,2246,37912,2275,1912,605,52160,4641,20437,2782,30200,2587,1523,646,6950,null,null,3542,null,null,2246,null,null,2275,null,null,605,null,null,4641,null,null,2782,null,null,2587,null,null,646,null,null,27
30583,4250,17534,2593,6331,1609,10201,1837,1002,833,13049,2169,4553,1411,8030,1771,466,365,4250,null,null,2593,null,null,1609,null,null,1837,null,null,833,null,null,2169,null,null,1411,null,null,1771,null,null,365,null,null,28
71031,6374,35550,3454,13751,1863,20444,2556,1355,631,35481,4043,14320,2343,19821,2254,1340,478,6374,null,null,3454,null,null,1863,null,null,2556,null,null,631,null,null,4043,null,null,2343,null,null,2254,null,null,478,null,null,29
3738,1189,1773,649,645,369,1078,478,50,55,1965,761,911,458,948,501,106,135,1189,null,null,649,null,null,369,null,null,478,null,null,55,null,null,761,null,null,458,null,null,501,null,null,135,null,null,30
38348,5844,18159,2900,5851,1479,11626,1919,682,372,20189,3675,8248,2209,10792,1725,1149,445,5844,null,null,2900,null,null,1479,null,null,1919,null,null,372,null,null,3675,null,null,2209,null,null,1725,null,null,445,null,null,31
274293,14398,140604,8055,42048,3824,94013,5827,4543,1098,133689,7826,42952,4355,83669,4893,7068,1358,14398,null,null,8055,null,null,3824,null,null,5827,null,null,1098,null,null,7826,null,null,4355,null,null,4893,null,null,1358,null,null,32
8057,2144,4447,1238,1161,551,3201,1020,85,118,3610,1344,990,618,2327,868,293,208,2144,null,null,1238,null,null,551,null,null,1020,null,null,118,null,null,1344,null,null,618,null,null,868,null,null,208,null,null,33
543530,20839,276374,10621,81611,4993,181611,8153,13152,1625,267156,12457,79385,5444,170438,8125,17333,1837,20839,null,null,10621,null,null,4993,null,null,8153,null,null,1625,null,null,12457,null,null,5444,null,null,8125,null,null,1837,null,null,34
206526,11007,103530,6846,25802,3478,66604,4937,11124,1415,102996,6292,24900,3414,64794,3631,13302,1723,11007,null,null,6846,null,null,3478,null,null,4937,null,null,1415,null,null,6292,null,null,3414,null,null,3631,null,null,1723,null,null,35
1767107,34876,874838,20041,252546,9769,571326,13785,50966,2971,892269,18697,236246,8025,580599,12510,75424,4148,34876,null,null,20041,null,null,9769,null,null,13785,null,null,2971,null,null,18697,null,null,8025,null,null,12510,null,null,4148,null,null,36
304293,14221,157946,8082,56290,4278,97920,5598,3736,929,146347,8565,55676,4427,86339,5016,4332,1271,14221,null,null,8082,null,null,4278,null,null,5598,null,null,929,null,null,8565,null,null,4427,null,null,5016,null,null,1271,null,null,37
5114,2109,2665,1124,736,585,1910,673,19,40,2449,1135,1012,653,1401,602,36,69,2109,null,null,1124,null,null,585,null,null,673,null,null,40,null,null,1135,null,null,653,null,null,602,null,null,69,null,null,38
109073,9109,55429,5238,17521,2658,35446,3519,2462,719,53644,5288,19758,2777,31610,3196,2276,663,9109,null,null,5238,null,null,2658,null,null,3519,null,null,719,null,null,5288,null,null,2777,null,null,3196,null,null,663,null,null,39
107778,7573,58353,4390,18319,2420,37997,2950,2037,636,49425,4052,17651,2205,30026,2511,1748,465,7573,null,null,4390,null,null,2420,null,null,2950,null,null,636,null,null,4052,null,null,2205,null,null,2511,null,null,465,null,null,40
