C17010_001E,C17010_001M,C17010_002E,C17010_002M,C17010_003E,C17010_003M,C17010_004E,C17010_004M,C17010_005E,C17010_005M,C17010_006E,C17010_006M,C17010_007E,C17010_007M,C17010_008E,C17010_008M,C17010_009E,C17010_009M,C17010_010E,C17010_010M,C17010_011E,C17010_011M,C17010_012E,C17010_012M,C17010_013E,C17010_013M,C17010_014E,C17010_014M,C17010_015E,C17010_015M,C17010_016E,C17010_016M,C17010_017E,C17010_017M,C17010_001M,C17010_001EA,C17010_001MA,C17010_002M,C17010_002EA,C17010_002MA,C17010_003M,C17010_003EA,C17010_003MA,C17010_004M,C17010_004EA,C17010_004MA,C17010_005M,C17010_005EA,C17010_005MA,C17010_006M,C17010_006EA,C17010_006MA,C17010_007M,C17010_007EA,C17010_007MA,C17010_008M,C17010_008EA,C17010_008MA,C17010_009M,C17010_009EA,C17010_009MA,C17010_010M,C17010_010EA,C17010_010MA,C17010_011M,C17010_011EA,C17010_011MA,C17010_012M,C17010_012EA,C17010_012MA,C17010_013M,C17010_013EA,C17010_013MA,C17010_014M,C17010_014EA,C17010_014MA,C17010_015M,C17010_015EA,C17010_015MA,C17010_016M,C17010_016EA,C17010_016MA,C17010_017M,C17010_017EA,C17010_017MA,state
4864461,24241,509616,11766,212586,8397,106281,5705,297030,9329,50695,3961,35494,3330,246335,8534,201218,8052,4354845,24292,3301208,22640,1125821,15950,1053637,16811,314178,9800,147860,7012,739459,13289,394270,10843,24241,null,null,11766,null,null,8397,null,null,5705,null,null,9329,null,null,3961,null,null,3330,null,null,8534,null,null,8052,null,null,24292,null,null,22640,null,null,15950,null,null,16811,null,null,9800,null,null,7012,null,null,13289,null,null,10843,null,null,12
2479003,18252,296261,9486,98369,5596,59481,4731,197892,8132,31403,3648,21341,2759,166489,7280,143141,7256,2182742,17899,1649727,17956,713513,10695,533015,12699,143559,6820,76409,4840,389456,10800,225088,8827,18252,null,null,9486,null,null,5596,null,null,4731,null,null,8132,null,null,3648,null,null,2759,null,null,7280,null,null,7256,null,null,17899,null,null,17956,null,null,10695,null,null,12699,null,null,6820,null,null,4840,null,null,10800,null,null,8827,null,null,13
315505,5105,18826,2161,9188,1635,4920,1262,9638,1405,1456,499,820,343,8182,1367,6938,1211,296679,5251,227048,4442,95999,4223,69631,4306,24561,2657,12859,1895,45070,3331,22123,2287,5105,null,null,2161,null,null,1635,null,null,1262,null,null,1405,null,null,499,null,null,343,null,null,1367,null,null,1211,null,null,5251,null,null,4442,null,null,4223,null,null,4306,null,null,2657,null,null,1895,null,null,3331,null,null,2287,null,null,15
411617,7286,41274,3641,18995,2493,10652,1900,22279,2652,4329,1196,3786,1105,17950,2358,16007,2140,370343,7745,309911,7489,123857,5555,60432,4200,23065,2770,13879,2350,37367,2831,21501,2513,7286,null,null,3641,null,null,2493,null,null,1900,null,null,2652,null,null,1196,null,null,1105,null,null,2358,null,null,2140,null,null,7745,null,null,7489,null,null,5555,null,null,4200,null,null,2770,null,null,2350,null,null,2831,null,null,2513,null,null,16
3100613,17145,293044,9264,100093,4879,57751,3846,192951,7560,30567,2824,23116,2798,162384,6885,135014,5993,2807569,16895,2166693,16751,910390,11562,640876,13610,193591,7947,98627,5657,447285,9858,243595,7864,17145,null,null,9264,null,null,4879,null,null,3846,null,null,7560,null,null,2824,null,null,2798,null,null,6885,null,null,5993,null,null,16895,null,null,16751,null,null,11562,null,null,13610,null,null,7947,null,null,5657,null,null,9858,null,null,7864,null,null,17
1645758,11176,157720,5867,55277,3038,34325,2249,102443,5331,15008,2308,12528,2083,87435,5238,78347,4595,1488038,11737,1169978,10886,462483,8203,318060,8570,106359,4548,58786,3581,211701,7092,122623,5942,11176,null,null,5867,null,null,3038,null,null,2249,null,null,5331,null,null,2308,null,null,2083,null,null,5238,null,null,4595,null,null,11737,null,null,10886,null,null,8203,null,null,8570,null,null,4548,null,null,3581,null,null,7092,null,null,5942,null,null,18
795043,8419,60129,3265,20998,2375,11927,1854,39131,2825,6280,1066,4746,1010,32851,2569,30442,2553,734914,8832,609995,7937,242445,5772,124919,4495,43987,2954,27946,2449,80932,4023,52637,3640,8419,null,null,3265,null,null,2375,null,null,1854,null,null,2825,null,null,1066,null,null,1010,null,null,2569,null,null,2553,null,null,8832,null,null,7937,null,null,5772,null,null,4495,null,null,2954,null,null,2449,null,null,4023,null,null,3640,null,null,19
716005,8245,56464,3559,20734,1946,11601,1525,35730,2988,6011,1519,4347,1134,29719,2531,25113,2173,659541,7653,535236,7871,219283,5300,124305,4891,43449,2979,26770,2660,80856,4034,50491,3340,8245,null,null,3559,null,null,1946,null,null,1525,null,null,2988,null,null,1519,null,null,1134,null,null,2531,null,null,2173,null,null,7653,null,null,7871,null,null,5300,null,null,4891,null,null,2979,null,null,2660,null,null,4034,null,null,3340,null,null,20
1121404,10897,156782,6330,56164,3756,29580,2474,100618,4974,16984,2193,12061,1767,83634,4275,70394,4295,964622,12227,755905,11789,295250,7314,208717,6421,66445,3535,36469,3224,142272,5746,78097,4328,10897,null,null,6330,null,null,3756,null,null,2474,null,null,4974,null,null,2193,null,null,1767,null,null,4275,null,null,4295,null,null,12227,null,null,11789,null,null,7314,null,null,6421,null,null,3535,null,null,3224,null,null,5746,null,null,4328,null,null,21
1097712,12285,168708,7561,46072,3731,23668,3099,122636,6570,17939,2736,11972,2551,104697,5572,89685,5274,929004,11536,689386,10219,277027,6979,239618,9107,68658,4910,37689,3875,170960,6982,92225,5530,12285,null,null,7561,null,null,3731,null,null,3099,null,null,6570,null,null,2736,null,null,2551,null,null,5572,null,null,5274,null,null,11536,null,null,10219,null,null,6979,null,null,9107,null,null,4910,null,null,3875,null,null,6982,null,null,5530,null,null,22
