B07408_001E,B07408_001M,B07408_002E,B07408_002M,B07408_003E,B07408_003M,B07408_004E,B07408_004M,B07408_005E,B07408_005M,B07408_006E,B07408_006M,B07408_007E,B07408_007M,B07408_008E,B07408_008M,B07408_009E,B07408_009M,B07408_010E,B07408_010M,B07408_011E,B07408_011M,B07408_012E,B07408_012M,B07408_013E,B07408_013M,B07408_014E,B07408_014M,B07408_015E,B07408_015M,B07408_016E,B07408_016M,B07408_017E,B07408_017M,B07408_018E,B07408_018M,B07408_019E,B07408_019M,B07408_020E,B07408_020M,B07408_021E,B07408_021M,B07408_022E,B07408_022M,B07408_023E,B07408_023M,B07408_024E,B07408_024M,B07408_025E,B07408_025M,B07408_026E,B07408_026M,B07408_027E,B07408_027M,B07408_028E,B07408_028M,B07408_029E,B07408_029M,B07408_030E,B07408_030M,B07408_001M,B07408_001EA,B07408_001MA,B07408_002M,B07408_002EA,B07408_002MA,B07408_003M,B07408_003EA,B07408_003MA,B07408_004M,B07408_004EA,B07408_004MA,B07408_005M,B07408_005EA,B07408_005MA,B07408_006M,B07408_006EA,B07408_006MA,B07408_007M,B07408_007EA,B07408_007MA,B07408_008M,B07408_008EA,B07408_008MA,B07408_009M,B07408_009EA,B07408_009MA,B07408_010M,B07408_010EA,B07408_010MA,B07408_011M,B07408_011EA,B07408_011MA,B07408_012M,B07408_012EA,B07408_012MA,B07408_013M,B07408_013EA,B07408_013MA,B07408_014M,B07408_014EA,B07408_014MA,B07408_015M,B07408_015EA,B07408_015MA,B07408_016M,B07408_016EA,B07408_016MA,B07408_017M,B07408_017EA,B07408_017MA,B07408_018M,B07408_018EA,B07408_018MA,B07408_019M,B07408_019EA,B07408_019MA,B07408_020M,B07408_020EA,B07408_020MA,B07408_021M,B07408_021EA,B07408_021MA,B07408_022M,B07408_022EA,B07408_022MA,B07408_023M,B07408_023EA,B07408_023MA,B07408_024M,B07408_024EA,B07408_024MA,B07408_025M,B07408_025EA,B07408_025MA,B07408_026M,B07408_026EA,B07408_026MA,B07408_027M,B07408_027EA,B07408_027MA,B07408_028M,B07408_028EA,B07408_028MA,B07408_029M,B07408_029EA,B07408_029MA,B07408_030M,B07408_030EA,B07408_030MA,state
16845316,26217,5394575,31747,7670849,47125,2214931,24231,395426,11670,1169535,16303,14513412,39857,4355785,33860,6897746,45144,1888308,23595,312784,11013,1058789,16071,1427973,29377,609625,16231,484685,16595,208758,9371,56651,4558,68254,5347,535428,15988,267326,10500,153135,8317,75455,5378,17493,2770,22019,3104,368503,11866,161839,7838,135283,7616,42410,3746,8498,1637,20473,2576,26217,null,null,31747,null,null,47125,null,null,24231,null,null,11670,null,null,16303,null,null,39857,null,null,33860,null,null,45144,null,null,23595,null,null,11013,null,null,16071,null,null,29377,null,null,16231,null,null,16595,null,null,9371,null,null,4558,null,null,5347,null,null,15988,null,null,10500,null,null,8317,null,null,5378,null,null,2770,null,null,3104,null,null,11866,null,null,7838,null,null,7616,null,null,3746,null,null,1637,null,null,2576,null,null,12
8141548,18545,2771804,25797,3789211,32799,943261,17572,184105,9114,453167,10321,6916574,24888,2180512,25387,3392287,31860,789532,16825,141256,7327,412987,9565,603106,18045,288947,11722,193354,9650,77324,5893,22262,3355,21219,2750,411311,15307,208178,9500,123559,8486,51683,4729,15236,2183,12655,2032,210557,11217,94167,6376,80011,6255,24722,2472,5351,1408,6306,1427,18545,null,null,25797,null,null,32799,null,null,17572,null,null,9114,null,null,10321,null,null,24888,null,null,25387,null,null,31860,null,null,16825,null,null,7327,null,null,9565,null,null,18045,null,null,11722,null,null,9650,null,null,5893,null,null,3355,null,null,2750,null,null,15307,null,null,9500,null,null,8486,null,null,4729,null,null,2183,null,null,2032,null,null,11217,null,null,6376,null,null,6255,null,null,2472,null,null,1408,null,null,1427,null,null,13
1160562,7339,395683,8344,566879,11184,106649,5047,16244,2445,75107,3041,1012406,8580,330479,8026,506080,11148,93108,4553,12879,2225,69860,2879,89235,8233,37767,4688,36714,4649,8866,1362,2156,734,3732,928,7274,1460,4277,1081,1934,757,670,356,277,392,116,144,51647,4229,23160,2725,22151,3478,4005,1251,932,556,1399,609,7339,null,null,8344,null,null,11184,null,null,5047,null,null,2445,null,null,3041,null,null,8580,null,null,8026,null,null,11148,null,null,4553,null,null,2225,null,null,2879,null,null,8233,null,null,4688,null,null,4649,null,null,1362,null,null,734,null,null,928,null,null,1460,null,null,1081,null,null,757,null,null,356,null,null,392,null,null,144,null,null,4229,null,null,2725,null,null,3478,null,null,1251,null,null,556,null,null,609,null,null,15
1300439,8111,362567,10899,697272,13093,161527,7987,15028,2221,64045,3352,1088211,10909,270925,9386,617654,12428,132417,7679,9877,1793,57338,3555,117323,7618,48978,5286,44746,4994,17266,2360,3222,1046,3111,753,49331,4689,20186,2388,18775,3373,7476,1797,1354,669,1540,620,45574,3983,22478,2774,16097,2225,4368,1183,575,369,2056,961,8111,null,null,10899,null,null,13093,null,null,7987,null,null,2221,null,null,3352,null,null,10909,null,null,9386,null,null,12428,null,null,7679,null,null,1793,null,null,3555,null,null,7618,null,null,5286,null,null,4994,null,null,2360,null,null,1046,null,null,753,null,null,4689,null,null,2388,null,null,3373,null,null,1797,null,null,669,null,null,620,null,null,3983,null,null,2774,null,null,2225,null,null,1183,null,null,369,null,null,961,null,null,16
10462172,16632,3722763,24294,4917798,30887,1041036,15895,168377,6294,612198,10884,9033987,27294,2991594,26120,4452838,27815,895581,14799,136572,5572,557402,10299,848114,22004,420676,13770,282696,12744,88055,5210,22994,2805,33693,2827,285589,11894,155464,6460,79876,6447,32827,3209,5790,1087,11632,1732,294482,12298,155029,7102,102388,8194,24573,2570,3021,980,9471,1827,16632,null,null,24294,null,null,30887,null,null,15895,null,null,6294,null,null,10884,null,null,27294,null,null,26120,null,null,27815,null,null,14799,null,null,5572,null,null,10299,null,null,22004,null,null,13770,null,null,12744,null,null,5210,null,null,2805,null,null,2827,null,null,11894,null,null,6460,null,null,6447,null,null,3209,null,null,1087,null,null,1732,null,null,12298,null,null,7102,null,null,8194,null,null,2570,null,null,980,null,null,1827,null,null,17
5307505,10815,1663473,15924,2585131,21278,670811,12802,75013,4998,313077,6352,4548862,20322,1292088,19398,2359568,19788,558846,12455,55637,4066,282723,6048,434257,15519,207974,9058,124641,8952,69447,5257,12874,2025,19321,2319,207260,10048,110689,6910,55544,4861,30322,2969,4074,986,6631,1370,117126,6385,52722,4047,45378,4764,12196,1583,2428,958,4402,1000,10815,null,null,15924,null,null,21278,null,null,12802,null,null,4998,null,null,6352,null,null,20322,null,null,19398,null,null,19788,null,null,12455,null,null,4066,null,null,6048,null,null,15519,null,null,9058,null,null,8952,null,null,5257,null,null,2025,null,null,2319,null,null,10048,null,null,6910,null,null,4861,null,null,2969,null,null,986,null,null,1370,null,null,6385,null,null,4047,null,null,4764,null,null,1583,null,null,958,null,null,1000,null,null,18
2514542,7508,739576,11558,1321096,15930,271583,7054,29042,2413,153245,4442,2136872,11237,543596,11713,1205475,15085,229373,6505,20989,2128,137439,4029,215160,8374,108655,5908,66883,5245,25039,2502,4893,1151,9690,1178,97985,5346,57190,3749,24720,2648,10147,1654,1747,629,4181,965,64525,4849,30135,2780,24018,3273,7024,1212,1413,658,1935,867,7508,null,null,11558,null,null,15930,null,null,7054,null,null,2413,null,null,4442,null,null,11237,null,null,11713,null,null,15085,null,null,6505,null,null,2128,null,null,4029,null,null,8374,null,null,5908,null,null,5245,null,null,2502,null,null,1151,null,null,1178,null,null,5346,null,null,3749,null,null,2648,null,null,1654,null,null,629,null,null,965,null,null,4849,null,null,2780,null,null,3273,null,null,1212,null,null,658,null,null,867,null,null,19
2296039,7870,686467,11941,1175358,15825,268267,8047,28353,2637,137594,5355,1932827,11310,519237,10945,1047208,13750,223941,7591,20012,2542,122429,4984,207046,8685,89810,6145,74313,6037,25847,2699,6531,1295,10545,1573,82838,4576,46139,3392,22572,2791,9780,1532,981,421,3366,989,73328,5293,31281,3206,31265,3529,8699,1606,829,396,1254,631,7870,null,null,11941,null,null,15825,null,null,8047,null,null,2637,null,null,5355,null,null,11310,null,null,10945,null,null,13750,null,null,7591,null,null,2542,null,null,4984,null,null,8685,null,null,6145,null,null,6037,null,null,2699,null,null,1295,null,null,1573,null,null,4576,null,null,3392,null,null,2791,null,null,1532,null,null,421,null,null,989,null,null,5293,null,null,3206,null,null,3529,null,null,1606,null,null,396,null,null,631,null,null,20
3576891,11855,1048447,13863,1730277,21339,476640,10599,78954,5372,242573,5251,3051521,15481,814208,12878,1565198,20030,397347,9123,54093,4113,220675,5482,300918,12666,134921,8043,94589,5642,44571,4376,14687,2330,12150,1820,139017,6261,66070,3917,36808,3387,23291,2563,7702,1402,5146,980,85435,6869,33248,3340,33682,4651,11431,1856,2472,938,4602,1426,11855,null,null,13863,null,null,21339,null,null,10599,null,null,5372,null,null,5251,null,null,15481,null,null,12878,null,null,20030,null,null,9123,null,null,4113,null,null,5482,null,null,12666,null,null,8043,null,null,5642,null,null,4376,null,null,2330,null,null,1820,null,null,6261,null,null,3917,null,null,3387,null,null,2563,null,null,1402,null,null,980,null,null,6869,null,null,3340,null,null,4651,null,null,1856,null,null,938,null,null,1426,null,null,21
3745149,8888,1369722,15638,1588077,21116,459569,12857,95825,5679,231956,6513,3261525,16626,1118084,14601,1453748,19790,400704,12574,76049,5649,212940,6409,283251,13483,142849,8832,78603,6427,37703,4106,12292,2477,11804,1446,124224,7716,71080,6085,30440,4031,13391,1936,5061,1375,4252,1299,76149,6722,37709,4327,25286,3907,7771,1779,2423,913,2960,1113,8888,null,null,15638,null,null,21116,null,null,12857,null,null,5679,null,null,6513,null,null,16626,null,null,14601,null,null,19790,null,null,12574,null,null,5649,null,null,6409,null,null,13483,null,null,8832,null,null,6427,null,null,4106,null,null,2477,null,null,1446,null,null,7716,null,null,6085,null,null,4031,null,null,1936,null,null,1375,null,null,1299,null,null,6722,null,null,4327,null,null,3907,null,null,1779,null,null,913,null,null,1113,null,null,22
1113012,5307,321587,8460,543215,12070,164796,6975,12198,1869,71216,2986,975864,6914,252818,8235,506686,11844,140478,6175,10292,1746,65590,2953,77824,4729,39710,3355,19532,2565,13273,2262,1447,664,3862,924,30972,3179,16422,1908,7656,1893,6049,1525,157,195,688,314,28352,3028,12637,1658,9341,2033,4996,1314,302,259,1076,479,5307,null,null,8460,null,null,12070,null,null,6975,null,null,1869,null,null,2986,null,null,6914,null,null,8235,null,null,11844,null,null,6175,null,null,1746,null,null,2953,null,null,4729,null,null,3355,null,null,2565,null,null,2262,null,null,664,null,null,924,null,null,3179,null,null,1908,null,null,1893,null,null,1525,null,null,195,null,null,314,null,null,3028,null,null,1658,null,null,2033,null,null,1314,null,null,259,null,null,479,null,null,23
