C15002_001E,C15002_001M,C15002_002E,C15002_002M,C15002_003E,C15002_003M,C15002_004E,C15002_004M,C15002_005E,C15002_005M,C15002_006E,C15002_006M,C15002_007E,C15002_007M,C15002_008E,C15002_008M,C15002_009E,C15002_009M,C15002_010E,C15002_010M,C15002_011E,C15002_011M,C15002_012E,C15002_012M,C15002_013E,C15002_013M,C15002_014E,C15002_014M,C15002_015E,C15002_015M,C15002_016E,C15002_016M,C15002_017E,C15002_017M,C15002_001M,C15002_001EA,C15002_001MA,C15002_002M,C15002_002EA,C15002_002MA,C15002_003M,C15002_003EA,C15002_003MA,C15002_004M,C15002_004EA,C15002_004MA,C15002_005M,C15002_005EA,C15002_005MA,C15002_006M,C15002_006EA,C15002_006MA,C15002_007M,C15002_007EA,C15002_007MA,C15002_008M,C15002_008EA,C15002_008MA,C15002_009M,C15002_009EA,C15002_009MA,C15002_010M,C15002_010EA,C15002_010MA,C15002_011M,C15002_011EA,C15002_011MA,C15002_012M,C15002_012EA,C15002_012MA,C15002_013M,C15002_013EA,C15002_013MA,C15002_014M,C15002_014EA,C15002_014MA,C15002_015M,C15002_015EA,C15002_015MA,C15002_016M,C15002_016EA,C15002_016MA,C15002_017M,C15002_017EA,C15002_017MA,state
14703671,8103,7045931,6986,374950,11645,578066,14368,2050410,20561,1403088,18011,611811,15269,1267222,16597,760384,14195,7657740,5559,387812,11788,514385,14615,2199323,22981,1558060,18753,817310,15921,1408685,20115,772165,13420,8103,null,null,6986,null,null,11645,null,null,14368,null,null,20561,null,null,18011,null,null,15269,null,null,16597,null,null,14195,null,null,5559,null,null,11788,null,null,14615,null,null,22981,null,null,18753,null,null,15921,null,null,20115,null,null,13420,null,null,12
6785395,7007,3213631,6128,179739,7367,304422,9909,933069,14565,642745,12970,210975,8423,585938,11794,356743,8931,3571764,5451,154868,6074,283597,9103,951011,14951,751460,13633,307233,9676,684337,11482,439258,9389,7007,null,null,6128,null,null,7367,null,null,9909,null,null,14565,null,null,12970,null,null,8423,null,null,11794,null,null,8931,null,null,5451,null,null,6074,null,null,9103,null,null,14951,null,null,13633,null,null,9676,null,null,11482,null,null,9389,null,null,13
990937,1287,488721,1135,14375,2240,23213,2745,145542,4817,109835,4094,47253,2893,98240,4614,50263,3276,502216,1121,21708,2537,20367,2291,132201,4996,102842,4425,57008,3868,113610,3824,54480,3115,1287,null,null,1135,null,null,2240,null,null,2745,null,null,4817,null,null,4094,null,null,2893,null,null,4614,null,null,3276,null,null,1121,null,null,2537,null,null,2291,null,null,4996,null,null,4425,null,null,3868,null,null,3824,null,null,3115,null,null,15
1087265,2780,534801,2215,18049,2260,35653,3460,153930,6261,128056,4909,47933,3799,97467,4802,53713,3202,552464,2446,16385,2003,34042,3462,148936,5752,147429,5691,56442,3921,105896,4750,43334,3424,2780,null,null,2215,null,null,2260,null,null,3460,null,null,6261,null,null,4909,null,null,3799,null,null,4802,null,null,3202,null,null,2446,null,null,2003,null,null,3462,null,null,5752,null,null,5691,null,null,3921,null,null,4750,null,null,3424,null,null,16
8665219,5171,4179051,4175,217560,6910,286210,8294,1124607,16733,862649,12660,300763,7612,864429,12334,522833,10686,4486168,4320,212350,6280,250307,7581,1125785,13304,960477,12252,382226,9047,949411,11941,605612,11246,5171,null,null,4175,null,null,6910,null,null,8294,null,null,16733,null,null,12660,null,null,7612,null,null,12334,null,null,10686,null,null,4320,null,null,6280,null,null,7581,null,null,13304,null,null,12252,null,null,9047,null,null,11941,null,null,11246,null,null,17
4392576,5286,2117365,4225,85175,3929,176467,5919,738708,9358,427500,8576,157512,6068,339781,8860,192222,5793,2275211,3795,79567,4161,170290,7492,743174,10088,472713,9972,216624,7805,376512,7935,216331,6486,5286,null,null,4225,null,null,3929,null,null,5919,null,null,9358,null,null,8576,null,null,6068,null,null,8860,null,null,5793,null,null,3795,null,null,4161,null,null,7492,null,null,10088,null,null,9972,null,null,7805,null,null,7935,null,null,6486,null,null,18
2087020,3608,1019726,2816,36216,3020,57044,3355,336775,6504,211320,6000,98725,3574,183541,5533,96105,3709,1067294,2759,30026,2288,48812,3027,312757,5940,226853,5874,135330,4851,214701,5172,98815,4504,3608,null,null,2816,null,null,3020,null,null,3355,null,null,6504,null,null,6000,null,null,3574,null,null,5533,null,null,3709,null,null,2759,null,null,2288,null,null,3027,null,null,5940,null,null,5874,null,null,4851,null,null,5172,null,null,4504,null,null,19
1891936,3942,921728,3322,35824,2894,57356,3170,253835,7773,209706,5539,66531,3787,188462,5538,110014,3869,970208,2585,32667,2418,52996,3343,242459,6462,228637,6393,90499,3492,202399,6138,120551,4341,3942,null,null,3322,null,null,2894,null,null,3170,null,null,7773,null,null,5539,null,null,3787,null,null,5538,null,null,3869,null,null,2585,null,null,2418,null,null,3343,null,null,6462,null,null,6393,null,null,3492,null,null,6138,null,null,4341,null,null,20
2995509,4084,1440939,4202,89770,4980,132560,5602,494051,8928,299236,7497,99473,4920,199959,6373,125890,4637,1554570,3106,80955,4005,125175,4884,474248,8168,340804,8006,156896,5677,219122,6634,157370,5473,4084,null,null,4202,null,null,4980,null,null,5602,null,null,8928,null,null,7497,null,null,4920,null,null,6373,null,null,4637,null,null,3106,null,null,4005,null,null,4884,null,null,8168,null,null,8006,null,null,5677,null,null,6634,null,null,5473,null,null,21
3115020,6064,1491265,4870,93155,4606,175550,6816,518497,12144,304429,9512,71099,3915,213787,6051,114748,4834,1623755,3741,67774,4140,149959,6747,540776,10519,349686,10294,116189,5425,259512,7631,139859,6368,6064,null,null,4870,null,null,4606,null,null,6816,null,null,12144,null,null,9512,null,null,3915,null,null,6051,null,null,4834,null,null,3741,null,null,4140,null,null,6747,null,null,10519,null,null,10294,null,null,5425,null,null,7631,null,null,6368,null,null,22
