B99187_001E,B99187_002E,B99187_003E,B99187_004E,B99187_005E,B99187_006E,B99187_007E,B99187_001EA,B99187_002EA,B99187_003EA,B99187_004EA,B99187_005EA,B99187_006EA,B99187_007EA,state
16878632,720498,73197,647301,16158134,1292655,14865479,null,null,null,null,null,null,null,12
8042812,428350,41268,387082,7614462,506625,7107837,null,null,null,null,null,null,null,13
1118410,47241,5710,41531,1071169,84306,986863,null,null,null,null,null,null,null,15
1300712,73475,6811,66664,1227237,83548,1143689,null,null,null,null,null,null,null,16
10213147,512622,41885,470737,9700525,633259,9067266,null,null,null,null,null,null,null,17
5233705,272716,27763,244953,4960989,322724,4638265,null,null,null,null,null,null,null,18
2486901,120461,11476,108985,2366440,156844,2209596,null,null,null,null,null,null,null,19
2254391,116631,8911,107720,2137760,143185,1994575,null,null,null,null,null,null,null,20
3518640,174246,15451,158795,3344394,220703,3123691,null,null,null,null,null,null,null,21
3648345,186620,16519,170101,3461725,243494,3218231,null,null,null,null,null,null,null,22
1109451,47026,3022,44004,1062425,52494,1009931,null,null,null,null,null,null,null,23
4804780,230833,23359,207474,4573947,362246,4211701,null,null,null,null,null,null,null,24
5609751,248978,24483,224495,5360773,410139,4950634,null,null,null,null,null,null,null,25
8029292,398747,31370,367377,7630545,478740,7151805,null,null,null,null,null,null,null,26
4390048,213933,19867,194066,4176115,253699,3922416,null,null,null,null,null,null,null,27
2324715,121655,10542,111113,2203060,135148,2067912,null,null,null,null,null,null,null,28
4828817,238089,22221,215868,4590728,300032,4290696,null,null,null,null,null,null,null,29
837939,38060,3275,34785,799879,54364,745515,null,null,null,null,null,null,null,30
1480135,75170,6797,68373,1404965,103676,1301289,null,null,null,null,null,null,null,31
2342178,112846,9840,103006,2229332,150720,2078612,null,null,null,null,null,null,null,32
1105544,48487,3563,44924,1057057,63829,993228,null,null,null,null,null,null,null,33
7207416,349786,32208,317578,6857630,486641,6370989,null,null,null,null,null,null,null,34
1641785,84382,6895,77487,1557403,90962,1466441,null,null,null,null,null,null,null,35
16049381,714571,77341,637230,15334810,1308277,14026533,null,null,null,null,null,null,null,36
8062896,397549,39564,357985,7665347,548689,7116658,null,null,null,null,null,null,null,37
592307,24951,2711,22240,567356,37369,529987,null,null,null,null,null,null,null,38
9295508,461657,37442,424215,8833851,528763,8305088,null,null,null,null,null,null,null,39
3040975,155128,14963,140165,2885847,208989,2676858,null,null,null,null,null,null,null,40
3335837,148069,14696,133373,3187768,213798,2973970,null,null,null,null,null,null,null,41
10382414,469693,44977,424716,9912721,716070,9196651,null,null,null,null,null,null,null,42
870383,38392,3630,34762,831991,58809,773182,null,null,null,null,null,null,null,44
3947797,183994,17526,166468,3763803,267995,3495808,null,null,null,null,null,null,null,45
668170,32377,2232,30145,635793,32959,602834,null,null,null,null,null,null,null,46
5302651,256639,19630,237009,5046012,338965,4707047,null,null,null,null,null,null,null,47
21299760,1195770,100604,1095166,20103990,1327683,18776307,null,null,null,null,null,null,null,48
2251062,145266,10652,134614,2105796,115885,1989911,null,null,null,null,null,null,null,49
521410,21139,1069,20070,500271,24073,476198,null,null,null,null,null,null,null,50
6649151,314427,35275,279152,6334724,491688,5843036,null,null,null,null,null,null,null,51
5825984,269178,24200,244978,5556806,378939,5177867,null,null,null,null,null,null,null,53
1491853,65071,4676,60395,1426782,71228,1355554,null,null,null,null,null,null,null,54
4647187,224045,19429,204616,4423142,270767,4152375,null,null,null,null,null,null,null,55
457054,21491,2084,19407,435563,24308,411255,null,null,null,null,null,null,null,56
2827655,139127,3445,135682,2688528,131367,2557161,null,null,null,null,null,null,null,72
3881878,197401,19230,178171,3684477,279114,3405363,null,null,null,null,null,null,null,01
561405,29825,3333,26492,531580,39865,491715,null,null,null,null,null,null,null,02
5473495,277890,35907,241983,5195605,514991,4680614,null,null,null,null,null,null,null,04
2347629,118512,8392,110120,2229117,144720,2084397,null,null,null,null,null,null,null,05
31212802,1528765,158556,1370209,29684037,2482214,27201823,null,null,null,null,null,null,null,06
4398564,208971,23564,185407,4189593,341897,3847696,null,null,null,null,null,null,null,08
2915338,141643,11081,130562,2773695,192379,2581316,null,null,null,null,null,null,null,09
768888,34657,2429,32228,734231,43953,690278,null,null,null,null,null,null,null,10
566234,15562,1266,14296,550672,55251,495421,null,null,null,null,null,null,null,11
