C18108_001E,C18108_001M,C18108_002E,C18108_002M,C18108_003E,C18108_003M,C18108_004E,C18108_004M,C18108_005E,C18108_005M,C18108_006E,C18108_006M,C18108_007E,C18108_007M,C18108_008E,C18108_008M,C18108_009E,C18108_009M,C18108_010E,C18108_010M,C18108_011E,C18108_011M,C18108_012E,C18108_012M,C18108_013E,C18108_013M,C18108_001M,C18108_001EA,C18108_001MA,C18108_002M,C18108_002EA,C18108_002MA,C18108_003M,C18108_003EA,C18108_003MA,C18108_004M,C18108_004EA,C18108_004MA,C18108_005M,C18108_005EA,C18108_005MA,C18108_006M,C18108_006EA,C18108_006MA,C18108_007M,C18108_007EA,C18108_007MA,C18108_008M,C18108_008EA,C18108_008MA,C18108_009M,C18108_009EA,C18108_009MA,C18108_010M,C18108_010EA,C18108_010MA,C18108_011M,C18108_011EA,C18108_011MA,C18108_012M,C18108_012EA,C18108_012MA,C18108_013M,C18108_013EA,C18108_013MA,state
20294479,4316,4136345,4168,132197,6671,45434,3614,3958714,7790,12137388,6526,672959,13813,582309,11800,10882120,18076,4020746,4299,629543,13096,700335,12368,2690868,15944,4316,null,null,4168,null,null,6671,null,null,3614,null,null,7790,null,null,6526,null,null,13813,null,null,11800,null,null,18076,null,null,4299,null,null,13096,null,null,12368,null,null,15944,null,null,12
10120788,3683,2506326,3107,87577,6211,30081,3659,2388668,7664,6284159,6227,375997,11136,322286,9669,5585876,15365,1330303,3964,215161,7177,270871,7658,844271,10295,3683,null,null,3107,null,null,6211,null,null,3659,null,null,7664,null,null,6227,null,null,11136,null,null,9669,null,null,15365,null,null,3964,null,null,7177,null,null,7658,null,null,10295,null,null,13
1378730,2525,307561,765,6474,1481,1818,659,299269,1805,832435,2730,36089,2974,29942,2893,766404,4937,238734,714,33459,2325,48341,2813,156934,3261,2525,null,null,765,null,null,1481,null,null,659,null,null,1805,null,null,2730,null,null,2974,null,null,2893,null,null,4937,null,null,714,null,null,2325,null,null,2813,null,null,3261,null,null,15
1662867,795,435630,1373,11391,1554,6744,1707,417495,2573,974803,2105,61453,4040,54199,4519,859151,4971,252434,1794,47825,2970,43275,2916,161334,3618,795,null,null,1373,null,null,1554,null,null,1707,null,null,2573,null,null,2105,null,null,4040,null,null,4519,null,null,4971,null,null,1794,null,null,2970,null,null,2916,null,null,3618,null,null,16
12620388,1326,2919863,2632,69562,4466,28159,2935,2822142,5865,7892615,3987,369856,9710,310006,9447,7212753,14751,1807910,3613,271801,6161,339580,8085,1196529,8380,1326,null,null,2632,null,null,4466,null,null,2935,null,null,5865,null,null,3987,null,null,9710,null,null,9447,null,null,14751,null,null,3613,null,null,6161,null,null,8085,null,null,8380,null,null,17
6534914,919,1573925,3269,50971,4217,17779,2418,1505175,5856,4003711,3770,260902,7010,224922,7860,3517887,10256,957278,2718,165534,5238,189502,5758,602242,6535,919,null,null,3269,null,null,4217,null,null,2418,null,null,5856,null,null,3770,null,null,7010,null,null,7860,null,null,10256,null,null,2718,null,null,5238,null,null,5758,null,null,6535,null,null,18
3091437,506,724997,1876,23067,2463,8994,1430,692936,2988,1875205,2681,101211,4651,74156,3586,1699838,6094,491235,2015,80761,3828,75841,3715,334633,4927,506,null,null,1876,null,null,2463,null,null,1430,null,null,2988,null,null,2681,null,null,4651,null,null,3586,null,null,6094,null,null,2015,null,null,3828,null,null,3715,null,null,4927,null,null,19
2850862,1447,713102,2368,21811,2352,8398,1511,682893,3539,1718393,3601,107973,4679,80698,4007,1529722,6016,419367,2077,71920,2889,74436,3517,273011,4120,1447,null,null,2368,null,null,2352,null,null,1511,null,null,3539,null,null,3601,null,null,4679,null,null,4007,null,null,6016,null,null,2077,null,null,2889,null,null,3517,null,null,4120,null,null,20
4354380,1440,1009986,3149,42470,3394,15630,2327,951886,4682,2679027,3817,222549,7791,217199,8253,2239279,11558,665367,2166,121280,5009,160035,5589,384052,6447,1440,null,null,3149,null,null,3394,null,null,2327,null,null,4682,null,null,3817,null,null,7791,null,null,8253,null,null,11558,null,null,2166,null,null,5009,null,null,5589,null,null,6447,null,null,21
4577182,1950,1115457,2300,50825,4868,15028,2228,1049604,5922,2807699,3646,202778,7386,181599,7967,2423322,11220,654026,2581,113440,4838,145163,5677,395423,6490,1950,null,null,2300,null,null,4868,null,null,2228,null,null,5922,null,null,3646,null,null,7386,null,null,7967,null,null,11220,null,null,2581,null,null,4838,null,null,5677,null,null,6490,null,null,22
