B25118_001E,B25118_001M,B25118_002E,B25118_002M,B25118_003E,B25118_003M,B25118_004E,B25118_004M,B25118_005E,B25118_005M,B25118_006E,B25118_006M,B25118_007E,B25118_007M,B25118_008E,B25118_008M,B25118_009E,B25118_009M,B25118_010E,B25118_010M,B25118_011E,B25118_011M,B25118_012E,B25118_012M,B25118_013E,B25118_013M,B25118_014E,B25118_014M,B25118_015E,B25118_015M,B25118_016E,B25118_016M,B25118_017E,B25118_017M,B25118_018E,B25118_018M,B25118_019E,B25118_019M,B25118_020E,B25118_020M,B25118_021E,B25118_021M,B25118_022E,B25118_022M,B25118_023E,B25118_023M,B25118_024E,B25118_024M,B25118_025E,B25118_025M,B25118_001M,B25118_001EA,B25118_001MA,B25118_002M,B25118_002EA,B25118_002MA,B25118_003M,B25118_003EA,B25118_003MA,B25118_004M,B25118_004EA,B25118_004MA,B25118_005M,B25118_005EA,B25118_005MA,B25118_006M,B25118_006EA,B25118_006MA,B25118_007M,B25118_007EA,B25118_007MA,B25118_008M,B25118_008EA,B25118_008MA,B25118_009M,B25118_009EA,B25118_009MA,B25118_010M,B25118_010EA,B25118_010MA,B25118_011M,B25118_011EA,B25118_011MA,B25118_012M,B25118_012EA,B25118_012MA,B25118_013M,B25118_013EA,B25118_013MA,B25118_014M,B25118_014EA,B25118_014MA,B25118_015M,B25118_015EA,B25118_015MA,B25118_016M,B25118_016EA,B25118_016MA,B25118_017M,B25118_017EA,B25118_017MA,B25118_018M,B25118_018EA,B25118_018MA,B25118_019M,B25118_019EA,B25118_019MA,B25118_020M,B25118_020EA,B25118_020MA,B25118_021M,B25118_021EA,B25118_021MA,B25118_022M,B25118_022EA,B25118_022MA,B25118_023M,B25118_023EA,B25118_023MA,B25118_024M,B25118_024EA,B25118_024MA,B25118_025M,B25118_025EA,B25118_025MA,state
7573456,23478,4857125,26450,131642,5749,98913,4585,186804,6184,202101,6705,227973,7809,451992,9882,666374,14583,922040,15909,651497,14556,710105,12433,607684,10096,2716331,20401,156104,7346,153503,6260,193314,7242,194859,7572,211241,8161,380840,10515,456512,10014,481443,11167,229408,9353,171927,8623,87180,5420,23478,null,null,26450,null,null,5749,null,null,4585,null,null,6184,null,null,6705,null,null,7809,null,null,9882,null,null,14583,null,null,15909,null,null,14556,null,null,12433,null,null,10096,null,null,20401,null,null,7346,null,null,6260,null,null,7242,null,null,7572,null,null,8161,null,null,10515,null,null,10014,null,null,11167,null,null,9353,null,null,8623,null,null,5420,null,null,12
3686135,15528,2268606,20528,53881,4313,45975,3532,71672,3905,80188,4943,90678,4603,178586,6831,271629,8886,434512,9842,320572,8688,382154,9750,338759,8636,1417529,16560,89975,5379,87673,5379,114918,5981,101623,6391,108967,6440,187966,8011,229313,9328,242208,10219,127577,7298,88123,4957,39186,3922,15528,null,null,20528,null,null,4313,null,null,3532,null,null,3905,null,null,4943,null,null,4603,null,null,6831,null,null,8886,null,null,9842,null,null,8688,null,null,9750,null,null,8636,null,null,16560,null,null,5379,null,null,5379,null,null,5981,null,null,6391,null,null,6440,null,null,8011,null,null,9328,null,null,10219,null,null,7298,null,null,4957,null,null,3922,null,null,13
455868,4824,260626,4898,4968,1082,3349,751,6264,1190,5421,1157,6750,1370,13956,1690,19918,1817,38992,2965,38318,3138,58614,2751,64076,2644,195242,4348,7771,1453,9049,1461,10384,1879,6472,1246,9866,1637,16413,1966,27805,2551,41852,3335,24243,2340,26543,2001,14844,2118,4824,null,null,4898,null,null,1082,null,null,751,null,null,1190,null,null,1157,null,null,1370,null,null,1690,null,null,1817,null,null,2965,null,null,3138,null,null,2751,null,null,2644,null,null,4348,null,null,1453,null,null,1461,null,null,1879,null,null,1246,null,null,1637,null,null,1966,null,null,2551,null,null,3335,null,null,2340,null,null,2001,null,null,2118,null,null,15
610872,4143,418217,6970,9414,1912,7820,1627,13655,1670,14096,1730,17314,1807,36248,2599,58883,3504,92100,5015,62984,3987,65529,4050,40174,3549,192655,5870,12801,1783,14607,2002,16754,2376,16420,2130,14477,2155,26186,3201,35125,3347,33011,2906,10931,1632,9096,1773,3247,965,4143,null,null,6970,null,null,1912,null,null,1627,null,null,1670,null,null,1730,null,null,1807,null,null,2599,null,null,3504,null,null,5015,null,null,3987,null,null,4050,null,null,3549,null,null,5870,null,null,1783,null,null,2002,null,null,2376,null,null,2130,null,null,2155,null,null,3201,null,null,3347,null,null,2906,null,null,1632,null,null,1773,null,null,965,null,null,16
4822046,12932,3146858,18286,62657,3828,41347,2998,75594,3564,98073,4688,110420,3972,224923,6868,349222,8311,546891,9784,467137,10059,598430,8353,572164,9166,1675188,17617,116770,5976,116602,5959,131951,5916,120447,5776,120110,6357,201015,6935,244443,6477,276894,9701,149364,6609,128150,5411,69442,4478,12932,null,null,18286,null,null,3828,null,null,2998,null,null,3564,null,null,4688,null,null,3972,null,null,6868,null,null,8311,null,null,9784,null,null,10059,null,null,8353,null,null,9166,null,null,17617,null,null,5976,null,null,5959,null,null,5916,null,null,5776,null,null,6357,null,null,6935,null,null,6477,null,null,9701,null,null,6609,null,null,5411,null,null,4478,null,null,17
2533270,10440,1731421,12509,29064,2507,28137,2488,48426,4009,59379,3493,69674,3491,149795,5863,239783,7548,371601,8189,271092,7692,281866,7346,182604,5599,801849,11165,56032,4027,56086,3474,72384,4216,69333,4292,70432,4056,118415,5429,134256,6699,128899,6028,52147,4183,33062,2897,10803,1498,10440,null,null,12509,null,null,2507,null,null,2488,null,null,4009,null,null,3493,null,null,3491,null,null,5863,null,null,7548,null,null,8189,null,null,7692,null,null,7346,null,null,5599,null,null,11165,null,null,4027,null,null,3474,null,null,4216,null,null,4292,null,null,4056,null,null,5429,null,null,6699,null,null,6028,null,null,4183,null,null,2897,null,null,1498,null,null,18
1247932,7106,881435,7975,12933,1542,11701,1227,21434,1642,26707,2066,34859,2492,72362,3189,114709,4683,182526,5212,147254,4901,157887,5078,99063,3411,366497,6811,21499,2102,26863,2614,32901,2718,31675,2612,30057,2807,54542,3406,60769,4060,59818,3746,26101,2414,15677,1775,6595,1140,7106,null,null,7975,null,null,1542,null,null,1227,null,null,1642,null,null,2066,null,null,2492,null,null,3189,null,null,4683,null,null,5212,null,null,4901,null,null,5078,null,null,3411,null,null,6811,null,null,2102,null,null,2614,null,null,2718,null,null,2612,null,null,2807,null,null,3406,null,null,4060,null,null,3746,null,null,2414,null,null,1775,null,null,1140,null,null,19
1110407,6778,729392,8711,13135,1374,10001,1443,20056,1641,22585,2040,27864,2010,59359,3023,93613,3736,148312,4772,111855,4343,131559,4729,91053,3130,381015,7352,22314,2416,23153,2230,31876,2682,27111,2676,31369,2867,57712,3953,68324,3902,63984,3708,27955,2121,18976,1936,8241,1547,6778,null,null,8711,null,null,1374,null,null,1443,null,null,1641,null,null,2040,null,null,2010,null,null,3023,null,null,3736,null,null,4772,null,null,4343,null,null,4729,null,null,3130,null,null,7352,null,null,2416,null,null,2230,null,null,2682,null,null,2676,null,null,2867,null,null,3953,null,null,3902,null,null,3708,null,null,2121,null,null,1936,null,null,1547,null,null,20
1717706,9131,1148175,11051,29472,2695,33301,2535,48993,3357,54321,3765,53445,3375,107432,5264,156360,6489,220977,6715,164232,6141,170245,6470,109397,4696,569531,9504,39053,3034,63057,4454,58725,4496,51378,3565,42592,3289,80767,4572,85758,4891,87481,4840,31963,3451,20497,2201,8260,1440,9131,null,null,11051,null,null,2695,null,null,2535,null,null,3357,null,null,3765,null,null,3375,null,null,5264,null,null,6489,null,null,6715,null,null,6141,null,null,6470,null,null,4696,null,null,9504,null,null,3034,null,null,4454,null,null,4496,null,null,3565,null,null,3289,null,null,4572,null,null,4891,null,null,4840,null,null,3451,null,null,2201,null,null,1440,null,null,21
1720801,8997,1105710,12317,30506,2762,34731,2906,47484,3235,53661,3948,55714,3643,104756,4547,140971,5755,198665,7510,143752,6076,166218,6415,129252,5817,615091,11467,50334,4064,62086,4153,64113,4827,62708,4569,50013,4595,76550,4793,94058,5615,81193,4836,35139,3411,27751,3137,11146,2034,8997,null,null,12317,null,null,2762,null,null,2906,null,null,3235,null,null,3948,null,null,3643,null,null,4547,null,null,5755,null,null,7510,null,null,6076,null,null,6415,null,null,5817,null,null,11467,null,null,4064,null,null,4153,null,null,4827,null,null,4569,null,null,4595,null,null,4793,null,null,5615,null,null,4836,null,null,3411,null,null,3137,null,null,2034,null,null,22
