B28009A_001E,B28009A_001M,B28009A_002E,B28009A_002M,B28009A_003E,B28009A_003M,B28009A_004E,B28009A_004M,B28009A_005E,B28009A_005M,B28009A_006E,B28009A_006M,B28009A_001M,B28009A_001EA,B28009A_001MA,B28009A_002M,B28009A_002EA,B28009A_002MA,B28009A_003M,B28009A_003EA,B28009A_003MA,B28009A_004M,B28009A_004EA,B28009A_004MA,B28009A_005M,B28009A_005EA,B28009A_005MA,B28009A_006M,B28009A_006EA,B28009A_006MA,state
15285188,29019,14319204,44787,56672,6502,13058115,53981,1204417,35050,965984,30820,29019,null,null,44787,null,null,6502,null,null,53981,null,null,35050,null,null,30820,null,null,12
5931115,18213,5553877,23228,18050,3603,5115964,29349,419863,23212,377238,15689,18213,null,null,23228,null,null,3603,null,null,29349,null,null,23212,null,null,15689,null,null,13
340566,5289,328623,5964,971,603,307480,6981,20172,3846,11943,2484,5289,null,null,5964,null,null,603,null,null,6981,null,null,3846,null,null,2484,null,null,15
1484049,7505,1397140,9415,6571,1624,1277459,13343,113110,10270,86909,6753,7505,null,null,9415,null,null,1624,null,null,13343,null,null,10270,null,null,6753,null,null,16
8932683,24335,8380747,26689,33974,3654,7875062,30354,471711,17652,551936,14112,24335,null,null,26689,null,null,3654,null,null,30354,null,null,17652,null,null,14112,null,null,17
5392462,10481,4967477,18769,26553,3834,4546088,25743,394836,16701,424985,13928,10481,null,null,18769,null,null,3834,null,null,25743,null,null,16701,null,null,13928,null,null,18
2745448,5167,2541319,9067,15556,1867,2331415,12550,194348,10958,204129,8851,5167,null,null,9067,null,null,1867,null,null,12550,null,null,10958,null,null,8851,null,null,19
2397445,7428,2231091,10538,9768,2175,2052211,13712,169112,10288,166354,8302,7428,null,null,10538,null,null,2175,null,null,13712,null,null,10288,null,null,8302,null,null,20
3766341,6953,3385692,13680,14513,2443,3111777,19444,259402,14342,380649,12378,6953,null,null,13680,null,null,2443,null,null,19444,null,null,14342,null,null,12378,null,null,21
2844335,6199,2619372,11482,7103,1629,2381291,16649,230978,13592,224963,10922,6199,null,null,11482,null,null,1629,null,null,16649,null,null,13592,null,null,10922,null,null,22
1225329,1812,1139813,5308,9739,2117,1049507,8433,80567,6565,85516,5114,1812,null,null,5308,null,null,2117,null,null,8433,null,null,6565,null,null,5114,null,null,23
3321950,13162,3147203,16252,10193,1938,2987657,18134,149353,12228,174747,10294,13162,null,null,16252,null,null,1938,null,null,18134,null,null,12228,null,null,10294,null,null,24
5163916,16502,4885641,19062,14146,2724,4661206,19992,210289,12115,278275,10860,16502,null,null,19062,null,null,2724,null,null,19992,null,null,12115,null,null,10860,null,null,25
7639703,10633,7120473,14908,29819,3386,6639161,19901,451493,17641,519230,11135,10633,null,null,14908,null,null,3386,null,null,19901,null,null,17641,null,null,11135,null,null,26
