B19025E_001E,B19025E_001M,B19025E_001M,B19025E_001EA,B19025E_001MA,state
224728700,71159620,71159620,null,null,12
126404700,60527360,60527360,null,null,13
2575837500,227283805,227283805,null,null,15
33948100,25960349,25960349,null,null,16
138323400,61055288,61055288,null,null,17
53506400,37437159,37437159,null,null,18
27026200,19359575,19359575,null,null,19
24454000,16001184,16001184,null,null,20
23854800,19014380,19014380,null,null,21
14362600,12764337,12764337,null,null,22
null,null,null,null,null,23
68625200,39324203,39324203,null,null,24
94469300,59429216,59429216,null,null,25
null,null,null,null,null,26
33353400,24100810,24100810,null,null,27
null,null,null,null,null,28
113433800,83821123,83821123,null,null,29
null,null,null,null,null,30
19986800,16477725,16477725,null,null,31
337212400,61626144,61626144,null,null,32
null,null,null,null,null,33
72064800,57990740,57990740,null,null,34
25593800,15811759,15811759,null,null,35
158493700,50892100,50892100,null,null,36
110975300,48173244,48173244,null,null,37
null,null,null,null,null,38
54132800,32081316,32081316,null,null,39
96693200,33154327,33154327,null,null,40
208037200,58358953,58358953,null,null,41
99952300,58638620,58638620,null,null,42
29597400,28338305,28338305,null,null,44
16066300,10672654,10672654,null,null,45
null,null,null,null,null,46
36586700,27705579,27705579,null,null,47
404130400,79765671,79765671,null,null,48
349598700,77535671,77535671,null,null,49
null,null,null,null,null,50
196454300,74715357,74715357,null,null,51
983218900,180939035,180939035,null,null,53
null,null,null,null,null,54
19201800,12070383,12070383,null,null,55
null,null,null,null,null,56
null,null,null,null,null,72
18369600,15091494,15091494,null,null,01
155780100,43443882,43443882,null,null,02
296231900,91174469,91174469,null,null,04
72422600,15808649,15808649,null,null,05
3245677100,301495224,301495224,null,null,06
192576900,77696594,77696594,null,null,08
30638100,27301500,27301500,null,null,09
null,null,null,null,null,10
null,null,null,null,null,11
