B19080_001E,B19080_001M,B19080_002E,B19080_002M,B19080_003E,B19080_003M,B19080_004E,B19080_004M,B19080_005E,B19080_005M,B19080_001M,B19080_001EA,B19080_001MA,B19080_002M,B19080_002EA,B19080_002MA,B19080_003M,B19080_003EA,B19080_003MA,B19080_004M,B19080_004EA,B19080_004MA,B19080_005M,B19080_005EA,B19080_005MA,state
22050,169,40402,204,62941,441,101629,465,196596,2124,169,null,null,204,null,null,441,null,null,465,null,null,2124,null,null,12
22038,318,42125,340,67479,616,107114,828,203241,2530,318,null,null,340,null,null,616,null,null,828,null,null,2530,null,null,13
31725,1169,60409,1025,91662,1172,140573,1917,247602,9414,1169,null,null,1025,null,null,1172,null,null,1917,null,null,9414,null,null,15
22477,869,41452,824,63362,1364,98147,2460,166463,6146,869,null,null,824,null,null,1364,null,null,2460,null,null,6146,null,null,16
24272,334,47327,394,76821,502,121565,585,226389,2443,334,null,null,394,null,null,502,null,null,585,null,null,2443,null,null,17
22874,343,41689,330,64770,565,100125,736,174088,2782,343,null,null,330,null,null,565,null,null,736,null,null,2782,null,null,18
24915,456,45142,637,69629,984,105124,1273,181737,3883,456,null,null,637,null,null,984,null,null,1273,null,null,3883,null,null,19
24268,512,43112,832,67472,966,105479,1336,187019,4988,512,null,null,832,null,null,966,null,null,1336,null,null,4988,null,null,20
18305,426,36209,510,59080,916,94787,1231,169407,3684,426,null,null,510,null,null,916,null,null,1231,null,null,3684,null,null,21
17329,385,34662,809,57600,914,97909,1503,180475,3068,385,null,null,809,null,null,914,null,null,1503,null,null,3068,null,null,22
22161,673,41773,892,66492,1034,102053,1578,181791,4357,673,null,null,892,null,null,1034,null,null,1578,null,null,4357,null,null,23
32691,672,61983,611,97193,851,150178,1245,250001,-333333333,672,null,null,611,null,null,851,null,null,1245,null,null,-333333333,"250,000+",***,24
28024,700,57438,786,95015,800,149866,1397,250001,-333333333,700,null,null,786,null,null,800,null,null,1397,null,null,-333333333,"250,000+",***,25
22047,215,41650,307,65856,440,104732,695,189161,2309,215,null,null,307,null,null,440,null,null,695,null,null,2309,null,null,26
