B27015_001E,B27015_001M,B27015_002E,B27015_002M,B27015_003E,B27015_003M,B27015_004E,B27015_004M,B27015_005E,B27015_005M,B27015_006E,B27015_006M,B27015_007E,B27015_007M,B27015_008E,B27015_008M,B27015_009E,B27015_009M,B27015_010E,B27015_010M,B27015_011E,B27015_011M,B27015_012E,B27015_012M,B27015_013E,B27015_013M,B27015_014E,B27015_014M,B27015_015E,B27015_015M,B27015_016E,B27015_016M,B27015_017E,B27015_017M,B27015_018E,B27015_018M,B27015_019E,B27015_019M,B27015_020E,B27015_020M,B27015_021E,B27015_021M,B27015_022E,B27015_022M,B27015_023E,B27015_023M,B27015_024E,B27015_024M,B27015_025E,B27015_025M,B27015_026E,B27015_026M,B27015_001M,B27015_001EA,B27015_001MA,B27015_002M,B27015_002EA,B27015_002MA,B27015_003M,B27015_003EA,B27015_003MA,B27015_004M,B27015_004EA,B27015_004MA,B27015_005M,B27015_005EA,B27015_005MA,B27015_006M,B27015_006EA,B27015_006MA,B27015_007M,B27015_007EA,B27015_007MA,B27015_008M,B27015_008EA,B27015_008MA,B27015_009M,B27015_009EA,B27015_009MA,B27015_010M,B27015_010EA,B27015_010MA,B27015_011M,B27015_011EA,B27015_011MA,B27015_012M,B27015_012EA,B27015_012MA,B27015_013M,B27015_013EA,B27015_013MA,B27015_014M,B27015_014EA,B27015_014MA,B27015_015M,B27015_015EA,B27015_015MA,B27015_016M,B27015_016EA,B27015_016MA,B27015_017M,B27015_017EA,B27015_017MA,B27015_018M,B27015_018EA,B27015_018MA,B27015_019M,B27015_019EA,B27015_019MA,B27015_020M,B27015_020EA,B27015_020MA,B27015_021M,B27015_021EA,B27015_021MA,B27015_022M,B27015_022EA,B27015_022MA,B27015_023M,B27015_023EA,B27015_023MA,B27015_024M,B27015_024EA,B27015_024MA,B27015_025M,B27015_025EA,B27015_025MA,B27015_026M,B27015_026EA,B27015_026MA,state
20133128,4325,3476366,46377,2843822,40334,1115924,23033,2151887,30151,632544,20652,4882049,56309,4085766,49056,2439192,35892,2326353,37962,796283,29072,3990488,61167,3456949,51583,2647107,42021,1348748,28673,533539,25595,2690610,51984,2440680,46121,2058281,39419,724633,20391,249930,13621,5093615,61200,4792004,54402,4305196,48018,1040674,24403,301611,18715,4325,null,null,46377,null,null,40334,null,null,23033,null,null,30151,null,null,20652,null,null,56309,null,null,49056,null,null,35892,null,null,37962,null,null,29072,null,null,61167,null,null,51583,null,null,42021,null,null,28673,null,null,25595,null,null,51984,null,null,46121,null,null,39419,null,null,20391,null,null,13621,null,null,61200,null,null,54402,null,null,48018,null,null,24403,null,null,18715,null,null,12
10019231,3667,1790384,33251,1397321,28820,553259,16582,1027483,24884,393063,16081,2194402,41658,1800936,36728,1182476,30548,904156,21679,393466,15532,1896000,45627,1646369,40056,1329677,32432,531534,19166,249631,14972,1399241,32953,1272125,30829,1121451,30198,288991,12041,127116,10821,2739204,40236,2606935,37573,2445767,34325,405339,14471,132269,11847,3667,null,null,33251,null,null,28820,null,null,16582,null,null,24884,null,null,16081,null,null,41658,null,null,36728,null,null,30548,null,null,21679,null,null,15532,null,null,45627,null,null,40056,null,null,32432,null,null,19166,null,null,14972,null,null,32953,null,null,30829,null,null,30198,null,null,12041,null,null,10821,null,null,40236,null,null,37573,null,null,34325,null,null,14471,null,null,11847,null,null,13
1358680,2525,124201,9051,116003,8338,49476,4285,88635,7167,8198,2779,180784,10120,170840,9954,115243,7340,88103,6234,9944,1901,213885,14453,205998,14045,165516,10829,73006,7858,7887,1695,194289,13234,190155,12898,157174,10096,62755,7336,4134,1343,645521,15826,628599,15877,567389,13784,147673,7303,16922,3292,2525,null,null,9051,null,null,8338,null,null,4285,null,null,7167,null,null,2779,null,null,10120,null,null,9954,null,null,7340,null,null,6234,null,null,1901,null,null,14453,null,null,14045,null,null,10829,null,null,7858,null,null,1695,null,null,13234,null,null,12898,null,null,10096,null,null,7336,null,null,1343,null,null,15826,null,null,15877,null,null,13784,null,null,7303,null,null,3292,null,null,15
1650437,795,249970,14120,206333,12389,101184,7170,142841,9662,43637,5028,390195,16556,337943,14839,223995,11547,174983,9527,52252,4810,370775,16151,336014,15211,275795,15232,113756,8360,34761,4994,233450,16230,217294,15636,195471,14236,48323,4405,16156,3415,406047,19584,386467,18519,360234,17181,60715,6304,19580,3333,795,null,null,14120,null,null,12389,null,null,7170,null,null,9662,null,null,5028,null,null,16556,null,null,14839,null,null,11547,null,null,9527,null,null,4810,null,null,16151,null,null,15211,null,null,15232,null,null,8360,null,null,4994,null,null,16230,null,null,15636,null,null,14236,null,null,4405,null,null,3415,null,null,19584,null,null,18519,null,null,17181,null,null,6304,null,null,3333,null,null,16
12491845,1326,1833132,32820,1651335,31090,590670,14015,1304490,27836,181797,9027,2380452,44024,2136490,40136,1268589,25393,1232302,28217,243962,12435,2116174,37464,1955576,35682,1517207,32241,708646,17810,160598,8837,1774354,40980,1679224,38021,1444220,30748,414889,17345,95130,8122,4387733,44595,4260218,42399,3974314,40177,596535,16474,127515,9880,1326,null,null,32820,null,null,31090,null,null,14015,null,null,27836,null,null,9027,null,null,44024,null,null,40136,null,null,25393,null,null,28217,null,null,12435,null,null,37464,null,null,35682,null,null,32241,null,null,17810,null,null,8837,null,null,40980,null,null,38021,null,null,30748,null,null,17345,null,null,8122,null,null,44595,null,null,42399,null,null,40177,null,null,16474,null,null,9880,null,null,17
6442821,910,1038143,23155,908273,23267,375727,12294,685127,18349,129870,7723,1460281,30950,1291958,28394,852382,21389,686184,21584,168323,9821,1329469,26050,1216426,25041,1011722,22759,383335,12367,113043,8461,960727,25445,901295,24861,810705,23419,186952,9207,59432,7242,1654201,29748,1599593,29624,1499349,27982,219901,9693,54608,7171,910,null,null,23155,null,null,23267,null,null,12294,null,null,18349,null,null,7723,null,null,30950,null,null,28394,null,null,21389,null,null,21584,null,null,9821,null,null,26050,null,null,25041,null,null,22759,null,null,12367,null,null,8461,null,null,25445,null,null,24861,null,null,23419,null,null,9207,null,null,7242,null,null,29748,null,null,29624,null,null,27982,null,null,9693,null,null,7171,null,null,18
3032572,506,419935,13337,390908,12389,177494,8168,297393,9631,29027,3940,633046,17966,591191,17241,392601,12475,325475,11624,41855,4048,611765,17354,584202,16452,475424,14281,203955,7513,27563,3698,502036,16403,489758,16197,437884,14174,106458,5734,12278,2123,865790,20524,847410,20539,796046,20628,125359,8381,18380,3471,506,null,null,13337,null,null,12389,null,null,8168,null,null,9631,null,null,3940,null,null,17966,null,null,17241,null,null,12475,null,null,11624,null,null,4048,null,null,17354,null,null,16452,null,null,14281,null,null,7513,null,null,3698,null,null,16403,null,null,16197,null,null,14174,null,null,5734,null,null,2123,null,null,20524,null,null,20539,null,null,20628,null,null,8381,null,null,3471,null,null,19
2817110,1447,399913,12552,330872,10759,172591,6880,225170,9147,69041,5153,625408,17433,545679,16051,393633,12519,261677,11079,79729,5641,573515,17738,525729,16243,449516,15235,156796,7517,47786,5281,417735,15088,395915,14800,362695,14226,76528,4761,21820,3423,800539,17659,774070,16777,738191,16156,106758,5790,26469,3882,1447,null,null,12552,null,null,10759,null,null,6880,null,null,9147,null,null,5153,null,null,17433,null,null,16051,null,null,12519,null,null,11079,null,null,5641,null,null,17738,null,null,16243,null,null,15235,null,null,7517,null,null,5281,null,null,15088,null,null,14800,null,null,14226,null,null,4761,null,null,3423,null,null,17659,null,null,16777,null,null,16156,null,null,5790,null,null,3882,null,null,20
4297484,1440,910958,23072,847465,21318,243202,10269,720781,20224,63493,5925,1012425,25752,939811,24484,557981,17206,567435,18086,72614,6177,808423,25039,763334,24794,611575,19478,272003,13897,45089,5180,578981,22501,560042,21671,493329,19777,135031,8159,18939,2931,986697,23349,966531,23427,895508,22726,162968,9857,20166,3080,1440,null,null,23072,null,null,21318,null,null,10269,null,null,20224,null,null,5925,null,null,25752,null,null,24484,null,null,17206,null,null,18086,null,null,6177,null,null,25039,null,null,24794,null,null,19478,null,null,13897,null,null,5180,null,null,22501,null,null,21671,null,null,19777,null,null,8159,null,null,2931,null,null,23349,null,null,23427,null,null,22726,null,null,9857,null,null,3080,null,null,21
4540498,1950,1055042,29748,894529,27278,300075,12971,712360,22821,160513,10361,1038919,27138,898372,24113,532205,16318,514461,17559,140547,9533,769926,25591,690460,22460,538427,19804,251490,12564,79466,7496,549593,24320,512410,22038,434859,19483,134342,8923,37183,5382,1127018,24188,1079980,24172,983529,23955,187178,11332,47038,6018,1950,null,null,29748,null,null,27278,null,null,12971,null,null,22821,null,null,10361,null,null,27138,null,null,24113,null,null,16318,null,null,17559,null,null,9533,null,null,25591,null,null,22460,null,null,19804,null,null,12564,null,null,7496,null,null,24320,null,null,22038,null,null,19483,null,null,8923,null,null,5382,null,null,24188,null,null,24172,null,null,23955,null,null,11332,null,null,6018,null,null,22
1294030,558,198321,9265,175533,8297,64261,4653,145774,8030,22788,3047,283596,13898,251479,11817,164378,8790,146281,8469,32117,4278,257063,12436,232584,11147,188446,9763,86614,4953,24479,4479,198608,12740,187170,12048,168577,10595,41184,4462,11438,2380,356442,13675,341950,13759,322050,13813,54887,4421,14492,3124,558,null,null,9265,null,null,8297,null,null,4653,null,null,8030,null,null,3047,null,null,13898,null,null,11817,null,null,8790,null,null,8469,null,null,4278,null,null,12436,null,null,11147,null,null,9763,null,null,4953,null,null,4479,null,null,12740,null,null,12048,null,null,10595,null,null,4462,null,null,2380,null,null,13675,null,null,13759,null,null,13813,null,null,4421,null,null,3124,null,null,23
5855579,2394,593926,15727,541039,15059,210322,9720,424321,12526,52887,5014,830616,25767,753638,24331,444165,14736,452018,18987,76978,6975,911964,26525,831766,26510,631770,21476,336072,14226,80198,8872,815614,22167,763446,20796,648408,17657,218879,12428,52168,6315,2703459,34393,2605772,33965,2425201,32581,442180,13757,97687,9550,2394,null,null,15727,null,null,15059,null,null,9720,null,null,12526,null,null,5014,null,null,25767,null,null,24331,null,null,14736,null,null,18987,null,null,6975,null,null,26525,null,null,26510,null,null,21476,null,null,14226,null,null,8872,null,null,22167,null,null,20796,null,null,17657,null,null,12428,null,null,6315,null,null,34393,null,null,33965,null,null,32581,null,null,13757,null,null,9550,null,null,24
6554127,1301,786309,23024,762131,22719,242356,9518,646954,20278,24178,3745,927827,23063,890271,22968,488951,16038,597508,19378,37556,4557,903309,26068,867426,24640,621458,18743,404249,17366,35883,4947,856412,23063,834957,22962,691381,20559,263384,11489,21455,3213,3080270,34176,3033273,33970,2785151,33918,511385,14789,46997,4860,1301,null,null,23024,null,null,22719,null,null,9518,null,null,20278,null,null,3745,null,null,23063,null,null,22968,null,null,16038,null,null,19378,null,null,4557,null,null,26068,null,null,24640,null,null,18743,null,null,17366,null,null,4947,null,null,23063,null,null,22962,null,null,20559,null,null,11489,null,null,3213,null,null,34176,null,null,33970,null,null,33918,null,null,14789,null,null,4860,null,null,25
9694158,823,1637501,26765,1510881,25733,555601,15753,1219406,21860,126620,7065,2127754,35240,1955336,33170,1253482,24680,1154414,24883,172418,8442,1851637,32506,1747533,30317,1427840,27152,657070,17680,104104,7263,1344042,29087,1294398,28505,1155102,24061,324836,12379,49644,5147,2733224,29571,2667937,27292,2517879,26718,399109,12257,65287,6137,823,null,null,26765,null,null,25733,null,null,15753,null,null,21860,null,null,7065,null,null,35240,null,null,33170,null,null,24680,null,null,24883,null,null,8442,null,null,32506,null,null,30317,null,null,27152,null,null,17680,null,null,7263,null,null,29087,null,null,28505,null,null,24061,null,null,12379,null,null,5147,null,null,29571,null,null,27292,null,null,26718,null,null,12257,null,null,6137,null,null,26
5385049,681,610921,17395,565661,17297,244940,8304,449462,15204,45260,4616,942596,21682,877993,21357,560702,14729,534964,16554,64603,5358,966730,21941,920878,22035,732094,18741,351507,11024,45852,3980,836767,21531,806591,20006,722313,18843,179995,8463,30176,5029,2028035,27143,1991621,27181,1886705,26845,247365,9612,36414,3236,681,null,null,17395,null,null,17297,null,null,8304,null,null,15204,null,null,4616,null,null,21682,null,null,21357,null,null,14729,null,null,16554,null,null,5358,null,null,21941,null,null,22035,null,null,18741,null,null,11024,null,null,3980,null,null,21531,null,null,20006,null,null,18843,null,null,8463,null,null,5029,null,null,27143,null,null,27181,null,null,26845,null,null,9612,null,null,3236,null,null,27
2887902,1457,707536,21607,578767,17902,194335,8298,456042,15173,128769,7930,717917,22861,610294,20009,374230,15464,339043,13634,107623,8669,535257,21898,479309,18531,372421,14854,172416,9953,55948,6783,371356,17076,345777,15739,304156,13768,78338,6665,25579,4053,555836,16005,533386,15690,488625,15159,101794,6430,22450,4362,1457,null,null,21607,null,null,17902,null,null,8298,null,null,15173,null,null,7930,null,null,22861,null,null,20009,null,null,15464,null,null,13634,null,null,8669,null,null,21898,null,null,18531,null,null,14854,null,null,9953,null,null,6783,null,null,17076,null,null,15739,null,null,13768,null,null,6665,null,null,4053,null,null,16005,null,null,15690,null,null,15159,null,null,6430,null,null,4362,null,null,28
5906591,1795,972336,22358,812566,18687,352931,11663,590694,16359,159770,7326,1361719,24562,1200014,21593,827817,16858,585817,16633,161705,8211,1164709,24078,1060686,23225,889729,22748,320811,11600,104023,7378,863624,21288,813214,19496,733808,17981,169133,8047,50410,5327,1544203,28506,1493142,27634,1406528,26405,205149,8766,51061,5769,1795,null,null,22358,null,null,18687,null,null,11663,null,null,16359,null,null,7326,null,null,24562,null,null,21593,null,null,16858,null,null,16633,null,null,8211,null,null,24078,null,null,23225,null,null,22748,null,null,11600,null,null,7378,null,null,21288,null,null,19496,null,null,17981,null,null,8047,null,null,5327,null,null,28506,null,null,27634,null,null,26405,null,null,8766,null,null,5769,null,null,29
1011246,634,163046,7915,143556,7490,58810,4904,111473,6183,19490,2179,245649,10644,217501,9582,137285,7055,123216,7008,28148,3544,198410,10707,183392,10400,147509,8982,67743,5021,15018,2548,151066,8031,142834,7506,126184,7569,36236,3094,8232,2031,253075,10285,242824,10507,222484,10254,45140,3791,10251,2023,634,null,null,7915,null,null,7490,null,null,4904,null,null,6183,null,null,2179,null,null,10644,null,null,9582,null,null,7055,null,null,7008,null,null,3544,null,null,10707,null,null,10400,null,null,8982,null,null,5021,null,null,2548,null,null,8031,null,null,7506,null,null,7569,null,null,3094,null,null,2031,null,null,10285,null,null,10507,null,null,10254,null,null,3791,null,null,2023,null,null,30
1849359,1043,243259,9548,199945,7723,99859,4609,139781,6995,43314,4365,393879,14531,341291,11931,249155,9735,155281,7432,52588,6064,368231,14848,334477,12977,290145,11790,90740,6167,33754,4801,291804,12587,275740,11465,252682,10606,50368,4116,16064,3166,552186,15749,539319,15173,511697,14604,72692,4806,12867,2523,1043,null,null,9548,null,null,7723,null,null,4609,null,null,6995,null,null,4365,null,null,14531,null,null,11931,null,null,9735,null,null,7432,null,null,6064,null,null,14848,null,null,12977,null,null,11790,null,null,6167,null,null,4801,null,null,12587,null,null,11465,null,null,10606,null,null,4116,null,null,3166,null,null,15749,null,null,15173,null,null,14604,null,null,4806,null,null,2523,null,null,31
2896462,1083,414352,17293,344706,15401,127131,8057,261656,13314,69646,6956,669882,21440,560432,18746,331949,14401,306537,16358,109450,8898,591233,20856,526542,18635,407791,15034,186051,12109,64691,6710,428827,17767,387886,15454,333257,13825,97458,6626,40941,6499,792168,22189,747206,21267,675989,20843,147392,7549,44962,5776,1083,null,null,17293,null,null,15401,null,null,8057,null,null,13314,null,null,6956,null,null,21440,null,null,18746,null,null,14401,null,null,16358,null,null,8898,null,null,20856,null,null,18635,null,null,15034,null,null,12109,null,null,6710,null,null,17767,null,null,15454,null,null,13825,null,null,6626,null,null,6499,null,null,22189,null,null,21267,null,null,20843,null,null,7549,null,null,5776,null,null,32
1290106,851,112405,7476,103322,7020,41573,3867,83632,6417,9083,1876,203836,10592,181137,9378,118166,7059,108681,6493,22699,3412,225991,11113,209077,11201,164882,9144,81795,6261,16914,3029,207652,11327,194594,10543,168088,9463,52486,4710,13058,2941,540222,15532,524982,15405,492463,14468,81517,5547,15240,2724,851,null,null,7476,null,null,7020,null,null,3867,null,null,6417,null,null,1876,null,null,10592,null,null,9378,null,null,7059,null,null,6493,null,null,3412,null,null,11113,null,null,11201,null,null,9144,null,null,6261,null,null,3029,null,null,11327,null,null,10543,null,null,9463,null,null,4710,null,null,2941,null,null,15532,null,null,15405,null,null,14468,null,null,5547,null,null,2724,null,null,33
8751297,1301,1000599,24481,871983,21344,315709,11912,699704,20284,128616,7634,1305737,32548,1126110,29914,648340,18374,687045,22165,179627,12529,1277434,30059,1138558,26023,853245,24621,466557,17014,138876,10983,1109747,27359,1019170,24639,865353,21352,286599,12186,90577,8363,4057780,41338,3895194,40292,3645055,37987,582221,15777,162586,12827,1301,null,null,24481,null,null,21344,null,null,11912,null,null,20284,null,null,7634,null,null,32548,null,null,29914,null,null,18374,null,null,22165,null,null,12529,null,null,30059,null,null,26023,null,null,24621,null,null,17014,null,null,10983,null,null,27359,null,null,24639,null,null,21352,null,null,12186,null,null,8363,null,null,41338,null,null,40292,null,null,37987,null,null,15777,null,null,12827,null,null,34
