B18101D_001E,B18101D_001M,B18101D_002E,B18101D_002M,B18101D_003E,B18101D_003M,B18101D_004E,B18101D_004M,B18101D_005E,B18101D_005M,B18101D_006E,B18101D_006M,B18101D_007E,B18101D_007M,B18101D_008E,B18101D_008M,B18101D_009E,B18101D_009M,B18101D_010E,B18101D_010M,B18101D_001M,B18101D_001EA,B18101D_001MA,B18101D_002M,B18101D_002EA,B18101D_002MA,B18101D_003M,B18101D_003EA,B18101D_003MA,B18101D_004M,B18101D_004EA,B18101D_004MA,B18101D_005M,B18101D_005EA,B18101D_005MA,B18101D_006M,B18101D_006EA,B18101D_006MA,B18101D_007M,B18101D_007EA,B18101D_007MA,B18101D_008M,B18101D_008EA,B18101D_008MA,B18101D_009M,B18101D_009EA,B18101D_009MA,B18101D_010M,B18101D_010EA,B18101D_010MA,state
556841,7608,107998,3832,2091,696,105907,3837,376118,5455,19209,2570,356909,5759,72725,2682,19858,2223,52867,3089,7608,null,null,3832,null,null,696,null,null,3837,null,null,5455,null,null,2570,null,null,5759,null,null,2682,null,null,2223,null,null,3089,null,null,12
396879,6554,88126,3682,1067,544,87059,3624,275290,4545,10163,1540,265127,4691,33463,2502,10042,1431,23421,2283,6554,null,null,3682,null,null,544,null,null,3624,null,null,4545,null,null,1540,null,null,4691,null,null,2502,null,null,1431,null,null,2283,null,null,13
536582,10608,78317,5472,1306,422,77011,5425,327151,6988,19769,1722,307382,7332,131114,2000,44137,2357,86977,2575,10608,null,null,5472,null,null,422,null,null,5425,null,null,6988,null,null,1722,null,null,7332,null,null,2000,null,null,2357,null,null,2575,null,null,15
24085,2248,5677,1229,170,224,5507,1283,15579,1753,868,583,14711,1804,2829,797,303,354,2526,699,2248,null,null,1229,null,null,224,null,null,1283,null,null,1753,null,null,583,null,null,1804,null,null,797,null,null,354,null,null,699,null,null,16
682816,5844,142506,3601,3464,857,139042,3678,461665,4218,16030,1933,445635,4259,78645,2079,23046,1970,55599,2216,5844,null,null,3601,null,null,857,null,null,3678,null,null,4218,null,null,1933,null,null,4259,null,null,2079,null,null,1970,null,null,2216,null,null,17
140980,4565,31624,2386,892,462,30732,2251,100287,2992,2990,1055,97297,3117,9069,1397,1725,557,7344,1427,4565,null,null,2386,null,null,462,null,null,2251,null,null,2992,null,null,1055,null,null,3117,null,null,1397,null,null,557,null,null,1427,null,null,18
74653,2569,17684,1610,300,271,17384,1581,53292,2002,2211,846,51081,2010,3677,854,971,444,2706,689,2569,null,null,1610,null,null,271,null,null,1581,null,null,2002,null,null,846,null,null,2010,null,null,854,null,null,444,null,null,689,null,null,19
79067,3474,16545,1752,411,259,16134,1734,57093,2774,2800,781,54293,2782,5429,506,1262,423,4167,587,3474,null,null,1752,null,null,259,null,null,1734,null,null,2774,null,null,781,null,null,2782,null,null,506,null,null,423,null,null,587,null,null,20
60885,2897,14869,1523,158,142,14711,1524,42174,2464,2494,931,39680,2429,3842,848,1557,608,2285,710,2897,null,null,1523,null,null,142,null,null,1524,null,null,2464,null,null,931,null,null,2429,null,null,848,null,null,608,null,null,710,null,null,21
77338,2494,15945,1394,497,399,15448,1491,53852,2049,3788,1041,50064,2243,7541,1023,1960,558,5581,1065,2494,null,null,1394,null,null,399,null,null,1491,null,null,2049,null,null,1041,null,null,2243,null,null,1023,null,null,558,null,null,1065,null,null,22
17295,1497,3499,852,31,48,3468,847,12368,1191,855,465,11513,1171,1428,592,356,275,1072,523,1497,null,null,852,null,null,48,null,null,847,null,null,1191,null,null,465,null,null,1171,null,null,592,null,null,275,null,null,523,null,null,23
373810,4962,75290,3016,1611,637,73679,3061,253005,3257,9069,1714,243936,3526,45515,1271,11444,1484,34071,1696,4962,null,null,3016,null,null,637,null,null,3061,null,null,3257,null,null,1714,null,null,3526,null,null,1271,null,null,1484,null,null,1696,null,null,24
439988,5641,93048,2760,1776,613,91272,2718,308690,4291,12661,1980,296029,4264,38250,1232,12868,1524,25382,1742,5641,null,null,2760,null,null,613,null,null,2718,null,null,4291,null,null,1980,null,null,4264,null,null,1232,null,null,1524,null,null,1742,null,null,25
291755,4789,62711,2433,913,357,61798,2477,204130,3168,8701,1727,195429,3436,24914,1162,6418,1078,18496,1208,4789,null,null,2433,null,null,357,null,null,2477,null,null,3168,null,null,1727,null,null,3436,null,null,1162,null,null,1078,null,null,1208,null,null,26
258067,4614,73252,2710,2157,705,71095,2790,170889,2790,9811,1515,161078,2732,13926,941,5457,969,8469,929,4614,null,null,2710,null,null,705,null,null,2790,null,null,2790,null,null,1515,null,null,2732,null,null,941,null,null,969,null,null,929,null,null,27
26056,2363,6324,981,360,346,5964,1068,17807,2009,412,424,17395,2052,1925,682,498,321,1427,659,2363,null,null,981,null,null,346,null,null,1068,null,null,2009,null,null,424,null,null,2052,null,null,682,null,null,321,null,null,659,null,null,28
