B27001F_001E,B27001F_001M,B27001F_002E,B27001F_002M,B27001F_003E,B27001F_003M,B27001F_004E,B27001F_004M,B27001F_005E,B27001F_005M,B27001F_006E,B27001F_006M,B27001F_007E,B27001F_007M,B27001F_008E,B27001F_008M,B27001F_009E,B27001F_009M,B27001F_010E,B27001F_010M,B27001F_011E,B27001F_011M,B27001F_012E,B27001F_012M,B27001F_013E,B27001F_013M,B27001F_014E,B27001F_014M,B27001F_015E,B27001F_015M,B27001F_016E,B27001F_016M,B27001F_017E,B27001F_017M,B27001F_018E,B27001F_018M,B27001F_019E,B27001F_019M,B27001F_020E,B27001F_020M,B27001F_021E,B27001F_021M,B27001F_022E,B27001F_022M,B27001F_023E,B27001F_023M,B27001F_024E,B27001F_024M,B27001F_025E,B27001F_025M,B27001F_026E,B27001F_026M,B27001F_027E,B27001F_027M,B27001F_028E,B27001F_028M,B27001F_001M,B27001F_001EA,B27001F_001MA,B27001F_002M,B27001F_002EA,B27001F_002MA,B27001F_003M,B27001F_003EA,B27001F_003MA,B27001F_004M,B27001F_004EA,B27001F_004MA,B27001F_005M,B27001F_005EA,B27001F_005MA,B27001F_006M,B27001F_006EA,B27001F_006MA,B27001F_007M,B27001F_007EA,B27001F_007MA,B27001F_008M,B27001F_008EA,B27001F_008MA,B27001F_009M,B27001F_009EA,B27001F_009MA,B27001F_010M,B27001F_010EA,B27001F_010MA,B27001F_011M,B27001F_011EA,B27001F_011MA,B27001F_012M,B27001F_012EA,B27001F_012MA,B27001F_013M,B27001F_013EA,B27001F_013MA,B27001F_014M,B27001F_014EA,B27001F_014MA,B27001F_015M,B27001F_015EA,B27001F_015MA,B27001F_016M,B27001F_016EA,B27001F_016MA,B27001F_017M,B27001F_017EA,B27001F_017MA,B27001F_018M,B27001F_018EA,B27001F_018MA,B27001F_019M,B27001F_019EA,B27001F_019MA,B27001F_020M,B27001F_020EA,B27001F_020MA,B27001F_021M,B27001F_021EA,B27001F_021MA,B27001F_022M,B27001F_022EA,B27001F_022MA,B27001F_023M,B27001F_023EA,B27001F_023MA,B27001F_024M,B27001F_024EA,B27001F_024MA,B27001F_025M,B27001F_025EA,B27001F_025MA,B27001F_026M,B27001F_026EA,B27001F_026MA,B27001F_027M,B27001F_027EA,B27001F_027MA,B27001F_028M,B27001F_028EA,B27001F_028MA,state
566051,25457,48889,5303,46535,5419,2354,1330,95772,7838,83491,7220,12281,2938,64487,5801,40352,4381,24135,3734,102685,6958,66179,5637,36506,3950,88281,6466,60887,5397,27394,4112,76633,5618,55873,4619,20760,3353,48279,4652,36304,4245,11975,2437,25744,3378,24195,3394,1549,1081,15281,2618,14326,2519,955,701,25457,null,null,5303,null,null,5419,null,null,1330,null,null,7838,null,null,7220,null,null,2938,null,null,5801,null,null,4381,null,null,3734,null,null,6958,null,null,5637,null,null,3950,null,null,6466,null,null,5397,null,null,4112,null,null,5618,null,null,4619,null,null,3353,null,null,4652,null,null,4245,null,null,2437,null,null,3378,null,null,3394,null,null,1081,null,null,2618,null,null,2519,null,null,701,null,null,12
294248,22186,34299,4695,31099,4570,3200,1436,73620,7733,60955,6897,12665,4627,31235,3894,18180,3452,13055,2803,46473,5057,18455,2783,28018,3886,55352,5571,23962,3827,31390,3957,32099,3955,18188,3243,13911,3127,15008,2330,9424,1967,5584,1685,4242,1449,3657,1381,585,408,1920,1062,1515,942,405,472,22186,null,null,4695,null,null,4570,null,null,1436,null,null,7733,null,null,6897,null,null,4627,null,null,3894,null,null,3452,null,null,2803,null,null,5057,null,null,2783,null,null,3886,null,null,5571,null,null,3827,null,null,3957,null,null,3955,null,null,3243,null,null,3127,null,null,2330,null,null,1967,null,null,1685,null,null,1449,null,null,1381,null,null,408,null,null,1062,null,null,942,null,null,472,null,null,13
10979,2462,1091,571,1091,571,0,185,1616,1120,1518,1093,98,162,1092,557,1092,557,0,185,2448,910,1976,821,472,388,1469,628,945,313,524,516,1526,639,1526,639,0,185,1145,376,1044,383,101,107,338,242,338,242,0,185,254,204,254,204,0,185,2462,null,null,571,null,null,571,null,null,185,null,null,1120,null,null,1093,null,null,162,null,null,557,null,null,557,null,null,185,null,null,910,null,null,821,null,null,388,null,null,628,null,null,313,null,null,516,null,null,639,null,null,639,null,null,185,null,null,376,null,null,383,null,null,107,null,null,242,null,null,242,null,null,185,null,null,204,null,null,204,null,null,185,null,null,15
66066,7295,10018,2248,9632,2199,386,241,14871,2760,13849,2618,1022,623,10651,2250,6750,1519,3901,1680,8951,1922,6714,1638,2237,1053,8877,1828,5608,1630,3269,1151,7237,1470,4867,1354,2370,987,3571,950,2994,998,577,431,938,461,820,433,118,186,952,606,892,576,60,100,7295,null,null,2248,null,null,2199,null,null,241,null,null,2760,null,null,2618,null,null,623,null,null,2250,null,null,1519,null,null,1680,null,null,1922,null,null,1638,null,null,1053,null,null,1828,null,null,1630,null,null,1151,null,null,1470,null,null,1354,null,null,987,null,null,950,null,null,998,null,null,431,null,null,461,null,null,433,null,null,186,null,null,606,null,null,576,null,null,100,null,null,16
820533,24819,79264,5562,77764,5678,1500,674,183885,9710,177850,9528,6035,1741,97965,5545,74543,4347,23422,3509,128445,6509,84996,5130,43449,4483,135765,6895,89073,6438,46692,4201,98006,4670,71585,4368,26421,3494,57147,4020,46482,3968,10665,1918,26357,2481,23398,2215,2959,1227,13699,1809,12933,1770,766,480,24819,null,null,5562,null,null,5678,null,null,674,null,null,9710,null,null,9528,null,null,1741,null,null,5545,null,null,4347,null,null,3509,null,null,6509,null,null,5130,null,null,4483,null,null,6895,null,null,6438,null,null,4201,null,null,4670,null,null,4368,null,null,3494,null,null,4020,null,null,3968,null,null,1918,null,null,2481,null,null,2215,null,null,1227,null,null,1809,null,null,1770,null,null,480,null,null,17
155926,11053,18357,2523,16794,2377,1563,851,38675,4190,35934,4028,2741,934,16731,2203,11649,1813,5082,1460,26508,3112,15457,2571,11051,1998,22660,2840,14671,2115,7989,1924,16844,2258,12409,1783,4435,1245,8650,1387,6668,1366,1982,781,5626,813,5128,844,498,504,1875,702,1757,691,118,126,11053,null,null,2523,null,null,2377,null,null,851,null,null,4190,null,null,4028,null,null,934,null,null,2203,null,null,1813,null,null,1460,null,null,3112,null,null,2571,null,null,1998,null,null,2840,null,null,2115,null,null,1924,null,null,2258,null,null,1783,null,null,1245,null,null,1387,null,null,1366,null,null,781,null,null,813,null,null,844,null,null,504,null,null,702,null,null,691,null,null,126,null,null,18
41848,4616,4412,977,4074,972,338,366,9290,1767,7597,1715,1693,843,5636,1312,3902,979,1734,826,6910,1557,4903,1279,2007,1163,7317,1521,4105,1128,3212,1119,4842,1077,3933,1020,909,448,2491,835,1882,710,609,450,567,278,567,278,0,159,383,379,383,379,0,159,4616,null,null,977,null,null,972,null,null,366,null,null,1767,null,null,1715,null,null,843,null,null,1312,null,null,979,null,null,826,null,null,1557,null,null,1279,null,null,1163,null,null,1521,null,null,1128,null,null,1119,null,null,1077,null,null,1020,null,null,448,null,null,835,null,null,710,null,null,450,null,null,278,null,null,278,null,null,159,null,null,379,null,null,379,null,null,159,null,null,19
73612,7766,7647,1839,7333,1776,314,299,17432,2854,16171,2759,1261,668,8806,1701,5680,1260,3126,1089,11007,1793,6522,1485,4485,1289,13184,2598,7859,2064,5325,1492,7365,1269,5439,1146,1926,788,5042,1212,3537,917,1505,593,2462,871,2215,805,247,268,667,323,543,285,124,159,7766,null,null,1839,null,null,1776,null,null,299,null,null,2854,null,null,2759,null,null,668,null,null,1701,null,null,1260,null,null,1089,null,null,1793,null,null,1485,null,null,1289,null,null,2598,null,null,2064,null,null,1492,null,null,1269,null,null,1146,null,null,788,null,null,1212,null,null,917,null,null,593,null,null,871,null,null,805,null,null,268,null,null,323,null,null,285,null,null,159,null,null,20
36479,5215,4165,1396,4096,1402,69,111,9116,2135,7747,1880,1369,821,3175,906,2255,854,920,482,7845,1891,4350,1290,3495,1327,5958,1503,3335,1163,2623,951,3776,1360,2091,923,1685,1050,1464,732,958,486,506,577,603,396,462,348,141,211,377,470,87,103,290,447,5215,null,null,1396,null,null,1402,null,null,111,null,null,2135,null,null,1880,null,null,821,null,null,906,null,null,854,null,null,482,null,null,1891,null,null,1290,null,null,1327,null,null,1503,null,null,1163,null,null,951,null,null,1360,null,null,923,null,null,1050,null,null,732,null,null,486,null,null,577,null,null,396,null,null,348,null,null,211,null,null,470,null,null,103,null,null,447,null,null,21
65205,6381,7918,2119,7791,2102,127,128,13210,1962,9747,1854,3463,1463,5361,1681,2502,897,2859,1353,15896,2449,5675,1404,10221,2078,10429,2030,4148,1238,6281,1800,6107,1630,2938,1067,3169,1186,4396,1125,2863,786,1533,841,876,494,771,458,105,169,1012,509,927,495,85,140,6381,null,null,2119,null,null,2102,null,null,128,null,null,1962,null,null,1854,null,null,1463,null,null,1681,null,null,897,null,null,1353,null,null,2449,null,null,1404,null,null,2078,null,null,2030,null,null,1238,null,null,1800,null,null,1630,null,null,1067,null,null,1186,null,null,1125,null,null,786,null,null,841,null,null,494,null,null,458,null,null,169,null,null,509,null,null,495,null,null,140,null,null,22
