C27012_001E,C27012_001M,C27012_002E,C27012_002M,C27012_003E,C27012_003M,C27012_004E,C27012_004M,C27012_005E,C27012_005M,C27012_006E,C27012_006M,C27012_007E,C27012_007M,C27012_008E,C27012_008M,C27012_009E,C27012_009M,C27012_010E,C27012_010M,C27012_011E,C27012_011M,C27012_012E,C27012_012M,C27012_013E,C27012_013M,C27012_014E,C27012_014M,C27012_015E,C27012_015M,C27012_016E,C27012_016M,C27012_017E,C27012_017M,C27012_018E,C27012_018M,C27012_019E,C27012_019M,C27012_020E,C27012_020M,C27012_021E,C27012_021M,C27012_022E,C27012_022M,C27012_023E,C27012_023M,C27012_024E,C27012_024M,C27012_025E,C27012_025M,C27012_026E,C27012_026M,C27012_027E,C27012_027M,C27012_028E,C27012_028M,C27012_029E,C27012_029M,C27012_030E,C27012_030M,C27012_031E,C27012_031M,C27012_032E,C27012_032M,C27012_033E,C27012_033M,C27012_034E,C27012_034M,C27012_035E,C27012_035M,C27012_036E,C27012_036M,C27012_037E,C27012_037M,C27012_038E,C27012_038M,C27012_039E,C27012_039M,C27012_040E,C27012_040M,C27012_041E,C27012_041M,C27012_042E,C27012_042M,C27012_043E,C27012_043M,C27012_044E,C27012_044M,C27012_045E,C27012_045M,C27012_046E,C27012_046M,C27012_001M,C27012_001EA,C27012_001MA,C27012_002M,C27012_002EA,C27012_002MA,C27012_003M,C27012_003EA,C27012_003MA,C27012_004M,C27012_004EA,C27012_004MA,C27012_005M,C27012_005EA,C27012_005MA,C27012_006M,C27012_006EA,C27012_006MA,C27012_007M,C27012_007EA,C27012_007MA,C27012_008M,C27012_008EA,C27012_008MA,C27012_009M,C27012_009EA,C27012_009MA,C27012_010M,C27012_010EA,C27012_010MA,C27012_011M,C27012_011EA,C27012_011MA,C27012_012M,C27012_012EA,C27012_012MA,C27012_013M,C27012_013EA,C27012_013MA,C27012_014M,C27012_014EA,C27012_014MA,C27012_015M,C27012_015EA,C27012_015MA,C27012_016M,C27012_016EA,C27012_016MA,C27012_017M,C27012_017EA,C27012_017MA,C27012_018M,C27012_018EA,C27012_018MA,C27012_019M,C27012_019EA,C27012_019MA,C27012_020M,C27012_020EA,C27012_020MA,C27012_021M,C27012_021EA,C27012_021MA,C27012_022M,C27012_022EA,C27012_022MA,C27012_023M,C27012_023EA,C27012_023MA,C27012_024M,C27012_024EA,C27012_024MA,C27012_025M,C27012_025EA,C27012_025MA,C27012_026M,C27012_026EA,C27012_026MA,C27012_027M,C27012_027EA,C27012_027MA,C27012_028M,C27012_028EA,C27012_028MA,C27012_029M,C27012_029EA,C27012_029MA,C27012_030M,C27012_030EA,C27012_030MA,C27012_031M,C27012_031EA,C27012_031MA,C27012_032M,C27012_032EA,C27012_032MA,C27012_033M,C27012_033EA,C27012_033MA,C27012_034M,C27012_034EA,C27012_034MA,C27012_035M,C27012_035EA,C27012_035MA,C27012_036M,C27012_036EA,C27012_036MA,C27012_037M,C27012_037EA,C27012_037MA,C27012_038M,C27012_038EA,C27012_038MA,C27012_039M,C27012_039EA,C27012_039MA,C27012_040M,C27012_040EA,C27012_040MA,C27012_041M,C27012_041EA,C27012_041MA,C27012_042M,C27012_042EA,C27012_042MA,C27012_043M,C27012_043EA,C27012_043MA,C27012_044M,C27012_044EA,C27012_044MA,C27012_045M,C27012_045EA,C27012_045MA,C27012_046M,C27012_046EA,C27012_046MA,state
16158134,5598,6522587,36964,6232323,36196,5352519,38265,4261285,36791,885425,19869,25700,3061,265246,10959,879804,22435,290264,9110,282754,9127,136372,6012,58882,3951,232124,8742,17282,1976,7510,1953,3410513,33690,2997480,34138,2277528,26402,1287543,21546,625467,14643,52060,4697,379754,12682,719952,21073,413033,8466,407686,8756,104249,5205,118823,5647,396058,9006,36046,2936,5347,1650,6225034,32656,2907585,29291,2272914,28293,820759,17872,505864,14249,429834,12304,820406,19391,634671,19337,3317449,12402,3277233,13744,780391,12478,969560,14582,3218785,14471,520686,10471,40216,5027,5598,null,null,36964,null,null,36196,null,null,38265,null,null,36791,null,null,19869,null,null,3061,null,null,10959,null,null,22435,null,null,9110,null,null,9127,null,null,6012,null,null,3951,null,null,8742,null,null,1976,null,null,1953,null,null,33690,null,null,34138,null,null,26402,null,null,21546,null,null,14643,null,null,4697,null,null,12682,null,null,21073,null,null,8466,null,null,8756,null,null,5205,null,null,5647,null,null,9006,null,null,2936,null,null,1650,null,null,32656,null,null,29291,null,null,28293,null,null,17872,null,null,14249,null,null,12304,null,null,19391,null,null,19337,null,null,12402,null,null,13744,null,null,12478,null,null,14582,null,null,14471,null,null,10471,null,null,5027,null,null,12
7614462,5045,3425190,25696,3307150,24965,2889696,24083,2494080,25881,367547,12769,14096,2161,76766,5365,417454,15247,118040,5633,116139,5692,68996,4196,24703,2036,94815,4829,5109,1081,1901,1116,1679018,24532,1527537,23543,1152596,20150,769994,16668,242439,9885,23304,2406,146012,7975,374941,12732,151481,4852,150203,4885,52520,3215,46704,3172,146009,5031,11613,1586,1278,625,2510254,21101,1449472,20741,1107856,18381,481855,13229,190599,9652,219990,8350,374568,11720,341616,11915,1060782,8115,1051171,8094,316996,8674,319786,7966,1031565,8311,180644,6048,9611,1984,5045,null,null,25696,null,null,24965,null,null,24083,null,null,25881,null,null,12769,null,null,2161,null,null,5365,null,null,15247,null,null,5633,null,null,5692,null,null,4196,null,null,2036,null,null,4829,null,null,1081,null,null,1116,null,null,24532,null,null,23543,null,null,20150,null,null,16668,null,null,9885,null,null,2406,null,null,7975,null,null,12732,null,null,4852,null,null,4885,null,null,3215,null,null,3172,null,null,5031,null,null,1586,null,null,625,null,null,21101,null,null,20741,null,null,18381,null,null,13229,null,null,9652,null,null,8350,null,null,11720,null,null,11915,null,null,8115,null,null,8094,null,null,8674,null,null,7966,null,null,8311,null,null,6048,null,null,1984,null,null,13
1071169,2692,489415,7484,461035,7182,450767,7341,398338,8788,38214,3307,2212,735,23770,2876,10268,1674,28380,2710,28380,2710,22741,2260,4657,927,22129,2256,928,467,0,185,242895,7380,210288,6635,191876,6462,125890,5726,26674,2749,2957,876,40103,3380,18412,2397,32607,2465,32473,2468,18319,2123,8546,1340,29469,2338,2902,784,134,133,338859,7326,161112,6956,148842,6475,60169,3822,23209,2826,15931,2191,54034,4370,12270,2081,177747,3151,177055,3192,82865,3643,44772,3059,173506,3162,25353,2280,692,381,2692,null,null,7484,null,null,7182,null,null,7341,null,null,8788,null,null,3307,null,null,735,null,null,2876,null,null,1674,null,null,2710,null,null,2710,null,null,2260,null,null,927,null,null,2256,null,null,467,null,null,185,null,null,7380,null,null,6635,null,null,6462,null,null,5726,null,null,2749,null,null,876,null,null,3380,null,null,2397,null,null,2465,null,null,2468,null,null,2123,null,null,1340,null,null,2338,null,null,784,null,null,133,null,null,7326,null,null,6956,null,null,6475,null,null,3822,null,null,2826,null,null,2191,null,null,4370,null,null,2081,null,null,3151,null,null,3192,null,null,3643,null,null,3059,null,null,3162,null,null,2280,null,null,381,null,null,15
1227237,1476,516947,9158,497956,8749,442595,8775,372794,8618,67554,4319,2377,804,14110,2156,55361,3893,18991,2064,18933,2078,9128,1348,5758,1134,15477,1842,707,420,58,92,319219,8318,285443,7825,227529,8614,143082,6901,64068,4887,4837,1117,27193,3214,57914,4631,33776,2012,33494,2026,7848,1267,15144,1582,31782,2046,3097,935,282,238,391071,7846,191404,7002,158979,6895,67590,5109,38472,3059,30103,3157,51148,4282,32425,3452,199667,2918,198080,3036,41771,3446,82625,4620,196607,2981,27810,2841,1587,806,1476,null,null,9158,null,null,8749,null,null,8775,null,null,8618,null,null,4319,null,null,804,null,null,2156,null,null,3893,null,null,2064,null,null,2078,null,null,1348,null,null,1134,null,null,1842,null,null,420,null,null,92,null,null,8318,null,null,7825,null,null,8614,null,null,6901,null,null,4887,null,null,1117,null,null,3214,null,null,4631,null,null,2012,null,null,2026,null,null,1267,null,null,1582,null,null,2046,null,null,935,null,null,238,null,null,7846,null,null,7002,null,null,6895,null,null,5109,null,null,3059,null,null,3157,null,null,4282,null,null,3452,null,null,2918,null,null,3036,null,null,3446,null,null,4620,null,null,2981,null,null,2841,null,null,806,null,null,16
9700525,2700,4380480,25042,4224431,24153,3918126,23323,3380022,21986,408919,10555,16262,2210,245431,7897,306305,10654,156049,5018,154700,4924,96102,3890,35652,2453,123043,4484,6574,1390,1349,563,2321998,21745,2092262,20073,1856313,18709,1178445,15722,306290,8773,33865,3243,427501,10941,235949,8402,229736,6543,228032,6385,84237,3821,84247,4170,218319,6336,14889,1519,1704,819,2998047,19042,1575922,18179,1388361,16601,595776,10214,213266,8195,200775,8145,547613,11731,187561,8090,1422125,7535,1409710,7842,424358,7938,512726,10130,1387414,8092,180061,6540,12415,2148,2700,null,null,25042,null,null,24153,null,null,23323,null,null,21986,null,null,10555,null,null,2210,null,null,7897,null,null,10654,null,null,5018,null,null,4924,null,null,3890,null,null,2453,null,null,4484,null,null,1390,null,null,563,null,null,21745,null,null,20073,null,null,18709,null,null,15722,null,null,8773,null,null,3243,null,null,10941,null,null,8402,null,null,6543,null,null,6385,null,null,3821,null,null,4170,null,null,6336,null,null,1519,null,null,819,null,null,19042,null,null,18179,null,null,16601,null,null,10214,null,null,8195,null,null,8145,null,null,11731,null,null,8090,null,null,7535,null,null,7842,null,null,7938,null,null,10130,null,null,8092,null,null,6540,null,null,2148,null,null,17
4960989,3562,2209845,16598,2133924,16904,1968624,16261,1748618,16675,183517,7400,11474,1829,83940,5468,165300,7625,75921,4006,75096,3937,45005,3016,17956,1840,60916,3665,2701,629,825,509,1209953,14979,1078219,15467,913657,14652,606984,13282,152519,5557,24038,2724,178011,8517,164562,8531,131734,5195,130068,5165,38246,2708,52516,3751,126256,5143,6811,1031,1666,796,1541191,12116,791568,12143,689410,12033,288647,8261,105587,5868,150571,5965,266172,8048,102158,5741,749623,6128,745921,6106,212596,6588,311514,7147,739872,6326,82116,4348,3702,1059,3562,null,null,16598,null,null,16904,null,null,16261,null,null,16675,null,null,7400,null,null,1829,null,null,5468,null,null,7625,null,null,4006,null,null,3937,null,null,3016,null,null,1840,null,null,3665,null,null,629,null,null,509,null,null,14979,null,null,15467,null,null,14652,null,null,13282,null,null,5557,null,null,2724,null,null,8517,null,null,8531,null,null,5195,null,null,5165,null,null,2708,null,null,3751,null,null,5143,null,null,1031,null,null,796,null,null,12116,null,null,12143,null,null,12033,null,null,8261,null,null,5868,null,null,5965,null,null,8048,null,null,5741,null,null,6128,null,null,6106,null,null,6588,null,null,7147,null,null,6326,null,null,4348,null,null,1059,null,null,18
2366440,1861,1132183,11037,1088742,10786,1037626,11150,892903,11739,121172,5479,6100,1325,64031,5026,51116,3505,43441,2431,43325,2431,21908,1883,14376,1555,35727,2138,1635,546,116,100,602813,10022,517835,9557,478488,9197,312641,7201,84072,5147,13215,2068,105406,5462,39347,3036,84978,3305,84867,3324,20568,1992,41759,2434,83606,3305,6379,986,111,112,631444,8508,268628,7123,246741,6457,99749,4612,39967,2682,43807,3035,106764,4936,21887,2632,362816,4086,362223,4029,74120,3530,177549,4537,359983,4024,44132,2581,593,331,1861,null,null,11037,null,null,10786,null,null,11150,null,null,11739,null,null,5479,null,null,1325,null,null,5026,null,null,3505,null,null,2431,null,null,2431,null,null,1883,null,null,1555,null,null,2138,null,null,546,null,null,100,null,null,10022,null,null,9557,null,null,9197,null,null,7201,null,null,5147,null,null,2068,null,null,5462,null,null,3036,null,null,3305,null,null,3324,null,null,1992,null,null,2434,null,null,3305,null,null,986,null,null,112,null,null,8508,null,null,7123,null,null,6457,null,null,4612,null,null,2682,null,null,3035,null,null,4936,null,null,2632,null,null,4086,null,null,4029,null,null,3530,null,null,4537,null,null,4024,null,null,2581,null,null,331,null,null,19
2137760,2885,1011521,10551,968600,9810,888598,9972,775797,9996,107446,5472,4548,1065,21800,2726,80002,4387,42921,2708,42566,2718,23052,2157,13743,1603,36582,2384,1386,393,355,246,524701,8907,458746,8450,375328,8342,258022,7253,81707,4974,10229,1597,39569,3377,83418,4825,65955,3338,65895,3337,16761,1965,31216,2411,64735,3338,4472,845,60,85,601538,8249,291047,6937,238697,6684,106867,4149,49327,3337,50679,3264,71196,4307,52350,3687,310491,4100,308614,4148,66078,3066,147630,4337,306433,4220,36210,2635,1877,674,2885,null,null,10551,null,null,9810,null,null,9972,null,null,9996,null,null,5472,null,null,1065,null,null,2726,null,null,4387,null,null,2708,null,null,2718,null,null,2157,null,null,1603,null,null,2384,null,null,393,null,null,246,null,null,8907,null,null,8450,null,null,8342,null,null,7253,null,null,4974,null,null,1597,null,null,3377,null,null,4825,null,null,3338,null,null,3337,null,null,1965,null,null,2411,null,null,3338,null,null,845,null,null,85,null,null,8249,null,null,6937,null,null,6684,null,null,4149,null,null,3337,null,null,3264,null,null,4307,null,null,3687,null,null,4100,null,null,4148,null,null,3066,null,null,4337,null,null,4220,null,null,2635,null,null,674,null,null,20
3344394,3524,1381101,16950,1331457,16512,1254730,16511,1061809,16170,108781,5306,8817,1528,114865,6240,76727,5407,49644,2628,49193,2574,28798,2078,13408,1305,41449,2361,2324,752,451,312,746311,14296,670105,13304,604948,12691,349089,8964,79333,4399,16330,1979,184477,7686,65157,4905,76206,3936,75897,3930,30108,2419,27266,2085,73498,3823,4554,995,309,247,1216982,14481,677465,13750,630100,13363,188102,7246,71775,3715,150578,5968,335137,10362,47365,4197,539517,4912,538171,4934,169286,5549,182878,5131,533384,4980,77773,3841,1346,643,3524,null,null,16950,null,null,16512,null,null,16511,null,null,16170,null,null,5306,null,null,1528,null,null,6240,null,null,5407,null,null,2628,null,null,2574,null,null,2078,null,null,1305,null,null,2361,null,null,752,null,null,312,null,null,14296,null,null,13304,null,null,12691,null,null,8964,null,null,4399,null,null,1979,null,null,7686,null,null,4905,null,null,3936,null,null,3930,null,null,2419,null,null,2085,null,null,3823,null,null,995,null,null,247,null,null,14481,null,null,13750,null,null,13363,null,null,7246,null,null,3715,null,null,5968,null,null,10362,null,null,4197,null,null,4912,null,null,4934,null,null,5549,null,null,5131,null,null,4980,null,null,3841,null,null,643,null,null,21
3461725,2923,1433780,13725,1370471,13154,1220716,13478,1023283,14015,152093,6557,9796,1844,77679,6070,149755,7790,63309,3416,62804,3453,37594,2928,14185,1538,51801,2773,3031,680,505,354,767394,13140,690901,12809,544188,11578,325803,11039,107750,4980,16283,2641,121855,7984,146713,7860,76493,4344,75994,4366,28272,2395,22690,2068,73247,4321,7038,1199,499,329,1260551,13330,746327,12823,608998,13031,217105,7991,86678,5111,131381,5736,285399,10192,137329,7911,514224,4887,512819,4917,141543,5679,147848,5461,501910,5064,93553,4877,1405,459,2923,null,null,13725,null,null,13154,null,null,13478,null,null,14015,null,null,6557,null,null,1844,null,null,6070,null,null,7790,null,null,3416,null,null,3453,null,null,2928,null,null,1538,null,null,2773,null,null,680,null,null,354,null,null,13140,null,null,12809,null,null,11578,null,null,11039,null,null,4980,null,null,2641,null,null,7984,null,null,7860,null,null,4344,null,null,4366,null,null,2395,null,null,2068,null,null,4321,null,null,1199,null,null,329,null,null,13330,null,null,12823,null,null,13031,null,null,7991,null,null,5111,null,null,5736,null,null,10192,null,null,7911,null,null,4887,null,null,4917,null,null,5679,null,null,5461,null,null,5064,null,null,4877,null,null,459,null,null,22
