B19202I_001E,B19202I_001M,B19202I_001M,B19202I_001EA,B19202I_001MA,state
28215,1309,1309,null,null,12
36769,2772,2772,null,null,13
39087,3656,3656,null,null,15
24586,4497,4497,null,null,16
32488,2732,2732,null,null,17
29596,3734,3734,null,null,18
31328,3179,3179,null,null,19
32303,2102,2102,null,null,20
26270,6042,6042,null,null,21
30464,3965,3965,null,null,22
22231,14428,14428,null,null,23
55123,6740,6740,null,null,24
22073,3612,3612,null,null,25
30036,3403,3403,null,null,26
33781,4456,4456,null,null,27
31753,6260,6260,null,null,28
32288,6054,6054,null,null,29
25605,7045,7045,null,null,30
30954,2944,2944,null,null,31
28345,3896,3896,null,null,32
22428,15713,15713,null,null,33
29362,2123,2123,null,null,34
23047,1655,1655,null,null,35
24198,1387,1387,null,null,36
30596,1324,1324,null,null,37
27994,13276,13276,null,null,38
30876,3996,3996,null,null,39
27032,2510,2510,null,null,40
34960,5306,5306,null,null,41
22159,2140,2140,null,null,42
15444,4702,4702,null,null,44
28919,3054,3054,null,null,45
21772,15472,15472,null,null,46
31615,3524,3524,null,null,47
30071,785,785,null,null,48
31643,5250,5250,null,null,49
null,null,null,null,null,50
43697,3632,3632,null,null,51
37392,3392,3392,null,null,53
17066,4647,4647,null,null,54
31790,2658,2658,null,null,55
27146,7761,7761,null,null,56
11340,297,297,null,null,72
27456,5694,5694,null,null,01
49581,6600,6600,null,null,02
30753,1431,1431,null,null,04
25241,6330,6330,null,null,05
35024,1062,1062,null,null,06
31464,2020,2020,null,null,08
35018,3060,3060,null,null,09
31597,4546,4546,null,null,10
65884,4554,4554,null,null,11
