B99131_001E,B99131_002E,B99131_003E,B99131_001EA,B99131_002EA,B99131_003EA,state
4600794,334667,4266127,null,null,null,12
2572034,130404,2441630,null,null,null,13
323189,25883,297306,null,null,null,15
383036,17544,365492,null,null,null,16
3071443,157940,2913503,null,null,null,17
1548168,72926,1475242,null,null,null,18
704948,34788,670160,null,null,null,19
660416,33319,627097,null,null,null,20
1032658,46658,986000,null,null,null,21
1116608,61365,1055243,null,null,null,22
288602,8786,279816,null,null,null,23
1453193,98193,1355000,null,null,null,24
1659468,109153,1550315,null,null,null,25
2274064,105346,2168718,null,null,null,26
1262425,57265,1205160,null,null,null,27
714223,29946,684277,null,null,null,28
1401746,64058,1337688,null,null,null,29
223050,12275,210775,null,null,null,30
432394,20912,411482,null,null,null,31
696856,42697,654159,null,null,null,32
297535,15276,282259,null,null,null,33
2098898,113261,1985637,null,null,null,34
468325,24044,444281,null,null,null,35
4821206,366111,4455095,null,null,null,36
2438529,125764,2312765,null,null,null,37
170161,6406,163755,null,null,null,38
2647918,115168,2532750,null,null,null,39
906820,52427,854393,null,null,null,40
956894,50062,906832,null,null,null,41
2893433,173978,2719455,null,null,null,42
253564,14111,239453,null,null,null,44
1160103,61834,1098269,null,null,null,45
186535,6053,180482,null,null,null,46
1565337,77698,1487639,null,null,null,47
6889422,342358,6547064,null,null,null,48
757168,30412,726756,null,null,null,49
139057,5585,133472,null,null,null,50
2024162,126791,1897371,null,null,null,51
1720836,88564,1632272,null,null,null,53
399641,15386,384255,null,null,null,54
1303163,55083,1248080,null,null,null,55
128783,5300,123483,null,null,null,56
817807,26458,791349,null,null,null,72
1146916,64711,1082205,null,null,null,01
175947,10649,165298,null,null,null,02
1587126,130840,1456286,null,null,null,04
689086,30060,659026,null,null,null,05
9646626,697286,8949340,null,null,null,06
1335143,80900,1254243,null,null,null,08
830502,43458,787044,null,null,null,09
218731,9108,209623,null,null,null,10
206729,19622,187107,null,null,null,11
