B16006_001E,B16006_001M,B16006_002E,B16006_002M,B16006_003E,B16006_003M,B16006_004E,B16006_004M,B16006_005E,B16006_005M,B16006_006E,B16006_006M,B16006_007E,B16006_007M,B16006_008E,B16006_008M,B16006_001M,B16006_001EA,B16006_001MA,B16006_002M,B16006_002EA,B16006_002MA,B16006_003M,B16006_003EA,B16006_003MA,B16006_004M,B16006_004EA,B16006_004MA,B16006_005M,B16006_005EA,B16006_005MA,B16006_006M,B16006_006EA,B16006_006MA,B16006_007M,B16006_007EA,B16006_007MA,B16006_008M,B16006_008EA,B16006_008MA,state
471562,716,162732,8499,306584,8619,176329,8010,53348,4466,55246,4560,21661,3056,2246,1162,716,null,null,8499,null,null,8619,null,null,8010,null,null,4466,null,null,4560,null,null,3056,null,null,1162,null,null,41
808485,1697,273630,11653,530526,11651,311009,10719,96618,6360,79770,4846,43129,5064,4329,1389,1697,null,null,11653,null,null,11651,null,null,10719,null,null,6360,null,null,4846,null,null,5064,null,null,1389,null,null,42
141890,506,27300,3172,113558,3271,66028,4556,20003,2932,17427,2484,10100,1838,1032,730,506,null,null,3172,null,null,3271,null,null,4556,null,null,2932,null,null,2484,null,null,1838,null,null,730,null,null,44
245088,3604,69998,5100,174115,6705,92265,5089,33249,4052,32745,4318,15856,3437,975,711,3604,null,null,5100,null,null,6705,null,null,5089,null,null,4052,null,null,4318,null,null,3437,null,null,711,null,null,45
27794,1307,14260,1589,13172,1382,7465,1228,2312,784,1924,646,1471,672,362,337,1307,null,null,1589,null,null,1382,null,null,1228,null,null,784,null,null,646,null,null,672,null,null,337,null,null,46
305211,2900,90248,6377,213574,5830,109165,5146,43138,4190,46789,4697,14482,2185,1389,666,2900,null,null,6377,null,null,5830,null,null,5146,null,null,4190,null,null,4697,null,null,2185,null,null,666,null,null,47
9879924,2145,2517513,33527,7345372,33369,4310152,40452,1284830,23828,1067049,22799,683341,20674,17039,3333,2145,null,null,33527,null,null,33369,null,null,40452,null,null,23828,null,null,22799,null,null,20674,null,null,3333,null,null,48
374017,1002,129719,7386,242836,7672,149242,7482,40060,4873,40026,3733,13508,2433,1462,527,1002,null,null,7386,null,null,7672,null,null,7482,null,null,4873,null,null,3733,null,null,2433,null,null,527,null,null,49
11558,1064,7716,1385,3797,846,3077,822,375,260,190,165,155,156,45,40,1064,null,null,1385,null,null,846,null,null,822,null,null,260,null,null,165,null,null,156,null,null,40,null,null,50
688658,3020,182113,8823,500722,9703,273997,9132,100655,5486,98997,6832,27073,3520,5823,1525,3020,null,null,8823,null,null,9703,null,null,9132,null,null,5486,null,null,6832,null,null,3520,null,null,1525,null,null,51
810048,1210,274588,11549,527577,11984,297504,10929,96179,4838,92328,5777,41566,4924,7883,2476,1210,null,null,11549,null,null,11984,null,null,10929,null,null,4838,null,null,5777,null,null,4924,null,null,2476,null,null,53
23891,2104,13438,1853,10353,1852,5979,1197,1606,531,2281,814,487,436,100,120,2104,null,null,1853,null,null,1852,null,null,1197,null,null,531,null,null,814,null,null,436,null,null,120,null,null,54
348154,1245,135400,6694,211452,6599,121403,5726,42752,3229,34657,3315,12640,1962,1302,508,1245,null,null,6694,null,null,6599,null,null,5726,null,null,3229,null,null,3315,null,null,1962,null,null,508,null,null,55
50454,1124,28248,2942,21898,3050,14863,2285,3456,1213,2773,947,806,681,308,258,1124,null,null,2942,null,null,3050,null,null,2285,null,null,1213,null,null,947,null,null,681,null,null,258,null,null,56
3207117,5457,176757,11088,3028501,13397,566805,14475,478427,12635,661458,14706,1321811,19132,1859,791,5457,null,null,11088,null,null,13397,null,null,14475,null,null,12635,null,null,14706,null,null,19132,null,null,791,null,null,72
175561,2397,50275,4845,123888,4773,66748,4698,25280,3039,24556,3082,7304,1791,1398,1028,2397,null,null,4845,null,null,4773,null,null,4698,null,null,3039,null,null,3082,null,null,1791,null,null,1028,null,null,01
46166,487,25952,2763,19117,2715,11379,1528,4714,1916,2610,1425,414,478,1097,781,487,null,null,2763,null,null,2715,null,null,1528,null,null,1916,null,null,1425,null,null,478,null,null,781,null,null,02
1952216,1269,702533,18574,1244032,18355,812746,15507,165881,7515,160281,6449,105124,6871,5651,1279,1269,null,null,18574,null,null,18355,null,null,15507,null,null,7515,null,null,6449,null,null,6871,null,null,1279,null,null,04
192155,1808,61907,4753,129758,4841,67057,4810,28467,3529,26151,3433,8083,1902,490,316,1808,null,null,4753,null,null,4841,null,null,4810,null,null,3529,null,null,3433,null,null,1902,null,null,316,null,null,05
13996490,877,3621347,50981,10311365,51404,5962749,40527,1739329,26859,1658398,23313,950889,21404,63778,6723,877,null,null,50981,null,null,51404,null,null,40527,null,null,26859,null,null,23313,null,null,21404,null,null,6723,null,null,06
1079281,1371,504235,13420,571613,13233,355655,10484,91714,5892,84415,6095,39829,4966,3433,1097,1371,null,null,13420,null,null,13233,null,null,10484,null,null,5892,null,null,6095,null,null,4966,null,null,1097,null,null,08
514904,451,131850,6480,380088,6734,235218,8210,66995,4669,55433,4248,22442,3120,2966,1099,451,null,null,6480,null,null,6734,null,null,8210,null,null,4669,null,null,4248,null,null,3120,null,null,1099,null,null,09
78057,-555555555,20731,3195,57276,3185,35812,3343,10699,2236,8113,1649,2652,910,50,77,-555555555,null,*****,3195,null,null,3185,null,null,3343,null,null,2236,null,null,1649,null,null,910,null,null,77,null,null,10
66887,-555555555,14738,2117,51446,2230,26314,2856,11952,2274,10071,2308,3109,1142,703,489,-555555555,null,*****,2117,null,null,2230,null,null,2856,null,null,2274,null,null,2308,null,null,1142,null,null,489,null,null,11
