B12002A_001E,B12002A_001M,B12002A_002E,B12002A_002M,B12002A_003E,B12002A_003M,B12002A_004E,B12002A_004M,B12002A_005E,B12002A_005M,B12002A_006E,B12002A_006M,B12002A_007E,B12002A_007M,B12002A_008E,B12002A_008M,B12002A_009E,B12002A_009M,B12002A_010E,B12002A_010M,B12002A_011E,B12002A_011M,B12002A_012E,B12002A_012M,B12002A_013E,B12002A_013M,B12002A_001M,B12002A_001EA,B12002A_001MA,B12002A_002M,B12002A_002EA,B12002A_002MA,B12002A_003M,B12002A_003EA,B12002A_003MA,B12002A_004M,B12002A_004EA,B12002A_004MA,B12002A_005M,B12002A_005EA,B12002A_005MA,B12002A_006M,B12002A_006EA,B12002A_006MA,B12002A_007M,B12002A_007EA,B12002A_007MA,B12002A_008M,B12002A_008EA,B12002A_008MA,B12002A_009M,B12002A_009EA,B12002A_009MA,B12002A_010M,B12002A_010EA,B12002A_010MA,B12002A_011M,B12002A_011EA,B12002A_011MA,B12002A_012M,B12002A_012EA,B12002A_012MA,B12002A_013M,B12002A_013EA,B12002A_013MA,state
13290624,22331,6467740,13636,2040566,18295,3302253,22099,115188,5566,230440,8964,779293,11320,6822884,13029,1662958,17119,3188116,26051,160097,6907,780414,12810,1031299,16959,22331,null,null,13636,null,null,18295,null,null,22099,null,null,5566,null,null,8964,null,null,11320,null,null,13029,null,null,17119,null,null,26051,null,null,6907,null,null,12810,null,null,16959,null,null,12
4974739,13248,2443456,7113,741491,13236,1346626,15008,32572,3673,66593,4152,256174,9011,2531283,8727,583176,9317,1334580,14300,51556,4152,238471,6994,323500,9990,13248,null,null,7113,null,null,13236,null,null,15008,null,null,3673,null,null,4152,null,null,9011,null,null,8727,null,null,9317,null,null,14300,null,null,4152,null,null,6994,null,null,9990,null,null,13
308582,3147,167337,1935,55057,3564,89378,3691,1729,613,4679,1027,16494,1925,141245,1901,34955,2098,73787,2676,1276,703,11523,1325,19704,1780,3147,null,null,1935,null,null,3564,null,null,3691,null,null,613,null,null,1027,null,null,1925,null,null,1901,null,null,2098,null,null,2676,null,null,703,null,null,1325,null,null,1780,null,null,15
1200505,5402,595699,3370,177738,5496,329924,7294,5712,1243,15731,1776,66594,4846,604806,3410,139778,5528,326495,8220,7199,1683,45875,2581,85459,4775,5402,null,null,3370,null,null,5496,null,null,7294,null,null,1243,null,null,1776,null,null,4846,null,null,3410,null,null,5528,null,null,8220,null,null,1683,null,null,2581,null,null,4775,null,null,16
7559204,17315,3701467,9629,1270148,12450,1948271,15642,38754,3095,104388,4400,339906,8570,3857737,10332,1077001,12530,1916763,16155,49808,3889,365413,6808,448752,10551,17315,null,null,9629,null,null,12450,null,null,15642,null,null,3095,null,null,4400,null,null,8570,null,null,10332,null,null,12530,null,null,16155,null,null,3889,null,null,6808,null,null,10551,null,null,17
4534470,7325,2216511,4458,704398,8498,1162673,10011,24585,2620,62966,3399,261889,7891,2317959,4594,586496,7832,1158902,11812,31096,3454,216420,5272,325045,8614,7325,null,null,4458,null,null,8498,null,null,10011,null,null,2620,null,null,3399,null,null,7891,null,null,4594,null,null,7832,null,null,11812,null,null,3454,null,null,5272,null,null,8614,null,null,18
2316749,3380,1138382,2452,362714,6407,619983,7677,10679,1724,30707,2237,114299,4475,1178367,2228,286526,5287,621372,8098,14894,1934,117453,3659,138122,4776,3380,null,null,2452,null,null,6407,null,null,7677,null,null,1724,null,null,2237,null,null,4475,null,null,2228,null,null,5287,null,null,8098,null,null,1934,null,null,3659,null,null,4776,null,null,19
1982767,5468,976892,3861,308337,6277,525348,7083,9073,1425,29199,2284,104935,4930,1005875,3075,245610,5561,520936,7800,14535,1805,97601,3961,127193,5034,5468,null,null,3861,null,null,6277,null,null,7083,null,null,1425,null,null,2284,null,null,4930,null,null,3075,null,null,5561,null,null,7800,null,null,1805,null,null,3961,null,null,5034,null,null,20
3178169,4786,1546859,3574,472655,7625,805325,10941,26594,3010,51169,3290,191116,6636,1631310,2743,384427,6926,797493,10845,41534,3338,170185,3804,237671,6441,4786,null,null,3574,null,null,7625,null,null,10941,null,null,3010,null,null,3290,null,null,6636,null,null,2743,null,null,6926,null,null,10845,null,null,3338,null,null,3804,null,null,6441,null,null,21
2392213,4899,1170543,3299,384706,8026,602061,9019,18990,2492,32903,2572,131883,4808,1221670,3185,305814,6031,595855,9186,27617,3416,121927,4280,170457,6980,4899,null,null,3299,null,null,8026,null,null,9019,null,null,2492,null,null,2572,null,null,4808,null,null,3185,null,null,6031,null,null,9186,null,null,3416,null,null,4280,null,null,6980,null,null,22
1070737,1408,519191,1010,164843,4569,260649,6859,5188,1220,16110,1861,72401,4301,551546,1141,137975,4154,267336,6132,5880,1297,54929,2481,85426,4021,1408,null,null,1010,null,null,4569,null,null,6859,null,null,1220,null,null,1861,null,null,4301,null,null,1141,null,null,4154,null,null,6132,null,null,1297,null,null,2481,null,null,4021,null,null,23
2843358,9366,1385268,5459,452272,7241,750349,9699,23990,2451,36754,2714,121903,5534,1458090,5346,385477,6375,747029,10208,25700,2298,136028,3838,163856,5308,9366,null,null,5459,null,null,7241,null,null,9699,null,null,2451,null,null,2714,null,null,5534,null,null,5346,null,null,6375,null,null,10208,null,null,2298,null,null,3838,null,null,5308,null,null,24
4553103,12068,2180507,7092,829023,11026,1077963,12388,25535,3319,60883,3717,187103,8057,2372596,6411,770542,9492,1072880,11935,41562,3287,213312,5560,274300,7049,12068,null,null,7092,null,null,11026,null,null,12388,null,null,3319,null,null,3717,null,null,8057,null,null,6411,null,null,9492,null,null,11935,null,null,3287,null,null,5560,null,null,7049,null,null,25
6504553,6949,3192352,4343,1044393,10364,1675451,11111,26517,2458,95561,3471,350430,7780,3312201,3888,860612,9903,1681863,13384,34019,2195,311537,5812,424170,7474,6949,null,null,4343,null,null,10364,null,null,11111,null,null,2458,null,null,3471,null,null,7780,null,null,3888,null,null,9903,null,null,13384,null,null,2195,null,null,5812,null,null,7474,null,null,26
