B992701_001E,B992701_002E,B992701_003E,B992701_001EA,B992701_002EA,B992701_003EA,state
20294479,3360235,16934244,null,null,null,12
10120788,1371455,8749333,null,null,null,13
1378730,216154,1162576,null,null,null,15
1662867,225883,1436984,null,null,null,16
12620388,1633092,10987296,null,null,null,17
6534914,899401,5635513,null,null,null,18
3091437,428365,2663072,null,null,null,19
2850862,394416,2456446,null,null,null,20
4354380,600033,3754347,null,null,null,21
4577182,602577,3974605,null,null,null,22
1317148,170491,1146657,null,null,null,23
5918535,918062,5000473,null,null,null,24
6736017,1103615,5632402,null,null,null,25
9818099,1401104,8416995,null,null,null,26
5462438,772605,4689833,null,null,null,27
2924168,360273,2563895,null,null,null,28
5977199,804717,5172482,null,null,null,29
1027510,154432,873078,null,null,null,30
1877654,264963,1612691,null,null,null,31
2905767,393600,2512167,null,null,null,32
1316467,177381,1139086,null,null,null,33
8837578,1213122,7624456,null,null,null,34
2046001,263961,1782040,null,null,null,35
19505596,3045615,16459981,null,null,null,36
9957830,1450589,8507241,null,null,null,37
741486,102784,638702,null,null,null,38
11439848,1492778,9947070,null,null,null,39
3845697,590634,3255063,null,null,null,40
4054353,624742,3429611,null,null,null,41
12579422,1869301,10710121,null,null,null,42
1040259,155501,884758,null,null,null,44
4861188,730674,4130514,null,null,null,45
848774,102326,746448,null,null,null,46
6546914,920030,5626884,null,null,null,47
27386023,3349823,24036200,null,null,null,48
3024767,348376,2676391,null,null,null,49
618622,83588,535034,null,null,null,50
8199576,1285172,6914404,null,null,null,51
7184110,1051371,6132739,null,null,null,53
1802572,208393,1594179,null,null,null,54
5706681,769567,4937114,null,null,null,55
576027,78933,497094,null,null,null,56
3384148,247785,3136363,null,null,null,72
4782529,743047,4039482,null,null,null,01
718419,109004,609415,null,null,null,02
6824645,1184209,5640436,null,null,null,04
2934272,392663,2541609,null,null,null,05
38763815,5793843,32969972,null,null,null,06
5447760,808732,4639028,null,null,null,08
3525154,515679,3009475,null,null,null,09
937935,131242,806693,null,null,null,10
670985,110115,560870,null,null,null,11
