B20017C_001E,B20017C_001M,B20017C_002E,B20017C_002M,B20017C_003E,B20017C_003M,B20017C_004E,B20017C_004M,B20017C_005E,B20017C_005M,B20017C_006E,B20017C_006M,B20017C_007E,B20017C_007M,B20017C_001M,B20017C_001EA,B20017C_001MA,B20017C_002M,B20017C_002EA,B20017C_002MA,B20017C_003M,B20017C_003EA,B20017C_003MA,B20017C_004M,B20017C_004EA,B20017C_004MA,B20017C_005M,B20017C_005EA,B20017C_005MA,B20017C_006M,B20017C_006EA,B20017C_006MA,B20017C_007M,B20017C_007EA,B20017C_007MA,state
22250,4089,24182,5915,31885,7225,15102,7247,21648,3318,31794,1214,10713,2997,4089,null,null,5915,null,null,7225,null,null,7247,null,null,3318,null,null,1214,null,null,2997,null,null,12
21943,3903,24120,5401,27302,4817,9103,2878,20648,5833,26662,1131,7310,6504,3903,null,null,5401,null,null,4817,null,null,2878,null,null,5833,null,null,1131,null,null,6504,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
23816,2579,24605,6848,33484,3948,4925,6902,23544,3055,30602,4798,5605,4319,2579,null,null,6848,null,null,3948,null,null,6902,null,null,3055,null,null,4798,null,null,4319,null,null,16
26104,1735,31017,4832,38556,8720,12165,3037,19477,2983,28284,7343,12197,3010,1735,null,null,4832,null,null,8720,null,null,3037,null,null,2983,null,null,7343,null,null,3010,null,null,17
24946,7169,26967,16634,48558,14029,2499,-333333333,23105,5760,40301,9746,10078,8917,7169,null,null,16634,null,null,14029,null,null,-333333333,"2,500-",***,5760,null,null,9746,null,null,8917,null,null,18
26941,5109,28816,8301,40328,8984,10591,11947,22433,9400,33438,9525,11831,10543,5109,null,null,8301,null,null,8984,null,null,11947,null,null,9400,null,null,9525,null,null,10543,null,null,19
25284,3816,28335,5334,39579,2538,6417,1211,21830,4366,40012,6233,12920,4067,3816,null,null,5334,null,null,2538,null,null,1211,null,null,4366,null,null,6233,null,null,4067,null,null,20
25887,9183,22477,27837,26026,29583,16830,40410,26001,13305,37127,14517,10060,8573,9183,null,null,27837,null,null,29583,null,null,40410,null,null,13305,null,null,14517,null,null,8573,null,null,21
26126,7551,43252,6442,50428,12832,3368,2708,17309,4433,21933,6376,11904,1954,7551,null,null,6442,null,null,12832,null,null,2708,null,null,4433,null,null,6376,null,null,1954,null,null,22
27714,13548,25625,20831,60349,14398,6017,5636,30408,16699,38903,5722,6500,7840,13548,null,null,20831,null,null,14398,null,null,5636,null,null,16699,null,null,5722,null,null,7840,null,null,23
39353,11477,31914,13498,48875,17442,15867,11779,46424,16554,57250,43079,14215,8258,11477,null,null,13498,null,null,17442,null,null,11779,null,null,16554,null,null,43079,null,null,8258,null,null,24
36015,1871,36121,3802,41498,7574,10839,10421,35927,4872,47515,18414,13138,16259,1871,null,null,3802,null,null,7574,null,null,10421,null,null,4872,null,null,18414,null,null,16259,null,null,25
25456,2170,26939,2999,36459,4343,8053,2812,23397,2906,33792,4861,8755,1256,2170,null,null,2999,null,null,4343,null,null,2812,null,null,2906,null,null,4861,null,null,1256,null,null,26
23213,2671,22828,5200,36319,2871,9730,1943,23321,2731,35492,4969,9820,2406,2671,null,null,5200,null,null,2871,null,null,1943,null,null,2731,null,null,4969,null,null,2406,null,null,27
22068,2849,23502,6856,35205,8028,3244,1677,20675,5015,27000,6646,5804,9347,2849,null,null,6856,null,null,8028,null,null,1677,null,null,5015,null,null,6646,null,null,9347,null,null,28
22191,4343,25179,3891,30703,2813,5905,2050,20055,6579,35126,7791,11044,1790,4343,null,null,3891,null,null,2813,null,null,2050,null,null,6579,null,null,7791,null,null,1790,null,null,29
22263,2547,29692,4127,35808,3666,7423,3482,20152,1813,29032,3008,9023,1816,2547,null,null,4127,null,null,3666,null,null,3482,null,null,1813,null,null,3008,null,null,1816,null,null,30
25089,6663,25245,9071,40202,6220,7940,5420,24816,8795,34409,6258,11328,2937,6663,null,null,9071,null,null,6220,null,null,5420,null,null,8795,null,null,6258,null,null,2937,null,null,31
23002,2732,22652,4793,36879,11230,6894,1682,23145,2582,30720,3888,9906,3228,2732,null,null,4793,null,null,11230,null,null,1682,null,null,2582,null,null,3888,null,null,3228,null,null,32
31731,70519,41600,101397,94173,20716,2499,-333333333,10864,49072,60293,32786,4132,918,70519,null,null,101397,null,null,20716,null,null,-333333333,"2,500-",***,49072,null,null,32786,null,null,918,null,null,33
23788,2786,27181,7380,31582,7650,21195,9199,20737,3844,33183,12149,11758,2604,2786,null,null,7380,null,null,7650,null,null,9199,null,null,3844,null,null,12149,null,null,2604,null,null,34
21687,1103,23074,2269,31197,2223,9003,1060,20799,1572,27019,2690,8615,2053,1103,null,null,2269,null,null,2223,null,null,1060,null,null,1572,null,null,2690,null,null,2053,null,null,35
26764,2589,25893,3529,32260,6217,11956,3154,28848,4758,41012,2915,10668,1022,2589,null,null,3529,null,null,6217,null,null,3154,null,null,4758,null,null,2915,null,null,1022,null,null,36
25923,1615,27390,3293,37574,3298,6946,1669,22168,4247,31165,1164,9993,2557,1615,null,null,3293,null,null,3298,null,null,1669,null,null,4247,null,null,1164,null,null,2557,null,null,37
