B18101A_001E,B18101A_001M,B18101A_002E,B18101A_002M,B18101A_003E,B18101A_003M,B18101A_004E,B18101A_004M,B18101A_005E,B18101A_005M,B18101A_006E,B18101A_006M,B18101A_007E,B18101A_007M,B18101A_008E,B18101A_008M,B18101A_009E,B18101A_009M,B18101A_010E,B18101A_010M,B18101A_001M,B18101A_001EA,B18101A_001MA,B18101A_002M,B18101A_002EA,B18101A_002MA,B18101A_003M,B18101A_003EA,B18101A_003MA,B18101A_004M,B18101A_004EA,B18101A_004MA,B18101A_005M,B18101A_005EA,B18101A_005MA,B18101A_006M,B18101A_006EA,B18101A_006MA,B18101A_007M,B18101A_007EA,B18101A_007MA,B18101A_008M,B18101A_008EA,B18101A_008MA,B18101A_009M,B18101A_009EA,B18101A_009MA,B18101A_010M,B18101A_010EA,B18101A_010MA,state
15366996,29113,2779294,12275,118143,6594,2661151,12982,9066950,20119,945375,15696,8121575,24865,3520752,5461,1152992,15237,2367760,15217,29113,null,null,12275,null,null,6594,null,null,12982,null,null,20119,null,null,15696,null,null,24865,null,null,5461,null,null,15237,null,null,15217,null,null,12
5958267,17945,1310420,9643,59191,4100,1251229,10396,3675770,11381,413473,10301,3262297,14448,972077,2962,346620,7800,625457,8342,17945,null,null,9643,null,null,4100,null,null,10396,null,null,11381,null,null,10301,null,null,14448,null,null,2962,null,null,7800,null,null,8342,null,null,13
330392,5595,56029,2941,2152,1080,53877,2785,208354,3586,17753,2205,190601,4152,66009,586,21872,1804,44137,1919,5595,null,null,2941,null,null,1080,null,null,2785,null,null,3586,null,null,2205,null,null,4152,null,null,586,null,null,1804,null,null,1919,null,null,15
1492229,7567,373787,3609,14706,2126,359081,4256,876692,4714,104242,4892,772450,6952,241750,1354,87355,3439,154395,3629,7567,null,null,3609,null,null,2126,null,null,4256,null,null,4714,null,null,4892,null,null,6952,null,null,1354,null,null,3439,null,null,3629,null,null,16
9012093,24723,1904781,11851,63209,3884,1841572,12675,5644980,15508,476293,11402,5168687,16666,1462332,3699,487931,6858,974401,6761,24723,null,null,11851,null,null,3884,null,null,12675,null,null,15508,null,null,11402,null,null,16666,null,null,3699,null,null,6858,null,null,6761,null,null,17
5463217,10498,1218817,5401,50858,4108,1167959,6621,3371246,7351,404040,8367,2967206,11349,873154,2206,318879,5809,554275,6082,10498,null,null,5401,null,null,4108,null,null,6621,null,null,7351,null,null,8367,null,null,11349,null,null,2206,null,null,5809,null,null,6082,null,null,18
2796050,5170,622536,2992,27860,2697,594676,3905,1696230,3263,161431,5666,1534799,7182,477284,1075,151768,4369,325516,4401,5170,null,null,2992,null,null,2697,null,null,3905,null,null,3263,null,null,5666,null,null,7182,null,null,1075,null,null,4369,null,null,4401,null,null,19
2416319,7523,568780,3868,22199,2409,546581,4523,1458798,4822,157931,5135,1300867,6792,388741,1522,134644,3524,254097,3838,7523,null,null,3868,null,null,2409,null,null,4523,null,null,4822,null,null,5135,null,null,6792,null,null,1522,null,null,3524,null,null,3838,null,null,20
3803005,6760,833141,3429,46992,3739,786149,5148,2349178,4718,387696,10899,1961482,12716,620686,1271,263210,5887,357476,6169,6760,null,null,3429,null,null,3739,null,null,5148,null,null,4718,null,null,10899,null,null,12716,null,null,1271,null,null,5887,null,null,6169,null,null,21
2855487,6080,614206,3337,33934,3255,580272,4500,1763620,4316,220255,8630,1543365,9207,477661,1892,181618,5241,296043,5672,6080,null,null,3337,null,null,3255,null,null,4500,null,null,4316,null,null,8630,null,null,9207,null,null,1892,null,null,5241,null,null,5672,null,null,22
