B99121_001E,B99121_002E,B99121_003E,B99121_001EA,B99121_002EA,B99121_003EA,state
17195240,1098148,16097092,null,null,null,12
8232061,399459,7832602,null,null,null,13
1168033,77517,1090516,null,null,null,15
1320797,62290,1258507,null,null,null,16
10394067,479676,9914391,null,null,null,17
5331071,237855,5093216,null,null,null,18
2529447,115432,2414015,null,null,null,19
2310304,99363,2210941,null,null,null,20
3600690,157776,3442914,null,null,null,21
3751715,192033,3559682,null,null,null,22
1123728,38122,1085606,null,null,null,23
4902314,289883,4612431,null,null,null,24
5683233,325925,5357308,null,null,null,25
8138464,367474,7770990,null,null,null,26
4446706,187436,4259270,null,null,null,27
2388158,109413,2278745,null,null,null,28
4943723,225004,4718719,null,null,null,29
852293,38239,814054,null,null,null,30
1509438,69843,1439595,null,null,null,31
2376250,133038,2243212,null,null,null,32
1123706,45842,1077864,null,null,null,33
7313609,372307,6941302,null,null,null,34
1676659,77108,1599551,null,null,null,35
16287464,1086481,15200983,null,null,null,36
8250416,399106,7851310,null,null,null,37
608512,26385,582127,null,null,null,38
9469520,382810,9086710,null,null,null,39
3117282,172338,2944944,null,null,null,40
3374727,167589,3207138,null,null,null,41
10585604,547160,10038444,null,null,null,42
886433,47488,838945,null,null,null,44
4046525,207271,3839254,null,null,null,45
684721,23750,660971,null,null,null,46
5405690,243425,5162265,null,null,null,47
21772944,1011457,20761487,null,null,null,48
2276760,84146,2192614,null,null,null,49
527074,16488,510586,null,null,null,50
6860841,381294,6479547,null,null,null,51
5929275,284608,5644667,null,null,null,53
1519860,53979,1465881,null,null,null,54
4718806,195495,4523311,null,null,null,55
466401,17439,448962,null,null,null,56
2854814,111647,2743167,null,null,null,72
3962122,215269,3746853,null,null,null,01
584670,32728,551942,null,null,null,02
5579306,394912,5184394,null,null,null,04
2400908,113979,2286929,null,null,null,05
31696515,2075667,29620848,null,null,null,06
4490574,248415,4242159,null,null,null,08
2966525,141806,2824719,null,null,null,09
782833,34378,748455,null,null,null,10
576040,55166,520874,null,null,null,11
