B17020G_001E,B17020G_001M,B17020G_002E,B17020G_002M,B17020G_003E,B17020G_003M,B17020G_004E,B17020G_004M,B17020G_005E,B17020G_005M,B17020G_006E,B17020G_006M,B17020G_007E,B17020G_007M,B17020G_008E,B17020G_008M,B17020G_009E,B17020G_009M,B17020G_010E,B17020G_010M,B17020G_011E,B17020G_011M,B17020G_012E,B17020G_012M,B17020G_013E,B17020G_013M,B17020G_014E,B17020G_014M,B17020G_015E,B17020G_015M,B17020G_016E,B17020G_016M,B17020G_017E,B17020G_017M,B17020G_001M,B17020G_001EA,B17020G_001MA,B17020G_002M,B17020G_002EA,B17020G_002MA,B17020G_003M,B17020G_003EA,B17020G_003MA,B17020G_004M,B17020G_004EA,B17020G_004MA,B17020G_005M,B17020G_005EA,B17020G_005MA,B17020G_006M,B17020G_006EA,B17020G_006MA,B17020G_007M,B17020G_007EA,B17020G_007MA,B17020G_008M,B17020G_008EA,B17020G_008MA,B17020G_009M,B17020G_009EA,B17020G_009MA,B17020G_010M,B17020G_010EA,B17020G_010MA,B17020G_011M,B17020G_011EA,B17020G_011MA,B17020G_012M,B17020G_012EA,B17020G_012MA,B17020G_013M,B17020G_013EA,B17020G_013MA,B17020G_014M,B17020G_014EA,B17020G_014MA,B17020G_015M,B17020G_015EA,B17020G_015MA,B17020G_016M,B17020G_016EA,B17020G_016MA,B17020G_017M,B17020G_017EA,B17020G_017MA,state
520530,21860,95281,10329,22825,4145,16592,3434,11765,3052,36118,4438,6823,1966,1116,559,42,75,425249,18621,71701,6363,60556,5885,53678,4929,196877,10722,31680,3295,8914,1536,1843,587,21860,null,null,10329,null,null,4145,null,null,3434,null,null,3052,null,null,4438,null,null,1966,null,null,559,null,null,75,null,null,18621,null,null,6363,null,null,5885,null,null,4929,null,null,10722,null,null,3295,null,null,1536,null,null,587,null,null,12
250560,14077,48997,6000,13062,2516,9739,2188,5394,1596,17176,2666,2852,1059,382,248,392,475,201563,12567,35630,3589,35404,4228,29869,3795,87419,6529,9597,2033,2728,951,916,588,14077,null,null,6000,null,null,2516,null,null,2188,null,null,1596,null,null,2666,null,null,1059,null,null,248,null,null,475,null,null,12567,null,null,3589,null,null,4228,null,null,3795,null,null,6529,null,null,2033,null,null,951,null,null,588,null,null,13
335402,13108,28982,4566,4895,1464,3109,968,2873,962,14309,2796,3086,1018,486,310,224,246,306420,13341,42161,3279,38662,3812,31968,2679,161022,8852,25070,2061,5853,1094,1684,607,13108,null,null,4566,null,null,1464,null,null,968,null,null,962,null,null,2796,null,null,1018,null,null,310,null,null,246,null,null,13341,null,null,3279,null,null,3812,null,null,2679,null,null,8852,null,null,2061,null,null,1094,null,null,607,null,null,15
40706,2970,8225,1847,1965,919,1050,439,786,751,3645,995,713,418,66,118,0,198,32481,3131,5582,1920,4235,1276,4356,1259,14921,2012,2573,842,541,362,273,222,2970,null,null,1847,null,null,919,null,null,439,null,null,751,null,null,995,null,null,418,null,null,118,null,null,198,null,null,3131,null,null,1920,null,null,1276,null,null,1259,null,null,2012,null,null,842,null,null,362,null,null,222,null,null,16
314481,13981,52175,5571,12471,2459,9506,1976,6060,1312,20880,2743,2770,843,346,300,142,188,262306,13089,50054,4797,40238,3977,37173,3266,116579,6968,14057,1967,3050,788,1155,456,13981,null,null,5571,null,null,2459,null,null,1976,null,null,1312,null,null,2743,null,null,843,null,null,300,null,null,188,null,null,13089,null,null,4797,null,null,3977,null,null,3266,null,null,6968,null,null,1967,null,null,788,null,null,456,null,null,17
151261,8618,31778,4425,6171,1632,7173,1816,4757,1098,12236,2084,1322,451,119,152,0,192,119483,7373,23692,3220,22659,2797,18891,2715,47010,3945,5150,1050,1316,624,765,369,8618,null,null,4425,null,null,1632,null,null,1816,null,null,1098,null,null,2084,null,null,451,null,null,152,null,null,192,null,null,7373,null,null,3220,null,null,2797,null,null,2715,null,null,3945,null,null,1050,null,null,624,null,null,369,null,null,18
54620,3941,13227,2239,3838,1163,1904,727,1357,513,5445,1630,537,332,146,204,0,159,41393,3669,8029,1342,8305,1459,7330,1406,15065,1857,1793,607,562,326,309,277,3941,null,null,2239,null,null,1163,null,null,727,null,null,513,null,null,1630,null,null,332,null,null,204,null,null,159,null,null,3669,null,null,1342,null,null,1459,null,null,1406,null,null,1857,null,null,607,null,null,326,null,null,277,null,null,19
99129,5501,16070,3284,2983,884,2614,849,2076,792,7612,2135,485,325,300,275,0,174,83059,5418,16274,2451,15653,2150,13605,1950,32225,2894,3776,969,1250,485,276,201,5501,null,null,3284,null,null,884,null,null,849,null,null,792,null,null,2135,null,null,325,null,null,275,null,null,174,null,null,5418,null,null,2451,null,null,2150,null,null,1950,null,null,2894,null,null,969,null,null,485,null,null,201,null,null,20
87346,6758,22073,3408,5404,1396,4129,1122,4021,1042,7592,1618,604,315,144,145,179,156,65273,5682,12499,2224,13014,2146,9978,1634,25010,3256,3810,868,857,485,105,156,6758,null,null,3408,null,null,1396,null,null,1122,null,null,1042,null,null,1618,null,null,315,null,null,145,null,null,156,null,null,5682,null,null,2224,null,null,2146,null,null,1634,null,null,3256,null,null,868,null,null,485,null,null,156,null,null,21
89071,8625,22385,4105,5685,2053,4046,1535,3067,950,8594,1810,961,392,32,56,0,208,66686,7235,11740,2743,11370,2586,7881,1741,28898,4266,4772,1016,1592,645,433,282,8625,null,null,4105,null,null,2053,null,null,1535,null,null,950,null,null,1810,null,null,392,null,null,56,null,null,208,null,null,7235,null,null,2743,null,null,2586,null,null,1741,null,null,4266,null,null,1016,null,null,645,null,null,282,null,null,22
