B01002C_001E,B01002C_001M,B01002C_002E,B01002C_002M,B01002C_003E,B01002C_003M,B01002C_001M,B01002C_001EA,B01002C_001MA,B01002C_002M,B01002C_002EA,B01002C_002MA,B01002C_003M,B01002C_003EA,B01002C_003MA,state
41.6,2.7,39.7,3.8,42.9,2.5,2.7,null,null,3.8,null,null,2.5,null,null,12
32.0,5.3,29.3,4.4,36.6,6.3,5.3,null,null,4.4,null,null,6.3,null,null,13
40.3,9.1,41.6,15.4,31.3,13.9,9.1,null,null,15.4,null,null,13.9,null,null,15
33.3,2.9,33.6,4.5,32.8,4.7,2.9,null,null,4.5,null,null,4.7,null,null,16
41.0,2.3,41.1,2.1,40.2,5.2,2.3,null,null,2.1,null,null,5.2,null,null,17
42.6,4.7,38.8,4.7,46.3,9.7,4.7,null,null,4.7,null,null,9.7,null,null,18
37.8,4.9,38.3,5.2,36.5,10.9,4.9,null,null,5.2,null,null,10.9,null,null,19
35.8,2.4,36.4,3.9,34.5,7.3,2.4,null,null,3.9,null,null,7.3,null,null,20
43.9,6.9,41.3,7.4,45.4,4.9,6.9,null,null,7.4,null,null,4.9,null,null,21
33.9,5.7,30.7,11.4,34.7,4.2,5.7,null,null,11.4,null,null,4.2,null,null,22
32.8,5.8,32.3,11.1,33.0,6.0,5.8,null,null,11.1,null,null,6.0,null,null,23
42.3,6.6,37.1,12.1,48.0,8.2,6.6,null,null,12.1,null,null,8.2,null,null,24
39.5,6.5,29.9,5.6,43.8,3.4,6.5,null,null,5.6,null,null,3.4,null,null,25
38.0,2.5,37.0,2.6,39.7,4.2,2.5,null,null,2.6,null,null,4.2,null,null,26
29.9,2.3,25.7,2.1,33.1,2.3,2.3,null,null,2.1,null,null,2.3,null,null,27
27.6,4.7,24.3,5.0,30.0,6.4,4.7,null,null,5.0,null,null,6.4,null,null,28
33.5,6.6,34.4,8.9,32.1,9.3,6.6,null,null,8.9,null,null,9.3,null,null,29
26.5,1.4,25.2,1.6,28.9,2.0,1.4,null,null,1.6,null,null,2.0,null,null,30
26.3,2.3,25.7,4.5,26.7,4.1,2.3,null,null,4.5,null,null,4.1,null,null,31
33.7,2.1,27.8,5.1,36.4,3.6,2.1,null,null,5.1,null,null,3.6,null,null,32
44.9,6.5,45.0,6.7,37.3,27.2,6.5,null,null,6.7,null,null,27.2,null,null,33
33.6,5.4,31.7,6.8,35.1,5.5,5.4,null,null,6.8,null,null,5.5,null,null,34
31.2,0.7,29.5,0.8,33.0,0.7,0.7,null,null,0.8,null,null,0.7,null,null,35
35.1,2.1,35.0,2.7,35.3,3.0,2.1,null,null,2.7,null,null,3.0,null,null,36
35.6,1.4,33.7,2.6,37.0,1.3,1.4,null,null,2.6,null,null,1.3,null,null,37
27.1,1.6,27.1,2.2,27.2,2.4,1.6,null,null,2.2,null,null,2.4,null,null,38
39.7,6.1,34.2,7.3,44.3,8.4,6.1,null,null,7.3,null,null,8.4,null,null,39
30.0,0.6,28.9,0.7,31.2,0.9,0.6,null,null,0.7,null,null,0.9,null,null,40
35.8,2.2,35.5,3.8,36.0,4.2,2.2,null,null,3.8,null,null,4.2,null,null,41
36.1,5.6,32.4,6.6,38.5,5.1,5.6,null,null,6.6,null,null,5.1,null,null,42
30.3,11.1,34.9,10.2,27.1,15.5,11.1,null,null,10.2,null,null,15.5,null,null,44
42.0,7.6,35.9,15.1,46.1,5.2,7.6,null,null,15.1,null,null,5.2,null,null,45
25.6,1.2,23.5,2.1,27.2,1.5,1.2,null,null,2.1,null,null,1.5,null,null,46
37.7,3.0,41.8,3.3,31.8,4.1,3.0,null,null,3.3,null,null,4.1,null,null,47
34.8,1.3,35.2,1.2,34.1,2.3,1.3,null,null,1.2,null,null,2.3,null,null,48
27.1,2.3,28.1,2.7,26.3,1.8,2.3,null,null,2.7,null,null,1.8,null,null,49
45.3,2.8,43.8,16.1,45.5,4.3,2.8,null,null,16.1,null,null,4.3,null,null,50
39.3,3.1,39.2,5.8,39.3,4.0,3.1,null,null,5.8,null,null,4.0,null,null,51
31.6,1.4,30.9,1.5,32.9,4.4,1.4,null,null,1.5,null,null,4.4,null,null,53
50.5,5.1,52.1,3.2,48.3,20.1,5.1,null,null,3.2,null,null,20.1,null,null,54
31.9,3.2,29.4,2.3,35.1,3.1,3.2,null,null,2.3,null,null,3.1,null,null,55
28.0,4.1,26.7,4.4,30.0,5.7,4.1,null,null,4.4,null,null,5.7,null,null,56
39.5,5.6,43.1,7.1,36.2,11.4,5.6,null,null,7.1,null,null,11.4,null,null,72
40.3,4.3,42.2,5.4,38.6,4.4,4.3,null,null,5.4,null,null,4.4,null,null,01
28.8,0.8,27.1,1.7,30.4,1.4,0.8,null,null,1.7,null,null,1.4,null,null,02
28.8,0.5,28.0,0.7,30.0,0.6,0.5,null,null,0.7,null,null,0.6,null,null,04
30.9,5.0,30.2,9.0,31.1,4.9,5.0,null,null,9.0,null,null,4.9,null,null,05
35.5,1.3,33.9,2.1,36.8,2.0,1.3,null,null,2.1,null,null,2.0,null,null,06
33.8,2.4,34.0,3.1,33.7,3.4,2.4,null,null,3.1,null,null,3.4,null,null,08
32.6,6.7,32.3,9.9,32.8,9.2,6.7,null,null,9.9,null,null,9.2,null,null,09
46.4,9.2,41.4,19.7,48.5,9.6,9.2,null,null,19.7,null,null,9.6,null,null,10
54.9,11.7,55.0,14.0,53.2,32.1,11.7,null,null,14.0,null,null,32.1,null,null,11
