B23002G_001E,B23002G_001M,B23002G_002E,B23002G_002M,B23002G_003E,B23002G_003M,B23002G_004E,B23002G_004M,B23002G_005E,B23002G_005M,B23002G_006E,B23002G_006M,B23002G_007E,B23002G_007M,B23002G_008E,B23002G_008M,B23002G_009E,B23002G_009M,B23002G_010E,B23002G_010M,B23002G_011E,B23002G_011M,B23002G_012E,B23002G_012M,B23002G_013E,B23002G_013M,B23002G_014E,B23002G_014M,B23002G_015E,B23002G_015M,B23002G_016E,B23002G_016M,B23002G_017E,B23002G_017M,B23002G_018E,B23002G_018M,B23002G_019E,B23002G_019M,B23002G_020E,B23002G_020M,B23002G_021E,B23002G_021M,B23002G_022E,B23002G_022M,B23002G_023E,B23002G_023M,B23002G_024E,B23002G_024M,B23002G_025E,B23002G_025M,B23002G_026E,B23002G_026M,B23002G_027E,B23002G_027M,B23002G_028E,B23002G_028M,B23002G_029E,B23002G_029M,B23002G_030E,B23002G_030M,B23002G_031E,B23002G_031M,B23002G_032E,B23002G_032M,B23002G_033E,B23002G_033M,B23002G_034E,B23002G_034M,B23002G_035E,B23002G_035M,B23002G_036E,B23002G_036M,B23002G_037E,B23002G_037M,B23002G_038E,B23002G_038M,B23002G_039E,B23002G_039M,B23002G_040E,B23002G_040M,B23002G_041E,B23002G_041M,B23002G_042E,B23002G_042M,B23002G_043E,B23002G_043M,B23002G_044E,B23002G_044M,B23002G_045E,B23002G_045M,B23002G_046E,B23002G_046M,B23002G_047E,B23002G_047M,B23002G_048E,B23002G_048M,B23002G_049E,B23002G_049M,B23002G_050E,B23002G_050M,B23002G_051E,B23002G_051M,B23002G_052E,B23002G_052M,B23002G_053E,B23002G_053M,B23002G_054E,B23002G_054M,B23002G_055E,B23002G_055M,B23002G_056E,B23002G_056M,B23002G_057E,B23002G_057M,B23002G_058E,B23002G_058M,B23002G_059E,B23002G_059M,B23002G_060E,B23002G_060M,B23002G_061E,B23002G_061M,B23002G_062E,B23002G_062M,B23002G_063E,B23002G_063M,B23002G_064E,B23002G_064M,B23002G_065E,B23002G_065M,B23002G_066E,B23002G_066M,B23002G_067E,B23002G_067M,B23002G_068E,B23002G_068M,B23002G_069E,B23002G_069M,B23002G_070E,B23002G_070M,B23002G_071E,B23002G_071M,B23002G_072E,B23002G_072M,B23002G_073E,B23002G_073M,B23002G_074E,B23002G_074M,B23002G_075E,B23002G_075M,B23002G_076E,B23002G_076M,B23002G_077E,B23002G_077M,B23002G_078E,B23002G_078M,B23002G_079E,B23002G_079M,B23002G_001M,B23002G_001EA,B23002G_001MA,B23002G_002M,B23002G_002EA,B23002G_002MA,B23002G_003M,B23002G_003EA,B23002G_003MA,B23002G_004M,B23002G_004EA,B23002G_004MA,B23002G_005M,B23002G_005EA,B23002G_005MA,B23002G_006M,B23002G_006EA,B23002G_006MA,B23002G_007M,B23002G_007EA,B23002G_007MA,B23002G_008M,B23002G_008EA,B23002G_008MA,B23002G_009M,B23002G_009EA,B23002G_009MA,B23002G_010M,B23002G_010EA,B23002G_010MA,B23002G_011M,B23002G_011EA,B23002G_011MA,B23002G_012M,B23002G_012EA,B23002G_012MA,B23002G_013M,B23002G_013EA,B23002G_013MA,B23002G_014M,B23002G_014EA,B23002G_014MA,B23002G_015M,B23002G_015EA,B23002G_015MA,B23002G_016M,B23002G_016EA,B23002G_016MA,B23002G_017M,B23002G_017EA,B23002G_017MA,B23002G_018M,B23002G_018EA,B23002G_018MA,B23002G_019M,B23002G_019EA,B23002G_019MA,B23002G_020M,B23002G_020EA,B23002G_020MA,B23002G_021M,B23002G_021EA,B23002G_021MA,B23002G_022M,B23002G_022EA,B23002G_022MA,B23002G_023M,B23002G_023EA,B23002G_023MA,B23002G_024M,B23002G_024EA,B23002G_024MA,B23002G_025M,B23002G_025EA,B23002G_025MA,B23002G_026M,B23002G_026EA,B23002G_026MA,B23002G_027M,B23002G_027EA,B23002G_027MA,B23002G_028M,B23002G_028EA,B23002G_028MA,B23002G_029M,B23002G_029EA,B23002G_029MA,B23002G_030M,B23002G_030EA,B23002G_030MA,B23002G_031M,B23002G_031EA,B23002G_031MA,B23002G_032M,B23002G_032EA,B23002G_032MA,B23002G_033M,B23002G_033EA,B23002G_033MA,B23002G_034M,B23002G_034EA,B23002G_034MA,B23002G_035M,B23002G_035EA,B23002G_035MA,B23002G_036M,B23002G_036EA,B23002G_036MA,B23002G_037M,B23002G_037EA,B23002G_037MA,B23002G_038M,B23002G_038EA,B23002G_038MA,B23002G_039M,B23002G_039EA,B23002G_039MA,B23002G_040M,B23002G_040EA,B23002G_040MA,B23002G_041M,B23002G_041EA,B23002G_041MA,B23002G_042M,B23002G_042EA,B23002G_042MA,B23002G_043M,B23002G_043EA,B23002G_043MA,B23002G_044M,B23002G_044EA,B23002G_044MA,B23002G_045M,B23002G_045EA,B23002G_045MA,B23002G_046M,B23002G_046EA,B23002G_046MA,B23002G_047M,B23002G_047EA,B23002G_047MA,B23002G_048M,B23002G_048EA,B23002G_048MA,B23002G_049M,B23002G_049EA,B23002G_049MA,B23002G_050M,B23002G_050EA,B23002G_050MA,B23002G_051M,B23002G_051EA,B23002G_051MA,B23002G_052M,B23002G_052EA,B23002G_052MA,B23002G_053M,B23002G_053EA,B23002G_053MA,B23002G_054M,B23002G_054EA,B23002G_054MA,B23002G_055M,B23002G_055EA,B23002G_055MA,B23002G_056M,B23002G_056EA,B23002G_056MA,B23002G_057M,B23002G_057EA,B23002G_057MA,B23002G_058M,B23002G_058EA,B23002G_058MA,B23002G_059M,B23002G_059EA,B23002G_059MA,B23002G_060M,B23002G_060EA,B23002G_060MA,B23002G_061M,B23002G_061EA,B23002G_061MA,B23002G_062M,B23002G_062EA,B23002G_062MA,B23002G_063M,B23002G_063EA,B23002G_063MA,B23002G_064M,B23002G_064EA,B23002G_064MA,B23002G_065M,B23002G_065EA,B23002G_065MA,B23002G_066M,B23002G_066EA,B23002G_066MA,B23002G_067M,B23002G_067EA,B23002G_067MA,B23002G_068M,B23002G_068EA,B23002G_068MA,B23002G_069M,B23002G_069EA,B23002G_069MA,B23002G_070M,B23002G_070EA,B23002G_070MA,B23002G_071M,B23002G_071EA,B23002G_071MA,B23002G_072M,B23002G_072EA,B23002G_072MA,B23002G_073M,B23002G_073EA,B23002G_073MA,B23002G_074M,B23002G_074EA,B23002G_074MA,B23002G_075M,B23002G_075EA,B23002G_075MA,B23002G_076M,B23002G_076EA,B23002G_076MA,B23002G_077M,B23002G_077EA,B23002G_077MA,B23002G_078M,B23002G_078EA,B23002G_078MA,B23002G_079M,B23002G_079EA,B23002G_079MA,state
310483,13654,156748,7700,20201,2712,5774,1500,278,298,5496,1470,4532,1360,964,505,14427,2423,22272,3185,15619,2625,517,341,15102,2613,12147,2341,2955,1105,6653,1764,81688,5117,68529,4801,1545,676,66984,4847,63017,4856,3967,1146,13159,2189,18467,2210,11957,1844,0,221,11957,1844,11093,1809,864,544,6510,1149,6111,1371,1846,665,1679,655,167,163,4265,1197,8009,1206,813,310,632,302,181,168,7196,1181,153735,8816,19874,2642,8033,1916,98,139,7935,1936,6277,1570,1658,822,11841,1848,20034,3314,15691,2995,185,218,15506,2955,13171,2536,2335,1410,4343,1135,77746,5488,60911,4977,193,227,60718,4943,56135,4642,4583,1274,16835,2690,17834,1980,10552,1577,0,221,10552,1577,9700,1563,852,425,7282,1302,5851,1381,996,413,860,397,136,157,4855,1276,12396,2218,635,445,635,445,0,221,11761,2151,13654,null,null,7700,null,null,2712,null,null,1500,null,null,298,null,null,1470,null,null,1360,null,null,505,null,null,2423,null,null,3185,null,null,2625,null,null,341,null,null,2613,null,null,2341,null,null,1105,null,null,1764,null,null,5117,null,null,4801,null,null,676,null,null,4847,null,null,4856,null,null,1146,null,null,2189,null,null,2210,null,null,1844,null,null,221,null,null,1844,null,null,1809,null,null,544,null,null,1149,null,null,1371,null,null,665,null,null,655,null,null,163,null,null,1197,null,null,1206,null,null,310,null,null,302,null,null,168,null,null,1181,null,null,8816,null,null,2642,null,null,1916,null,null,139,null,null,1936,null,null,1570,null,null,822,null,null,1848,null,null,3314,null,null,2995,null,null,218,null,null,2955,null,null,2536,null,null,1410,null,null,1135,null,null,5488,null,null,4977,null,null,227,null,null,4943,null,null,4642,null,null,1274,null,null,2690,null,null,1980,null,null,1577,null,null,221,null,null,1577,null,null,1563,null,null,425,null,null,1302,null,null,1381,null,null,413,null,null,397,null,null,157,null,null,1276,null,null,2218,null,null,445,null,null,445,null,null,221,null,null,2151,null,null,12
136828,8460,64891,5261,10121,1794,3408,1008,0,218,3408,1008,2582,921,826,480,6713,1650,9733,2119,7012,1547,782,530,6230,1490,5669,1407,561,516,2721,1281,34118,3207,28872,2997,1040,564,27832,2865,26436,2762,1396,822,5246,1216,6190,1427,3947,1139,0,218,3947,1139,3586,1062,361,346,2243,752,1942,648,380,299,380,299,0,218,1562,544,2787,927,448,386,448,386,0,218,2339,836,71937,5280,9870,1901,4330,1083,0,218,4330,1083,3524,1050,806,465,5540,1482,10120,1932,7560,1690,73,91,7487,1690,6386,1523,1101,589,2560,890,37740,3829,29136,3338,92,141,29044,3343,27030,3268,2014,813,8604,1679,6939,1469,3515,1119,0,218,3515,1119,3310,1075,205,199,3424,1053,3412,1292,269,247,269,247,0,218,3143,1260,3856,1019,616,366,616,366,0,218,3240,924,8460,null,null,5261,null,null,1794,null,null,1008,null,null,218,null,null,1008,null,null,921,null,null,480,null,null,1650,null,null,2119,null,null,1547,null,null,530,null,null,1490,null,null,1407,null,null,516,null,null,1281,null,null,3207,null,null,2997,null,null,564,null,null,2865,null,null,2762,null,null,822,null,null,1216,null,null,1427,null,null,1139,null,null,218,null,null,1139,null,null,1062,null,null,346,null,null,752,null,null,648,null,null,299,null,null,299,null,null,218,null,null,544,null,null,927,null,null,386,null,null,386,null,null,218,null,null,836,null,null,5280,null,null,1901,null,null,1083,null,null,218,null,null,1083,null,null,1050,null,null,465,null,null,1482,null,null,1932,null,null,1690,null,null,91,null,null,1690,null,null,1523,null,null,589,null,null,890,null,null,3829,null,null,3338,null,null,141,null,null,3343,null,null,3268,null,null,813,null,null,1679,null,null,1469,null,null,1119,null,null,218,null,null,1119,null,null,1075,null,null,199,null,null,1053,null,null,1292,null,null,247,null,null,247,null,null,218,null,null,1260,null,null,1019,null,null,366,null,null,366,null,null,218,null,null,924,null,null,13
228323,9551,117040,6174,10885,1452,3866,855,48,77,3818,856,3079,763,739,425,7019,1285,14254,1792,11470,1577,950,501,10520,1534,8982,1332,1538,746,2784,905,67270,4672,57516,4214,1777,738,55739,4212,53041,3764,2698,987,9754,2139,13166,1530,8972,1227,224,306,8748,1121,8257,1166,491,332,4194,972,4319,806,1874,490,1874,490,0,185,2445,571,7146,1074,1451,517,1265,414,186,233,5695,952,111283,4751,10077,1380,3422,963,54,80,3368,955,2707,821,661,423,6655,1068,12994,1563,9162,1503,60,66,9102,1512,8879,1493,223,267,3832,1072,61924,3628,49883,3132,383,225,49500,3130,47297,3120,2203,779,12041,1639,13130,1154,8810,1110,0,185,8810,1110,8613,1095,197,217,4320,817,5285,976,1573,517,1484,480,89,120,3712,809,7873,1162,1088,425,1011,424,77,92,6785,1126,9551,null,null,6174,null,null,1452,null,null,855,null,null,77,null,null,856,null,null,763,null,null,425,null,null,1285,null,null,1792,null,null,1577,null,null,501,null,null,1534,null,null,1332,null,null,746,null,null,905,null,null,4672,null,null,4214,null,null,738,null,null,4212,null,null,3764,null,null,987,null,null,2139,null,null,1530,null,null,1227,null,null,306,null,null,1121,null,null,1166,null,null,332,null,null,972,null,null,806,null,null,490,null,null,490,null,null,185,null,null,571,null,null,1074,null,null,517,null,null,414,null,null,233,null,null,952,null,null,4751,null,null,1380,null,null,963,null,null,80,null,null,955,null,null,821,null,null,423,null,null,1068,null,null,1563,null,null,1503,null,null,66,null,null,1512,null,null,1493,null,null,267,null,null,1072,null,null,3628,null,null,3132,null,null,225,null,null,3130,null,null,3120,null,null,779,null,null,1639,null,null,1154,null,null,1110,null,null,185,null,null,1110,null,null,1095,null,null,217,null,null,817,null,null,976,null,null,517,null,null,480,null,null,120,null,null,809,null,null,1162,null,null,425,null,null,424,null,null,92,null,null,1126,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
177938,8458,86316,5237,13582,1825,5495,1060,155,254,5340,1033,3763,876,1577,674,8087,1530,13633,2019,10853,1862,244,268,10609,1872,9110,1823,1499,574,2780,652,44840,3908,39838,3885,0,185,39838,3885,35822,3569,4016,1120,5002,1179,7962,1315,4818,902,0,185,4818,902,4496,881,322,309,3144,955,2599,721,682,404,399,228,283,342,1917,630,3700,792,710,269,710,269,0,185,2990,694,91622,5192,13110,2134,5001,1118,26,62,4975,1119,3442,1027,1533,558,8109,1764,11454,1794,8830,1535,176,280,8654,1551,7977,1558,677,404,2624,728,50241,3111,39837,2786,26,62,39811,2786,36773,2660,3038,864,10404,1962,8128,1523,4142,969,0,185,4142,969,4112,953,30,50,3986,1133,4278,1153,1262,443,960,378,302,224,3016,982,4411,944,625,363,587,383,38,68,3786,830,8458,null,null,5237,null,null,1825,null,null,1060,null,null,254,null,null,1033,null,null,876,null,null,674,null,null,1530,null,null,2019,null,null,1862,null,null,268,null,null,1872,null,null,1823,null,null,574,null,null,652,null,null,3908,null,null,3885,null,null,185,null,null,3885,null,null,3569,null,null,1120,null,null,1179,null,null,1315,null,null,902,null,null,185,null,null,902,null,null,881,null,null,309,null,null,955,null,null,721,null,null,404,null,null,228,null,null,342,null,null,630,null,null,792,null,null,269,null,null,269,null,null,185,null,null,694,null,null,5192,null,null,2134,null,null,1118,null,null,62,null,null,1119,null,null,1027,null,null,558,null,null,1764,null,null,1794,null,null,1535,null,null,280,null,null,1551,null,null,1558,null,null,404,null,null,728,null,null,3111,null,null,2786,null,null,62,null,null,2786,null,null,2660,null,null,864,null,null,1962,null,null,1523,null,null,969,null,null,185,null,null,969,null,null,953,null,null,50,null,null,1133,null,null,1153,null,null,443,null,null,378,null,null,224,null,null,982,null,null,944,null,null,363,null,null,383,null,null,68,null,null,830,null,null,17
80464,5464,35950,3332,7832,1238,2800,882,28,49,2772,885,2286,746,486,344,5032,987,5836,1327,4014,1154,0,192,4014,1154,3630,1059,384,315,1822,638,16635,2104,13183,2015,144,151,13039,2005,12319,1950,720,361,3452,815,3201,1028,1890,721,0,192,1890,721,1759,706,131,132,1311,705,956,436,310,223,256,196,54,97,646,372,1490,562,308,276,308,276,0,192,1182,479,44514,4010,8368,1788,3807,1437,0,192,3807,1437,3429,1351,378,371,4561,1051,7933,1648,6264,1544,0,192,6264,1544,6008,1535,256,254,1669,937,20862,2464,15712,2264,0,192,15712,2264,14994,2195,718,439,5150,1276,3142,885,1671,540,0,192,1671,540,1595,495,76,116,1471,584,1790,611,488,271,443,252,45,84,1302,559,2419,659,197,181,197,181,0,192,2222,627,5464,null,null,3332,null,null,1238,null,null,882,null,null,49,null,null,885,null,null,746,null,null,344,null,null,987,null,null,1327,null,null,1154,null,null,192,null,null,1154,null,null,1059,null,null,315,null,null,638,null,null,2104,null,null,2015,null,null,151,null,null,2005,null,null,1950,null,null,361,null,null,815,null,null,1028,null,null,721,null,null,192,null,null,721,null,null,706,null,null,132,null,null,705,null,null,436,null,null,223,null,null,196,null,null,97,null,null,372,null,null,562,null,null,276,null,null,276,null,null,192,null,null,479,null,null,4010,null,null,1788,null,null,1437,null,null,192,null,null,1437,null,null,1351,null,null,371,null,null,1051,null,null,1648,null,null,1544,null,null,192,null,null,1544,null,null,1535,null,null,254,null,null,937,null,null,2464,null,null,2264,null,null,192,null,null,2264,null,null,2195,null,null,439,null,null,1276,null,null,885,null,null,540,null,null,192,null,null,540,null,null,495,null,null,116,null,null,584,null,null,611,null,null,271,null,null,252,null,null,84,null,null,559,null,null,659,null,null,181,null,null,181,null,null,192,null,null,627,null,null,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
54992,4257,26831,2940,6693,1477,3103,1017,0,174,3103,1017,2308,1023,795,482,3590,1093,5955,1426,3753,895,146,152,3607,906,2818,797,789,475,2202,951,10227,1442,8997,1301,623,432,8374,1265,7718,1186,656,434,1230,429,2016,525,1104,399,0,174,1104,399,1104,399,0,174,912,379,392,298,234,291,226,290,8,14,158,148,1548,552,307,240,307,240,0,174,1241,494,28161,2446,5119,1282,2653,1018,0,174,2653,1018,2638,1018,15,29,2466,800,4632,1372,3621,1008,0,174,3621,1008,3322,934,299,295,1011,640,14075,1594,10636,1325,60,79,10576,1349,9929,1249,647,471,3439,1110,1935,653,1173,519,0,174,1173,519,1173,519,0,174,762,335,923,432,248,221,248,221,0,174,675,387,1477,474,248,181,179,132,69,107,1229,433,4257,null,null,2940,null,null,1477,null,null,1017,null,null,174,null,null,1017,null,null,1023,null,null,482,null,null,1093,null,null,1426,null,null,895,null,null,152,null,null,906,null,null,797,null,null,475,null,null,951,null,null,1442,null,null,1301,null,null,432,null,null,1265,null,null,1186,null,null,434,null,null,429,null,null,525,null,null,399,null,null,174,null,null,399,null,null,399,null,null,174,null,null,379,null,null,298,null,null,291,null,null,290,null,null,14,null,null,148,null,null,552,null,null,240,null,null,240,null,null,174,null,null,494,null,null,2446,null,null,1282,null,null,1018,null,null,174,null,null,1018,null,null,1018,null,null,29,null,null,800,null,null,1372,null,null,1008,null,null,174,null,null,1008,null,null,934,null,null,295,null,null,640,null,null,1594,null,null,1325,null,null,79,null,null,1349,null,null,1249,null,null,471,null,null,1110,null,null,653,null,null,519,null,null,174,null,null,519,null,null,519,null,null,174,null,null,335,null,null,432,null,null,221,null,null,221,null,null,174,null,null,387,null,null,474,null,null,181,null,null,132,null,null,107,null,null,433,null,null,20
46018,4600,21775,3045,5440,1661,2259,902,105,119,2154,907,1614,775,540,441,3181,1135,4001,1105,3506,1034,0,190,3506,1034,2697,863,809,534,495,389,8654,1487,6266,1332,198,158,6068,1318,5629,1305,439,289,2388,663,2165,641,977,456,0,190,977,456,836,411,141,210,1188,450,651,323,200,165,154,149,46,78,451,288,864,405,91,82,91,82,0,190,773,394,24243,2797,5579,1244,3001,935,0,190,3001,935,2030,766,971,453,2578,745,3575,1189,2850,1133,0,190,2850,1133,2447,1064,403,324,725,517,10322,1695,7717,1523,0,190,7717,1523,7178,1432,539,381,2605,788,2516,784,1259,616,0,190,1259,616,1141,577,118,180,1257,466,712,409,90,148,90,148,0,190,622,402,1539,585,0,190,0,190,0,190,1539,585,4600,null,null,3045,null,null,1661,null,null,902,null,null,119,null,null,907,null,null,775,null,null,441,null,null,1135,null,null,1105,null,null,1034,null,null,190,null,null,1034,null,null,863,null,null,534,null,null,389,null,null,1487,null,null,1332,null,null,158,null,null,1318,null,null,1305,null,null,289,null,null,663,null,null,641,null,null,456,null,null,190,null,null,456,null,null,411,null,null,210,null,null,450,null,null,323,null,null,165,null,null,149,null,null,78,null,null,288,null,null,405,null,null,82,null,null,82,null,null,190,null,null,394,null,null,2797,null,null,1244,null,null,935,null,null,190,null,null,935,null,null,766,null,null,453,null,null,745,null,null,1189,null,null,1133,null,null,190,null,null,1133,null,null,1064,null,null,324,null,null,517,null,null,1695,null,null,1523,null,null,190,null,null,1523,null,null,1432,null,null,381,null,null,788,null,null,784,null,null,616,null,null,190,null,null,616,null,null,577,null,null,180,null,null,466,null,null,409,null,null,148,null,null,148,null,null,190,null,null,402,null,null,585,null,null,190,null,null,190,null,null,190,null,null,585,null,null,21
51284,5243,24146,3018,4271,1410,1638,885,0,208,1638,885,993,642,645,644,2633,1013,3569,1041,2806,981,329,473,2477,832,2183,792,294,254,763,471,10670,1929,8455,1678,150,144,8305,1680,7790,1621,515,335,2215,860,2794,782,1362,574,0,208,1362,574,1316,572,46,86,1432,545,895,488,167,175,167,175,0,208,728,385,1947,713,242,185,242,185,0,208,1705,670,27138,3735,4304,1259,2331,1046,0,208,2331,1046,2182,1027,149,160,1973,687,3845,1237,2704,1067,0,208,2704,1067,2574,1044,130,141,1141,608,13862,2542,9660,2172,30,63,9630,2160,8788,2096,842,492,4202,1338,2765,751,1368,534,0,208,1368,534,1368,534,0,208,1397,557,664,388,46,73,46,73,0,208,618,393,1698,615,198,174,198,174,0,208,1500,566,5243,null,null,3018,null,null,1410,null,null,885,null,null,208,null,null,885,null,null,642,null,null,644,null,null,1013,null,null,1041,null,null,981,null,null,473,null,null,832,null,null,792,null,null,254,null,null,471,null,null,1929,null,null,1678,null,null,144,null,null,1680,null,null,1621,null,null,335,null,null,860,null,null,782,null,null,574,null,null,208,null,null,574,null,null,572,null,null,86,null,null,545,null,null,488,null,null,175,null,null,175,null,null,208,null,null,385,null,null,713,null,null,185,null,null,185,null,null,208,null,null,670,null,null,3735,null,null,1259,null,null,1046,null,null,208,null,null,1046,null,null,1027,null,null,160,null,null,687,null,null,1237,null,null,1067,null,null,208,null,null,1067,null,null,1044,null,null,141,null,null,608,null,null,2542,null,null,2172,null,null,63,null,null,2160,null,null,2096,null,null,492,null,null,1338,null,null,751,null,null,534,null,null,208,null,null,534,null,null,534,null,null,208,null,null,557,null,null,388,null,null,73,null,null,73,null,null,208,null,null,393,null,null,615,null,null,174,null,null,174,null,null,208,null,null,566,null,null,22
