B13002D_001E,B13002D_001M,B13002D_002E,B13002D_002M,B13002D_003E,B13002D_003M,B13002D_004E,B13002D_004M,B13002D_005E,B13002D_005M,B13002D_006E,B13002D_006M,B13002D_007E,B13002D_007M,B13002D_001M,B13002D_001EA,B13002D_001MA,B13002D_002M,B13002D_002EA,B13002D_002MA,B13002D_003M,B13002D_003EA,B13002D_003MA,B13002D_004M,B13002D_004EA,B13002D_004MA,B13002D_005M,B13002D_005EA,B13002D_005MA,B13002D_006M,B13002D_006EA,B13002D_006MA,B13002D_007M,B13002D_007EA,B13002D_007MA,state
163532,3431,8701,1473,7384,1411,1317,819,154831,3706,83140,3491,71691,3871,3431,null,null,1473,null,null,1411,null,null,819,null,null,3706,null,null,3491,null,null,3871,null,null,12
121066,2968,5745,1292,5310,1206,435,309,115321,3147,67098,3193,48223,2966,2968,null,null,1292,null,null,1206,null,null,309,null,null,3147,null,null,3193,null,null,2966,null,null,13
119676,4071,7310,1421,5118,1086,2192,815,112366,3687,57122,3409,55244,3222,4071,null,null,1421,null,null,1086,null,null,815,null,null,3687,null,null,3409,null,null,3222,null,null,15
8391,1302,334,275,334,275,0,198,8057,1315,3917,903,4140,1366,1302,null,null,275,null,null,275,null,null,198,null,null,1315,null,null,903,null,null,1366,null,null,16
194790,2853,10781,1753,10302,1713,479,255,184009,3298,104496,3350,79513,3373,2853,null,null,1753,null,null,1713,null,null,255,null,null,3298,null,null,3350,null,null,3373,null,null,17
43542,2219,2346,724,2200,744,146,144,41196,2265,21875,1793,19321,1899,2219,null,null,724,null,null,744,null,null,144,null,null,2265,null,null,1793,null,null,1899,null,null,18
24613,1626,2060,682,1859,685,201,206,22553,1682,10689,1585,11864,1265,1626,null,null,682,null,null,685,null,null,206,null,null,1682,null,null,1585,null,null,1265,null,null,19
24574,1638,1900,751,1515,605,385,360,22674,1670,12403,1445,10271,1241,1638,null,null,751,null,null,605,null,null,360,null,null,1670,null,null,1445,null,null,1241,null,null,20
20830,1513,1217,524,791,361,426,428,19613,1529,12117,1247,7496,1099,1513,null,null,524,null,null,361,null,null,428,null,null,1529,null,null,1247,null,null,1099,null,null,21
21996,1679,1828,695,1413,591,415,368,20168,1720,9366,1477,10802,2013,1679,null,null,695,null,null,591,null,null,368,null,null,1720,null,null,1477,null,null,2013,null,null,22
6785,1071,42,70,0,172,42,70,6743,1062,3194,863,3549,898,1071,null,null,70,null,null,172,null,null,70,null,null,1062,null,null,863,null,null,898,null,null,23
105528,2056,5685,998,5277,989,408,309,99843,2226,57392,2394,42451,2536,2056,null,null,998,null,null,989,null,null,309,null,null,2226,null,null,2394,null,null,2536,null,null,24
139616,2760,7035,1335,6408,1281,627,351,132581,3017,69295,3144,63286,2730,2760,null,null,1335,null,null,1281,null,null,351,null,null,3017,null,null,3144,null,null,2730,null,null,25
