B22005G_001E,B22005G_001M,B22005G_002E,B22005G_002M,B22005G_003E,B22005G_003M,B22005G_001M,B22005G_001EA,B22005G_001MA,B22005G_002M,B22005G_002EA,B22005G_002MA,B22005G_003M,B22005G_003EA,B22005G_003MA,state
120572,5916,22117,2328,98455,5217,5916,null,null,2328,null,null,5217,null,null,12
53596,3851,9658,1863,43938,3225,3851,null,null,1863,null,null,3225,null,null,13
75692,3440,13903,1923,61789,3073,3440,null,null,1923,null,null,3073,null,null,15
11522,1651,1426,574,10096,1643,1651,null,null,574,null,null,1643,null,null,16
71132,4250,17158,2138,53974,3630,4250,null,null,2138,null,null,3630,null,null,17
31134,3208,6565,1217,24569,2832,3208,null,null,1217,null,null,2832,null,null,18
11402,1623,2783,928,8619,1153,1623,null,null,928,null,null,1153,null,null,19
22146,2177,3203,849,18943,2083,2177,null,null,849,null,null,2083,null,null,20
19627,2419,4514,1242,15113,1973,2419,null,null,1242,null,null,1973,null,null,21
21442,2606,4238,1222,17204,2230,2606,null,null,1222,null,null,2230,null,null,22
7440,1163,2553,719,4887,977,1163,null,null,719,null,null,977,null,null,23
42673,3433,6182,1472,36491,3151,3433,null,null,1472,null,null,3151,null,null,24
47902,4086,10996,1728,36906,3524,4086,null,null,1728,null,null,3524,null,null,25
73615,3838,18274,2181,55341,3576,3838,null,null,2181,null,null,3576,null,null,26
30369,2529,5284,1112,25085,2379,2529,null,null,1112,null,null,2379,null,null,27
7108,1594,1752,641,5356,1369,1594,null,null,641,null,null,1369,null,null,28
34278,2999,5845,1035,28433,2834,2999,null,null,1035,null,null,2834,null,null,29
9077,1756,2135,906,6942,1316,1756,null,null,906,null,null,1316,null,null,30
8979,1249,1868,789,7111,1111,1249,null,null,789,null,null,1111,null,null,31
31659,2558,4080,914,27579,2522,2558,null,null,914,null,null,2522,null,null,32
7270,1286,585,374,6685,1286,1286,null,null,374,null,null,1286,null,null,33
52673,3655,9225,1866,43448,3037,3655,null,null,1866,null,null,3037,null,null,34
17033,2405,3030,808,14003,2099,2405,null,null,808,null,null,2099,null,null,35
145266,6836,38256,3372,107010,5517,6836,null,null,3372,null,null,5517,null,null,36
58430,4204,12011,1757,46419,4102,4204,null,null,1757,null,null,4102,null,null,37
6607,1293,948,551,5659,1159,1293,null,null,551,null,null,1159,null,null,38
70181,4263,19843,2405,50338,3834,4263,null,null,2405,null,null,3834,null,null,39
83857,3418,15549,1531,68308,3505,3418,null,null,1531,null,null,3505,null,null,40
54202,3624,14857,2190,39345,2810,3624,null,null,2190,null,null,2810,null,null,41
67414,4429,20594,2175,46820,3770,4429,null,null,2175,null,null,3770,null,null,42
7122,1425,2976,967,4146,1038,1425,null,null,967,null,null,1038,null,null,44
19717,2342,4035,1192,15682,2088,2342,null,null,1192,null,null,2088,null,null,45
4180,1061,1039,578,3141,928,1061,null,null,578,null,null,928,null,null,46
33558,2914,7570,1349,25988,2762,2914,null,null,1349,null,null,2762,null,null,47
176217,7266,22909,2141,153308,6859,7266,null,null,2141,null,null,6859,null,null,48
16870,2009,1789,609,15081,1928,2009,null,null,609,null,null,1928,null,null,49
3312,789,1573,634,1739,510,789,null,null,634,null,null,510,null,null,50
68193,4023,8980,1637,59213,3847,4023,null,null,1637,null,null,3847,null,null,51
99218,4566,21717,2472,77501,4456,4566,null,null,2472,null,null,4456,null,null,53
6814,1340,1913,816,4901,1055,1340,null,null,816,null,null,1055,null,null,54
27356,2257,7176,1200,20180,1949,2257,null,null,1200,null,null,1949,null,null,55
4766,1176,706,416,4060,1123,1176,null,null,416,null,null,1123,null,null,56
49739,3093,20568,2245,29171,2245,3093,null,null,2245,null,null,2245,null,null,72
21201,2198,3823,989,17378,1778,2198,null,null,989,null,null,1778,null,null,01
13072,1589,1556,571,11516,1540,1589,null,null,571,null,null,1540,null,null,02
57337,4091,11881,1873,45456,3542,4091,null,null,1873,null,null,3542,null,null,04
20377,2340,3060,1030,17317,2019,2340,null,null,1030,null,null,2019,null,null,05
429861,9383,49431,3562,380430,8988,9383,null,null,3562,null,null,8988,null,null,06
45950,3191,7874,1412,38076,2817,3191,null,null,1412,null,null,2817,null,null,08
25942,2761,5371,1353,20571,2558,2761,null,null,1353,null,null,2558,null,null,09
5922,1267,2041,806,3881,1049,1267,null,null,806,null,null,1049,null,null,10
6578,1162,731,357,5847,1090,1162,null,null,357,null,null,1090,null,null,11
