C15002E_001E,C15002E_001M,C15002E_002E,C15002E_002M,C15002E_003E,C15002E_003M,C15002E_004E,C15002E_004M,C15002E_005E,C15002E_005M,C15002E_006E,C15002E_006M,C15002E_007E,C15002E_007M,C15002E_008E,C15002E_008M,C15002E_009E,C15002E_009M,C15002E_010E,C15002E_010M,C15002E_011E,C15002E_011M,C15002E_001M,C15002E_001EA,C15002E_001MA,C15002E_002M,C15002E_002EA,C15002E_002MA,C15002E_003M,C15002E_003EA,C15002E_003MA,C15002E_004M,C15002E_004EA,C15002E_004MA,C15002E_005M,C15002E_005EA,C15002E_005MA,C15002E_006M,C15002E_006EA,C15002E_006MA,C15002E_007M,C15002E_007EA,C15002E_007MA,C15002E_008M,C15002E_008EA,C15002E_008MA,C15002E_009M,C15002E_009EA,C15002E_009MA,C15002E_010M,C15002E_010EA,C15002E_010MA,C15002E_011M,C15002E_011EA,C15002E_011MA,state
8418,1652,3927,983,792,430,1441,641,837,439,857,515,4491,1297,757,392,1300,702,1240,772,1194,486,1652,null,null,983,null,null,430,null,null,641,null,null,439,null,null,515,null,null,1297,null,null,392,null,null,702,null,null,772,null,null,486,null,null,12
4492,1302,1921,779,251,359,1020,649,287,223,363,271,2571,1030,403,408,158,187,1471,875,539,393,1302,null,null,779,null,null,359,null,null,649,null,null,223,null,null,271,null,null,1030,null,null,408,null,null,187,null,null,875,null,null,393,null,null,13
89184,3282,44332,2265,5535,1180,21120,1950,12603,1869,5074,1042,44852,1736,5717,1325,17286,1820,15721,1449,6128,1216,3282,null,null,2265,null,null,1180,null,null,1950,null,null,1869,null,null,1042,null,null,1736,null,null,1325,null,null,1820,null,null,1449,null,null,1216,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
3221,920,2263,708,431,353,738,352,569,341,525,323,958,456,221,201,249,256,134,121,354,283,920,null,null,708,null,null,353,null,null,352,null,null,341,null,null,323,null,null,456,null,null,201,null,null,256,null,null,121,null,null,283,null,null,17
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
1952,826,831,411,192,209,378,261,182,172,79,124,1121,620,304,254,295,217,358,299,164,187,826,null,null,411,null,null,209,null,null,261,null,null,172,null,null,124,null,null,620,null,null,254,null,null,217,null,null,299,null,null,187,null,null,19
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
2157,679,663,335,27,52,108,119,444,319,84,89,1494,575,570,419,388,291,368,245,168,134,679,null,null,335,null,null,52,null,null,119,null,null,319,null,null,89,null,null,575,null,null,419,null,null,291,null,null,245,null,null,134,null,null,26
